simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,meB,meZ,myZ,fB,fZ,fyB,feB,feZ,fyZ,mF,mM,fF,fM
0,0.0015443412221355368,0.6917614988524178,0.6902171576302822,sahli,zahli liqcau,sahli,[sulcka],sahli,zahli liqcau,zahli liqcau,[sulcka],sahli,zahli liqcau,zahli liqcau,zahli liqcau,pat'ta,tic'han,tic'han,pat'ta
1,0.0023866093985943637,0.6917614988524178,0.6893748894538234,[sulcka],zahli liqcau,sahli,sahli,zahli liqcau,sahli,zahli liqcau,zahli liqcau,zahli liqcau,zahli liqcau,sahli,[sulcka],tic'han,pat'ta,pat'ta,tic'han
2,0.007556372860651361,0.6917614988524178,0.6842051259917664,zahli liqcau,[sulcka],zahli liqcau,sahli,sahli,zahli liqcau,zahli liqcau,zahli liqcau,sahli,sahli,[sulcka],zahli liqcau,pat'ta,tic'han,pat'ta,tic'han
3,0.0023866093985943637,0.6917614988524178,0.6893748894538234,sahli,sahli,zahli liqcau,zahli liqcau,sahli,zahli liqcau,zahli liqcau,zahli liqcau,sahli,zahli liqcau,[sulcka],[sulcka],tic'han,pat'ta,pat'ta,tic'han
4,0.0015443412221355368,0.6917614988524178,0.6902171576302822,[sulcka],zahli liqcau,zahli liqcau,sahli,[sulcka],sahli,zahli liqcau,sahli,zahli liqcau,sahli,zahli liqcau,zahli liqcau,pat'ta,tic'han,tic'han,pat'ta
5,0.0023866093985943637,0.6917614988524178,0.6893748894538234,zahli liqcau,sahli,sahli,[sulcka],zahli liqcau,sahli,zahli liqcau,[sulcka],zahli liqcau,zahli liqcau,sahli,zahli liqcau,tic'han,pat'ta,tic'han,pat'ta
6,0.003913137647917009,0.6917614988524178,0.6878483612045008,zahli liqcau,sahli,[sulcka],zahli liqcau,sahli,zahli liqcau,sahli,[sulcka],zahli liqcau,zahli liqcau,sahli,zahli liqcau,tic'han,pat'ta,pat'ta,tic'han
7,0.11575307999507434,0.6806294878916634,0.5648764078965891,sahli,[sulcka],zahli liqcau,zahli liqcau,zahli liqcau,zahli liqcau,sahli,zahli liqcau,sahli,zahli liqcau,sahli,[sulcka],pat'ta,pat'ta,tic'han,tic'han
8,0.1371803206609864,0.6806294878916634,0.543449167230677,sahli,zahli liqcau,sahli,[sulcka],[sulcka],zahli liqcau,zahli liqcau,zahli liqcau,sahli,zahli liqcau,sahli,zahli liqcau,tic'han,tic'han,pat'ta,pat'ta
9,0.09692659899907796,0.6806294878916634,0.5837028888925855,sahli,[sulcka],zahli liqcau,sahli,zahli liqcau,[sulcka],zahli liqcau,zahli liqcau,zahli liqcau,zahli liqcau,sahli,sahli,pat'ta,pat'ta,tic'han,tic'han
