simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,mFZD,mFZS,mFeZS,mFyZS,mFeZD,mFyZD,mFZeS,mFZyS,mFZeD,mFZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFZS,fFeZS,fFyZS,fFeZD,fFyZD,fFZeS,fFZyS,fFZeD,fFZyD,myB,meZ,myZ,mMeBD,mMyBD,fMeBD,fMyBD,mF,mFZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyB,fM,fFZ,fFeB,fMeZ,fMyZ,fMeB,fMyB,mMeB,fFeZ,fFyZ
0,0.7213545704953166,1.9783406258212128,1.2569860553258962,ponta,ponta,muuy,muuy,wunya,muuy,muuy,kuunty,muuy,muuy,wila,muuy,muuy,muuy,yapa,kuunty,muuy,ngalamp,wunya,muuy,muuy,muuy,muuy,yapa,muuy,muuy,kutth,kutth,wila,moiya,ngalamp,muuy,muuy,moiya,muuy,muuy,kala,pinya,pinya,pinya,mukwayyow,muka,pinya,kaath,kala,piip,piip,muka,pinya,pinya,muka,kaath,piny,piny wantyinth
1,0.5297545581927021,1.5421136564272233,1.0123590982345212,muuy,muuy,muuy,moiya,muuy,ponta,wunya,muuy,kuunty,wila,ponta,ngalamp,muuy,muuy,yapa,moiya,muuy,wunya,muuy,ngalamp,muuy,muuy,muuy,kutth,muuy,muuy,yapa,muuy,muuy,muuy,kutth,muuy,muuy,muuy,wila,kuunty,muka,piny wantyinth,piip,mukwayyow,muka,pinya,pinya,kaath,kaath,pinya,muka,kala,piip,pinya,piny,kala,pinya,pinya
2,0.6756928179321866,1.6772444816295913,1.0015516636974047,muuy,muuy,kutth,muuy,ponta,muuy,muuy,ngalamp,muuy,muuy,muuy,ponta,wunya,muuy,muuy,muuy,muuy,ngalamp,moiya,wila,muuy,muuy,muuy,muuy,moiya,muuy,yapa,kuunty,kuunty,wunya,muuy,kutth,muuy,muuy,yapa,wila,kala,muka,piny wantyinth,kala,muka,piny,mukwayyow,kaath,pinya,piip,pinya,pinya,piip,pinya,kaath,pinya,pinya,muka
3,0.5123683776883704,1.4959979983457572,0.9836296206573868,muuy,yapa,wunya,ponta,muuy,ngalamp,kuunty,ngalamp,muuy,muuy,muuy,muuy,wunya,muuy,muuy,yapa,muuy,kutth,moiya,kutth,wila,muuy,moiya,wila,muuy,muuy,muuy,muuy,muuy,kuunty,ponta,muuy,muuy,muuy,muuy,muuy,piny wantyinth,piip,pinya,kala,pinya,muka,kala,mukwayyow,pinya,pinya,kaath,piny,muka,muka,kaath,piip,pinya,pinya
4,0.5030280606698239,1.536364913829397,1.0333368531595732,yapa,muuy,muuy,muuy,muuy,wunya,muuy,muuy,muuy,muuy,ponta,kutth,wila,wila,muuy,muuy,kuunty,ngalamp,muuy,muuy,muuy,muuy,muuy,ngalamp,muuy,kuunty,ponta,muuy,yapa,muuy,kutth,moiya,moiya,wunya,muuy,muuy,pinya,piip,pinya,muka,pinya,pinya,piny wantyinth,pinya,mukwayyow,piip,kaath,muka,muka,kaath,pinya,kala,kala,piny
5,0.6113521767327201,1.6714249474284322,1.060072770695712,ngalamp,moiya,muuy,wunya,ponta,kuunty,muuy,kutth,muuy,kuunty,wila,wunya,muuy,muuy,muuy,muuy,ponta,muuy,muuy,yapa,ngalamp,muuy,kutth,muuy,moiya,muuy,muuy,muuy,muuy,muuy,muuy,wila,yapa,muuy,muuy,muuy,kaath,muka,muka,mukwayyow,pinya,pinya,pinya,kaath,kala,muka,pinya,piny wantyinth,pinya,piny,piip,piip,kala,pinya
6,0.6006426416030148,1.6884809516309185,1.0878383100279037,muuy,yapa,muuy,moiya,muuy,muuy,wila,muuy,ngalamp,yapa,kuunty,muuy,wunya,ponta,kutth,muuy,wunya,wila,muuy,muuy,muuy,ngalamp,muuy,moiya,ponta,muuy,muuy,muuy,kutth,muuy,kuunty,muuy,muuy,muuy,muuy,muuy,pinya,kaath,piny wantyinth,pinya,pinya,kala,mukwayyow,pinya,muka,muka,pinya,muka,pinya,kala,piip,piip,piny,kaath
7,0.6521911405515283,1.6172897023300905,0.9650985617785622,moiya,muuy,wila,ponta,muuy,muuy,muuy,ngalamp,muuy,moiya,kuunty,wila,muuy,muuy,ngalamp,muuy,muuy,muuy,ponta,muuy,muuy,muuy,muuy,kutth,muuy,wunya,yapa,muuy,muuy,yapa,muuy,kuunty,kutth,muuy,muuy,wunya,kaath,piny,mukwayyow,kaath,muka,piny wantyinth,kala,pinya,pinya,pinya,kala,pinya,muka,muka,piip,pinya,pinya,piip
8,0.6577497865986497,1.867196102894557,1.2094463162959073,kuunty,muuy,kutth,ponta,muuy,muuy,muuy,muuy,yapa,muuy,muuy,ponta,wila,wunya,muuy,muuy,kutth,ngalamp,yapa,wunya,muuy,kuunty,wila,muuy,muuy,ngalamp,muuy,muuy,muuy,muuy,moiya,moiya,muuy,muuy,muuy,muuy,kala,kala,pinya,piip,mukwayyow,muka,pinya,piny wantyinth,piny,pinya,muka,pinya,muka,kaath,pinya,kaath,pinya,piip
9,0.5284442051895051,1.5290355865900402,1.0005913814005352,moiya,muuy,wila,wunya,ngalamp,muuy,muuy,ngalamp,muuy,muuy,muuy,kutth,kutth,yapa,muuy,muuy,muuy,yapa,wunya,wila,ponta,moiya,muuy,ponta,muuy,muuy,muuy,muuy,muuy,muuy,kuunty,muuy,muuy,muuy,muuy,kuunty,kala,kaath,pinya,piip,muka,muka,pinya,muka,pinya,kala,piny wantyinth,piny,piip,pinya,pinya,kaath,pinya,mukwayyow
