simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mFBD,mFZD,mMBD,fFBS,fFZS,fMBS,fFZD,fMBD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeBS,fFyBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFBeS,fFByS,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fFeB,fFyB,fFeZ,fFyZ
0,0.3378575285114058,1.2601280757569755,0.9222705472455697,fagu,diagu,fagu,"kaiasgu, aiamung",kaiasgu,fagu,"kaiasgu, aiamung",fagu,fagu,fagu,"dimafingu, kaiasgu",fagu,fagu,diagu,diagu,"kaiasgu, aiamung","dimafingu, kaiasgu",dimafingu,fagu,dimafingu,diagu,kaiasgu,dimafingu,fagu,fagu,dimafingu,"dimafingu, kaiasgu",dimafingu,fagu,fagu,"kaiasgu, aiamung",fagu,dimafingu,dimafingu,kaiasgu,diagu,dimafingu,fagu,diagu,"kaiasgu, aiamung","dimafingu, kaiasgu",dimafingu,diagu,dimafingu,kaiasgu,"kaiasgu, aiamung",diagu,fagu,"kaiasgu, aiamung",dimafingu,fagu,"dimafingu, kaiasgu",fagu,kaiasgu,diagu,"kaiasgu, aiamung",diagu,fagu,"kaiasgu, aiamung",dimafingu,"kaiasgu, aiamung",fagu,tamang,kogol,namg,tamang,kogol,namg,tamang,mogorugu,kogol,kogol,tamang,mogorugu,tamang,tamang
1,0.32161343877726434,1.258367568340811,0.9367541295635468,"kaiasgu, aiamung","kaiasgu, aiamung","kaiasgu, aiamung",kaiasgu,diagu,"kaiasgu, aiamung",dimafingu,dimafingu,fagu,fagu,fagu,"kaiasgu, aiamung","kaiasgu, aiamung","dimafingu, kaiasgu",dimafingu,fagu,"kaiasgu, aiamung",kaiasgu,fagu,dimafingu,dimafingu,fagu,diagu,dimafingu,diagu,diagu,"dimafingu, kaiasgu",fagu,diagu,kaiasgu,"dimafingu, kaiasgu",dimafingu,fagu,dimafingu,fagu,dimafingu,"kaiasgu, aiamung","kaiasgu, aiamung",fagu,"kaiasgu, aiamung",fagu,diagu,fagu,kaiasgu,fagu,fagu,fagu,dimafingu,fagu,fagu,"dimafingu, kaiasgu",kaiasgu,"dimafingu, kaiasgu",fagu,fagu,fagu,diagu,dimafingu,dimafingu,diagu,diagu,diagu,namg,tamang,tamang,kogol,kogol,tamang,tamang,namg,tamang,mogorugu,kogol,kogol,mogorugu,tamang
2,0.2890476057717096,1.248780543356486,0.9597329375847764,dimafingu,fagu,diagu,kaiasgu,fagu,kaiasgu,fagu,diagu,fagu,fagu,"kaiasgu, aiamung",fagu,dimafingu,fagu,kaiasgu,diagu,dimafingu,dimafingu,"dimafingu, kaiasgu",fagu,"kaiasgu, aiamung",diagu,fagu,fagu,"kaiasgu, aiamung",fagu,"dimafingu, kaiasgu",fagu,dimafingu,dimafingu,dimafingu,dimafingu,"dimafingu, kaiasgu",diagu,fagu,diagu,fagu,diagu,diagu,fagu,fagu,"kaiasgu, aiamung",dimafingu,kaiasgu,"kaiasgu, aiamung","kaiasgu, aiamung",dimafingu,fagu,diagu,fagu,diagu,kaiasgu,"kaiasgu, aiamung","dimafingu, kaiasgu","dimafingu, kaiasgu",fagu,"kaiasgu, aiamung","kaiasgu, aiamung",dimafingu,dimafingu,"kaiasgu, aiamung",fagu,namg,tamang,kogol,kogol,kogol,tamang,tamang,namg,tamang,mogorugu,mogorugu,tamang,tamang,kogol
3,0.36078247766228466,1.3022242467571914,0.9414417690949067,fagu,"dimafingu, kaiasgu",diagu,fagu,kaiasgu,"kaiasgu, aiamung",fagu,fagu,fagu,fagu,dimafingu,"kaiasgu, aiamung","kaiasgu, aiamung","kaiasgu, aiamung",diagu,fagu,fagu,"kaiasgu, aiamung",diagu,dimafingu,fagu,"kaiasgu, aiamung",diagu,fagu,fagu,fagu,"dimafingu, kaiasgu",dimafingu,"kaiasgu, aiamung",dimafingu,fagu,"dimafingu, kaiasgu",dimafingu,fagu,dimafingu,kaiasgu,dimafingu,dimafingu,"dimafingu, kaiasgu","kaiasgu, aiamung",diagu,dimafingu,diagu,"dimafingu, kaiasgu",diagu,kaiasgu,diagu,dimafingu,diagu,kaiasgu,"kaiasgu, aiamung",fagu,dimafingu,kaiasgu,fagu,fagu,fagu,fagu,dimafingu,fagu,diagu,"kaiasgu, aiamung",tamang,mogorugu,tamang,kogol,kogol,kogol,tamang,namg,tamang,mogorugu,tamang,tamang,kogol,namg
4,0.2254138528477303,1.2437618852188477,1.0183480323711174,fagu,dimafingu,fagu,kaiasgu,fagu,diagu,"kaiasgu, aiamung",dimafingu,fagu,dimafingu,dimafingu,"kaiasgu, aiamung",fagu,kaiasgu,dimafingu,"kaiasgu, aiamung",diagu,dimafingu,"dimafingu, kaiasgu","kaiasgu, aiamung",fagu,diagu,"dimafingu, kaiasgu",dimafingu,dimafingu,dimafingu,fagu,diagu,"dimafingu, kaiasgu","dimafingu, kaiasgu","kaiasgu, aiamung",kaiasgu,fagu,fagu,"kaiasgu, aiamung",dimafingu,fagu,"kaiasgu, aiamung","dimafingu, kaiasgu",fagu,fagu,"kaiasgu, aiamung",dimafingu,fagu,diagu,kaiasgu,fagu,diagu,fagu,kaiasgu,diagu,diagu,dimafingu,fagu,fagu,"kaiasgu, aiamung","kaiasgu, aiamung",fagu,fagu,diagu,fagu,diagu,kogol,mogorugu,tamang,kogol,mogorugu,tamang,namg,kogol,kogol,tamang,namg,tamang,tamang,tamang
5,0.26593443956293683,1.287814742102076,1.0218803025391392,"kaiasgu, aiamung",fagu,fagu,diagu,fagu,"kaiasgu, aiamung","dimafingu, kaiasgu",fagu,kaiasgu,fagu,dimafingu,fagu,dimafingu,dimafingu,fagu,"kaiasgu, aiamung","dimafingu, kaiasgu",fagu,"kaiasgu, aiamung","kaiasgu, aiamung",dimafingu,dimafingu,fagu,diagu,diagu,kaiasgu,fagu,"kaiasgu, aiamung",dimafingu,fagu,"kaiasgu, aiamung",fagu,"dimafingu, kaiasgu",kaiasgu,fagu,"kaiasgu, aiamung",diagu,dimafingu,fagu,dimafingu,"kaiasgu, aiamung",fagu,fagu,dimafingu,"dimafingu, kaiasgu",diagu,fagu,kaiasgu,"kaiasgu, aiamung",diagu,fagu,kaiasgu,diagu,dimafingu,dimafingu,"dimafingu, kaiasgu",fagu,fagu,diagu,dimafingu,diagu,diagu,tamang,namg,tamang,kogol,tamang,kogol,kogol,mogorugu,namg,tamang,tamang,kogol,mogorugu,tamang
6,0.3291357861036217,1.299819313172645,0.9706835270690233,"dimafingu, kaiasgu",diagu,kaiasgu,fagu,dimafingu,fagu,fagu,dimafingu,dimafingu,dimafingu,kaiasgu,"kaiasgu, aiamung",dimafingu,fagu,"dimafingu, kaiasgu",fagu,"kaiasgu, aiamung","kaiasgu, aiamung",fagu,fagu,diagu,"kaiasgu, aiamung",fagu,"kaiasgu, aiamung",kaiasgu,dimafingu,"kaiasgu, aiamung",diagu,diagu,dimafingu,"kaiasgu, aiamung","dimafingu, kaiasgu",fagu,fagu,diagu,fagu,dimafingu,fagu,fagu,fagu,"kaiasgu, aiamung",diagu,diagu,kaiasgu,"kaiasgu, aiamung",kaiasgu,"dimafingu, kaiasgu",fagu,dimafingu,diagu,fagu,dimafingu,fagu,diagu,fagu,diagu,dimafingu,fagu,dimafingu,"kaiasgu, aiamung","dimafingu, kaiasgu",fagu,namg,tamang,mogorugu,tamang,tamang,namg,kogol,kogol,kogol,tamang,tamang,kogol,tamang,mogorugu
7,0.12252209127786906,1.2912553025553355,1.1687332112774664,fagu,"kaiasgu, aiamung",fagu,"dimafingu, kaiasgu","kaiasgu, aiamung",fagu,dimafingu,kaiasgu,fagu,"kaiasgu, aiamung",diagu,fagu,diagu,"dimafingu, kaiasgu",dimafingu,"dimafingu, kaiasgu",fagu,dimafingu,fagu,"kaiasgu, aiamung",diagu,fagu,fagu,kaiasgu,dimafingu,fagu,"dimafingu, kaiasgu",fagu,dimafingu,fagu,"dimafingu, kaiasgu",fagu,"kaiasgu, aiamung",fagu,dimafingu,fagu,"kaiasgu, aiamung",fagu,"kaiasgu, aiamung",diagu,fagu,"kaiasgu, aiamung","kaiasgu, aiamung",dimafingu,dimafingu,diagu,dimafingu,fagu,diagu,dimafingu,kaiasgu,dimafingu,fagu,kaiasgu,diagu,kaiasgu,diagu,diagu,diagu,"kaiasgu, aiamung",fagu,dimafingu,tamang,mogorugu,namg,mogorugu,tamang,tamang,tamang,tamang,kogol,kogol,kogol,kogol,tamang,namg
8,0.29173899192234587,1.2234563824941278,0.9317173905717819,fagu,kaiasgu,fagu,dimafingu,"kaiasgu, aiamung",kaiasgu,dimafingu,dimafingu,diagu,dimafingu,dimafingu,diagu,diagu,fagu,"kaiasgu, aiamung",diagu,"kaiasgu, aiamung",fagu,dimafingu,fagu,dimafingu,fagu,fagu,"kaiasgu, aiamung",kaiasgu,dimafingu,"dimafingu, kaiasgu","kaiasgu, aiamung",fagu,diagu,fagu,fagu,fagu,dimafingu,fagu,fagu,"kaiasgu, aiamung","dimafingu, kaiasgu",diagu,"kaiasgu, aiamung",diagu,dimafingu,"dimafingu, kaiasgu",fagu,fagu,diagu,fagu,dimafingu,"kaiasgu, aiamung",fagu,fagu,fagu,dimafingu,kaiasgu,kaiasgu,fagu,"dimafingu, kaiasgu","kaiasgu, aiamung",diagu,"dimafingu, kaiasgu",diagu,"kaiasgu, aiamung",tamang,tamang,tamang,kogol,kogol,tamang,kogol,namg,tamang,namg,mogorugu,kogol,mogorugu,tamang
9,0.34332351907604464,1.3185904372953192,0.9752669182192746,fagu,dimafingu,fagu,fagu,fagu,"dimafingu, kaiasgu",fagu,kaiasgu,"kaiasgu, aiamung",fagu,kaiasgu,diagu,dimafingu,fagu,fagu,diagu,fagu,diagu,dimafingu,dimafingu,diagu,dimafingu,"kaiasgu, aiamung",fagu,fagu,fagu,"kaiasgu, aiamung","dimafingu, kaiasgu",kaiasgu,fagu,diagu,dimafingu,fagu,diagu,diagu,diagu,"kaiasgu, aiamung",fagu,kaiasgu,dimafingu,"kaiasgu, aiamung","dimafingu, kaiasgu",dimafingu,dimafingu,fagu,"kaiasgu, aiamung",fagu,kaiasgu,"kaiasgu, aiamung",diagu,dimafingu,"dimafingu, kaiasgu","dimafingu, kaiasgu",dimafingu,"kaiasgu, aiamung",fagu,fagu,fagu,"kaiasgu, aiamung",dimafingu,"kaiasgu, aiamung",diagu,kogol,kogol,tamang,mogorugu,mogorugu,tamang,kogol,tamang,kogol,tamang,tamang,tamang,namg,namg
