simulation_number,mutual_information,entropy,conditional_entropy,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,NA,NA,NA,bɛh,"bɨʔ, maʔ",mɔʔ,mɔʔ,toj bɨʔ,toj,mɔʔ,toj,toj,mɔʔ,bɛh,toj bɨʔ,toj bɨʔ,toj,bɛh,toj bɨʔ,bɛh,ʔɛj,"bɨʔ, maʔ"
1,NA,NA,NA,bɛh,bɛh,mɔʔ,toj bɨʔ,toj,ʔɛj,toj,toj,bɛh,"bɨʔ, maʔ","bɨʔ, maʔ",mɔʔ,mɔʔ,toj bɨʔ,mɔʔ,bɛh,toj bɨʔ,toj bɨʔ,toj
2,NA,NA,NA,toj bɨʔ,toj bɨʔ,bɛh,bɛh,toj bɨʔ,toj,"bɨʔ, maʔ",mɔʔ,mɔʔ,mɔʔ,mɔʔ,toj,toj bɨʔ,bɛh,toj,toj,ʔɛj,bɛh,"bɨʔ, maʔ"
3,NA,NA,NA,bɛh,mɔʔ,toj bɨʔ,toj,toj,bɛh,bɛh,toj,"bɨʔ, maʔ",toj,bɛh,toj bɨʔ,"bɨʔ, maʔ",mɔʔ,toj bɨʔ,mɔʔ,mɔʔ,toj bɨʔ,ʔɛj
4,NA,NA,NA,ʔɛj,bɛh,toj bɨʔ,toj,toj,mɔʔ,toj,toj bɨʔ,mɔʔ,toj,bɛh,bɛh,bɛh,mɔʔ,toj bɨʔ,"bɨʔ, maʔ","bɨʔ, maʔ",mɔʔ,toj bɨʔ
5,NA,NA,NA,"bɨʔ, maʔ",ʔɛj,toj bɨʔ,mɔʔ,mɔʔ,toj bɨʔ,toj bɨʔ,toj,mɔʔ,mɔʔ,toj bɨʔ,bɛh,toj,bɛh,bɛh,"bɨʔ, maʔ",bɛh,toj,toj
6,NA,NA,NA,bɛh,toj bɨʔ,mɔʔ,bɛh,toj,toj,mɔʔ,toj,toj bɨʔ,bɛh,"bɨʔ, maʔ",bɛh,ʔɛj,toj bɨʔ,toj,mɔʔ,"bɨʔ, maʔ",toj bɨʔ,mɔʔ
7,NA,NA,NA,toj,toj bɨʔ,"bɨʔ, maʔ",mɔʔ,toj,mɔʔ,bɛh,"bɨʔ, maʔ",toj,toj bɨʔ,bɛh,bɛh,toj,bɛh,mɔʔ,toj bɨʔ,ʔɛj,toj bɨʔ,mɔʔ
8,NA,NA,NA,mɔʔ,mɔʔ,ʔɛj,toj,mɔʔ,toj,toj bɨʔ,toj bɨʔ,toj bɨʔ,mɔʔ,toj,bɛh,toj,toj bɨʔ,"bɨʔ, maʔ",bɛh,bɛh,bɛh,"bɨʔ, maʔ"
9,NA,NA,NA,mɔʔ,toj bɨʔ,mɔʔ,toj,"bɨʔ, maʔ",toj bɨʔ,toj,bɛh,bɛh,toj bɨʔ,mɔʔ,mɔʔ,"bɨʔ, maʔ",bɛh,toj,toj bɨʔ,bɛh,ʔɛj,toj
