simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,pii,pipi,pii,dyama,yee,pipi,neshu,paa,yee,neshu,yee,neshu,paa,yee,neshu,dyama,yee,yee,dyama,yee,pii,pii,yee,dyama,dyama,dyama,pipi,dyama,dyama,yee,yee,pipi,dyama,paa,dyama,neshu,paa,paa,lëlë,choo,choo,lëlë,tata,choo,lëlë,choo,tata,choo,lëlë,lëlë,choo,choo,lëlë,lëlë,meme,choo,meme,lëlë
1,0.10603713334992682,1.0346012329101812,0.9285640995602544,yee,dyama,dyama,dyama,pii,pii,neshu,yee,dyama,dyama,yee,neshu,yee,yee,yee,paa,pipi,dyama,pii,pipi,neshu,neshu,yee,yee,dyama,pipi,yee,dyama,yee,paa,paa,paa,dyama,pii,pipi,dyama,neshu,paa,lëlë,choo,tata,lëlë,choo,choo,lëlë,meme,lëlë,choo,lëlë,lëlë,meme,choo,choo,lëlë,choo,tata,choo,lëlë
2,0.12743575058463885,0.5982695885852573,0.4708338380006184,pipi,yee,pii,neshu,yee,dyama,yee,yee,dyama,neshu,dyama,neshu,dyama,yee,dyama,pii,dyama,neshu,dyama,neshu,dyama,pii,yee,dyama,yee,yee,paa,pipi,yee,paa,yee,paa,paa,pii,paa,pipi,dyama,pipi,lëlë,lëlë,lëlë,meme,choo,tata,lëlë,choo,choo,choo,lëlë,meme,choo,choo,lëlë,lëlë,lëlë,tata,choo,choo
3,0.1608706033651573,0.5195798391305154,0.3587092357653581,dyama,neshu,neshu,paa,yee,pii,paa,neshu,dyama,yee,dyama,dyama,paa,paa,yee,pii,yee,pipi,dyama,pii,yee,dyama,yee,dyama,pii,dyama,pipi,pipi,dyama,neshu,dyama,yee,paa,yee,pipi,yee,neshu,yee,choo,lëlë,choo,choo,meme,tata,tata,choo,lëlë,choo,lëlë,lëlë,choo,lëlë,choo,lëlë,lëlë,choo,lëlë,meme
4,0.20218548540814568,0.5982695885852573,0.39608410317711157,paa,yee,neshu,dyama,pii,yee,neshu,dyama,paa,pii,paa,neshu,pipi,pii,yee,paa,yee,dyama,neshu,yee,yee,pipi,dyama,dyama,yee,yee,dyama,yee,yee,neshu,pipi,pii,pipi,dyama,dyama,dyama,dyama,paa,lëlë,lëlë,lëlë,choo,lëlë,lëlë,choo,tata,choo,tata,choo,lëlë,lëlë,meme,choo,meme,choo,choo,choo,lëlë
5,0.0788931686430967,0.5982695885852573,0.5193764199421605,pipi,neshu,pipi,yee,pii,yee,neshu,pii,dyama,dyama,yee,dyama,dyama,dyama,yee,dyama,yee,pipi,yee,neshu,dyama,paa,neshu,dyama,yee,yee,yee,dyama,pipi,neshu,paa,dyama,pii,paa,pii,paa,paa,yee,choo,choo,meme,choo,lëlë,lëlë,lëlë,lëlë,tata,tata,lëlë,choo,choo,choo,choo,lëlë,lëlë,choo,meme,lëlë
6,0.20218548540814568,0.5982695885852573,0.39608410317711157,paa,neshu,dyama,paa,yee,pipi,dyama,pii,pipi,yee,neshu,neshu,pii,dyama,yee,yee,paa,yee,yee,yee,dyama,neshu,pipi,pii,dyama,dyama,yee,yee,dyama,pii,paa,yee,pipi,dyama,dyama,paa,dyama,neshu,lëlë,lëlë,lëlë,choo,lëlë,choo,choo,choo,choo,lëlë,lëlë,lëlë,meme,choo,choo,tata,lëlë,choo,tata,meme
7,0.03757828660010831,0.5195798391305154,0.4820015525304071,yee,dyama,yee,neshu,dyama,neshu,pipi,pii,yee,dyama,paa,dyama,neshu,dyama,pipi,paa,yee,dyama,pii,pipi,pii,yee,dyama,dyama,yee,dyama,dyama,neshu,pipi,neshu,yee,paa,yee,paa,yee,yee,paa,pii,choo,lëlë,lëlë,lëlë,lëlë,meme,lëlë,choo,meme,choo,lëlë,tata,choo,choo,lëlë,lëlë,choo,tata,choo,choo
8,0.06578959220211433,0.5982695885852573,0.5324799963831429,pii,dyama,yee,yee,dyama,pipi,dyama,yee,pii,paa,yee,yee,neshu,paa,yee,paa,pii,pipi,paa,dyama,neshu,dyama,neshu,dyama,yee,dyama,yee,pii,yee,neshu,dyama,neshu,dyama,pipi,yee,pipi,dyama,paa,choo,choo,meme,choo,meme,lëlë,lëlë,choo,lëlë,choo,lëlë,tata,choo,lëlë,tata,lëlë,choo,choo,lëlë,lëlë
9,0.24243302655595822,1.0346012329101812,0.792168206354223,paa,paa,pipi,yee,neshu,dyama,dyama,neshu,pii,yee,paa,pipi,pii,yee,pii,dyama,neshu,yee,yee,dyama,yee,dyama,yee,dyama,dyama,neshu,pipi,paa,yee,pii,pipi,paa,dyama,neshu,dyama,yee,yee,dyama,choo,lëlë,meme,choo,lëlë,lëlë,choo,lëlë,tata,choo,tata,lëlë,choo,choo,meme,lëlë,choo,choo,lëlë,lëlë
