language,language_family,code,simulation_code,simulation,mutual_information,entropy_gn,entropy_gn1,conditional_entropy,variation_gn,variation_gn1,number_of_pairs
Akkadian,Afro-Asiatic,akka1240,akka1240_REAL,N,0.72193,2.25,1.72193,1.0,5,6,10
Amharic,Afro-Asiatic,amha1245,amha1245_REAL,N,1.4588999999999999,1.92193,1.72193,0.26303,6,6,10
Hausa,Afro-Asiatic,haus1257,haus1257_REAL,N,0.6500700000000001,1.12193,2.24644,1.59637,5,6,12
Lebanese_Arabic,Afro-Asiatic,stan1323,stan1323_REAL,N,1.5881199999999998,2.49682,2.52193,0.93381,6,6,12
Old_Aramaic,Afro-Asiatic,olda1245,olda1245_REAL,N,1.24023,1.12193,1.9183,0.67807,5,6,10
Polci,Afro-Asiatic,polc1243,polc1243_REAL,N,0.21728999999999976,0.569,2.12193,1.90464,3,6,9
Morgan1871_An-ah'-ne-lin_(Gros_Ventres_of_Prairie)_gros1243.csv,Algic,rgan1871,rgan1871_REAL,N,1.2464400000000002,2.23593,2.24644,1.0,5,6,10
Northern_Ojibwa,Algic,nort2961,nort2961_REAL,N,1.0068399999999997,2.25435,2.52193,1.51509,8,6,20
Ottowa_Ojibwa,Algic,otta1242,otta1242_REAL,N,0.9255599999999997,1.02193,2.52193,1.59637,4,6,10
Wiyot,Algic,wiyo1248,wiyo1248_REAL,N,0.5219299999999998,-0.0,2.52193,2.0,1,6,4
Yurok,Algic,yuro1248,yuro1248_REAL,N,0.79223,2.72193,1.72193,0.9297,8,6,16
Baure,Arawakan,baur1253,baur1253_REAL,N,2.32193,0.92193,1.0,-1.32193,3,6,4
Ignaciano,Arawakan,igna1246,igna1246_REAL,N,2.32193,1.02193,1.0,-1.32193,4,6,6
Mashco_Piro,Arawakan,mash1270,mash1270_REAL,N,4.08746,0.32276,1.0,-3.08746,2,6,2
Trinitario,Arawakan,trin1274,trin1274_REAL,N,0.0,1.0,1.0,1.0,2,6,4
Wapishana,Arawakan,wapi1253,wapi1253_REAL,N,0.9255599999999997,1.02193,2.52193,1.59637,4,6,10
Waurá,Arawakan,waur1244,waur1244_REAL,N,0.3745799999999999,1.12193,1.97095,1.59637,5,6,12
Wayuu,Arawakan,wayu1243,wayu1243_REAL,N,0.1921299999999999,0.569,1.97095,1.77882,3,6,8
Yavitero,Arawakan,yavi1244,yavi1244_REAL,N,2.32193,0.92193,1.0,-1.32193,3,6,4
Asu_Tanzania_,Atlantic-Congo,asut1235,asut1235_REAL,N,1.0589,1.92193,3.32193,2.26303,6,6,24
Avatime,Atlantic-Congo,avat1244,avat1244_REAL,N,1.5219299999999998,1.95021,2.52193,1.0,4,6,8
Bafia,Atlantic-Congo,bafi1243,bafi1243_REAL,N,-0.0817,0.9183,0.9183,1.0,2,6,4
Bali_Congo_,Atlantic-Congo,bali1274,bali1274_REAL,N,0.5,-0.0,1.5,1.0,1,6,2
Bali_DRC_,Atlantic-Congo,bali1275,bali1275_REAL,N,0.25163,-0.0,1.25163,1.0,1,6,2
Bamun,Atlantic-Congo,bamu1253,bamu1253_REAL,N,0.0,0.9183,1.0,1.0,2,6,4
Batanga,Atlantic-Congo,bata1285,bata1285_REAL,N,3.0589,4.32193,3.32193,0.26303,20,6,24
Bemba,Atlantic-Congo,bemb1257,bemb1257_REAL,N,2.00258,1.36852,2.92193,0.91935,5,6,10
Bena_Tanzania_,Atlantic-Congo,bena1262,bena1262_REAL,N,1.3265099999999999,1.74839,2.52399,1.19748,5,6,11
Bende,Atlantic-Congo,bend1258,bend1258_REAL,N,1.6025799999999997,1.45943,2.52193,0.91935,6,6,12
Bera,Atlantic-Congo,bera1259,bera1259_REAL,N,0.9922300000000002,1.02193,2.92193,1.9297,4,6,12
Bila,Atlantic-Congo,bila1255,bila1255_REAL,N,1.69223,1.82193,3.12193,1.4297,5,6,13
Budza,Atlantic-Congo,budz1238,budz1238_REAL,N,0.0,-0.0,1.0,1.0,1,6,2
Bukusu,Atlantic-Congo,buku1249,buku1249_REAL,N,0.5589,1.72193,2.32193,1.76303,4,6,14
Bushoong,Atlantic-Congo,bush1247,bush1247_REAL,N,0.9255599999999997,1.52193,2.52193,1.59637,3,6,10
Chokwe,Atlantic-Congo,chok1245,chok1245_REAL,N,0.85779,1.57095,2.45845,1.60066,3,6,10
Digo,Atlantic-Congo,digo1243,digo1243_REAL,N,1.6589,1.72193,2.92193,1.26303,4,6,10
Ding,Atlantic-Congo,ding1239,ding1239_REAL,N,0.9255599999999997,1.02193,2.52193,1.59637,4,6,10
Duala,Atlantic-Congo,dual1243,dual1243_REAL,N,1.5999999999999996,2.0,2.52193,0.92193,5,6,9
Ekonda_Mongo,Atlantic-Congo,ekon1238,ekon1238_REAL,N,0.4435800000000003,0.55785,2.24644,1.80286,4,6,10
Fang_EG,Atlantic-Congo,fang1246,fang1246_REAL,N,0.3745799999999999,2.32193,1.97095,1.59637,7,6,20
Fefe,Atlantic-Congo,fefe1239,fefe1239_REAL,N,1.17046,1.58496,2.25,1.07954,5,6,11
Fipa,Atlantic-Congo,fipa1238,fipa1238_REAL,N,1.24902,1.75,1.97095,0.72193,4,6,7
Ganda,Atlantic-Congo,gand1255,gand1255_REAL,N,1.63994,2.2999,2.5,0.86006,6,6,12
Giryama,Atlantic-Congo,giry1241,giry1241_REAL,N,1.87426,2.53049,2.92193,1.04767,7,6,14
Gogo,Atlantic-Congo,gogo1263,gogo1263_REAL,N,1.3585599999999998,2.22439,2.19716,0.8386,6,6,11
Gusii,Atlantic-Congo,gusi1247,gusi1247_REAL,N,1.5849699999999998,1.25163,1.9183,0.33333,3,6,5
Haya,Atlantic-Congo,haya1250,haya1250_REAL,N,1.92556,2.32193,2.52193,0.59637,6,6,9
Ha,Atlantic-Congo,haaa1252,haaa1252_REAL,N,1.56993,2.16993,2.72193,1.152,6,6,15
Hehe,Atlantic-Congo,hehe1240,hehe1240_REAL,N,1.53436,1.52164,3.30056,1.7662,4,6,12
Herero,Atlantic-Congo,here1253,here1253_REAL,N,1.0425200000000001,1.12193,2.72548,1.68296,5,6,13
Igbo,Atlantic-Congo,nucl1417,nucl1417_REAL,N,1.9502100000000002,2.32193,2.95021,1.0,5,6,10
Kagulu,Atlantic-Congo,kagu1239,kagu1239_REAL,N,0.8905599999999998,0.73453,2.52193,1.63137,3,6,8
Kamba,Atlantic-Congo,kamb1297,kamb1297_REAL,N,0.8588999999999998,0.92193,2.62193,1.76303,3,6,10
Kaonde,Atlantic-Congo,kaon1241,kaon1241_REAL,N,0.8464400000000001,0.98523,1.84644,1.0,2,6,4
Kerewe,Atlantic-Congo,kere1283,kere1283_REAL,N,0.9182999999999999,-0.0,1.9183,1.0,1,6,2
Kikuyu,Atlantic-Congo,kiku1240,kiku1240_REAL,N,1.89223,2.12193,2.32193,0.4297,5,6,8
Komo_DRC_,Atlantic-Congo,komo1260,komo1260_REAL,N,1.6589,1.82193,2.92193,1.26303,5,6,12
Kom,Atlantic-Congo,komc1235,komc1235_REAL,N,1.07356,1.12193,1.25163,0.17807,5,6,9
Kota,Atlantic-Congo,kota1274,kota1274_REAL,N,1.55504,2.9477,1.84644,0.2914,8,6,10
Kwasio,Atlantic-Congo,kwas1243,kwas1243_REAL,N,0.7881199999999999,1.02899,1.72193,0.93381,5,6,10
Kwere,Atlantic-Congo,kwer1261,kwer1261_REAL,N,1.8907299999999998,1.15422,3.12193,1.2312,4,6,9
Lala_Bisa,Atlantic-Congo,lala1264,lala1264_REAL,N,1.5219299999999998,-0.0,2.52193,1.0,1,6,2
Lamba,Atlantic-Congo,lamb1271,lamb1271_REAL,N,1.18496,2.08605,1.97095,0.78599,5,6,8
Langi,Atlantic-Congo,lang1320,lang1320_REAL,N,1.0693799999999998,1.44251,2.52193,1.45255,6,6,12
Lingala,Atlantic-Congo,ling1263,ling1263_REAL,N,0.9922300000000002,1.02193,2.92193,1.9297,4,6,12
Lozi,Atlantic-Congo,lozi1239,lozi1239_REAL,N,0.48995999999999995,0.81669,2.64644,2.15648,3,6,11
Luba_Katanga,Atlantic-Congo,luba1250,luba1250_REAL,N,1.9219300000000001,1.44882,2.92193,1.0,3,6,6
Luba_Lulua,Atlantic-Congo,luba1249,luba1249_REAL,N,0.6463100000000002,0.92193,1.84644,1.20013,3,6,7
Luguru,Atlantic-Congo,lugu1238,lugu1238_REAL,N,1.75293,2.01688,2.92193,1.169,5,6,12
Lunda,Atlantic-Congo,lund1266,lund1266_REAL,N,1.7292800000000002,1.52164,2.92193,1.19265,4,6,10
Luvale,Atlantic-Congo,luva1239,luva1239_REAL,N,1.0019399999999998,1.33524,1.97095,0.96901,4,6,8
Makonde,Atlantic-Congo,mako1251,mako1251_REAL,N,0.15061999999999998,0.469,1.72193,1.57131,2,6,6
Masaaba,Atlantic-Congo,masa1299,masa1299_REAL,N,1.9792,1.87095,3.25163,1.27243,8,6,20
Mbala,Atlantic-Congo,mbal1257,mbal1257_REAL,N,0.5648000000000002,1.02899,1.84644,1.28164,5,6,11
Mbere,Atlantic-Congo,mber1257,mber1257_REAL,N,0.90395,1.84237,1.97095,1.067,4,6,8
Mbuun,Atlantic-Congo,mpuo1241,mpuo1241_REAL,N,0.9255599999999997,0.92193,2.52193,1.59637,3,6,8
Meru,Atlantic-Congo,meru1245,meru1245_REAL,N,2.3089,3.42193,3.32193,1.01303,12,6,27
Meta,Atlantic-Congo,meta1238,meta1238_REAL,N,0.5849599999999999,1.92193,1.58496,1.0,4,6,8
Mokpwe,Atlantic-Congo,mokp1239,mokp1239_REAL,N,0.8588999999999998,1.72193,2.12193,1.26303,4,6,10
Mongo,Atlantic-Congo,mong1338,mong1338_REAL,N,0.98794,1.45678,2.72193,1.73399,5,6,14
Mungaka,Atlantic-Congo,mung1266,mung1266_REAL,N,1.9219300000000001,1.5,2.92193,1.0,3,6,6
Myene,Atlantic-Congo,myen1241,myen1241_REAL,N,1.6007399999999998,2.20748,3.12193,1.52119,6,6,20
Ngoni,Atlantic-Congo,ngon1269,ngon1269_REAL,N,1.5,-0.0,1.5,-0.0,1,6,1
Ngulu,Atlantic-Congo,ngul1246,ngul1246_REAL,N,0.20474000000000014,1.24484,2.5,2.29526,3,6,14
Njebi,Atlantic-Congo,njeb1242,njeb1242_REAL,N,1.5709499999999998,2.32193,1.97095,0.4,5,6,7
Nsong,Atlantic-Congo,song1299,song1299_REAL,N,0.8588999999999998,0.92193,2.12193,1.26303,3,6,7
Nyakyusa,Atlantic-Congo,nyak1260,nyak1260_REAL,N,2.13743,2.39232,2.75,0.61257,7,6,13
Nyoro,Atlantic-Congo,nyor1246,nyor1246_REAL,N,2.2837699999999996,3.17605,2.52193,0.23816,10,6,12
Phende,Atlantic-Congo,phen1239,phen1239_REAL,N,0.8588999999999998,0.92193,2.12193,1.26303,3,6,7
Pinji,Atlantic-Congo,pinj1243,pinj1243_REAL,N,1.03666,1.45915,1.48548,0.44882,3,6,4
Pokomo,Atlantic-Congo,poko1261,poko1261_REAL,N,1.1219299999999999,-0.0,2.12193,1.0,1,6,2
Punu,Atlantic-Congo,punu1239,punu1239_REAL,N,1.53049,1.0,1.53049,-0.0,2,6,2
Rundi,Atlantic-Congo,rund1242,rund1242_REAL,N,1.9699299999999997,2.46132,2.52193,0.552,8,6,11
Sakata,Atlantic-Congo,saka1287,saka1287_REAL,N,0.36278,0.469,0.9183,0.55552,2,6,3
Sake,Atlantic-Congo,sake1247,sake1247_REAL,N,1.86001,1.95021,1.97095,0.11094,4,6,4
Sango,Atlantic-Congo,sang1331,sang1331_REAL,N,1.55869,1.64022,1.45915,-0.09954,4,6,6
