simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.43330664839895916,1.6210534101362244,1.1877467617372652,"ngan kuth, pam muth",pam meer-mele,paanth meer-mele,pam meer-mele,"rorko, paanth paathum",paanth meer-mele,"ngan kuth, pam muth",pam meer-mele,wiila,paanth meer-mele,"ngan kuth, pam muth",pam meer-mele,"rorko, paanth paathum",paanth meer-mele,ngan puumi,"rorko, paanth paathum","ngan kuth, pam muth",pam meer-mele,pam meer-mele,paanth meer-mele,pam meer-mele,"rorko, paanth paathum","ngan kuth, pam muth",pam kanam,"rorko, paanth paathum",paanth meer-mele,wiila,"ngan kuth, pam muth",paanth meer-mele,"ngan kuth, pam muth",pam meer-mele,yapa,"ngan kuth, pam muth","rorko, paanth paathum",yapa,paanth meer-mele,paanth meer-mele,pam meer-mele,"rorko, paanth paathum","ngan kuth, pam muth","rorko, paanth paathum",paanth meer-mele,"rorko, paanth paathum",ngan puumi,"ngan kuth, pam muth","rorko, paanth paathum",pam meer-mele,(nha)nganam,(nha)nganam,(nha)nganam,ngan pinhirr,nganip,ngan pinhirr,(nha)nganam,ngan pinhirr,nganip,"ngan kaala, pam kaal-mele",nganip,nganip,ngan pinhirr,"(nha)nganam, ngan nhangnam mantam",nganip,ngan mokr,nganip,"(nha)nganam, ngan nhangnam mantam",ngan mokr,"ngan kaala, pam kaal-mele"
1,0.49767063395688127,1.7377248627412025,1.2400542287843213,"rorko, paanth paathum","ngan kuth, pam muth","rorko, paanth paathum",paanth meer-mele,"rorko, paanth paathum","ngan kuth, pam muth",pam meer-mele,ngan puumi,pam meer-mele,paanth meer-mele,paanth meer-mele,paanth meer-mele,"rorko, paanth paathum",pam kanam,"rorko, paanth paathum","rorko, paanth paathum","rorko, paanth paathum",pam meer-mele,pam meer-mele,"ngan kuth, pam muth",paanth meer-mele,pam meer-mele,wiila,pam meer-mele,paanth meer-mele,"ngan kuth, pam muth","rorko, paanth paathum",paanth meer-mele,yapa,paanth meer-mele,"ngan kuth, pam muth",pam meer-mele,"ngan kuth, pam muth",ngan puumi,yapa,"ngan kuth, pam muth",paanth meer-mele,pam meer-mele,pam meer-mele,wiila,"ngan kuth, pam muth","rorko, paanth paathum","rorko, paanth paathum","ngan kuth, pam muth","ngan kuth, pam muth",pam meer-mele,paanth meer-mele,"ngan kaala, pam kaal-mele",nganip,ngan mokr,(nha)nganam,ngan pinhirr,nganip,"ngan kaala, pam kaal-mele","(nha)nganam, ngan nhangnam mantam",ngan mokr,ngan pinhirr,nganip,(nha)nganam,nganip,ngan pinhirr,nganip,(nha)nganam,ngan pinhirr,(nha)nganam,nganip,"(nha)nganam, ngan nhangnam mantam"
2,0.4227570993455534,1.50160871041898,1.0788516110734265,paanth meer-mele,ngan puumi,"ngan kuth, pam muth",pam meer-mele,"rorko, paanth paathum",paanth meer-mele,pam meer-mele,yapa,"ngan kuth, pam muth","ngan kuth, pam muth",pam meer-mele,paanth meer-mele,pam kanam,"ngan kuth, pam muth",pam meer-mele,"rorko, paanth paathum","rorko, paanth paathum","rorko, paanth paathum",pam meer-mele,wiila,pam meer-mele,paanth meer-mele,"rorko, paanth paathum","rorko, paanth paathum","ngan kuth, pam muth","rorko, paanth paathum",pam meer-mele,wiila,"ngan kuth, pam muth",pam meer-mele,paanth meer-mele,"rorko, paanth paathum",pam meer-mele,paanth meer-mele,"ngan kuth, pam muth","rorko, paanth paathum",yapa,"ngan kuth, pam muth","rorko, paanth paathum",paanth meer-mele,ngan puumi,paanth meer-mele,pam meer-mele,paanth meer-mele,"ngan kuth, pam muth",paanth meer-mele,"ngan kuth, pam muth","ngan kaala, pam kaal-mele",nganip,nganip,ngan pinhirr,"(nha)nganam, ngan nhangnam mantam",(nha)nganam,nganip,ngan mokr,ngan pinhirr,ngan mokr,(nha)nganam,"(nha)nganam, ngan nhangnam mantam",ngan pinhirr,(nha)nganam,nganip,ngan pinhirr,(nha)nganam,"ngan kaala, pam kaal-mele",nganip,nganip
3,0.4111234390705395,1.3168020301280539,0.9056785910575144,pam meer-mele,"rorko, paanth paathum",paanth meer-mele,pam meer-mele,"rorko, paanth paathum","rorko, paanth paathum",yapa,"rorko, paanth paathum","ngan kuth, pam muth","rorko, paanth paathum",pam meer-mele,"ngan kuth, pam muth",paanth meer-mele,paanth meer-mele,pam meer-mele,"rorko, paanth paathum",pam meer-mele,paanth meer-mele,"ngan kuth, pam muth",pam meer-mele,"ngan kuth, pam muth","ngan kuth, pam muth","rorko, paanth paathum","ngan kuth, pam muth",pam kanam,paanth meer-mele,"rorko, paanth paathum",ngan puumi,yapa,paanth meer-mele,paanth meer-mele,pam meer-mele,"ngan kuth, pam muth",wiila,"ngan kuth, pam muth",paanth meer-mele,"rorko, paanth paathum",ngan puumi,"rorko, paanth paathum",paanth meer-mele,pam meer-mele,pam meer-mele,paanth meer-mele,"ngan kuth, pam muth",pam meer-mele,wiila,"ngan kuth, pam muth",nganip,ngan pinhirr,ngan pinhirr,nganip,(nha)nganam,ngan mokr,nganip,"ngan kaala, pam kaal-mele",ngan pinhirr,"ngan kaala, pam kaal-mele",ngan mokr,(nha)nganam,(nha)nganam,nganip,"(nha)nganam, ngan nhangnam mantam",ngan pinhirr,nganip,"(nha)nganam, ngan nhangnam mantam",nganip,(nha)nganam
4,0.44364097781711087,1.5356620350611347,1.0920210572440239,pam meer-mele,"ngan kuth, pam muth",wiila,paanth meer-mele,"ngan kuth, pam muth",pam kanam,ngan puumi,"ngan kuth, pam muth",wiila,"rorko, paanth paathum",pam meer-mele,paanth meer-mele,paanth meer-mele,"ngan kuth, pam muth","ngan kuth, pam muth","rorko, paanth paathum","ngan kuth, pam muth","ngan kuth, pam muth",paanth meer-mele,yapa,paanth meer-mele,"rorko, paanth paathum",pam meer-mele,paanth meer-mele,"rorko, paanth paathum",ngan puumi,"ngan kuth, pam muth",pam meer-mele,pam meer-mele,"rorko, paanth paathum",paanth meer-mele,paanth meer-mele,paanth meer-mele,pam meer-mele,pam meer-mele,"rorko, paanth paathum","rorko, paanth paathum",yapa,pam meer-mele,"ngan kuth, pam muth","rorko, paanth paathum",pam meer-mele,"rorko, paanth paathum","rorko, paanth paathum",pam meer-mele,paanth meer-mele,"ngan kuth, pam muth",ngan pinhirr,nganip,(nha)nganam,nganip,"ngan kaala, pam kaal-mele",nganip,(nha)nganam,ngan mokr,"(nha)nganam, ngan nhangnam mantam",ngan pinhirr,"(nha)nganam, ngan nhangnam mantam",nganip,nganip,ngan pinhirr,ngan mokr,nganip,ngan pinhirr,(nha)nganam,(nha)nganam,"ngan kaala, pam kaal-mele"
5,0.7820305591947228,1.6210534101362244,0.8390228509415016,ngan puumi,paanth meer-mele,"ngan kuth, pam muth","rorko, paanth paathum","rorko, paanth paathum",pam meer-mele,"rorko, paanth paathum","ngan kuth, pam muth",paanth meer-mele,yapa,"ngan kuth, pam muth","rorko, paanth paathum","ngan kuth, pam muth","rorko, paanth paathum",paanth meer-mele,wiila,pam meer-mele,"rorko, paanth paathum",pam meer-mele,paanth meer-mele,"ngan kuth, pam muth",paanth meer-mele,"ngan kuth, pam muth",yapa,pam meer-mele,paanth meer-mele,"ngan kuth, pam muth","rorko, paanth paathum",pam meer-mele,"ngan kuth, pam muth","ngan kuth, pam muth",ngan puumi,"rorko, paanth paathum",pam meer-mele,pam meer-mele,paanth meer-mele,pam meer-mele,pam meer-mele,pam kanam,"rorko, paanth paathum",paanth meer-mele,paanth meer-mele,"ngan kuth, pam muth",wiila,"rorko, paanth paathum",paanth meer-mele,pam meer-mele,(nha)nganam,(nha)nganam,nganip,ngan pinhirr,ngan pinhirr,nganip,(nha)nganam,nganip,"(nha)nganam, ngan nhangnam mantam","ngan kaala, pam kaal-mele","ngan kaala, pam kaal-mele","(nha)nganam, ngan nhangnam mantam",(nha)nganam,nganip,ngan mokr,ngan pinhirr,nganip,nganip,ngan mokr,ngan pinhirr
6,0.42235461084317505,1.5173067399949576,1.0949521291517825,"rorko, paanth paathum",pam meer-mele,"rorko, paanth paathum","ngan kuth, pam muth","rorko, paanth paathum",paanth meer-mele,"ngan kuth, pam muth",pam kanam,paanth meer-mele,yapa,paanth meer-mele,"ngan kuth, pam muth",paanth meer-mele,"rorko, paanth paathum",yapa,pam meer-mele,pam meer-mele,ngan puumi,pam meer-mele,paanth meer-mele,pam meer-mele,"ngan kuth, pam muth",pam meer-mele,pam meer-mele,"ngan kuth, pam muth","ngan kuth, pam muth","ngan kuth, pam muth",ngan puumi,paanth meer-mele,"rorko, paanth paathum","rorko, paanth paathum","rorko, paanth paathum",pam meer-mele,paanth meer-mele,"rorko, paanth paathum","ngan kuth, pam muth",paanth meer-mele,wiila,"rorko, paanth paathum",wiila,"ngan kuth, pam muth","ngan kuth, pam muth",paanth meer-mele,"rorko, paanth paathum",pam meer-mele,pam meer-mele,paanth meer-mele,"(nha)nganam, ngan nhangnam mantam",nganip,ngan pinhirr,nganip,ngan mokr,nganip,ngan pinhirr,nganip,(nha)nganam,nganip,"ngan kaala, pam kaal-mele",ngan pinhirr,(nha)nganam,(nha)nganam,nganip,ngan mokr,ngan pinhirr,"ngan kaala, pam kaal-mele",(nha)nganam,"(nha)nganam, ngan nhangnam mantam"
7,0.49255092233641395,1.6210534101362244,1.1285024877998104,pam kanam,"rorko, paanth paathum",paanth meer-mele,pam meer-mele,"ngan kuth, pam muth","ngan kuth, pam muth",paanth meer-mele,paanth meer-mele,pam meer-mele,wiila,"ngan kuth, pam muth","ngan kuth, pam muth","ngan kuth, pam muth",paanth meer-mele,paanth meer-mele,yapa,pam meer-mele,"rorko, paanth paathum","ngan kuth, pam muth",ngan puumi,"ngan kuth, pam muth","rorko, paanth paathum",pam meer-mele,paanth meer-mele,ngan puumi,"rorko, paanth paathum",pam meer-mele,pam meer-mele,wiila,yapa,"rorko, paanth paathum","ngan kuth, pam muth","rorko, paanth paathum",paanth meer-mele,pam meer-mele,"rorko, paanth paathum",paanth meer-mele,"rorko, paanth paathum","ngan kuth, pam muth",pam meer-mele,paanth meer-mele,paanth meer-mele,"ngan kuth, pam muth","rorko, paanth paathum",pam meer-mele,"rorko, paanth paathum",pam meer-mele,nganip,(nha)nganam,nganip,ngan mokr,nganip,nganip,ngan mokr,(nha)nganam,nganip,ngan pinhirr,ngan pinhirr,"(nha)nganam, ngan nhangnam mantam",ngan pinhirr,ngan pinhirr,"(nha)nganam, ngan nhangnam mantam","ngan kaala, pam kaal-mele",nganip,(nha)nganam,"ngan kaala, pam kaal-mele",(nha)nganam
8,0.5829043747369449,1.6959446128299716,1.1130402380930267,"rorko, paanth paathum","ngan kuth, pam muth",pam meer-mele,paanth meer-mele,"rorko, paanth paathum",pam kanam,pam meer-mele,paanth meer-mele,"rorko, paanth paathum",pam meer-mele,pam meer-mele,pam meer-mele,"ngan kuth, pam muth",yapa,"rorko, paanth paathum",wiila,"ngan kuth, pam muth",pam meer-mele,paanth meer-mele,pam meer-mele,"rorko, paanth paathum","ngan kuth, pam muth","ngan kuth, pam muth",pam meer-mele,"ngan kuth, pam muth","rorko, paanth paathum","rorko, paanth paathum",paanth meer-mele,"rorko, paanth paathum",paanth meer-mele,paanth meer-mele,paanth meer-mele,"rorko, paanth paathum",ngan puumi,ngan puumi,"ngan kuth, pam muth",paanth meer-mele,paanth meer-mele,pam meer-mele,"ngan kuth, pam muth","ngan kuth, pam muth",pam meer-mele,paanth meer-mele,"ngan kuth, pam muth",wiila,"rorko, paanth paathum",yapa,(nha)nganam,(nha)nganam,nganip,"(nha)nganam, ngan nhangnam mantam",ngan pinhirr,"(nha)nganam, ngan nhangnam mantam","ngan kaala, pam kaal-mele",ngan pinhirr,(nha)nganam,ngan pinhirr,ngan pinhirr,nganip,nganip,"ngan kaala, pam kaal-mele",ngan mokr,nganip,ngan mokr,(nha)nganam,nganip,nganip
9,0.6810757817515734,1.743952979684965,1.0628771979333917,"rorko, paanth paathum","ngan kuth, pam muth",paanth meer-mele,pam meer-mele,"rorko, paanth paathum",paanth meer-mele,ngan puumi,paanth meer-mele,"rorko, paanth paathum",paanth meer-mele,pam meer-mele,paanth meer-mele,"ngan kuth, pam muth","ngan kuth, pam muth","ngan kuth, pam muth",paanth meer-mele,yapa,pam meer-mele,"ngan kuth, pam muth","rorko, paanth paathum",paanth meer-mele,wiila,"ngan kuth, pam muth","ngan kuth, pam muth","rorko, paanth paathum","rorko, paanth paathum","rorko, paanth paathum",wiila,yapa,"ngan kuth, pam muth",ngan puumi,pam meer-mele,paanth meer-mele,"ngan kuth, pam muth",pam meer-mele,pam meer-mele,pam meer-mele,"ngan kuth, pam muth",pam meer-mele,"rorko, paanth paathum",pam meer-mele,paanth meer-mele,"rorko, paanth paathum",pam kanam,pam meer-mele,paanth meer-mele,"rorko, paanth paathum",ngan pinhirr,ngan pinhirr,ngan mokr,ngan mokr,nganip,(nha)nganam,"(nha)nganam, ngan nhangnam mantam",(nha)nganam,"ngan kaala, pam kaal-mele","(nha)nganam, ngan nhangnam mantam",ngan pinhirr,nganip,nganip,"ngan kaala, pam kaal-mele",ngan pinhirr,nganip,nganip,(nha)nganam,nganip,(nha)nganam
