simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.2909383966228489,1.4293558927343757,1.1384174961115268,he-kiwyra,he-kiwyra,he-reinyra,he-kiwyra,he-reinyra,he-reinyra,he-kiwyra,he-reinyra,he-kipiyra,he-riwyra,he-reinyra,he-rikiyra,he-rikéra,he-kiwyra,he-reinyra,he-kiwyra,he-kiwyra,he-rikéra,he-reinyra,he-rikiyra,he-rikéra,he-kipiyra,he-reinyra,he-riwyra,he-rikéra,he-riwyra,he-rikiyra,he-kipiyra,he-reinyra,he-kiwyra,he-rikéra,he-rikiyra,he-kipiyra,he-riwyra,he-riwyra,he-kipiyra,he-reinyra,he-kiwyra,he-rú,he-zaihé,he-tutyra,he-ruwyra,he-ruwyra,he-tutyra,he-zaihé,he-tutyra,he-hy,he-tutyra,he-iýra,he-iýra,he-zaihé,he-ruwyra,he-ruwyra,he-zaihé,he-iýra,he-ruwyra,he-tutyra,he-ruwyra,he-rú,he-zaihé,he-iýra,he-zaihé,he-iýra,he-iýra,he-hy,he-tutyra
1,0.39995796976715026,1.5588338078112527,1.1588758380441024,he-kiwyra,he-rikéra,he-reinyra,he-kiwyra,he-reinyra,he-riwyra,he-reinyra,he-rikiyra,he-kipiyra,he-kiwyra,he-riwyra,he-rikéra,he-rikéra,he-riwyra,he-rikéra,he-rikiyra,he-kiwyra,he-kiwyra,he-kiwyra,he-reinyra,he-reinyra,he-kipiyra,he-reinyra,he-kiwyra,he-riwyra,he-kipiyra,he-kiwyra,he-reinyra,he-rikiyra,he-reinyra,he-reinyra,he-rikéra,he-kipiyra,he-riwyra,he-rikiyra,he-kiwyra,he-kipiyra,he-reinyra,he-tutyra,he-tutyra,he-ruwyra,he-ruwyra,he-hy,he-zaihé,he-ruwyra,he-zaihé,he-zaihé,he-iýra,he-hy,he-zaihé,he-iýra,he-tutyra,he-iýra,he-zaihé,he-ruwyra,he-zaihé,he-tutyra,he-iýra,he-iýra,he-tutyra,he-rú,he-ruwyra,he-ruwyra,he-rú,he-iýra,he-tutyra
2,0.2770557083308576,1.4628270784526831,1.1857713701218255,he-reinyra,he-kiwyra,he-riwyra,he-rikéra,he-riwyra,he-rikiyra,he-rikéra,he-kiwyra,he-rikiyra,he-rikiyra,he-kiwyra,he-reinyra,he-rikéra,he-reinyra,he-kiwyra,he-riwyra,he-kiwyra,he-kiwyra,he-reinyra,he-kipiyra,he-reinyra,he-reinyra,he-kiwyra,he-kiwyra,he-kipiyra,he-rikéra,he-reinyra,he-reinyra,he-riwyra,he-reinyra,he-kipiyra,he-rikéra,he-kiwyra,he-reinyra,he-riwyra,he-rikiyra,he-kipiyra,he-kipiyra,he-tutyra,he-iýra,he-iýra,he-zaihé,he-tutyra,he-zaihé,he-rú,he-iýra,he-iýra,he-zaihé,he-rú,he-hy,he-ruwyra,he-tutyra,he-tutyra,he-ruwyra,he-iýra,he-iýra,he-hy,he-tutyra,he-zaihé,he-ruwyra,he-zaihé,he-ruwyra,he-zaihé,he-ruwyra,he-ruwyra,he-tutyra
3,0.39107864606689313,1.7274573868421386,1.3363787407752454,he-reinyra,he-kipiyra,he-reinyra,he-rikiyra,he-reinyra,he-reinyra,he-reinyra,he-riwyra,he-kipiyra,he-kiwyra,he-riwyra,he-reinyra,he-riwyra,he-reinyra,he-rikéra,he-kipiyra,he-kiwyra,he-riwyra,he-rikéra,he-kiwyra,he-rikiyra,he-kiwyra,he-reinyra,he-kiwyra,he-kipiyra,he-kiwyra,he-rikéra,he-riwyra,he-reinyra,he-kiwyra,he-kiwyra,he-rikiyra,he-reinyra,he-rikéra,he-kiwyra,he-rikéra,he-kipiyra,he-rikiyra,he-tutyra,he-zaihé,he-iýra,he-ruwyra,he-tutyra,he-ruwyra,he-zaihé,he-tutyra,he-ruwyra,he-zaihé,he-zaihé,he-ruwyra,he-ruwyra,he-tutyra,he-iýra,he-iýra,he-rú,he-hy,he-zaihé,he-rú,he-iýra,he-hy,he-iýra,he-ruwyra,he-tutyra,he-zaihé,he-tutyra,he-iýra
4,0.3600332848526049,1.4293558927343757,1.0693226078817708,he-reinyra,he-reinyra,he-reinyra,he-kipiyra,he-riwyra,he-riwyra,he-reinyra,he-reinyra,he-kiwyra,he-reinyra,he-reinyra,he-riwyra,he-rikiyra,he-kipiyra,he-rikiyra,he-kiwyra,he-rikéra,he-rikéra,he-reinyra,he-kiwyra,he-rikiyra,he-rikéra,he-rikiyra,he-kiwyra,he-reinyra,he-kiwyra,he-kiwyra,he-riwyra,he-kiwyra,he-kiwyra,he-rikéra,he-kiwyra,he-kipiyra,he-reinyra,he-rikéra,he-riwyra,he-kipiyra,he-kipiyra,he-ruwyra,he-zaihé,he-iýra,he-iýra,he-iýra,he-ruwyra,he-ruwyra,he-zaihé,he-iýra,he-zaihé,he-iýra,he-tutyra,he-tutyra,he-rú,he-rú,he-ruwyra,he-ruwyra,he-ruwyra,he-tutyra,he-tutyra,he-zaihé,he-hy,he-iýra,he-tutyra,he-zaihé,he-zaihé,he-hy,he-tutyra
5,0.21263662836082564,1.6701302172594241,1.4574935888985985,he-reinyra,he-reinyra,he-rikéra,he-reinyra,he-rikiyra,he-kiwyra,he-reinyra,he-riwyra,he-reinyra,he-kipiyra,he-reinyra,he-kiwyra,he-kipiyra,he-kiwyra,he-kipiyra,he-riwyra,he-rikéra,he-kiwyra,he-reinyra,he-reinyra,he-kiwyra,he-rikéra,he-kipiyra,he-kiwyra,he-riwyra,he-reinyra,he-kiwyra,he-rikiyra,he-kiwyra,he-kipiyra,he-rikiyra,he-rikéra,he-riwyra,he-reinyra,he-rikéra,he-rikiyra,he-kiwyra,he-riwyra,he-ruwyra,he-hy,he-iýra,he-zaihé,he-iýra,he-rú,he-tutyra,he-ruwyra,he-iýra,he-tutyra,he-zaihé,he-rú,he-tutyra,he-zaihé,he-hy,he-tutyra,he-zaihé,he-ruwyra,he-ruwyra,he-ruwyra,he-zaihé,he-iýra,he-tutyra,he-zaihé,he-iýra,he-ruwyra,he-tutyra,he-iýra
6,0.3985636666863186,1.5297437780990892,1.1311801114127706,he-rikéra,he-reinyra,he-rikéra,he-reinyra,he-reinyra,he-reinyra,he-kiwyra,he-riwyra,he-rikiyra,he-reinyra,he-riwyra,he-rikiyra,he-riwyra,he-riwyra,he-kiwyra,he-rikiyra,he-kiwyra,he-reinyra,he-kipiyra,he-kipiyra,he-riwyra,he-kipiyra,he-kiwyra,he-kipiyra,he-kipiyra,he-rikiyra,he-reinyra,he-kiwyra,he-reinyra,he-rikéra,he-kiwyra,he-rikéra,he-reinyra,he-kiwyra,he-rikéra,he-reinyra,he-kiwyra,he-kiwyra,he-ruwyra,he-hy,he-tutyra,he-iýra,he-ruwyra,he-zaihé,he-iýra,he-zaihé,he-iýra,he-tutyra,he-hy,he-ruwyra,he-rú,he-ruwyra,he-tutyra,he-iýra,he-zaihé,he-tutyra,he-ruwyra,he-zaihé,he-iýra,he-zaihé,he-zaihé,he-tutyra,he-ruwyra,he-iýra,he-rú,he-tutyra
7,0.2391854397181583,1.3545466312211647,1.1153611915030064,he-rikiyra,he-riwyra,he-riwyra,he-rikiyra,he-reinyra,he-kipiyra,he-kiwyra,he-kipiyra,he-kipiyra,he-kiwyra,he-kiwyra,he-riwyra,he-reinyra,he-rikéra,he-reinyra,he-riwyra,he-kiwyra,he-kiwyra,he-rikéra,he-kipiyra,he-kiwyra,he-reinyra,he-riwyra,he-reinyra,he-rikéra,he-reinyra,he-kiwyra,he-rikiyra,he-rikéra,he-reinyra,he-reinyra,he-rikéra,he-reinyra,he-reinyra,he-kiwyra,he-kiwyra,he-kipiyra,he-rikiyra,he-ruwyra,he-iýra,he-zaihé,he-ruwyra,he-zaihé,he-ruwyra,he-zaihé,he-iýra,he-hy,he-hy,he-iýra,he-tutyra,he-tutyra,he-ruwyra,he-tutyra,he-ruwyra,he-iýra,he-tutyra,he-zaihé,he-iýra,he-tutyra,he-rú,he-ruwyra,he-rú,he-iýra,he-zaihé,he-zaihé,he-tutyra
8,0.271378629003888,1.5226954663902281,1.2513168373863401,he-reinyra,he-reinyra,he-riwyra,he-kiwyra,he-kipiyra,he-reinyra,he-reinyra,he-reinyra,he-rikiyra,he-kiwyra,he-kiwyra,he-riwyra,he-reinyra,he-rikéra,he-rikéra,he-rikéra,he-kipiyra,he-riwyra,he-rikiyra,he-kipiyra,he-reinyra,he-kipiyra,he-kiwyra,he-riwyra,he-rikiyra,he-kiwyra,he-riwyra,he-reinyra,he-kiwyra,he-kiwyra,he-reinyra,he-rikiyra,he-rikéra,he-kiwyra,he-kipiyra,he-kiwyra,he-rikéra,he-reinyra,he-iýra,he-tutyra,he-zaihé,he-ruwyra,he-zaihé,he-iýra,he-zaihé,he-ruwyra,he-tutyra,he-zaihé,he-zaihé,he-ruwyra,he-tutyra,he-rú,he-zaihé,he-ruwyra,he-tutyra,he-hy,he-iýra,he-ruwyra,he-hy,he-tutyra,he-rú,he-iýra,he-iýra,he-tutyra,he-ruwyra,he-iýra
9,0.2454883009455875,1.2589766107731595,1.013488309827572,he-kiwyra,he-kiwyra,he-riwyra,he-kiwyra,he-reinyra,he-kiwyra,he-kipiyra,he-kiwyra,he-kiwyra,he-riwyra,he-reinyra,he-kiwyra,he-kipiyra,he-rikéra,he-rikéra,he-kipiyra,he-reinyra,he-kiwyra,he-reinyra,he-rikiyra,he-rikéra,he-rikiyra,he-kiwyra,he-riwyra,he-riwyra,he-reinyra,he-rikiyra,he-reinyra,he-kipiyra,he-reinyra,he-reinyra,he-reinyra,he-kipiyra,he-rikéra,he-riwyra,he-rikéra,he-rikiyra,he-reinyra,he-iýra,he-iýra,he-hy,he-ruwyra,he-zaihé,he-zaihé,he-tutyra,he-iýra,he-ruwyra,he-rú,he-ruwyra,he-hy,he-tutyra,he-tutyra,he-zaihé,he-iýra,he-ruwyra,he-iýra,he-zaihé,he-ruwyra,he-rú,he-tutyra,he-tutyra,he-tutyra,he-iýra,he-zaihé,he-zaihé,he-ruwyra
