simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.14515250036058536,1.3562833807126715,1.2111308803520862,wankili,wankili,wankili,wankili,wankili,wankili,wankili,kukkatyi,wankili,wankili,kukkatyi,wankili,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,shoulder2,wankili,wankili,thigh1,wankili,wankili,wankili,wankili,thigh1,wankili,wankili,wankili,kapurlu,wankili,wankili,wankili,wankili,wankili,wankili,wankili,kapurlu,wankili,wankili,wankili,wankili,wankili,wankili,wankili,karnanti,ngamirni,piNaRi,karnanti,kampatya,ngamirni,kampatya,kampatya,karnanti,karnanti,kampatya,piNaRi,kampatya,ngamirni,ngamirni,ngamirni,kampatya,piNaRi,piNaRi,ngamirni,piNaRi,karnanti,kampatya,karnanti,karnanti,kampatya,karnanti,piNaRi
1,0.12651696886220143,1.3703644174100755,1.243847448547874,wankili,thigh1,wankili,wankili,wankili,kukkatyi,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,kukkatyi,wankili,wankili,wankili,kapurlu,wankili,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,wankili,wankili,shoulder2,kapurlu,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,thigh1,wankili,wankili,kampatya,piNaRi,karnanti,piNaRi,kampatya,kampatya,ngamirni,kampatya,ngamirni,ngamirni,kampatya,piNaRi,karnanti,karnanti,kampatya,ngamirni,piNaRi,kampatya,piNaRi,piNaRi,karnanti,kampatya,karnanti,karnanti,ngamirni,karnanti,ngamirni,karnanti
2,0.1704552451788106,1.3112686400569058,1.1408133948780952,wankili,wankili,wankili,wankili,wankili,wankili,wankili,kapurlu,wankili,wankili,kukkatyi,shoulder2,wankili,wankili,wankili,wankili,wankili,thigh1,wankili,wankili,wankili,wankili,wankili,kapurlu,wankili,wankili,shoulder2,wankili,wankili,wankili,thigh1,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,kukkatyi,wankili,wankili,wankili,ngamirni,piNaRi,ngamirni,kampatya,kampatya,kampatya,karnanti,piNaRi,karnanti,karnanti,ngamirni,karnanti,karnanti,ngamirni,piNaRi,karnanti,piNaRi,kampatya,kampatya,piNaRi,kampatya,ngamirni,karnanti,kampatya,karnanti,kampatya,ngamirni,piNaRi
3,0.09397705350770269,1.3737047009176584,1.2797276474099557,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,thigh1,wankili,wankili,wankili,wankili,wankili,wankili,wankili,kapurlu,wankili,kapurlu,wankili,wankili,kukkatyi,wankili,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,wankili,kukkatyi,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,wankili,thigh1,wankili,karnanti,piNaRi,piNaRi,karnanti,piNaRi,ngamirni,piNaRi,kampatya,karnanti,kampatya,karnanti,kampatya,ngamirni,piNaRi,ngamirni,piNaRi,ngamirni,karnanti,kampatya,karnanti,karnanti,kampatya,ngamirni,ngamirni,kampatya,karnanti,kampatya,kampatya
4,0.1376501915295516,1.312933428656558,1.1752832371270063,wankili,wankili,wankili,wankili,wankili,thigh1,wankili,wankili,wankili,wankili,wankili,wankili,shoulder2,shoulder2,wankili,kukkatyi,wankili,wankili,wankili,wankili,thigh1,wankili,wankili,wankili,wankili,wankili,kapurlu,wankili,wankili,wankili,kapurlu,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,kukkatyi,wankili,wankili,wankili,wankili,wankili,wankili,karnanti,piNaRi,piNaRi,piNaRi,karnanti,kampatya,ngamirni,piNaRi,ngamirni,kampatya,ngamirni,karnanti,ngamirni,piNaRi,kampatya,kampatya,kampatya,karnanti,karnanti,ngamirni,kampatya,karnanti,kampatya,ngamirni,piNaRi,karnanti,karnanti,kampatya
5,0.16190766483753793,1.3560357766576387,1.1941281118201008,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,kukkatyi,wankili,shoulder2,wankili,wankili,wankili,wankili,wankili,thigh1,wankili,wankili,wankili,wankili,wankili,wankili,wankili,thigh1,wankili,wankili,wankili,wankili,kapurlu,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,kapurlu,kukkatyi,wankili,karnanti,ngamirni,ngamirni,kampatya,kampatya,karnanti,kampatya,kampatya,piNaRi,kampatya,piNaRi,piNaRi,ngamirni,piNaRi,karnanti,karnanti,karnanti,piNaRi,karnanti,piNaRi,ngamirni,karnanti,ngamirni,karnanti,kampatya,kampatya,ngamirni,kampatya
6,0.10665242584245505,1.2541487544819077,1.1474963286394526,wankili,wankili,kapurlu,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,wankili,wankili,wankili,wankili,thigh1,wankili,wankili,kukkatyi,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,kapurlu,shoulder2,kukkatyi,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,thigh1,wankili,wankili,wankili,wankili,karnanti,ngamirni,kampatya,piNaRi,karnanti,ngamirni,kampatya,karnanti,ngamirni,karnanti,kampatya,karnanti,ngamirni,ngamirni,karnanti,karnanti,kampatya,karnanti,ngamirni,kampatya,piNaRi,piNaRi,piNaRi,kampatya,piNaRi,kampatya,kampatya,piNaRi
7,0.19996731189786066,1.3737047009176584,1.1737373890197977,wankili,wankili,wankili,kukkatyi,thigh1,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,kapurlu,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,kukkatyi,wankili,wankili,thigh1,kapurlu,wankili,shoulder2,wankili,wankili,wankili,wankili,karnanti,kampatya,karnanti,karnanti,kampatya,karnanti,kampatya,kampatya,karnanti,ngamirni,piNaRi,ngamirni,piNaRi,piNaRi,ngamirni,kampatya,ngamirni,piNaRi,kampatya,kampatya,kampatya,karnanti,karnanti,ngamirni,piNaRi,karnanti,ngamirni,piNaRi
8,0.15597178229487607,1.2272862908861826,1.0713145085913065,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,thigh1,wankili,wankili,wankili,wankili,wankili,kapurlu,wankili,wankili,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,kukkatyi,kukkatyi,wankili,wankili,shoulder2,wankili,wankili,kapurlu,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,thigh1,wankili,wankili,wankili,wankili,wankili,ngamirni,karnanti,ngamirni,karnanti,kampatya,piNaRi,ngamirni,kampatya,kampatya,piNaRi,ngamirni,karnanti,karnanti,kampatya,piNaRi,kampatya,piNaRi,kampatya,karnanti,karnanti,ngamirni,piNaRi,ngamirni,kampatya,karnanti,piNaRi,karnanti,kampatya
9,0.15803913535461378,1.3278979255706946,1.1698587902160809,wankili,wankili,wankili,wankili,kapurlu,wankili,wankili,wankili,wankili,wankili,wankili,wankili,thigh1,shoulder2,wankili,wankili,wankili,thigh1,wankili,wankili,kapurlu,shoulder2,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,kukkatyi,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,kukkatyi,wankili,wankili,wankili,wankili,karnanti,kampatya,kampatya,ngamirni,piNaRi,kampatya,piNaRi,piNaRi,karnanti,ngamirni,ngamirni,karnanti,kampatya,piNaRi,karnanti,kampatya,ngamirni,ngamirni,karnanti,piNaRi,kampatya,piNaRi,karnanti,kampatya,karnanti,kampatya,karnanti,ngamirni
