simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.31825708414740617,1.0986122886681096,0.7803552045207034,birànga,irànga,riaka,nongoru,nongoru,irànga,riaka,birànga,èpé,ōa,ina-ngina,ngina riaka,èpé,djòdjo,ina-ngina,ngina riaka,àma,èpé,èpé,ōa,djòdjo,djòdjo,ōa,djòdjo,àma riáka,ōa,àma riáka
1,0.31825708414740633,0.6365141682948128,0.31825708414740644,irànga,riaka,riaka,birànga,nongoru,irànga,nongoru,birànga,ōa,ngina riaka,ngina riaka,ina-ngina,àma riáka,djòdjo,ōa,djòdjo,djòdjo,ōa,ōa,àma riáka,èpé,àma,èpé,èpé,èpé,djòdjo,ina-ngina
2,0.087208023960758,0.6365141682948128,0.5493061443340548,irànga,nongoru,irànga,riaka,nongoru,birànga,riaka,birànga,ina-ngina,ina-ngina,ngina riaka,èpé,èpé,djòdjo,àma,èpé,djòdjo,àma riáka,djòdjo,ōa,ngina riaka,ōa,èpé,ōa,àma riáka,ōa,djòdjo
3,0.3182570841474064,0.6365141682948128,0.3182570841474064,birànga,nongoru,riaka,irànga,riaka,birànga,nongoru,irànga,àma riáka,ōa,ōa,èpé,èpé,èpé,djòdjo,djòdjo,djòdjo,djòdjo,àma,ōa,ngina riaka,ina-ngina,èpé,ngina riaka,ina-ngina,àma riáka,ōa
4,0.087208023960758,0.6365141682948128,0.5493061443340548,riaka,nongoru,birànga,irànga,birànga,nongoru,riaka,irànga,èpé,ōa,èpé,djòdjo,ōa,èpé,ngina riaka,ina-ngina,ōa,djòdjo,àma riáka,àma riáka,àma,ōa,èpé,ngina riaka,djòdjo,ina-ngina,djòdjo
5,0.3182570841474063,1.0986122886681096,0.7803552045207033,irànga,riaka,nongoru,birànga,birànga,irànga,nongoru,riaka,ōa,ina-ngina,èpé,àma riáka,djòdjo,àma riáka,ōa,ōa,djòdjo,djòdjo,djòdjo,ina-ngina,ngina riaka,ngina riaka,èpé,èpé,àma,ōa,èpé
6,0.31825708414740617,1.0986122886681096,0.7803552045207034,irànga,nongoru,nongoru,birànga,riaka,irànga,birànga,riaka,ōa,ngina riaka,àma,èpé,ngina riaka,djòdjo,àma riáka,ina-ngina,ōa,àma riáka,èpé,djòdjo,djòdjo,ina-ngina,èpé,djòdjo,ōa,èpé,ōa
7,0.08720802396075789,0.6365141682948128,0.5493061443340549,birànga,birànga,riaka,irànga,nongoru,irànga,riaka,nongoru,èpé,èpé,djòdjo,ngina riaka,djòdjo,ngina riaka,djòdjo,ina-ngina,ōa,ōa,èpé,àma riáka,ōa,ina-ngina,èpé,àma riáka,ōa,àma,djòdjo
8,0.087208023960758,0.6365141682948128,0.5493061443340548,nongoru,riaka,irànga,irànga,birànga,riaka,nongoru,birànga,ina-ngina,ina-ngina,ōa,ngina riaka,ōa,ōa,ōa,djòdjo,àma riáka,èpé,àma riáka,djòdjo,èpé,djòdjo,èpé,ngina riaka,àma,djòdjo,èpé
9,0.31825708414740617,1.0986122886681096,0.7803552045207034,irànga,birànga,riaka,riaka,birànga,nongoru,nongoru,irànga,èpé,àma riáka,djòdjo,ngina riaka,èpé,ngina riaka,èpé,ōa,djòdjo,ina-ngina,ōa,djòdjo,ōa,ōa,èpé,àma riáka,ina-ngina,àma,djòdjo
