simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.1422184680773273,1.3090751048589773,1.16685663678165,tue-ŋgu,tue-ŋgu,soɣoti,soɣoti,tue-ŋgu,ᵐboi,tue-ŋgu,soɣoti,soɣoti,tue-ŋgu,tue-ŋgu,soɣoti,ᵐboi,tue-ŋgu,soɣoti,ᵐboi,tata,ᵐbʷarai,ᵐbʷarai,tata,ᵐboi,tue-ŋgu,ᵐboi,soɣoti,tata,soɣoti,soɣoti,tue-ŋgu,ᵐboi,ᵐbʷarai,ᵐboi,tue-ŋgu,soɣoti,ᵐboi,soɣoti,tue-ŋgu,tue-ŋgu,soɣoti,soɣoti,ᵐboi,soɣoti,ᵐbʷarai,tata,tata,ᵐboi,tue-ŋgu,ᵐbʷarai,taˈrambe,tata,ᵐbʷarai,tata,tata,taˈrambe,ᵐbou,ᵐbou,ᵐbou,taˈrambe,tata,ᵐbou,ᵐbʷarai,taˈrambe,ᵐbʷarai,ᵐbʷarai,ᵐbou,ᵐbou,tata,tata
1,0.21346086424380917,1.3508553547702085,1.1373944905263993,ᵐboi,tue-ŋgu,tue-ŋgu,ᵐboi,tue-ŋgu,ᵐbʷarai,soɣoti,ᵐboi,tue-ŋgu,tue-ŋgu,ᵐboi,soɣoti,tue-ŋgu,soɣoti,ᵐbʷarai,ᵐboi,soɣoti,ᵐboi,tue-ŋgu,soɣoti,ᵐboi,soɣoti,tata,tue-ŋgu,tata,tue-ŋgu,tata,ᵐboi,tue-ŋgu,tue-ŋgu,tue-ŋgu,ᵐbʷarai,tue-ŋgu,ᵐboi,soɣoti,tata,ᵐbʷarai,soɣoti,soɣoti,soɣoti,ᵐboi,soɣoti,ᵐbʷarai,soɣoti,soɣoti,soɣoti,tata,tata,tata,ᵐbʷarai,tata,taˈrambe,ᵐbou,taˈrambe,ᵐbʷarai,ᵐbʷarai,ᵐbou,ᵐbou,tata,ᵐbʷarai,ᵐbou,ᵐbou,taˈrambe,taˈrambe,tata,ᵐbou,tata
2,0.5108838854850101,1.1708477295032687,0.6599638440182586,soɣoti,tue-ŋgu,ᵐboi,tue-ŋgu,tue-ŋgu,ᵐboi,ᵐboi,ᵐbʷarai,soɣoti,soɣoti,tue-ŋgu,ᵐbʷarai,tue-ŋgu,ᵐboi,tue-ŋgu,soɣoti,ᵐboi,soɣoti,tata,soɣoti,ᵐbʷarai,tata,ᵐboi,tue-ŋgu,soɣoti,soɣoti,tata,soɣoti,soɣoti,ᵐbʷarai,tata,soɣoti,tata,tue-ŋgu,soɣoti,ᵐboi,ᵐboi,ᵐboi,tue-ŋgu,tue-ŋgu,tue-ŋgu,ᵐboi,soɣoti,soɣoti,tue-ŋgu,tue-ŋgu,ᵐbʷarai,ᵐbou,ᵐbou,ᵐbou,ᵐbou,ᵐbou,taˈrambe,ᵐbʷarai,taˈrambe,tata,ᵐbou,tata,taˈrambe,ᵐbʷarai,ᵐbʷarai,ᵐbʷarai,tata,tata,tata,tata,taˈrambe
3,0.24528401569070168,1.3084185647101227,1.063134549019421,soɣoti,ᵐbʷarai,tue-ŋgu,ᵐboi,tata,soɣoti,soɣoti,tata,tue-ŋgu,tue-ŋgu,tue-ŋgu,soɣoti,ᵐboi,soɣoti,tata,ᵐboi,tue-ŋgu,ᵐbʷarai,tata,soɣoti,ᵐboi,ᵐboi,soɣoti,tue-ŋgu,soɣoti,ᵐbʷarai,tue-ŋgu,soɣoti,soɣoti,soɣoti,tue-ŋgu,ᵐboi,ᵐboi,ᵐboi,tue-ŋgu,soɣoti,tue-ŋgu,tata,ᵐbʷarai,ᵐbʷarai,tue-ŋgu,ᵐboi,tue-ŋgu,tue-ŋgu,soɣoti,ᵐboi,soɣoti,ᵐbou,ᵐbou,ᵐbou,taˈrambe,taˈrambe,ᵐbʷarai,ᵐbou,tata,ᵐbʷarai,ᵐbou,tata,ᵐbʷarai,ᵐbʷarai,tata,tata,taˈrambe,tata,tata,taˈrambe,ᵐbou
4,0.23488179430796585,1.2157466774162717,0.9808648831083059,soɣoti,tue-ŋgu,soɣoti,ᵐbʷarai,tue-ŋgu,ᵐbʷarai,ᵐboi,ᵐboi,tue-ŋgu,soɣoti,tue-ŋgu,soɣoti,tata,ᵐbʷarai,soɣoti,tue-ŋgu,soɣoti,soɣoti,tue-ŋgu,tue-ŋgu,tata,ᵐboi,ᵐboi,soɣoti,soɣoti,tue-ŋgu,ᵐbʷarai,soɣoti,tue-ŋgu,ᵐboi,tue-ŋgu,tata,ᵐboi,soɣoti,soɣoti,tata,tue-ŋgu,tue-ŋgu,soɣoti,ᵐbʷarai,tue-ŋgu,tata,ᵐboi,ᵐboi,ᵐboi,ᵐboi,soɣoti,taˈrambe,ᵐbʷarai,tata,tata,ᵐbou,ᵐbʷarai,ᵐbou,ᵐbou,ᵐbou,tata,tata,tata,taˈrambe,tata,ᵐbʷarai,ᵐbʷarai,ᵐbou,ᵐbou,taˈrambe,taˈrambe
5,0.25082154054632433,1.3340295991155569,1.0832080585692325,soɣoti,tue-ŋgu,tue-ŋgu,tue-ŋgu,ᵐbʷarai,tata,ᵐboi,soɣoti,soɣoti,soɣoti,ᵐbʷarai,tue-ŋgu,tue-ŋgu,soɣoti,soɣoti,tata,soɣoti,ᵐboi,tue-ŋgu,tata,tue-ŋgu,ᵐboi,soɣoti,tue-ŋgu,ᵐboi,soɣoti,soɣoti,soɣoti,tata,tata,ᵐboi,ᵐbʷarai,soɣoti,ᵐboi,ᵐboi,soɣoti,ᵐboi,tue-ŋgu,ᵐboi,tue-ŋgu,ᵐboi,tue-ŋgu,soɣoti,ᵐbʷarai,tue-ŋgu,ᵐbʷarai,tue-ŋgu,tata,ᵐbou,ᵐbʷarai,ᵐbou,ᵐbou,taˈrambe,tata,taˈrambe,ᵐbʷarai,ᵐbou,tata,tata,ᵐbou,ᵐbʷarai,tata,ᵐbou,ᵐbʷarai,taˈrambe,tata,taˈrambe
6,0.282597505575475,1.3168020301280536,1.0342045245525786,soɣoti,ᵐboi,tue-ŋgu,ᵐboi,tue-ŋgu,soɣoti,soɣoti,tata,soɣoti,tue-ŋgu,soɣoti,tue-ŋgu,tue-ŋgu,ᵐboi,tata,ᵐboi,tata,ᵐboi,soɣoti,tue-ŋgu,ᵐbʷarai,ᵐboi,ᵐboi,tata,soɣoti,tue-ŋgu,soɣoti,ᵐbʷarai,soɣoti,tue-ŋgu,tue-ŋgu,ᵐboi,soɣoti,ᵐboi,soɣoti,tue-ŋgu,ᵐboi,ᵐbʷarai,soɣoti,tue-ŋgu,ᵐbʷarai,soɣoti,tue-ŋgu,tue-ŋgu,soɣoti,ᵐbʷarai,tata,tata,taˈrambe,taˈrambe,ᵐbou,ᵐbou,taˈrambe,ᵐbou,tata,ᵐbʷarai,ᵐbʷarai,ᵐbou,taˈrambe,ᵐbou,tata,ᵐbou,ᵐbʷarai,ᵐbʷarai,tata,tata,tata
7,0.39297798282555163,1.3608557628200932,0.9678777799945416,ᵐboi,soɣoti,tata,soɣoti,tata,tue-ŋgu,tue-ŋgu,soɣoti,soɣoti,soɣoti,soɣoti,soɣoti,ᵐboi,tue-ŋgu,ᵐbʷarai,soɣoti,soɣoti,tue-ŋgu,ᵐbʷarai,ᵐboi,tata,ᵐboi,tata,tue-ŋgu,tue-ŋgu,tue-ŋgu,ᵐboi,tue-ŋgu,ᵐbʷarai,ᵐbʷarai,tue-ŋgu,soɣoti,soɣoti,soɣoti,ᵐboi,ᵐboi,tue-ŋgu,soɣoti,ᵐboi,ᵐboi,tata,tue-ŋgu,tue-ŋgu,ᵐboi,ᵐbʷarai,soɣoti,tue-ŋgu,tata,taˈrambe,tata,ᵐbou,taˈrambe,tata,taˈrambe,ᵐbou,tata,ᵐbʷarai,ᵐbʷarai,ᵐbʷarai,tata,taˈrambe,ᵐbʷarai,tata,ᵐbou,ᵐbou,ᵐbou,ᵐbou
8,0.4790722635593563,1.3822726968616488,0.9032004333022925,soɣoti,ᵐbʷarai,ᵐbʷarai,tue-ŋgu,tue-ŋgu,ᵐboi,ᵐboi,soɣoti,soɣoti,tue-ŋgu,tue-ŋgu,tata,ᵐboi,ᵐboi,ᵐbʷarai,soɣoti,ᵐboi,soɣoti,tue-ŋgu,tata,tue-ŋgu,tue-ŋgu,tue-ŋgu,soɣoti,tata,soɣoti,ᵐbʷarai,soɣoti,soɣoti,tue-ŋgu,soɣoti,soɣoti,ᵐboi,tue-ŋgu,tue-ŋgu,soɣoti,tue-ŋgu,ᵐboi,ᵐboi,tata,ᵐboi,soɣoti,ᵐboi,soɣoti,ᵐbʷarai,tata,tue-ŋgu,ᵐbʷarai,taˈrambe,tata,tata,taˈrambe,tata,ᵐbou,ᵐbou,taˈrambe,ᵐbʷarai,ᵐbʷarai,ᵐbou,ᵐbʷarai,tata,tata,ᵐbou,tata,ᵐbou,ᵐbou,taˈrambe
9,0.21921779525775253,1.2459466183336316,1.026728823075879,tue-ŋgu,ᵐboi,tata,tata,soɣoti,soɣoti,soɣoti,tue-ŋgu,ᵐboi,soɣoti,ᵐboi,soɣoti,ᵐbʷarai,soɣoti,tue-ŋgu,soɣoti,soɣoti,ᵐbʷarai,tue-ŋgu,tata,ᵐboi,tue-ŋgu,tue-ŋgu,soɣoti,tue-ŋgu,ᵐbʷarai,soɣoti,ᵐboi,soɣoti,tue-ŋgu,tue-ŋgu,tue-ŋgu,tue-ŋgu,soɣoti,ᵐboi,soɣoti,tue-ŋgu,ᵐboi,ᵐbʷarai,tata,tata,soɣoti,ᵐboi,ᵐbʷarai,ᵐboi,ᵐboi,tue-ŋgu,tata,ᵐbou,ᵐbʷarai,tata,taˈrambe,ᵐbʷarai,ᵐbou,ᵐbou,ᵐbou,ᵐbou,tata,tata,tata,taˈrambe,taˈrambe,tata,taˈrambe,ᵐbʷarai,ᵐbʷarai,ᵐbou
