simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mMZD,mMBS,feB,fyB,feZ,fyZ,fMZD,fMBS,mMeBS,mMyBS,mMeZD,mMyZD,mMBeS,mMByS,mMZeD,mMZyD,fMeBS,fMyBS,fMeZD,fMyZD,fMBeS,fMByS,fMZeD,fMZyD,mF,mM,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.5353838511374842,1.7256029482694475,1.1902190971319633,tada,tada,nana,arhi,nana,tada,tada,poda,tada,nana,nana,nana,tada,tada,tada,nana,tada,nana,arhi,nana,nana,nana,poda,nana,tada,nana,tada,koki,0,ichi ba,koki,aba,0,amma,0,kaja aba,0,amma,0,0,mama,kaja aba,aya,aba,aya,mama,ichi ba
1,0.2325145781756941,1.591095563595939,1.3585809854202449,tada,nana,tada,nana,nana,nana,tada,tada,poda,tada,nana,poda,nana,nana,nana,tada,tada,tada,nana,tada,tada,nana,nana,nana,arhi,arhi,tada,koki,0,amma,mama,0,aba,aya,0,kaja aba,amma,aba,0,aya,mama,koki,kaja aba,0,ichi ba,ichi ba,0
2,0.29905872993689964,1.724914291910481,1.4258555619735813,nana,tada,nana,nana,poda,tada,nana,tada,arhi,nana,arhi,tada,tada,tada,nana,nana,nana,nana,nana,tada,tada,poda,nana,tada,tada,nana,tada,0,koki,kaja aba,0,aba,kaja aba,aba,amma,0,koki,mama,amma,0,mama,ichi ba,aya,0,0,aya,ichi ba
3,0.5568669839113554,1.7081403838570401,1.1512733999456848,nana,nana,tada,tada,nana,tada,tada,arhi,tada,nana,nana,poda,tada,nana,poda,tada,nana,nana,nana,nana,tada,tada,nana,tada,arhi,tada,nana,amma,koki,0,0,aya,ichi ba,koki,0,0,kaja aba,ichi ba,0,aba,mama,kaja aba,aba,0,mama,aya,amma
4,0.4822151523043048,1.7043624797886139,1.222147327484309,nana,arhi,nana,tada,nana,tada,nana,nana,tada,nana,nana,tada,tada,poda,tada,arhi,tada,nana,nana,nana,tada,nana,tada,tada,tada,nana,poda,amma,aba,koki,mama,aba,amma,ichi ba,0,0,aya,ichi ba,aya,0,kaja aba,mama,kaja aba,koki,0,0,0
5,0.2891846126178088,1.7212095405336092,1.4320249279158004,tada,nana,tada,nana,tada,arhi,nana,nana,nana,tada,tada,nana,nana,tada,tada,tada,nana,nana,nana,arhi,nana,nana,tada,poda,tada,tada,poda,ichi ba,kaja aba,ichi ba,aya,amma,mama,koki,kaja aba,koki,aba,0,aya,aba,0,0,mama,0,0,0,amma
6,0.31360155824133007,1.73798344858705,1.42438189034572,nana,nana,tada,nana,tada,tada,tada,arhi,tada,nana,poda,tada,nana,nana,arhi,nana,poda,nana,tada,nana,tada,tada,tada,nana,nana,tada,nana,0,amma,kaja aba,ichi ba,kaja aba,0,koki,0,koki,mama,aba,aya,0,aya,amma,mama,0,aba,0,ichi ba
7,0.5765201143376828,1.8512503647797245,1.2747302504420417,nana,tada,nana,nana,nana,nana,tada,nana,tada,tada,tada,tada,arhi,nana,nana,tada,nana,nana,tada,tada,nana,poda,tada,nana,tada,poda,arhi,0,amma,ichi ba,0,aba,0,mama,0,aba,koki,kaja aba,amma,0,koki,mama,aya,ichi ba,aya,0,kaja aba
8,0.5149971496877268,1.9616662966266039,1.446669146938877,tada,tada,tada,nana,nana,nana,tada,nana,nana,arhi,poda,tada,nana,tada,nana,nana,tada,nana,tada,nana,tada,poda,nana,tada,nana,tada,arhi,kaja aba,aya,0,amma,aya,kaja aba,ichi ba,0,koki,koki,aba,ichi ba,aba,mama,0,0,mama,0,amma,0
9,0.361351646327845,1.7212095405336092,1.3598578942057642,tada,nana,tada,tada,nana,tada,nana,nana,arhi,tada,tada,poda,tada,nana,arhi,tada,tada,nana,nana,nana,nana,tada,tada,nana,poda,nana,nana,0,ichi ba,koki,0,0,kaja aba,0,amma,aba,aya,mama,aba,ichi ba,aya,mama,kaja aba,0,0,koki,amma
