simulation_number,mutual_information,entropy,conditional_entropy,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mMyBS,mMeZS,mMyZS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fMyBS,fMeZS,fMyZS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,mB,mZ,fB,fZ,meB,meZ,myZ,mFZD,mMBD,mMZD,mFyBD,mFeZD,mFyZD,mMeBS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mFZeD,mFZyD,mMBeD,mMByD,mMZeD,mMZyD,feB,feZ,fyZ,fFZD,fMBD,fMZD,fFeZD,fFyZD,fMeBS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fFZeD,fFZyD,fMBeD,fMByD,fMZeD,fMZyD,myB,fyB,mFeB,mMyB,fMB,fFeB,fMyB,mF,mM,mFZ,mMZ,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fF,fM,fFZ,fMZ,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,mMB,mMeB,fMeB
0,0.5884271039193318,1.7827081098612578,1.194281005941926,piusi-zia-bhauni,mausi-zia-bhauni,mamo-puva-bhai,mausi-puva-bhai,piusi-zia-bhauni,piusi-zia-bhauni,pivasi-puva-bhai,kakāpua bhāi,mamo-puva-bhai,jeṭhāpua,pivasi-puva-bhai,mamo-zia-bhauni,piusi-zia-bhauni,mausi-zia-bhauni,mamo-zia-bhauni,mausi-zia-bhauni,kakkoi puva bhai,piusi-zia-bhauni,pivasi-puva-bhai,kakāpua bhāi,bhai,mausi-puva-bhai,mausi-puva-bhai,mausi-puva-bhai,mamo-zia-bhauni,bhauni,mamo-puva-bhai,bhauni,piusi-zia-bhauni,bhai,mamo-puva-bhai,mausi-zia-bhauni,piusi-zia-bhauni,mausi-zia-bhauni,mausi-zia-bhauni,mausi-zia-bhauni,jeṭhāpua,bɔṛɔ bha:i,mamo-puva-bhai,mamo-puva-bhai,mamo-zia-bhauni,puva-bhai,sa:nɔ bhɔuɳi:,mausi-zia-bhauni,mamo-puva-bhai,mamo-zia-bhauni,pivasi-puva-bhai,pivasi-puva-bhai,piusi-zia-bhauni,piusi-zia-bhauni,kakkoi puva bhai,kakkoi-zia-bhauni,mausi-puva-bhai,bɔṛɔ bha:i,puva-bhai,mamo-puva-bhai,bɔṛɔ bhɔuɳi:,piusi-zia-bhauni,mausi-puva-bhai,puva-bhai,sa:nɔ bha:i,bɔṛɔ bhɔuɳi:,mausi-puva-bhai,sa:nɔ bha:i,mausi-puva-bhai,daddai-zia-bhauni,pivasi-puva-bhai,mamo-zia-bhauni,puva-bhai,mamo-zia-bhauni,mamo-puva-bhai,mausi-zia-bhauni,pivasi-puva-bhai,pivasi-puva-bhai,mamo-puva-bhai,mausi-puva-bhai,kakkoi-zia-bhauni,kakkoi-zia-bhauni,mamo-zia-bhauni,mamo-zia-bhauni,sa:nɔ bhɔuɳi:,mausi-zia-bhauni,pivasi-puva-bhai,pivasi-puva-bhai,daddai-zia-bhauni,mamo-zia-bhauni,mamo,piusi,mamo,piusi,mausi,bappa,khudata,mamo,dadda,bappa,khudata,piusi,mausi,piusi,piusi,mamo,mamo,mausi,bou,mausi,mausi,dadda,mausi,mamo,piusi,bou
1,0.6134246138902342,1.799657711401308,1.1862330975110738,jeṭhāpua,mausi-puva-bhai,mamo-zia-bhauni,mamo-puva-bhai,bɔṛɔ bhɔuɳi:,mausi-zia-bhauni,sa:nɔ bha:i,piusi-zia-bhauni,daddai-zia-bhauni,kakkoi-zia-bhauni,mamo-puva-bhai,mausi-puva-bhai,mamo-zia-bhauni,sa:nɔ bhɔuɳi:,mamo-zia-bhauni,mausi-puva-bhai,piusi-zia-bhauni,pivasi-puva-bhai,mausi-puva-bhai,mamo-zia-bhauni,puva-bhai,pivasi-puva-bhai,piusi-zia-bhauni,pivasi-puva-bhai,mausi-zia-bhauni,bhai,puva-bhai,mausi-zia-bhauni,mausi-zia-bhauni,puva-bhai,mamo-puva-bhai,jeṭhāpua,mausi-puva-bhai,mausi-zia-bhauni,mamo-zia-bhauni,pivasi-puva-bhai,mamo-zia-bhauni,mausi-zia-bhauni,mamo-puva-bhai,mausi-puva-bhai,kakkoi puva bhai,mamo-puva-bhai,piusi-zia-bhauni,sa:nɔ bha:i,mamo-puva-bhai,kakkoi-zia-bhauni,bhauni,mausi-puva-bhai,bɔṛɔ bha:i,kakkoi puva bhai,bhai,mamo-puva-bhai,bhauni,mamo-puva-bhai,mamo-zia-bhauni,kakkoi-zia-bhauni,mamo-zia-bhauni,mamo-puva-bhai,mausi-zia-bhauni,daddai-zia-bhauni,mausi-zia-bhauni,pivasi-puva-bhai,mausi-zia-bhauni,piusi-zia-bhauni,piusi-zia-bhauni,puva-bhai,mamo-puva-bhai,pivasi-puva-bhai,sa:nɔ bhɔuɳi:,mamo-zia-bhauni,piusi-zia-bhauni,piusi-zia-bhauni,pivasi-puva-bhai,piusi-zia-bhauni,pivasi-puva-bhai,bɔṛɔ bha:i,bɔṛɔ bhɔuɳi:,kakāpua bhāi,mausi-zia-bhauni,pivasi-puva-bhai,mausi-puva-bhai,pivasi-puva-bhai,mamo-zia-bhauni,kakāpua bhāi,mausi-puva-bhai,piusi-zia-bhauni,piusi,piusi,mamo,dadda,mausi,khudata,bappa,dadda,mausi,piusi,piusi,khudata,mausi,mamo,bappa,bou,mausi,piusi,bou,mamo,mausi,piusi,mausi,mamo,mamo,mamo
2,0.5600336322802875,1.794531783600664,1.2344981513203765,kakkoi puva bhai,kakāpua bhāi,mausi-zia-bhauni,mamo-puva-bhai,bhauni,mausi-zia-bhauni,mamo-zia-bhauni,pivasi-puva-bhai,bɔṛɔ bha:i,mamo-puva-bhai,mausi-puva-bhai,bɔṛɔ bhɔuɳi:,piusi-zia-bhauni,mamo-puva-bhai,mamo-zia-bhauni,mausi-zia-bhauni,jeṭhāpua,pivasi-puva-bhai,piusi-zia-bhauni,mamo-zia-bhauni,piusi-zia-bhauni,mausi-puva-bhai,mausi-zia-bhauni,daddai-zia-bhauni,bhai,mamo-puva-bhai,kakkoi-zia-bhauni,mamo-puva-bhai,puva-bhai,mausi-zia-bhauni,mausi-puva-bhai,bɔṛɔ bhɔuɳi:,mamo-puva-bhai,bhai,mamo-zia-bhauni,mamo-puva-bhai,pivasi-puva-bhai,piusi-zia-bhauni,mausi-puva-bhai,piusi-zia-bhauni,sa:nɔ bhɔuɳi:,piusi-zia-bhauni,kakkoi-zia-bhauni,piusi-zia-bhauni,daddai-zia-bhauni,sa:nɔ bha:i,mausi-puva-bhai,mamo-puva-bhai,pivasi-puva-bhai,piusi-zia-bhauni,puva-bhai,mamo-zia-bhauni,mausi-puva-bhai,pivasi-puva-bhai,mausi-puva-bhai,bɔṛɔ bha:i,bhauni,mamo-zia-bhauni,pivasi-puva-bhai,sa:nɔ bhɔuɳi:,kakkoi-zia-bhauni,pivasi-puva-bhai,sa:nɔ bha:i,piusi-zia-bhauni,piusi-zia-bhauni,pivasi-puva-bhai,mamo-zia-bhauni,mamo-zia-bhauni,mamo-zia-bhauni,mamo-puva-bhai,mausi-zia-bhauni,mausi-puva-bhai,kakāpua bhāi,puva-bhai,mausi-zia-bhauni,pivasi-puva-bhai,mausi-puva-bhai,jeṭhāpua,mamo-puva-bhai,pivasi-puva-bhai,mausi-zia-bhauni,puva-bhai,mausi-zia-bhauni,mamo-zia-bhauni,mausi-zia-bhauni,kakkoi puva bhai,piusi,mamo,piusi,mausi,bou,mausi,bappa,mamo,mamo,piusi,piusi,bappa,bou,mausi,dadda,mamo,dadda,mamo,mausi,mausi,piusi,piusi,mamo,mausi,khudata,khudata
3,0.6192406816577496,1.7729841117799063,1.1537434301221567,piusi-zia-bhauni,sa:nɔ bha:i,mausi-zia-bhauni,piusi-zia-bhauni,mamo-puva-bhai,mamo-zia-bhauni,kakkoi-zia-bhauni,mamo-zia-bhauni,pivasi-puva-bhai,bhauni,mausi-zia-bhauni,bɔṛɔ bhɔuɳi:,kakkoi-zia-bhauni,piusi-zia-bhauni,pivasi-puva-bhai,daddai-zia-bhauni,sa:nɔ bhɔuɳi:,kakāpua bhāi,mausi-zia-bhauni,kakkoi-zia-bhauni,kakkoi puva bhai,mausi-zia-bhauni,mamo-zia-bhauni,piusi-zia-bhauni,piusi-zia-bhauni,sa:nɔ bhɔuɳi:,puva-bhai,mamo-puva-bhai,pivasi-puva-bhai,mamo-puva-bhai,mamo-puva-bhai,bɔṛɔ bha:i,pivasi-puva-bhai,mausi-puva-bhai,bhauni,mausi-puva-bhai,piusi-zia-bhauni,piusi-zia-bhauni,bɔṛɔ bhɔuɳi:,mamo-puva-bhai,mamo-puva-bhai,bhai,puva-bhai,mamo-puva-bhai,kakkoi puva bhai,mamo-zia-bhauni,pivasi-puva-bhai,mausi-puva-bhai,mamo-puva-bhai,pivasi-puva-bhai,mausi-zia-bhauni,pivasi-puva-bhai,sa:nɔ bha:i,piusi-zia-bhauni,daddai-zia-bhauni,puva-bhai,mamo-zia-bhauni,mausi-zia-bhauni,mausi-puva-bhai,mamo-puva-bhai,mausi-puva-bhai,pivasi-puva-bhai,puva-bhai,mausi-zia-bhauni,mamo-zia-bhauni,jeṭhāpua,mausi-puva-bhai,piusi-zia-bhauni,mausi-puva-bhai,bhai,jeṭhāpua,mamo-zia-bhauni,mausi-zia-bhauni,mamo-zia-bhauni,mamo-zia-bhauni,mamo-zia-bhauni,piusi-zia-bhauni,mausi-zia-bhauni,mamo-puva-bhai,mausi-zia-bhauni,kakāpua bhāi,pivasi-puva-bhai,mausi-puva-bhai,bɔṛɔ bha:i,mausi-puva-bhai,pivasi-puva-bhai,mamo,mausi,mausi,mausi,mausi,mausi,mamo,piusi,mamo,piusi,piusi,bou,piusi,bappa,khudata,piusi,khudata,dadda,bappa,mamo,mamo,dadda,mausi,mamo,piusi,bou
4,0.6350420638543743,1.7984994689880232,1.1634574051336488,kakkoi puva bhai,bɔṛɔ bha:i,mausi-puva-bhai,daddai-zia-bhauni,piusi-zia-bhauni,bhai,mamo-puva-bhai,jeṭhāpua,mausi-puva-bhai,mamo-zia-bhauni,mamo-zia-bhauni,mausi-zia-bhauni,pivasi-puva-bhai,kakāpua bhāi,piusi-zia-bhauni,pivasi-puva-bhai,mamo-zia-bhauni,piusi-zia-bhauni,mausi-zia-bhauni,piusi-zia-bhauni,puva-bhai,piusi-zia-bhauni,mausi-zia-bhauni,mausi-puva-bhai,piusi-zia-bhauni,mamo-puva-bhai,sa:nɔ bhɔuɳi:,puva-bhai,piusi-zia-bhauni,mausi-puva-bhai,pivasi-puva-bhai,bɔṛɔ bha:i,mamo-zia-bhauni,pivasi-puva-bhai,mausi-zia-bhauni,mamo-puva-bhai,bɔṛɔ bhɔuɳi:,kakāpua bhāi,mausi-zia-bhauni,mausi-puva-bhai,pivasi-puva-bhai,bhauni,mamo-puva-bhai,mausi-zia-bhauni,pivasi-puva-bhai,mausi-zia-bhauni,bhauni,pivasi-puva-bhai,mamo-zia-bhauni,kakkoi-zia-bhauni,pivasi-puva-bhai,mausi-puva-bhai,mamo-puva-bhai,puva-bhai,pivasi-puva-bhai,mamo-zia-bhauni,jeṭhāpua,piusi-zia-bhauni,bhai,kakkoi-zia-bhauni,mamo-zia-bhauni,mausi-puva-bhai,mamo-puva-bhai,mamo-puva-bhai,bɔṛɔ bhɔuɳi:,mamo-puva-bhai,mausi-zia-bhauni,kakkoi puva bhai,mamo-zia-bhauni,sa:nɔ bhɔuɳi:,mausi-zia-bhauni,mausi-zia-bhauni,piusi-zia-bhauni,mausi-puva-bhai,mamo-zia-bhauni,sa:nɔ bha:i,pivasi-puva-bhai,mamo-puva-bhai,sa:nɔ bha:i,mamo-zia-bhauni,puva-bhai,mamo-puva-bhai,daddai-zia-bhauni,mausi-puva-bhai,kakkoi-zia-bhauni,piusi-zia-bhauni,mausi,mausi,bappa,piusi,mamo,piusi,mamo,mamo,piusi,khudata,bou,mamo,piusi,bou,bappa,mausi,mausi,khudata,mausi,piusi,mamo,mamo,dadda,piusi,dadda,mausi
5,0.6898177817696134,1.7935994778344095,1.1037816960647961,mausi-puva-bhai,pivasi-puva-bhai,mamo-zia-bhauni,mausi-zia-bhauni,bhai,mausi-zia-bhauni,kakāpua bhāi,mausi-puva-bhai,mausi-puva-bhai,pivasi-puva-bhai,mamo-zia-bhauni,piusi-zia-bhauni,pivasi-puva-bhai,kakkoi-zia-bhauni,mamo-puva-bhai,mausi-puva-bhai,mamo-zia-bhauni,mausi-puva-bhai,mausi-puva-bhai,bɔṛɔ bha:i,mausi-puva-bhai,mausi-zia-bhauni,puva-bhai,piusi-zia-bhauni,mamo-zia-bhauni,sa:nɔ bha:i,mamo-puva-bhai,mamo-puva-bhai,mamo-puva-bhai,piusi-zia-bhauni,mamo-puva-bhai,piusi-zia-bhauni,pivasi-puva-bhai,mausi-zia-bhauni,pivasi-puva-bhai,piusi-zia-bhauni,pivasi-puva-bhai,piusi-zia-bhauni,puva-bhai,daddai-zia-bhauni,mamo-puva-bhai,mausi-puva-bhai,mamo-zia-bhauni,piusi-zia-bhauni,sa:nɔ bhɔuɳi:,mamo-zia-bhauni,pivasi-puva-bhai,mausi-zia-bhauni,pivasi-puva-bhai,bɔṛɔ bhɔuɳi:,puva-bhai,piusi-zia-bhauni,bɔṛɔ bha:i,pivasi-puva-bhai,bhauni,bɔṛɔ bhɔuɳi:,mamo-zia-bhauni,mausi-zia-bhauni,pivasi-puva-bhai,bhai,bhauni,kakkoi-zia-bhauni,mamo-puva-bhai,mamo-zia-bhauni,piusi-zia-bhauni,kakkoi puva bhai,mamo-zia-bhauni,kakāpua bhāi,jeṭhāpua,sa:nɔ bha:i,mamo-zia-bhauni,daddai-zia-bhauni,kakkoi puva bhai,puva-bhai,jeṭhāpua,mausi-zia-bhauni,sa:nɔ bhɔuɳi:,mausi-puva-bhai,mausi-zia-bhauni,mausi-zia-bhauni,piusi-zia-bhauni,mamo-puva-bhai,mamo-puva-bhai,mausi-zia-bhauni,kakkoi-zia-bhauni,mamo-puva-bhai,mamo,mamo,bou,piusi,mausi,mamo,piusi,piusi,dadda,bou,khudata,bappa,mamo,dadda,mausi,mausi,mausi,mamo,piusi,piusi,bappa,mausi,piusi,mamo,mausi,khudata
6,0.5652843720130656,1.8039446116683036,1.238660239655238,mausi-zia-bhauni,mamo-zia-bhauni,sa:nɔ bha:i,mamo-zia-bhauni,pivasi-puva-bhai,mamo-zia-bhauni,mamo-puva-bhai,mausi-zia-bhauni,piusi-zia-bhauni,kakāpua bhāi,pivasi-puva-bhai,mausi-zia-bhauni,piusi-zia-bhauni,mausi-zia-bhauni,sa:nɔ bhɔuɳi:,bɔṛɔ bha:i,mamo-zia-bhauni,sa:nɔ bha:i,pivasi-puva-bhai,mausi-puva-bhai,mamo-zia-bhauni,mausi-puva-bhai,mausi-zia-bhauni,mamo-zia-bhauni,bɔṛɔ bhɔuɳi:,kakāpua bhāi,piusi-zia-bhauni,kakkoi puva bhai,mamo-puva-bhai,pivasi-puva-bhai,mausi-puva-bhai,mamo-puva-bhai,mausi-puva-bhai,puva-bhai,bɔṛɔ bhɔuɳi:,mausi-zia-bhauni,mamo-puva-bhai,mausi-puva-bhai,puva-bhai,mausi-zia-bhauni,piusi-zia-bhauni,puva-bhai,mausi-puva-bhai,mausi-zia-bhauni,mausi-zia-bhauni,kakkoi puva bhai,piusi-zia-bhauni,mamo-zia-bhauni,piusi-zia-bhauni,piusi-zia-bhauni,piusi-zia-bhauni,mamo-puva-bhai,mausi-puva-bhai,kakkoi-zia-bhauni,pivasi-puva-bhai,bhai,kakkoi-zia-bhauni,piusi-zia-bhauni,pivasi-puva-bhai,mamo-puva-bhai,jeṭhāpua,mausi-zia-bhauni,puva-bhai,bhai,bhauni,pivasi-puva-bhai,mamo-puva-bhai,mausi-puva-bhai,mamo-puva-bhai,pivasi-puva-bhai,mamo-zia-bhauni,mamo-puva-bhai,sa:nɔ bhɔuɳi:,mausi-puva-bhai,mamo-puva-bhai,mamo-zia-bhauni,daddai-zia-bhauni,pivasi-puva-bhai,kakkoi-zia-bhauni,daddai-zia-bhauni,piusi-zia-bhauni,pivasi-puva-bhai,mamo-zia-bhauni,bhauni,jeṭhāpua,bɔṛɔ bha:i,mamo,mausi,bappa,bou,mamo,mausi,mamo,piusi,piusi,khudata,piusi,mamo,mamo,dadda,bappa,mausi,mausi,dadda,piusi,mausi,mamo,piusi,bou,khudata,piusi,mausi
7,0.5502117051266993,1.752259210977335,1.2020475058506357,mamo-zia-bhauni,puva-bhai,pivasi-puva-bhai,puva-bhai,mausi-puva-bhai,bhauni,bɔṛɔ bhɔuɳi:,piusi-zia-bhauni,piusi-zia-bhauni,kakkoi puva bhai,mamo-puva-bhai,mamo-zia-bhauni,mamo-puva-bhai,mausi-zia-bhauni,mamo-puva-bhai,mausi-zia-bhauni,mamo-zia-bhauni,jeṭhāpua,bhauni,bɔṛɔ bhɔuɳi:,piusi-zia-bhauni,pivasi-puva-bhai,mausi-puva-bhai,kakkoi-zia-bhauni,mausi-puva-bhai,piusi-zia-bhauni,kakkoi-zia-bhauni,mausi-zia-bhauni,pivasi-puva-bhai,kakāpua bhāi,mamo-zia-bhauni,mamo-puva-bhai,mausi-zia-bhauni,mamo-zia-bhauni,mausi-puva-bhai,mausi-puva-bhai,sa:nɔ bha:i,bhai,piusi-zia-bhauni,daddai-zia-bhauni,mamo-puva-bhai,piusi-zia-bhauni,mamo-puva-bhai,mamo-zia-bhauni,jeṭhāpua,pivasi-puva-bhai,puva-bhai,sa:nɔ bha:i,piusi-zia-bhauni,mamo-puva-bhai,sa:nɔ bhɔuɳi:,piusi-zia-bhauni,pivasi-puva-bhai,kakāpua bhāi,piusi-zia-bhauni,mausi-zia-bhauni,bhai,daddai-zia-bhauni,mamo-puva-bhai,kakkoi puva bhai,bɔṛɔ bha:i,mausi-zia-bhauni,pivasi-puva-bhai,puva-bhai,mausi-puva-bhai,mamo-zia-bhauni,mamo-puva-bhai,mamo-puva-bhai,mausi-zia-bhauni,mausi-zia-bhauni,mausi-puva-bhai,kakkoi-zia-bhauni,mausi-zia-bhauni,mamo-zia-bhauni,pivasi-puva-bhai,pivasi-puva-bhai,mamo-zia-bhauni,pivasi-puva-bhai,mamo-zia-bhauni,mausi-puva-bhai,pivasi-puva-bhai,mausi-zia-bhauni,bɔṛɔ bha:i,piusi-zia-bhauni,sa:nɔ bhɔuɳi:,mausi-puva-bhai,mamo,mausi,piusi,mamo,piusi,piusi,bou,mausi,mausi,bappa,dadda,khudata,piusi,bappa,khudata,piusi,mamo,mamo,bou,mausi,dadda,mamo,mausi,mamo,piusi,mausi
8,0.6052894417137631,1.7664598391791229,1.1611703974653598,mausi-zia-bhauni,mamo-puva-bhai,bhai,mamo-zia-bhauni,mausi-puva-bhai,kakkoi-zia-bhauni,kakāpua bhāi,bhauni,piusi-zia-bhauni,piusi-zia-bhauni,pivasi-puva-bhai,sa:nɔ bha:i,piusi-zia-bhauni,daddai-zia-bhauni,mamo-puva-bhai,mamo-puva-bhai,mausi-zia-bhauni,mausi-zia-bhauni,piusi-zia-bhauni,mamo-zia-bhauni,mamo-zia-bhauni,pivasi-puva-bhai,sa:nɔ bhɔuɳi:,kakkoi-zia-bhauni,mausi-puva-bhai,mamo-puva-bhai,mausi-puva-bhai,mamo-zia-bhauni,puva-bhai,pivasi-puva-bhai,sa:nɔ bha:i,mausi-zia-bhauni,piusi-zia-bhauni,mausi-puva-bhai,pivasi-puva-bhai,mausi-puva-bhai,mamo-puva-bhai,mausi-puva-bhai,puva-bhai,mausi-zia-bhauni,kakāpua bhāi,sa:nɔ bhɔuɳi:,pivasi-puva-bhai,mamo-puva-bhai,mamo-zia-bhauni,mamo-zia-bhauni,mausi-zia-bhauni,mamo-zia-bhauni,pivasi-puva-bhai,bhai,mausi-zia-bhauni,pivasi-puva-bhai,jeṭhāpua,kakkoi puva bhai,kakkoi-zia-bhauni,jeṭhāpua,pivasi-puva-bhai,piusi-zia-bhauni,mamo-zia-bhauni,mamo-zia-bhauni,puva-bhai,mamo-puva-bhai,bɔṛɔ bhɔuɳi:,kakkoi puva bhai,mamo-puva-bhai,pivasi-puva-bhai,bhauni,bɔṛɔ bha:i,mausi-zia-bhauni,piusi-zia-bhauni,mamo-puva-bhai,mausi-puva-bhai,puva-bhai,pivasi-puva-bhai,daddai-zia-bhauni,mausi-puva-bhai,mausi-puva-bhai,mamo-zia-bhauni,piusi-zia-bhauni,bɔṛɔ bha:i,mamo-puva-bhai,bɔṛɔ bhɔuɳi:,mausi-zia-bhauni,piusi-zia-bhauni,mausi-zia-bhauni,piusi-zia-bhauni,dadda,mausi,piusi,piusi,piusi,khudata,khudata,mamo,mamo,mamo,bappa,bou,mamo,piusi,mausi,mamo,piusi,dadda,bou,mausi,mausi,bappa,mamo,mausi,piusi,mausi
9,0.6635591247479893,1.72775674545232,1.0641976207043307,mausi-puva-bhai,pivasi-puva-bhai,mausi-puva-bhai,kakkoi-zia-bhauni,mamo-puva-bhai,mamo-puva-bhai,piusi-zia-bhauni,mamo-zia-bhauni,mausi-zia-bhauni,kakkoi puva bhai,bɔṛɔ bha:i,mausi-puva-bhai,daddai-zia-bhauni,bhauni,mamo-zia-bhauni,piusi-zia-bhauni,pivasi-puva-bhai,pivasi-puva-bhai,mamo-puva-bhai,mausi-puva-bhai,kakkoi puva bhai,mausi-zia-bhauni,piusi-zia-bhauni,mausi-zia-bhauni,mamo-zia-bhauni,piusi-zia-bhauni,sa:nɔ bhɔuɳi:,mausi-zia-bhauni,pivasi-puva-bhai,puva-bhai,mamo-zia-bhauni,jeṭhāpua,bhai,mamo-zia-bhauni,mausi-zia-bhauni,pivasi-puva-bhai,bɔṛɔ bhɔuɳi:,mausi-puva-bhai,puva-bhai,piusi-zia-bhauni,mausi-puva-bhai,mamo-puva-bhai,mausi-zia-bhauni,puva-bhai,mausi-puva-bhai,mamo-zia-bhauni,mamo-zia-bhauni,bɔṛɔ bha:i,bhauni,sa:nɔ bha:i,mausi-puva-bhai,sa:nɔ bhɔuɳi:,kakāpua bhāi,pivasi-puva-bhai,mausi-zia-bhauni,mausi-puva-bhai,mamo-zia-bhauni,mamo-puva-bhai,mamo-puva-bhai,piusi-zia-bhauni,bhai,piusi-zia-bhauni,piusi-zia-bhauni,mamo-zia-bhauni,kakāpua bhāi,kakkoi-zia-bhauni,pivasi-puva-bhai,mausi-zia-bhauni,pivasi-puva-bhai,pivasi-puva-bhai,sa:nɔ bha:i,mamo-puva-bhai,bɔṛɔ bhɔuɳi:,piusi-zia-bhauni,mausi-zia-bhauni,kakkoi-zia-bhauni,mamo-puva-bhai,pivasi-puva-bhai,piusi-zia-bhauni,puva-bhai,mamo-puva-bhai,mamo-puva-bhai,mamo-zia-bhauni,daddai-zia-bhauni,mausi-zia-bhauni,jeṭhāpua,mausi,bappa,mausi,mamo,mausi,bou,piusi,mamo,mamo,dadda,bappa,mausi,piusi,khudata,piusi,piusi,mausi,piusi,dadda,mamo,piusi,khudata,bou,mamo,mamo,mausi
