simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,mFZD,mFeZD,mFyZD,mFZeD,mFZyD,feB,fyB,feZ,fFZD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,mFB,mFZ,mMB,mMZ,mFeZ,mFyZ,mFeB,mFyB,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fMeZ,fMyZ,fMeB,fMyB,fFeZ,fFyZ
0,0.5795529824952437,1.2606188549247757,0.681065872429532,elelekwat,emεn,elelekwat,dzadza,pa'a,elelekwat,elelekwat,emεn,emεn,tamɔ̃,emεn,elelekwat,tamɔ̃,emεn,elelekwat,emεn,emεn,emεn,emεn,dzadza,emεn,elelekwat,elelekwat,elelekwat,elelekwat,e'ú,pautso,mambaút,pipit,mambaút,pipit,pautso,pipit,pautso,pipit,e'ú,e'ú,pautso,e'ú,e'ú,mambaút,pautso,mambaút,pautso,pipit,mambaút,mambaút,pipit,e'ú
1,0.37133780765969293,1.267512898875566,0.896175091215873,elelekwat,pa'a,elelekwat,emεn,tamɔ̃,elelekwat,emεn,dzadza,emεn,tamɔ̃,elelekwat,emεn,elelekwat,dzadza,elelekwat,emεn,elelekwat,emεn,emεn,emεn,elelekwat,emεn,elelekwat,emεn,elelekwat,mambaút,e'ú,mambaút,pautso,e'ú,mambaút,e'ú,pipit,pautso,mambaút,e'ú,mambaút,pipit,pautso,pipit,pipit,e'ú,e'ú,pautso,mambaút,pipit,pautso,pipit,pautso
2,0.13854542525533065,1.2295820676055653,1.0910366423502347,elelekwat,emεn,tamɔ̃,elelekwat,elelekwat,elelekwat,emεn,dzadza,emεn,dzadza,elelekwat,emεn,elelekwat,emεn,elelekwat,elelekwat,emεn,emεn,elelekwat,emεn,pa'a,elelekwat,tamɔ̃,emεn,emεn,pipit,pipit,pautso,pautso,pautso,e'ú,e'ú,pipit,pautso,pautso,mambaút,pautso,mambaút,mambaút,mambaút,e'ú,e'ú,mambaút,pipit,mambaút,e'ú,e'ú,pipit,pipit
3,0.3215422424502805,1.3460233340185128,1.0244810915682323,emεn,emεn,emεn,dzadza,emεn,elelekwat,tamɔ̃,elelekwat,elelekwat,elelekwat,emεn,dzadza,emεn,elelekwat,pa'a,emεn,tamɔ̃,elelekwat,emεn,emεn,elelekwat,emεn,elelekwat,elelekwat,elelekwat,pautso,pipit,pautso,e'ú,pipit,mambaút,e'ú,e'ú,mambaút,mambaút,pautso,e'ú,mambaút,e'ú,pautso,pipit,pipit,pipit,pautso,e'ú,pautso,mambaút,pipit,mambaút
4,0.38717855170962645,1.1418572655728578,0.7546787138632314,emεn,elelekwat,emεn,elelekwat,dzadza,elelekwat,tamɔ̃,elelekwat,emεn,elelekwat,emεn,pa'a,dzadza,emεn,elelekwat,tamɔ̃,elelekwat,emεn,emεn,elelekwat,emεn,elelekwat,emεn,emεn,elelekwat,pautso,e'ú,mambaút,mambaút,pautso,pipit,pipit,e'ú,pautso,pautso,mambaút,pautso,mambaút,e'ú,e'ú,pipit,e'ú,pipit,pipit,pipit,e'ú,mambaút,pautso,mambaút
5,0.1812977714353623,1.204006919010495,1.0227091475751326,emεn,elelekwat,elelekwat,elelekwat,emεn,emεn,dzadza,emεn,emεn,emεn,emεn,tamɔ̃,elelekwat,elelekwat,emεn,elelekwat,elelekwat,elelekwat,emεn,tamɔ̃,dzadza,pa'a,elelekwat,emεn,elelekwat,e'ú,e'ú,pautso,pipit,pautso,mambaút,pautso,pautso,pipit,e'ú,mambaút,pautso,e'ú,mambaút,pipit,e'ú,pautso,pipit,mambaút,e'ú,mambaút,pipit,pipit,mambaút
6,0.2121288991408552,1.0875656525975472,0.875436753456692,emεn,emεn,emεn,elelekwat,emεn,pa'a,dzadza,dzadza,elelekwat,emεn,tamɔ̃,emεn,emεn,elelekwat,elelekwat,elelekwat,elelekwat,elelekwat,elelekwat,tamɔ̃,elelekwat,emεn,elelekwat,emεn,emεn,pautso,mambaút,pautso,mambaút,pipit,e'ú,e'ú,pipit,pautso,pipit,e'ú,pipit,pautso,mambaút,pipit,mambaút,mambaút,pautso,pautso,mambaút,e'ú,e'ú,e'ú,pipit
7,0.47466505449989105,1.152962068167745,0.678297013667854,elelekwat,emεn,dzadza,emεn,dzadza,emεn,elelekwat,tamɔ̃,elelekwat,emεn,elelekwat,elelekwat,elelekwat,elelekwat,emεn,pa'a,elelekwat,emεn,emεn,emεn,elelekwat,elelekwat,emεn,emεn,tamɔ̃,pautso,e'ú,e'ú,pipit,e'ú,pautso,mambaút,pipit,e'ú,e'ú,pipit,pipit,pautso,mambaút,pipit,pautso,pautso,pautso,mambaút,pipit,mambaút,e'ú,mambaút,mambaút
8,0.27622669712228776,1.038649536702367,0.7624228395800792,elelekwat,elelekwat,elelekwat,emεn,elelekwat,emεn,emεn,emεn,elelekwat,emεn,elelekwat,elelekwat,elelekwat,emεn,tamɔ̃,emεn,elelekwat,dzadza,emεn,pa'a,emεn,dzadza,elelekwat,emεn,tamɔ̃,e'ú,mambaút,pipit,mambaút,mambaút,e'ú,e'ú,pautso,e'ú,pautso,pipit,pipit,pautso,mambaút,pautso,e'ú,e'ú,mambaút,pipit,pipit,pipit,mambaút,pautso,pautso
9,0.32675151030966076,1.085245329658577,0.7584938193489161,elelekwat,dzadza,tamɔ̃,elelekwat,emεn,emεn,tamɔ̃,elelekwat,emεn,pa'a,elelekwat,emεn,elelekwat,elelekwat,elelekwat,emεn,emεn,elelekwat,emεn,emεn,emεn,emεn,dzadza,elelekwat,elelekwat,pautso,pautso,mambaút,pautso,e'ú,pipit,e'ú,pipit,e'ú,pautso,pautso,pipit,e'ú,mambaút,mambaút,pipit,e'ú,pipit,e'ú,pipit,mambaút,mambaút,pautso,mambaút
