simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.12647190378284634,1.7147977027025851,1.5883257989197388,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,c̷awne-xna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,ukɨčɨ,c̷awne-xna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,anamɨn,anamɨn,anamɨn-c̷ɨm,anamɨn-c̷ɨm,apɨṣɨ-c̷ɨm,yawʔge-xna,mama,apɨṣɨ-c̷ɨm,anamɨn-c̷ɨm,anamɨn,anamɨn,apgɨṣɨ,apɨṣɨ-c̷ɨm,apgɨṣɨ,apɨṣɨ-c̷ɨm,anamɨn-c̷ɨm,mama,apgɨṣɨ,apgɨṣɨ,apɨṣɨ-c̷ɨm,apɨṣɨ-c̷ɨm,anamɨn-c̷ɨm,apgɨṣɨ,anamɨn,apgɨṣɨ,yawʔge-xna,anamɨn,anamɨn-c̷ɨm
1,0.08334610725405156,1.6763702881866915,1.59302418093264,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,c̷awne-xna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,c̷awne-xna,anamɨn,apɨṣɨ-c̷ɨm,anamɨn,apɨṣɨ-c̷ɨm,apɨṣɨ-c̷ɨm,apɨṣɨ-c̷ɨm,apgɨṣɨ,anamɨn-c̷ɨm,anamɨn-c̷ɨm,anamɨn-c̷ɨm,mama,apgɨṣɨ,yawʔge-xna,anamɨn,anamɨn-c̷ɨm,anamɨn,anamɨn,mama,apgɨṣɨ,apgɨṣɨ,yawʔge-xna,apɨṣɨ-c̷ɨm,apgɨṣɨ,anamɨn,anamɨn-c̷ɨm,apɨṣɨ-c̷ɨm,apgɨṣɨ,anamɨn-c̷ɨm
2,0.07398511996606838,1.6713578432136296,1.5973727232475612,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,c̷awne-xna,ukɨčɨ,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,c̷awne-xna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,anamɨn-c̷ɨm,apɨṣɨ-c̷ɨm,apɨṣɨ-c̷ɨm,anamɨn-c̷ɨm,yawʔge-xna,yawʔge-xna,apgɨṣɨ,mama,anamɨn,apgɨṣɨ,apgɨṣɨ,anamɨn-c̷ɨm,anamɨn,apɨṣɨ-c̷ɨm,apɨṣɨ-c̷ɨm,apgɨṣɨ,anamɨn-c̷ɨm,anamɨn,anamɨn,anamɨn,apgɨṣɨ,mama,anamɨn-c̷ɨm,apɨṣɨ-c̷ɨm,apgɨṣɨ,anamɨn,anamɨn-c̷ɨm,apɨṣɨ-c̷ɨm
3,0.0967149030741632,1.672770066713941,1.5760551636397777,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,c̷awne-xna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,c̷awne-xna,wɨkɨna,wɨkɨna,apgɨṣɨ,apɨṣɨ-c̷ɨm,mama,apɨṣɨ-c̷ɨm,anamɨn,apgɨṣɨ,yawʔge-xna,anamɨn,anamɨn-c̷ɨm,anamɨn-c̷ɨm,apgɨṣɨ,anamɨn,anamɨn,anamɨn-c̷ɨm,apɨṣɨ-c̷ɨm,anamɨn,apɨṣɨ-c̷ɨm,apɨṣɨ-c̷ɨm,apgɨṣɨ,anamɨn-c̷ɨm,apɨṣɨ-c̷ɨm,anamɨn,apgɨṣɨ,anamɨn-c̷ɨm,yawʔge-xna,mama,apgɨṣɨ,anamɨn-c̷ɨm
4,0.08871024869106647,1.6621930814900465,1.57348283279898,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,c̷awne-xna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,c̷awne-xna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,anamɨn,anamɨn,apɨṣɨ-c̷ɨm,apɨṣɨ-c̷ɨm,apgɨṣɨ,apgɨṣɨ,mama,apgɨṣɨ,anamɨn-c̷ɨm,anamɨn,anamɨn-c̷ɨm,apɨṣɨ-c̷ɨm,anamɨn,anamɨn-c̷ɨm,anamɨn-c̷ɨm,yawʔge-xna,anamɨn,apɨṣɨ-c̷ɨm,apgɨṣɨ,anamɨn-c̷ɨm,yawʔge-xna,apɨṣɨ-c̷ɨm,apɨṣɨ-c̷ɨm,apgɨṣɨ,apgɨṣɨ,anamɨn-c̷ɨm,mama,anamɨn
5,0.0812529397726125,1.7048621327785574,1.6236091930059449,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,c̷awne-xna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,c̷awne-xna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,apgɨṣɨ,anamɨn-c̷ɨm,apgɨṣɨ,anamɨn,anamɨn-c̷ɨm,yawʔge-xna,yawʔge-xna,anamɨn,apɨṣɨ-c̷ɨm,anamɨn,apɨṣɨ-c̷ɨm,apɨṣɨ-c̷ɨm,anamɨn,anamɨn-c̷ɨm,mama,anamɨn,anamɨn-c̷ɨm,mama,apgɨṣɨ,apgɨṣɨ,anamɨn,apɨṣɨ-c̷ɨm,anamɨn-c̷ɨm,apgɨṣɨ,apɨṣɨ-c̷ɨm,apgɨṣɨ,apɨṣɨ-c̷ɨm,anamɨn-c̷ɨm
6,0.09724332209163644,1.6944087035278617,1.5971653814362252,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,c̷awne-xna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,c̷awne-xna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,anamɨn,apgɨṣɨ,anamɨn,anamɨn,apgɨṣɨ,anamɨn-c̷ɨm,apɨṣɨ-c̷ɨm,anamɨn,mama,apgɨṣɨ,apgɨṣɨ,anamɨn-c̷ɨm,anamɨn-c̷ɨm,apgɨṣɨ,mama,anamɨn-c̷ɨm,apɨṣɨ-c̷ɨm,yawʔge-xna,apɨṣɨ-c̷ɨm,apɨṣɨ-c̷ɨm,anamɨn,apɨṣɨ-c̷ɨm,anamɨn-c̷ɨm,anamɨn-c̷ɨm,yawʔge-xna,apɨṣɨ-c̷ɨm,anamɨn,apgɨṣɨ
7,0.10969970359009573,1.7100160093769825,1.6003163057868868,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,c̷awne-xna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,c̷awne-xna,wɨkɨna,apɨṣɨ-c̷ɨm,anamɨn,yawʔge-xna,anamɨn-c̷ɨm,apgɨṣɨ,anamɨn,apgɨṣɨ,apɨṣɨ-c̷ɨm,anamɨn,anamɨn-c̷ɨm,apɨṣɨ-c̷ɨm,anamɨn-c̷ɨm,apɨṣɨ-c̷ɨm,mama,anamɨn-c̷ɨm,apɨṣɨ-c̷ɨm,mama,apgɨṣɨ,anamɨn,anamɨn-c̷ɨm,apgɨṣɨ,apɨṣɨ-c̷ɨm,apgɨṣɨ,apgɨṣɨ,anamɨn,yawʔge-xna,anamɨn-c̷ɨm,anamɨn
8,0.09751754389431655,1.6155746372560584,1.5180570933617419,ugɨpa-c̷ɨm,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,c̷awne-xna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,c̷awne-xna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,apgɨṣɨ,apgɨṣɨ,anamɨn-c̷ɨm,apɨṣɨ-c̷ɨm,anamɨn,anamɨn,apɨṣɨ-c̷ɨm,anamɨn,anamɨn-c̷ɨm,anamɨn,apɨṣɨ-c̷ɨm,anamɨn,anamɨn-c̷ɨm,yawʔge-xna,apgɨṣɨ,apgɨṣɨ,anamɨn,anamɨn-c̷ɨm,anamɨn-c̷ɨm,anamɨn-c̷ɨm,apɨṣɨ-c̷ɨm,mama,apɨṣɨ-c̷ɨm,mama,yawʔge-xna,apɨṣɨ-c̷ɨm,apgɨṣɨ,apgɨṣɨ
9,0.09450720826047743,1.6619755056816097,1.5674682974211323,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,c̷awne-xna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,c̷awne-xna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ukɨčɨ,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,wɨkɨna,ugɨpa-c̷ɨm,mama,anamɨn,apgɨṣɨ,apɨṣɨ-c̷ɨm,anamɨn-c̷ɨm,anamɨn-c̷ɨm,apɨṣɨ-c̷ɨm,anamɨn-c̷ɨm,mama,apgɨṣɨ,apgɨṣɨ,yawʔge-xna,anamɨn,anamɨn,anamɨn,anamɨn-c̷ɨm,anamɨn-c̷ɨm,apɨṣɨ-c̷ɨm,anamɨn-c̷ɨm,anamɨn,yawʔge-xna,apgɨṣɨ,apgɨṣɨ,apɨṣɨ-c̷ɨm,apɨṣɨ-c̷ɨm,anamɨn,apgɨṣɨ,apɨṣɨ-c̷ɨm
