simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.4848660531119162,1.376055285260417,0.8911892321485009,poda,adun,adoe,poda,adun,adoe,po lem,ayah,ayah cut,"nya'tuha, nya'teungoh","ayah tuha, ayah teungoh","nya'tuha, nya'teungoh",ayah cut,"ayah tuha, ayah teungoh","nya'tuha, nya'teungoh",nya'cut,ayah cut,bunda,ayah,"ayah tuha, ayah teungoh",bunda,ayah cut,nya'cut,"ayah tuha, ayah teungoh",nya'cut,nya'cut,"nya'tuha, nya'teungoh"
1,0.2868240015233605,1.376055285260417,1.0892312837370566,adoe,adoe,poda,adun,po lem,adun,poda,ayah,"nya'tuha, nya'teungoh",ayah cut,nya'cut,ayah,"nya'tuha, nya'teungoh",nya'cut,bunda,nya'cut,ayah cut,"nya'tuha, nya'teungoh","ayah tuha, ayah teungoh",ayah cut,"nya'tuha, nya'teungoh",bunda,"ayah tuha, ayah teungoh","ayah tuha, ayah teungoh",nya'cut,"ayah tuha, ayah teungoh",ayah cut
2,0.14341200076168015,1.034601232910181,0.8911892321485009,adun,poda,adun,po lem,adoe,poda,adoe,"ayah tuha, ayah teungoh",nya'cut,"ayah tuha, ayah teungoh",bunda,"nya'tuha, nya'teungoh",ayah cut,nya'cut,"nya'tuha, nya'teungoh",ayah cut,nya'cut,"nya'tuha, nya'teungoh",bunda,"ayah tuha, ayah teungoh",nya'cut,ayah cut,"nya'tuha, nya'teungoh",ayah,"ayah tuha, ayah teungoh",ayah cut,ayah
3,0.242433026555958,1.034601232910181,0.792168206354223,adoe,po lem,poda,adoe,adun,poda,adun,"nya'tuha, nya'teungoh",nya'cut,"ayah tuha, ayah teungoh","nya'tuha, nya'teungoh","ayah tuha, ayah teungoh",ayah cut,ayah,nya'cut,"ayah tuha, ayah teungoh",ayah cut,nya'cut,"nya'tuha, nya'teungoh",ayah cut,ayah cut,ayah,"nya'tuha, nya'teungoh","ayah tuha, ayah teungoh",bunda,bunda,nya'cut
4,0.08878194993480482,1.376055285260417,1.2872733353256123,adun,adun,po lem,poda,adoe,adoe,poda,ayah,ayah cut,bunda,nya'cut,ayah cut,"ayah tuha, ayah teungoh","nya'tuha, nya'teungoh",ayah,"nya'tuha, nya'teungoh","ayah tuha, ayah teungoh",nya'cut,"nya'tuha, nya'teungoh",ayah cut,"nya'tuha, nya'teungoh","ayah tuha, ayah teungoh",bunda,nya'cut,nya'cut,"ayah tuha, ayah teungoh",ayah cut
5,0.4848660531119162,1.376055285260417,0.8911892321485009,adun,po lem,adoe,poda,adun,adoe,poda,nya'cut,ayah cut,bunda,ayah,"ayah tuha, ayah teungoh",nya'cut,ayah cut,"ayah tuha, ayah teungoh",nya'cut,ayah cut,nya'cut,bunda,"ayah tuha, ayah teungoh",ayah cut,"nya'tuha, nya'teungoh","nya'tuha, nya'teungoh","nya'tuha, nya'teungoh","ayah tuha, ayah teungoh",ayah,"nya'tuha, nya'teungoh"
6,0.08878194993480448,0.9799711820833054,0.8911892321485009,adoe,adun,po lem,adun,poda,poda,adoe,bunda,"ayah tuha, ayah teungoh","nya'tuha, nya'teungoh","nya'tuha, nya'teungoh","nya'tuha, nya'teungoh",ayah cut,"ayah tuha, ayah teungoh",ayah cut,bunda,nya'cut,ayah cut,nya'cut,ayah cut,nya'cut,ayah,"ayah tuha, ayah teungoh",ayah,"nya'tuha, nya'teungoh",nya'cut,"ayah tuha, ayah teungoh"
7,0.24243302655595822,1.0346012329101812,0.792168206354223,adun,poda,adoe,adun,poda,po lem,adoe,bunda,ayah cut,"ayah tuha, ayah teungoh",bunda,ayah cut,"ayah tuha, ayah teungoh","nya'tuha, nya'teungoh",ayah,ayah cut,"ayah tuha, ayah teungoh","nya'tuha, nya'teungoh","nya'tuha, nya'teungoh","ayah tuha, ayah teungoh",nya'cut,ayah cut,"nya'tuha, nya'teungoh",nya'cut,nya'cut,ayah,nya'cut
8,0.24243302655595822,1.0346012329101812,0.792168206354223,adun,poda,po lem,adun,poda,adoe,adoe,ayah,"nya'tuha, nya'teungoh","ayah tuha, ayah teungoh",ayah,ayah cut,nya'cut,bunda,ayah cut,"nya'tuha, nya'teungoh",nya'cut,bunda,"ayah tuha, ayah teungoh",ayah cut,"ayah tuha, ayah teungoh","nya'tuha, nya'teungoh","ayah tuha, ayah teungoh","nya'tuha, nya'teungoh",nya'cut,ayah cut,nya'cut
9,0.08878194993480448,0.9799711820833054,0.8911892321485009,adun,adoe,po lem,poda,adoe,poda,adun,"nya'tuha, nya'teungoh","ayah tuha, ayah teungoh",nya'cut,nya'cut,ayah cut,"ayah tuha, ayah teungoh","nya'tuha, nya'teungoh","ayah tuha, ayah teungoh",bunda,ayah cut,"nya'tuha, nya'teungoh","ayah tuha, ayah teungoh",ayah cut,ayah,ayah,nya'cut,nya'cut,ayah cut,"nya'tuha, nya'teungoh",bunda
