simulation_number,mutual_information,entropy,conditional_entropy,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mZ,myB,fZ,fyB,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.12196444008539697,1.1774534363219051,1.0554889962365082,miun,miun,miun,miun,miun,miun,kali tumbå,kal,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,ndtem,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,kali ndembî,miun,miun,miun,kal,miun,miun ntumba,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,ndtem,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,kali ndembî,miun,kali tumbå,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,mam,mam,ku',ñiung,ku',mam,ku',mam,mam,song,ku',ku',ku',mam,ku',ku',mam,song,ñiung,ku',ku',mam,mam,ku',mam,mam,mam,ku'
1,0.051445576532758386,1.135632032780046,1.0841864562472876,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,kali ndembî,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,kali tumbå,miun,miun,miun,miun,miun,miun,miun,miun,miun,kal,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun ntumba,miun,miun,miun,miun,ndtem,miun,kal,miun,miun,miun,ndtem,kali ndembî,miun,miun,miun,kali tumbå,miun,miun,miun,miun,miun,miun,miun,miun,miun,mam,mam,ku',mam,ku',ku',ku',mam,ñiung,mam,mam,ku',ku',mam,ku',mam,ku',ku',ñiung,song,song,ku',ku',mam,mam,mam,mam,ku'
2,0.10613330727330106,1.1530422893912418,1.0469089821179407,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,ndtem,miun,miun,ndtem,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,kali ndembî,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,kali tumbå,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,kal,kali tumbå,miun,miun,miun,miun,miun,miun,kal,miun,miun,miun,miun,miun ntumba,kali ndembî,miun,miun,miun,miun,miun,ñiung,ku',ku',mam,song,ñiung,ku',mam,mam,ku',ku',ku',mam,mam,mam,mam,mam,ku',ku',mam,ku',mam,ku',ku',mam,ku',mam,song
3,0.12751818259893044,1.1223959281231797,0.9948777455242492,miun,miun,miun,miun ntumba,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,kali tumbå,miun,miun,miun,miun,kali ndembî,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,ndtem,miun,miun,miun,miun,kal,miun,miun,miun,miun,miun,kal,miun,miun,kali tumbå,miun,miun,kali ndembî,miun,miun,miun,miun,miun,miun,ndtem,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,ku',ku',mam,ku',mam,mam,ñiung,ku',ku',mam,ku',ñiung,ku',mam,ku',mam,mam,song,mam,song,mam,ku',mam,ku',ku',mam,mam,ku'
4,0.12446874641742445,0.9952253098864081,0.8707565634689837,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,ndtem,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,ndtem,miun,miun,miun,kali tumbå,miun,miun,miun,miun,miun,kali tumbå,miun,kali ndembî,miun ntumba,miun,miun,miun,miun,miun,miun,miun,kal,miun,miun,miun,kal,miun,miun,miun,miun,miun,miun,miun,kali ndembî,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,mam,ku',mam,ku',mam,ku',ku',ñiung,mam,mam,mam,ku',mam,song,mam,mam,ku',ku',mam,ku',ku',song,ku',ñiung,ku',ku',mam,mam
5,0.06416969247245108,1.1370181660260905,1.0728484735536394,miun,miun,miun,miun,miun,miun,miun,kali tumbå,miun,miun,miun,ndtem,miun,miun,miun,miun,miun,miun,miun,kali tumbå,miun,miun,miun,kal,miun,miun,miun,miun,miun,miun,miun,miun ntumba,miun,miun,kali ndembî,miun,miun,miun,ndtem,miun,miun,miun,miun,miun,miun,miun,miun,miun,kali ndembî,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,kal,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,ku',ku',ku',ku',mam,song,mam,mam,ku',mam,ku',ku',mam,mam,mam,ku',mam,ñiung,ku',ku',ku',ku',song,mam,mam,mam,mam,ñiung
6,0.10610955927059451,1.1526426085311192,1.0465330492605247,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,kali tumbå,miun,miun,miun,miun,kali ndembî,kal,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,kal,miun,miun,miun,miun,ndtem,kali tumbå,miun,ndtem,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun ntumba,miun,miun,miun,miun,kali ndembî,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,ku',song,mam,mam,ku',ku',ku',ku',mam,ku',mam,ñiung,mam,mam,mam,mam,ñiung,mam,ku',song,ku',ku',mam,ku',mam,mam,ku',ku'
7,0.08770851278084413,1.1338475985572418,1.0461390857763977,miun,miun,ndtem,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,ndtem,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,kali ndembî,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,kali ndembî,miun,miun,miun,kali tumbå,miun,miun,kali tumbå,miun,miun,miun,miun,miun,miun,miun,miun,miun ntumba,miun,miun,miun,miun,miun,miun,miun,miun,miun,kal,miun,miun,miun,miun,miun,miun,miun,kal,miun,miun,ku',mam,ku',ku',ku',song,mam,ku',ku',mam,mam,mam,ñiung,ku',ku',mam,ñiung,ku',ku',mam,mam,ku',mam,ku',song,mam,mam,mam
8,0.059360588187332475,1.1380073220830145,1.078646733895682,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,kali tumbå,miun,miun,kali ndembî,miun,miun,miun,kali tumbå,miun,miun,miun,miun,miun,miun,miun,miun ntumba,miun,miun,miun,ndtem,miun,miun,miun,miun,miun,kal,miun,miun,ndtem,miun,miun,kali ndembî,kal,miun,miun,miun,miun,miun,miun,miun,ku',mam,song,ku',ku',mam,ku',ñiung,ku',mam,ku',mam,mam,mam,mam,mam,mam,ku',mam,ñiung,ku',ku',ku',ku',mam,ku',mam,song
9,0.0830594289642912,1.138600441137061,1.0555410121727697,miun,miun,miun,miun,miun,miun,miun,kali tumbå,miun,miun,miun,kali tumbå,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,ndtem,miun,miun,miun,miun,miun,kal,miun,miun,miun,miun,miun,miun,miun,miun,kali ndembî,miun,miun,miun,miun,miun,miun,miun,kal,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,miun,kali ndembî,miun,miun,miun ntumba,miun,miun,miun,miun,miun,miun,ndtem,miun,miun,miun,miun,miun,ku',ku',mam,ku',ñiung,mam,mam,ku',ku',song,mam,mam,mam,mam,ku',ku',ku',mam,ku',song,mam,ku',ku',mam,mam,mam,ñiung,ku'
