simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.15192224650941477,1.6451310693053722,1.4932088227959575,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl brɛda ~ lɩkl brada,lɩkl sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl brɛda ~ lɩkl brada,kɔzɩn,kɔzɩn,brada  ~ brɛda,lɩkl sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,madā,māda sɩsta,māda sɩsta,māda sɩsta,fāda sɩsta,fāda brɛda,māda brɛda,fāda brɛda,māda brɛda,fāda brɛda,fāda brɛda,māda brɛda,māda sɩsta,fāda sɩsta,fāda brɛda,māda sɩsta,māda brɛda,māda brɛda,māda sɩsta,fāda brɛda,fāda sɩsta,madā,māda brɛda,fāda sɩsta,fadā,fāda sɩsta,fadā,fāda sɩsta
1,0.11442169645150946,1.652171132089238,1.5377494356377286,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl brɛda ~ lɩkl brada,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,lɩkl sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl sɩsta,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl brɛda ~ lɩkl brada,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,brada  ~ brɛda,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,māda brɛda,māda brɛda,māda brɛda,fāda sɩsta,fāda brɛda,māda sɩsta,fāda sɩsta,fāda sɩsta,māda sɩsta,māda sɩsta,fāda brɛda,māda brɛda,fadā,fadā,māda sɩsta,fāda brɛda,fāda sɩsta,māda brɛda,fāda brɛda,māda sɩsta,māda sɩsta,māda brɛda,madā,fāda brɛda,madā,fāda brɛda,fāda sɩsta,fāda sɩsta
2,0.12402122713302277,1.6877278704094971,1.5637066432764744,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl brɛda ~ lɩkl brada,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,lɩkl brɛda ~ lɩkl brada,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,fadā,māda brɛda,fāda sɩsta,fāda brɛda,māda sɩsta,fadā,māda brɛda,fāda sɩsta,māda sɩsta,māda sɩsta,fāda brɛda,māda sɩsta,fāda brɛda,māda brɛda,māda sɩsta,fāda sɩsta,fāda sɩsta,fāda brɛda,fāda sɩsta,fāda brɛda,madā,māda brɛda,māda brɛda,fāda brɛda,māda brɛda,fāda sɩsta,madā,māda sɩsta
3,0.13685486954927928,1.6810584057972484,1.5442035362479691,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,lɩkl brɛda ~ lɩkl brada,sɩsta,kɔzɩn,lɩkl sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,brada  ~ brɛda,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl brɛda ~ lɩkl brada,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,māda brɛda,fāda sɩsta,māda sɩsta,māda sɩsta,fāda sɩsta,fadā,fāda brɛda,māda brɛda,fāda brɛda,māda sɩsta,madā,fāda brɛda,māda sɩsta,māda brɛda,fāda sɩsta,māda brɛda,māda brɛda,māda brɛda,fāda brɛda,fāda sɩsta,fāda brɛda,fāda sɩsta,fāda brɛda,fadā,māda sɩsta,fāda sɩsta,māda sɩsta,madā
4,0.1573635218225451,1.7046421974418915,1.5472786756193464,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl brɛda ~ lɩkl brada,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl sɩsta,kɔzɩn,sɩsta,lɩkl sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,brada  ~ brɛda,kɔzɩn,lɩkl brɛda ~ lɩkl brada,kɔzɩn,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,māda brɛda,māda sɩsta,fāda brɛda,fāda brɛda,fāda brɛda,fadā,māda sɩsta,fāda sɩsta,māda sɩsta,fadā,fāda brɛda,māda sɩsta,madā,māda sɩsta,māda brɛda,māda brɛda,fāda sɩsta,māda sɩsta,madā,fāda brɛda,māda brɛda,māda brɛda,fāda sɩsta,fāda sɩsta,fāda sɩsta,māda brɛda,fāda brɛda,fāda sɩsta
5,0.14832240974127586,1.6827346821155396,1.5344122723742637,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl brɛda ~ lɩkl brada,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,sɩsta,kɔzɩn,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,lɩkl sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl sɩsta,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl brɛda ~ lɩkl brada,fāda brɛda,māda sɩsta,māda sɩsta,fāda sɩsta,fāda sɩsta,fadā,fāda sɩsta,fāda sɩsta,māda brɛda,fāda brɛda,māda sɩsta,madā,fāda brɛda,fāda sɩsta,māda sɩsta,madā,māda brɛda,māda sɩsta,māda sɩsta,māda brɛda,māda brɛda,fāda brɛda,māda brɛda,fāda sɩsta,fāda brɛda,fadā,māda brɛda,fāda brɛda
6,0.12030577986251334,1.730502278437061,1.6101964985745476,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,brada  ~ brɛda,kɔzɩn,sɩsta,sɩsta,kɔzɩn,kɔzɩn,lɩkl brɛda ~ lɩkl brada,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl brɛda ~ lɩkl brada,kɔzɩn,kɔzɩn,brada  ~ brɛda,kɔzɩn,sɩsta,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,fāda brɛda,māda sɩsta,fadā,māda sɩsta,fāda sɩsta,māda sɩsta,fāda brɛda,māda sɩsta,māda sɩsta,māda brɛda,fāda sɩsta,māda brɛda,fāda brɛda,fāda brɛda,fāda sɩsta,fāda brɛda,fāda sɩsta,fadā,māda brɛda,madā,madā,māda brɛda,fāda sɩsta,māda brɛda,māda sɩsta,māda brɛda,fāda sɩsta,fāda brɛda
7,0.14170026692665028,1.7228092549903669,1.5811089880637166,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl brɛda ~ lɩkl brada,lɩkl brɛda ~ lɩkl brada,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,brada  ~ brɛda,lɩkl sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,fadā,fāda brɛda,madā,fadā,fāda sɩsta,māda sɩsta,fāda brɛda,fāda brɛda,māda brɛda,māda sɩsta,fāda sɩsta,fāda sɩsta,māda sɩsta,fāda sɩsta,fāda sɩsta,māda brɛda,māda brɛda,fāda brɛda,māda brɛda,māda brɛda,madā,māda sɩsta,māda sɩsta,fāda brɛda,fāda brɛda,māda sɩsta,māda brɛda,fāda sɩsta
8,0.14891538623843648,1.6959560053482452,1.5470406191098087,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,lɩkl brɛda ~ lɩkl brada,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl brɛda ~ lɩkl brada,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,fadā,fāda brɛda,māda sɩsta,fāda sɩsta,fadā,fāda brɛda,māda sɩsta,māda brɛda,fāda brɛda,māda brɛda,fāda sɩsta,madā,māda brɛda,māda brɛda,fāda brɛda,māda brɛda,fāda brɛda,māda brɛda,māda sɩsta,māda sɩsta,māda sɩsta,māda sɩsta,fāda sɩsta,fāda sɩsta,fāda sɩsta,fāda sɩsta,fāda brɛda,madā
9,0.12823927333611973,1.6807350201358482,1.5524957467997285,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl brɛda ~ lɩkl brada,brada  ~ brɛda,kɔzɩn,lɩkl sɩsta,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,brada  ~ brɛda,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl brɛda ~ lɩkl brada,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,fāda sɩsta,fāda sɩsta,fāda brɛda,fāda brɛda,māda brɛda,fāda brɛda,māda brɛda,māda brɛda,fāda brɛda,fāda brɛda,māda brɛda,māda sɩsta,fāda brɛda,māda brɛda,māda sɩsta,māda brɛda,fadā,fāda sɩsta,fāda sɩsta,māda sɩsta,madā,fāda sɩsta,madā,māda sɩsta,māda sɩsta,māda sɩsta,fāda sɩsta,fadā
