simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFBS,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeBS,fFyBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFBeS,fFByS,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.30185133508072326,1.3195454632493369,1.0176941281686136,nitu,nitu,nitu,nitu,vwavwa,tama,hogosi,vwavwa,vwavwa,nitu,tama,"tihi, hogosi","sibi, bibi","tua, tuaga",vwavwa,nitu,nitu,nitu,tama,tama,nitu,tama,tama,nitu,"tua, tihi",vwavwa,"sibi, bibi",hogosi,vwavwa,"tihi, hogosi",nitu,nitu,nitu,nitu,vwavwa,nitu,nitu,nitu,"sibi, bibi",nitu,"sibi, bibi",vwavwa,tama,"sibi, bibi",tama,nitu,vwavwa,tama,nitu,vwavwa,tama,"tua, tihi",tama,tarabe,tama,tarabe,vwavwa,ratahi,ratahi,vwavwa,ratahi,tama,ratahi,tama,ratahi,tarabe,tama,ratahi,vwavwa,tama,tarabe,vwavwa
1,0.19990562372548948,1.363444090357234,1.1635384666317445,vwavwa,vwavwa,"tihi, hogosi",nitu,"sibi, bibi",hogosi,vwavwa,tama,"tua, tuaga",nitu,tama,"tua, tihi",nitu,"tua, tihi",vwavwa,nitu,"sibi, bibi",nitu,nitu,nitu,tama,nitu,nitu,tama,tama,nitu,vwavwa,tama,nitu,nitu,nitu,hogosi,"sibi, bibi","tihi, hogosi",tama,nitu,tama,nitu,"sibi, bibi",nitu,nitu,vwavwa,nitu,nitu,vwavwa,vwavwa,nitu,tama,tama,vwavwa,vwavwa,"sibi, bibi",tama,vwavwa,tarabe,ratahi,ratahi,tama,tarabe,tarabe,tama,ratahi,tarabe,vwavwa,tama,vwavwa,ratahi,vwavwa,ratahi,tama,ratahi,tama
2,0.26778685672199565,1.367805709824793,1.1000188531027975,"sibi, bibi",nitu,vwavwa,nitu,tama,tama,nitu,hogosi,vwavwa,"tua, tihi",vwavwa,nitu,nitu,vwavwa,nitu,tama,nitu,tama,nitu,nitu,tama,vwavwa,"tihi, hogosi",vwavwa,vwavwa,tama,nitu,hogosi,nitu,"tua, tuaga",nitu,nitu,nitu,nitu,vwavwa,tama,nitu,tama,vwavwa,"tihi, hogosi",tama,"tua, tihi",nitu,nitu,nitu,nitu,"sibi, bibi","sibi, bibi","sibi, bibi",vwavwa,"sibi, bibi",tama,ratahi,tama,vwavwa,tarabe,vwavwa,tama,vwavwa,ratahi,tama,vwavwa,tarabe,ratahi,tama,tama,ratahi,ratahi,tama,tarabe,ratahi,tarabe
3,0.3096395407196748,1.369360801453809,1.0597212607341342,tama,tama,nitu,nitu,nitu,vwavwa,"sibi, bibi",nitu,nitu,vwavwa,hogosi,nitu,tama,tama,tama,nitu,nitu,vwavwa,nitu,nitu,tama,tama,"tihi, hogosi","sibi, bibi",vwavwa,nitu,nitu,vwavwa,"sibi, bibi",tama,"tua, tihi","sibi, bibi",nitu,vwavwa,nitu,vwavwa,"tihi, hogosi",tama,nitu,"sibi, bibi",vwavwa,tama,nitu,vwavwa,hogosi,nitu,nitu,vwavwa,nitu,"tua, tihi",nitu,"tua, tuaga",ratahi,vwavwa,tama,tarabe,tama,tama,tarabe,vwavwa,ratahi,tarabe,ratahi,vwavwa,ratahi,tama,ratahi,tama,vwavwa,ratahi,tarabe,tama
4,0.17955789844577041,1.3223289850325168,1.1427710865867464,nitu,vwavwa,nitu,nitu,tama,hogosi,nitu,nitu,vwavwa,nitu,tama,nitu,vwavwa,"sibi, bibi",nitu,nitu,tama,nitu,vwavwa,vwavwa,nitu,"tua, tihi","sibi, bibi",vwavwa,nitu,"sibi, bibi",vwavwa,nitu,nitu,nitu,tama,"tua, tuaga",tama,tama,nitu,nitu,nitu,vwavwa,"tua, tihi",vwavwa,"sibi, bibi","sibi, bibi","tihi, hogosi",tama,vwavwa,nitu,"tihi, hogosi",hogosi,tama,nitu,tama,tama,vwavwa,tama,tarabe,ratahi,tama,tama,vwavwa,ratahi,vwavwa,ratahi,ratahi,vwavwa,tarabe,tarabe,ratahi,tama,tama,ratahi,tama,tarabe
5,0.27896207849302745,1.2735586526749767,0.9945965741819492,nitu,vwavwa,nitu,"tua, tihi",nitu,tama,vwavwa,nitu,"sibi, bibi",vwavwa,nitu,vwavwa,"sibi, bibi",nitu,tama,"sibi, bibi",nitu,vwavwa,vwavwa,nitu,nitu,"tihi, hogosi",nitu,tama,hogosi,"tihi, hogosi",nitu,vwavwa,tama,tama,tama,nitu,tama,tama,nitu,"tua, tihi","sibi, bibi","tua, tuaga",vwavwa,vwavwa,vwavwa,nitu,nitu,"sibi, bibi",hogosi,tama,nitu,nitu,nitu,nitu,nitu,tama,tama,vwavwa,vwavwa,tama,ratahi,tama,tama,ratahi,tama,ratahi,tarabe,ratahi,tama,ratahi,ratahi,vwavwa,vwavwa,tarabe,tarabe,tarabe
6,0.3649027480656908,1.346659467717679,0.9817567196519883,tama,"sibi, bibi",vwavwa,"sibi, bibi",tama,nitu,tama,nitu,nitu,nitu,tama,nitu,vwavwa,nitu,vwavwa,nitu,tama,nitu,hogosi,nitu,vwavwa,vwavwa,"tihi, hogosi","tua, tuaga",nitu,nitu,"tua, tihi",tama,nitu,tama,vwavwa,"tua, tihi","sibi, bibi",hogosi,tama,tama,vwavwa,"sibi, bibi",nitu,"sibi, bibi",vwavwa,nitu,vwavwa,nitu,nitu,vwavwa,"tihi, hogosi",nitu,nitu,nitu,tama,nitu,vwavwa,ratahi,tama,tama,tarabe,ratahi,vwavwa,tarabe,tarabe,vwavwa,ratahi,ratahi,tama,tama,ratahi,tama,ratahi,vwavwa,tarabe,tama
7,0.21386658647274337,1.354653309514755,1.1407867230420117,"sibi, bibi",tama,"tua, tuaga",nitu,vwavwa,tama,nitu,tama,"tihi, hogosi",vwavwa,vwavwa,nitu,nitu,tama,nitu,vwavwa,vwavwa,"tua, tihi",nitu,tama,nitu,tama,vwavwa,nitu,nitu,"tua, tihi",tama,"sibi, bibi",tama,nitu,"sibi, bibi",nitu,nitu,nitu,nitu,vwavwa,tama,nitu,hogosi,vwavwa,vwavwa,"sibi, bibi",nitu,"sibi, bibi",nitu,nitu,nitu,"tihi, hogosi",hogosi,nitu,tama,vwavwa,ratahi,vwavwa,tama,tama,ratahi,ratahi,tama,ratahi,ratahi,tarabe,tama,vwavwa,tarabe,vwavwa,vwavwa,tama,tarabe,tarabe,tama,ratahi
8,0.34319245481524074,1.36057002061133,1.0173775657960893,hogosi,nitu,"sibi, bibi",nitu,nitu,vwavwa,tama,tama,"sibi, bibi",nitu,vwavwa,nitu,"tua, tihi",vwavwa,"tua, tuaga",tama,nitu,nitu,"sibi, bibi",tama,nitu,tama,nitu,vwavwa,tama,nitu,tama,vwavwa,hogosi,vwavwa,vwavwa,"tihi, hogosi",tama,nitu,vwavwa,nitu,nitu,nitu,"tihi, hogosi","sibi, bibi",nitu,vwavwa,nitu,tama,nitu,tama,"sibi, bibi",nitu,vwavwa,"tua, tihi",nitu,nitu,tama,tarabe,ratahi,ratahi,ratahi,tarabe,tama,ratahi,ratahi,vwavwa,tama,tama,vwavwa,vwavwa,tarabe,tarabe,tama,vwavwa,ratahi,tama
9,0.2809965975746824,1.3609399069340558,1.0799433093593733,nitu,nitu,nitu,tama,"tua, tuaga",vwavwa,tama,vwavwa,vwavwa,nitu,tama,vwavwa,vwavwa,"sibi, bibi",vwavwa,tama,vwavwa,nitu,tama,nitu,tama,tama,nitu,nitu,nitu,nitu,"tihi, hogosi",nitu,nitu,tama,nitu,hogosi,"sibi, bibi",tama,"tua, tihi","tua, tihi",nitu,vwavwa,hogosi,nitu,vwavwa,tama,"sibi, bibi","tihi, hogosi",nitu,nitu,"sibi, bibi",nitu,"sibi, bibi",nitu,nitu,vwavwa,tama,tarabe,vwavwa,ratahi,ratahi,vwavwa,tama,tarabe,ratahi,tarabe,ratahi,vwavwa,ratahi,tama,tama,tama,vwavwa,ratahi,tama,tarabe
