simulation_number,mutual_information,entropy,conditional_entropy,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.03077367806403064,1.6371211216482173,1.6063474435841867,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,inkyin,-kyatim,-yaha,-kyatim,-yapka,-yapka,moinkyin,-yaha,-yapam,-kyatim,moinkyin,-yapam,moinkyin,-yapka,-kyatim,-kyatim,-kyatim,-yaha,-yapka,-yapka,-yaha,-yaha,moinkyin,-yapka,-yaha,moinkyin,moinkyin,inkyin
1,0.014388402377998322,1.6984526178787982,1.6840642155007999,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-kyatim,moinkyin,-yapam,-kyatim,moinkyin,moinkyin,-yaha,-yapam,-yapka,-yaha,moinkyin,-yapka,inkyin,-yapka,-yaha,moinkyin,-yaha,-kyatim,-yapka,-kyatim,-kyatim,-kyatim,-yaha,-yapka,-yapka,-yaha,inkyin,moinkyin
2,0.016236126091491387,1.6586310939002307,1.6423949678087393,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaha,inkyin,-yaha,moinkyin,-yapka,moinkyin,-kyatim,-kyatim,-kyatim,-yapka,-yaha,-yaha,-yaha,moinkyin,-kyatim,-yapka,inkyin,-yapka,-yapka,moinkyin,moinkyin,-kyatim,-kyatim,-yapam,moinkyin,-yapam,-yaha,-yapka
3,0.013579596389153847,1.594636455982723,1.5810568595935692,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yapka,-kyatim,moinkyin,-yapka,-yapka,-yapka,-kyatim,-yaha,-yaha,moinkyin,moinkyin,-yapka,inkyin,inkyin,moinkyin,-yapam,-yaha,-yaha,-yaha,-yaha,-kyatim,-yapam,moinkyin,-kyatim,-kyatim,moinkyin,-kyatim,-yapka
4,0.016236126091491165,1.7111863875219804,1.6949502614304892,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,moinkyin,-yaha,-yaha,-kyatim,-yapka,-yaha,-kyatim,-yapka,-yapka,moinkyin,moinkyin,moinkyin,-kyatim,-yapka,-yaha,-kyatim,inkyin,-yapam,moinkyin,-kyatim,-yapka,inkyin,-yaha,-yaha,-yapka,-kyatim,-yapam,moinkyin
5,0.015269216044227818,1.6314871387582839,1.616217922714056,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yapka,inkyin,moinkyin,-yapka,-yapka,-yaha,moinkyin,moinkyin,-kyatim,-kyatim,-yapka,-yaha,moinkyin,-yaha,-kyatim,-yapka,-kyatim,moinkyin,-kyatim,moinkyin,-yapka,-yaha,inkyin,-yaha,-yapam,-kyatim,-yapam,-yaha
6,0.019878144896479766,1.662027224795333,1.6421490798988532,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,moinkyin,moinkyin,-kyatim,inkyin,-yapka,inkyin,moinkyin,moinkyin,-yaha,-yapka,-yaha,-yapka,-yaha,-kyatim,moinkyin,-kyatim,-kyatim,-yapka,-kyatim,-kyatim,-yaha,-yapam,moinkyin,-yapam,-yapka,-yapka,-yaha,-yaha
7,0.013975741671324204,1.7210518335288216,1.7070760918574974,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,moinkyin,-yaha,-kyatim,-kyatim,-yapam,moinkyin,-kyatim,-yaha,-yaha,-yapka,inkyin,-yaha,-yapka,-yapka,-yapka,moinkyin,-yapka,moinkyin,inkyin,moinkyin,-yapam,-kyatim,-yapka,-yaha,-kyatim,moinkyin,-kyatim,-yaha
8,0.018509772899551802,1.7193622138737479,1.700852440974196,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaha,moinkyin,-kyatim,-yapka,-yapka,moinkyin,-yaha,-yapam,-kyatim,moinkyin,-kyatim,-yapka,-yaha,-kyatim,-yapka,-yaha,-yapam,inkyin,-yapka,moinkyin,-yaha,moinkyin,moinkyin,-kyatim,-kyatim,inkyin,-yapka,-yaha
9,0.015269216044227596,1.6707897767735984,1.6555205607293708,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,-yaɬiŋ,moinkyin,inkyin,-yapka,moinkyin,-yapka,-kyatim,-yaha,-yapka,-yaha,-kyatim,-yapka,-yapam,inkyin,moinkyin,moinkyin,-yapka,-yaha,-yapam,-kyatim,moinkyin,-kyatim,-kyatim,-yaha,-yaha,-kyatim,-yaha,-yapka,moinkyin
