simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,fF,fM,fFB,fFZ,fMB,fMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.2614573653404211,2.0765944016674918,1.8151370363270707,yakó,ñaʔtsú,maté,ñaʔtsú,maté,puamó,maté,-ɲasuk,puamó,ñaʔtsú,puamó,yakó,maté,puamó,puamó,maté,-ɲasuk,ñaʔtsú,ñaʔtsú,yakó,yakó,ñaʔtsú,puamó,ñaʔtsú,ñaʔtsú,yakó,yakó,yakó,ñaʔtsú,maté,ñaʔtsú,-ɲasuk,maté,-ɲasuk,ñaʔtsú,puamó,maté,yakó,ñaʔtsú,ñaʔtsú,-ɲasuk,yakó,-ɲasuk,puamó,puamó,puamó,maté,ñaʔtsú,puamó,ñaʔtsú,maté,puamó,maté,yakó,-ɲasuk,maté,puamó,ñaʔtsú,ñaʔtsú,maté,puamó,-ɲasuk,maté,maté,yakó,-ɲasuk,ñaʔtsú,-ɲasuk,puamó,ñaʔtsú,yakó,puamó,yakó,maté,maté,maté,ñaʔtsú,yakó,ñaʔtsú,yakó,puamó,puamó,puamó,ñaʔtsú,ñaʔtsú,ñaʔtsú,puamó,maté,ñaʔtsú,maté,-anə yako,yawóng,sanéʔ,yím,yím,-y-awo-n,sanéʔ,wañéne,yím,yawóng,-y-awo-n,-anə yako,yɨm yako,yawóng,yawóng,-anə,yɨm yako,yím,-waʔɲaiʔɲe,wañéne,-waʔɲaiʔɲe,sanéʔ,wañéne,yím,sanéʔ,yím,wañéne,-anə
1,0.21140605303352866,2.1428890318017433,1.9314829787682146,yakó,ñaʔtsú,maté,puamó,ñaʔtsú,-ɲasuk,yakó,ñaʔtsú,puamó,puamó,maté,puamó,maté,ñaʔtsú,yakó,ñaʔtsú,maté,-ɲasuk,puamó,puamó,yakó,yakó,yakó,-ɲasuk,ñaʔtsú,puamó,maté,puamó,ñaʔtsú,maté,yakó,ñaʔtsú,maté,yakó,puamó,ñaʔtsú,-ɲasuk,ñaʔtsú,puamó,ñaʔtsú,puamó,maté,puamó,yakó,-ɲasuk,puamó,puamó,maté,-ɲasuk,maté,maté,maté,maté,ñaʔtsú,puamó,maté,maté,ñaʔtsú,ñaʔtsú,-ɲasuk,puamó,maté,yakó,-ɲasuk,yakó,ñaʔtsú,ñaʔtsú,-ɲasuk,puamó,yakó,ñaʔtsú,ñaʔtsú,ñaʔtsú,puamó,maté,yakó,maté,maté,puamó,ñaʔtsú,-ɲasuk,maté,ñaʔtsú,yakó,puamó,ñaʔtsú,yakó,ñaʔtsú,ñaʔtsú,ñaʔtsú,yawóng,yawóng,-waʔɲaiʔɲe,-anə,yɨm yako,yím,yím,sanéʔ,-anə yako,-y-awo-n,wañéne,-y-awo-n,sanéʔ,-anə yako,wañéne,yím,-waʔɲaiʔɲe,sanéʔ,yɨm yako,wañéne,yawóng,wañéne,sanéʔ,-anə,yím,yawóng,yím,yím
2,0.21955788579747937,2.036279306027971,1.8167214202304915,-ɲasuk,puamó,maté,ñaʔtsú,maté,maté,puamó,ñaʔtsú,ñaʔtsú,-ɲasuk,ñaʔtsú,puamó,yakó,maté,yakó,ñaʔtsú,ñaʔtsú,maté,maté,-ɲasuk,yakó,puamó,maté,yakó,-ɲasuk,ñaʔtsú,puamó,ñaʔtsú,ñaʔtsú,yakó,maté,maté,puamó,maté,ñaʔtsú,yakó,maté,ñaʔtsú,puamó,yakó,-ɲasuk,yakó,maté,puamó,ñaʔtsú,-ɲasuk,maté,puamó,-ɲasuk,ñaʔtsú,ñaʔtsú,puamó,ñaʔtsú,ñaʔtsú,ñaʔtsú,maté,yakó,ñaʔtsú,yakó,-ɲasuk,maté,yakó,ñaʔtsú,maté,ñaʔtsú,ñaʔtsú,puamó,yakó,puamó,yakó,yakó,maté,maté,maté,yakó,ñaʔtsú,-ɲasuk,ñaʔtsú,puamó,puamó,puamó,puamó,ñaʔtsú,puamó,maté,puamó,ñaʔtsú,puamó,puamó,-ɲasuk,yɨm yako,sanéʔ,yím,yím,yím,sanéʔ,-y-awo-n,yím,-y-awo-n,yawóng,sanéʔ,sanéʔ,yawóng,yawóng,-waʔɲaiʔɲe,-anə yako,wañéne,yɨm yako,yím,-anə,yím,yawóng,-anə yako,-anə,wañéne,-waʔɲaiʔɲe,wañéne,wañéne
3,0.24246899202799255,2.1010222843346193,1.8585532923066268,maté,-ɲasuk,puamó,yakó,-ɲasuk,maté,-ɲasuk,yakó,maté,ñaʔtsú,-ɲasuk,-ɲasuk,puamó,puamó,yakó,puamó,yakó,yakó,puamó,yakó,ñaʔtsú,ñaʔtsú,ñaʔtsú,ñaʔtsú,puamó,yakó,maté,ñaʔtsú,ñaʔtsú,maté,ñaʔtsú,-ɲasuk,maté,ñaʔtsú,ñaʔtsú,puamó,puamó,puamó,-ɲasuk,-ɲasuk,ñaʔtsú,puamó,puamó,ñaʔtsú,puamó,ñaʔtsú,ñaʔtsú,puamó,ñaʔtsú,maté,maté,maté,puamó,ñaʔtsú,yakó,yakó,puamó,ñaʔtsú,ñaʔtsú,-ɲasuk,yakó,ñaʔtsú,-ɲasuk,maté,puamó,yakó,maté,maté,maté,yakó,yakó,ñaʔtsú,puamó,ñaʔtsú,maté,maté,yakó,puamó,ñaʔtsú,puamó,yakó,maté,puamó,maté,ñaʔtsú,maté,maté,ñaʔtsú,maté,ñaʔtsú,sanéʔ,wañéne,yím,-y-awo-n,yím,-anə,yím,yawóng,yɨm yako,wañéne,-y-awo-n,yɨm yako,yím,wañéne,-waʔɲaiʔɲe,yawóng,yím,-anə,sanéʔ,wañéne,sanéʔ,yawóng,sanéʔ,-waʔɲaiʔɲe,yawóng,-anə yako,yím,-anə yako
4,0.26343882661127993,2.0656967917153284,1.8022579651040485,ñaʔtsú,ñaʔtsú,puamó,maté,puamó,-ɲasuk,puamó,puamó,maté,maté,yakó,ñaʔtsú,maté,ñaʔtsú,yakó,-ɲasuk,puamó,yakó,maté,puamó,maté,maté,ñaʔtsú,ñaʔtsú,-ɲasuk,maté,ñaʔtsú,yakó,puamó,ñaʔtsú,puamó,ñaʔtsú,maté,maté,puamó,puamó,maté,maté,puamó,puamó,maté,ñaʔtsú,ñaʔtsú,puamó,yakó,maté,ñaʔtsú,-ɲasuk,ñaʔtsú,ñaʔtsú,yakó,yakó,-ɲasuk,yakó,yakó,ñaʔtsú,ñaʔtsú,maté,yakó,ñaʔtsú,-ɲasuk,maté,ñaʔtsú,ñaʔtsú,ñaʔtsú,yakó,-ɲasuk,ñaʔtsú,maté,-ɲasuk,-ɲasuk,puamó,-ɲasuk,yakó,ñaʔtsú,ñaʔtsú,puamó,maté,yakó,puamó,maté,puamó,puamó,yakó,ñaʔtsú,ñaʔtsú,puamó,puamó,yakó,maté,wañéne,wañéne,yím,sanéʔ,-y-awo-n,-waʔɲaiʔɲe,-y-awo-n,yím,yawóng,sanéʔ,yím,yím,yɨm yako,-anə yako,yawóng,-anə yako,sanéʔ,-waʔɲaiʔɲe,yawóng,yɨm yako,wañéne,yím,-anə,sanéʔ,wañéne,-anə,yím,yawóng
5,0.1934342590056457,2.070137698036784,1.8767034390311381,yakó,ñaʔtsú,ñaʔtsú,maté,puamó,ñaʔtsú,puamó,-ɲasuk,ñaʔtsú,maté,-ɲasuk,ñaʔtsú,maté,puamó,-ɲasuk,maté,puamó,maté,yakó,yakó,ñaʔtsú,ñaʔtsú,maté,ñaʔtsú,maté,puamó,-ɲasuk,ñaʔtsú,maté,ñaʔtsú,ñaʔtsú,puamó,ñaʔtsú,puamó,maté,yakó,ñaʔtsú,puamó,maté,puamó,maté,ñaʔtsú,yakó,ñaʔtsú,maté,maté,yakó,puamó,yakó,ñaʔtsú,yakó,puamó,-ɲasuk,maté,ñaʔtsú,-ɲasuk,yakó,puamó,ñaʔtsú,yakó,puamó,puamó,yakó,ñaʔtsú,-ɲasuk,puamó,ñaʔtsú,puamó,yakó,maté,yakó,ñaʔtsú,puamó,maté,ñaʔtsú,maté,maté,-ɲasuk,puamó,yakó,maté,ñaʔtsú,-ɲasuk,-ɲasuk,yakó,ñaʔtsú,puamó,puamó,maté,ñaʔtsú,wañéne,-waʔɲaiʔɲe,wañéne,-y-awo-n,-anə,yím,yím,yawóng,yawóng,sanéʔ,wañéne,wañéne,yɨm yako,-anə yako,-anə,yím,-anə yako,yím,yím,yím,-y-awo-n,-waʔɲaiʔɲe,sanéʔ,yawóng,sanéʔ,sanéʔ,yɨm yako,yawóng
6,0.1667293895692128,2.1206404754196684,1.9539110858504556,ñaʔtsú,maté,maté,puamó,puamó,maté,puamó,puamó,maté,maté,yakó,ñaʔtsú,puamó,yakó,ñaʔtsú,maté,-ɲasuk,maté,puamó,ñaʔtsú,puamó,maté,ñaʔtsú,ñaʔtsú,puamó,maté,-ɲasuk,maté,yakó,-ɲasuk,ñaʔtsú,puamó,puamó,yakó,puamó,puamó,puamó,maté,puamó,ñaʔtsú,yakó,ñaʔtsú,ñaʔtsú,puamó,-ɲasuk,ñaʔtsú,ñaʔtsú,ñaʔtsú,yakó,maté,yakó,ñaʔtsú,-ɲasuk,maté,ñaʔtsú,-ɲasuk,puamó,maté,yakó,maté,maté,yakó,ñaʔtsú,ñaʔtsú,-ɲasuk,yakó,ñaʔtsú,-ɲasuk,puamó,maté,-ɲasuk,ñaʔtsú,ñaʔtsú,maté,yakó,puamó,ñaʔtsú,yakó,maté,yakó,ñaʔtsú,yakó,puamó,puamó,yakó,ñaʔtsú,ñaʔtsú,-ɲasuk,ñaʔtsú,maté,wañéne,wañéne,yawóng,-anə,sanéʔ,-y-awo-n,yawóng,yím,-anə,yɨm yako,-y-awo-n,yawóng,yím,-waʔɲaiʔɲe,-anə yako,sanéʔ,yím,-waʔɲaiʔɲe,wañéne,yím,yawóng,sanéʔ,yɨm yako,-anə yako,wañéne,yím,sanéʔ,yím
7,0.22645241606377065,2.1044059899282077,1.877953573864437,puamó,yakó,puamó,maté,maté,-ɲasuk,yakó,puamó,yakó,ñaʔtsú,ñaʔtsú,maté,-ɲasuk,maté,yakó,yakó,ñaʔtsú,yakó,-ɲasuk,puamó,puamó,-ɲasuk,maté,maté,ñaʔtsú,ñaʔtsú,yakó,puamó,maté,ñaʔtsú,ñaʔtsú,yakó,maté,-ɲasuk,puamó,puamó,puamó,maté,puamó,ñaʔtsú,puamó,maté,yakó,ñaʔtsú,maté,yakó,ñaʔtsú,puamó,ñaʔtsú,-ɲasuk,ñaʔtsú,puamó,puamó,ñaʔtsú,ñaʔtsú,-ɲasuk,ñaʔtsú,puamó,puamó,yakó,maté,maté,yakó,puamó,maté,ñaʔtsú,maté,-ɲasuk,maté,-ɲasuk,ñaʔtsú,maté,ñaʔtsú,puamó,ñaʔtsú,ñaʔtsú,ñaʔtsú,yakó,ñaʔtsú,maté,puamó,maté,-ɲasuk,yakó,ñaʔtsú,ñaʔtsú,ñaʔtsú,yakó,puamó,maté,yɨm yako,-anə yako,yím,-y-awo-n,sanéʔ,-anə yako,-anə,sanéʔ,yím,sanéʔ,yawóng,yawóng,-waʔɲaiʔɲe,yɨm yako,wañéne,-y-awo-n,wañéne,-anə,-waʔɲaiʔɲe,yím,yím,sanéʔ,yawóng,yawóng,yím,wañéne,wañéne,yím
8,0.29439617044097566,2.063764934207095,1.7693687637661195,yakó,-ɲasuk,-ɲasuk,puamó,-ɲasuk,ñaʔtsú,-ɲasuk,yakó,ñaʔtsú,maté,ñaʔtsú,puamó,maté,ñaʔtsú,maté,puamó,puamó,yakó,maté,-ɲasuk,maté,ñaʔtsú,ñaʔtsú,ñaʔtsú,ñaʔtsú,ñaʔtsú,-ɲasuk,ñaʔtsú,maté,puamó,ñaʔtsú,-ɲasuk,maté,yakó,yakó,yakó,yakó,maté,maté,maté,puamó,puamó,ñaʔtsú,yakó,maté,-ɲasuk,puamó,yakó,ñaʔtsú,maté,ñaʔtsú,ñaʔtsú,yakó,ñaʔtsú,yakó,ñaʔtsú,maté,puamó,maté,yakó,-ɲasuk,ñaʔtsú,ñaʔtsú,ñaʔtsú,puamó,ñaʔtsú,puamó,maté,maté,ñaʔtsú,-ɲasuk,yakó,yakó,maté,ñaʔtsú,puamó,puamó,yakó,puamó,maté,puamó,maté,puamó,maté,ñaʔtsú,puamó,ñaʔtsú,puamó,puamó,puamó,yím,yawóng,-anə yako,yawóng,yawóng,yím,yím,yím,sanéʔ,sanéʔ,-waʔɲaiʔɲe,wañéne,-anə,wañéne,-waʔɲaiʔɲe,yɨm yako,sanéʔ,wañéne,-y-awo-n,-anə,sanéʔ,yím,wañéne,-y-awo-n,yím,yawóng,yɨm yako,-anə yako
9,0.23454999692154765,2.114176469102998,1.8796264721814502,ñaʔtsú,-ɲasuk,-ɲasuk,maté,yakó,-ɲasuk,ñaʔtsú,maté,maté,puamó,ñaʔtsú,maté,maté,maté,puamó,puamó,ñaʔtsú,puamó,puamó,ñaʔtsú,yakó,yakó,-ɲasuk,yakó,ñaʔtsú,-ɲasuk,puamó,ñaʔtsú,ñaʔtsú,puamó,maté,ñaʔtsú,maté,-ɲasuk,puamó,yakó,yakó,ñaʔtsú,puamó,puamó,ñaʔtsú,-ɲasuk,-ɲasuk,yakó,-ɲasuk,maté,ñaʔtsú,yakó,yakó,puamó,ñaʔtsú,maté,puamó,maté,maté,yakó,puamó,maté,-ɲasuk,ñaʔtsú,ñaʔtsú,puamó,ñaʔtsú,maté,ñaʔtsú,puamó,ñaʔtsú,ñaʔtsú,maté,maté,yakó,maté,ñaʔtsú,yakó,maté,puamó,ñaʔtsú,puamó,maté,yakó,yakó,ñaʔtsú,puamó,ñaʔtsú,puamó,puamó,ñaʔtsú,ñaʔtsú,maté,yakó,yím,sanéʔ,yím,-y-awo-n,-waʔɲaiʔɲe,sanéʔ,-anə,-anə yako,yawóng,yɨm yako,yím,-anə,yím,yawóng,wañéne,sanéʔ,yawóng,yawóng,yím,wañéne,-waʔɲaiʔɲe,yím,-anə yako,-y-awo-n,sanéʔ,wañéne,wañéne,yɨm yako
