simulation_number,mutual_information,entropy,conditional_entropy,meZ,mFZD,mMBD,mFZS,mMBS,fB,feZ,fFZD,fMBD,fFZS,fMBS,meB,myB,myZ,feB,fyB,fyZ,mFBD,mMZD,mFBS,mMZS,fFBD,fMZD,fFBS,fMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mM,mFZ,fM,fFZ,mF,mMB,fF,fMB,mFB,mMZ,fFB,fMZ,mFeB,mFyB,mMeZ,mMyZ,fFeB,fFyB,fMeZ,fMyZ,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ,fMeB,fMyB
0,0.13884622346860964,1.9559326303823086,1.817086406913699,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,egal,mociny,mociny,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,oṇ,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,wïṛfed,mociny,mociny,mociny,okn,mociny,mociny,mociny,mociny,wïṛfed,mociny,oṇ,mociny,mociny,mociny,mociny,mociny,okn,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,in,kïṟwïḍin,mimy,mimy,mimy,af,mimy,in,mun,perwïḍin,mun,perwïḍaf,mun,mun,mun,kïṟwïḍaf,af,kïṟwïḍin,perwïḍin,perwïḍaf,af,mimy,af,in,in,mimy,kïṟwïḍaf,mun
1,0.1403015171069646,1.9311711735813077,1.7908696564743432,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,wïṛfed,mociny,mociny,egal,mociny,mociny,mociny,mociny,mociny,mociny,okn,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,okn,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,oṇ,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,oṇ,mociny,mociny,mociny,mociny,mociny,mociny,mociny,kïṟwïḍin,in,af,in,in,mun,mun,mimy,kïṟwïḍaf,mimy,kïṟwïḍin,mimy,mun,in,perwïḍaf,af,mun,kïṟwïḍaf,perwïḍaf,af,perwïḍin,mimy,mun,mun,mimy,mimy,perwïḍin,af
2,0.1885759282942161,1.9980830582140052,1.8095071299197891,wïṛfed,mociny,mociny,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,okn,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,okn,mociny,mociny,mociny,mociny,oṇ,mociny,mociny,mociny,mociny,oṇ,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,egal,mociny,wïṛfed,mociny,mociny,kïṟwïḍaf,in,mun,af,kïṟwïḍin,perwïḍin,mun,af,kïṟwïḍin,perwïḍaf,mun,mimy,mimy,af,mun,in,mimy,in,af,mimy,mimy,mimy,perwïḍaf,mun,in,perwïḍin,kïṟwïḍaf,mun
3,0.14502607928554023,1.9563036256015571,1.811277546316017,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,oṇ,wïṛfed,mociny,mociny,oṇ,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,okn,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,wïṛfed,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,egal,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,okn,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,kïṟwïḍin,in,mun,mun,mimy,in,af,in,kïṟwïḍaf,mimy,mun,perwïḍin,mimy,mimy,af,mun,mimy,mimy,af,in,mun,perwïḍaf,kïṟwïḍaf,af,mun,perwïḍaf,kïṟwïḍin,perwïḍin
4,0.1273132844570115,1.9768694755247258,1.8495561910677143,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,okn,mociny,mociny,oṇ,mociny,wïṛfed,wïṛfed,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,okn,mociny,mociny,egal,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,wïṛfed,oṇ,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,kïṟwïḍaf,mimy,af,af,kïṟwïḍaf,mimy,mun,perwïḍin,perwïḍaf,mun,in,in,in,mimy,af,mun,kïṟwïḍin,af,kïṟwïḍin,perwïḍaf,mun,perwïḍin,mun,mimy,mun,in,mimy,mimy
5,0.08882657717288422,1.9120693714926804,1.8232427943197962,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,okn,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,okn,oṇ,mociny,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,egal,oṇ,mociny,mociny,mociny,wïṛfed,af,mun,in,mun,mun,perwïḍaf,kïṟwïḍaf,af,perwïḍaf,mun,mimy,mun,mun,in,af,perwïḍin,mimy,in,mimy,kïṟwïḍaf,mimy,in,mimy,perwïḍin,mimy,kïṟwïḍin,kïṟwïḍin,af
6,0.14366985793499665,1.9273847925040537,1.783714934569057,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,oṇ,mociny,mociny,wïṛfed,mociny,mociny,okn,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,wïṛfed,oṇ,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,egal,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,okn,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,kïṟwïḍin,mimy,mun,mimy,in,perwïḍin,in,perwïḍaf,mun,mimy,mimy,mimy,in,kïṟwïḍin,af,af,mun,mimy,kïṟwïḍaf,kïṟwïḍaf,perwïḍin,af,in,mun,perwïḍaf,af,mun,mun
7,0.10622300124241124,1.9421221105399429,1.8358991092975316,mociny,mociny,mociny,mociny,egal,mociny,mociny,mociny,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,okn,mociny,mociny,mociny,okn,mociny,oṇ,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,oṇ,mociny,mociny,mociny,wïṛfed,mociny,kïṟwïḍaf,af,mun,mimy,kïṟwïḍin,mun,mun,mimy,mimy,perwïḍaf,perwïḍin,af,mimy,mun,mun,in,af,kïṟwïḍaf,mimy,in,in,perwïḍin,in,kïṟwïḍin,mimy,perwïḍaf,af,mun
8,0.14404303338150082,1.9214870661840076,1.7774440328025067,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,wïṛfed,mociny,mociny,mociny,oṇ,mociny,mociny,mociny,mociny,mociny,mociny,okn,mociny,mociny,mociny,mociny,mociny,okn,mociny,mociny,mociny,mociny,oṇ,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,egal,wïṛfed,mociny,mociny,wïṛfed,mociny,mun,mun,mimy,mun,kïṟwïḍin,mun,kïṟwïḍin,mun,mimy,in,perwïḍin,af,in,perwïḍaf,af,kïṟwïḍaf,perwïḍaf,af,mimy,in,mimy,mimy,mun,mimy,perwïḍin,kïṟwïḍaf,in,af
9,0.13071775691947707,1.971608023869805,1.840890266950328,mociny,mociny,mociny,okn,mociny,mociny,mociny,mociny,mociny,mociny,mociny,okn,mociny,mociny,mociny,mociny,mociny,mociny,mociny,egal,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,oṇ,mociny,mociny,mociny,mociny,mociny,mociny,mociny,wïṛfed,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,mociny,oṇ,wïṛfed,mociny,mociny,mociny,in,mun,kïṟwïḍin,perwïḍin,mimy,af,af,mimy,kïṟwïḍaf,af,perwïḍin,mimy,mun,mun,mun,in,mimy,mun,af,perwïḍaf,mimy,perwïḍaf,mun,kïṟwïḍaf,kïṟwïḍin,mimy,in,in
