simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFBeS,mFByS,mFBeD,mFByD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFBeS,fFByS,fFBeD,fFByD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mFZ,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fFZ,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,mF,mM,mFB,mMB,mMeB,mMyB,fF,fM,fFB,fMB,fMeB,fMyB
0,0.1802857137613183,1.4824369087386315,1.3021511949773132,mwana wa tata,moruna wakwa,mwana wa mama,kihato,mwana wa tata,mwana wa mama,mwana wa mama,moruna wakwa,mwana wa baba m'uk'ur'u,moihwa,mwana wa baba munyinyi,mwana wa tata,moihwa,mokoro wakwa,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa mama,mwana wa mama,mwana wa tata,moihwa,mwana wa mama,mwana wa baba m'uk'ur'u,mwana wa tata,mwana wa tata,mwana wa tata,moihwa,moihwa,mwana wa tata,mwana wa baba munyinyi,mwana wa mama,moihwa,mwana wa tata,moihwa,kihato,mwana wa tata,mwana wa tata,moihwa,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa mama,mwana wa mama,mwana wa tata,moruna wakwa,mwana wa tata,moihwa,mwana wa tata,mwana wa mama,moihwa,mwana wa tata,mwana wa baba m'uk'ur'u,mwana wa mama,mwana wa tata,mokoro wakwa,mwana wa tata,mwana wa mama,mwana wa mama,mwana wa tata,moihwa,mwana wa baba munyinyi,mwana wa mama,morua mwaiitu,mwana wa mama,mwana wa tata,mwana wa baba m'uk'ur'u,mokoro wakwa,mwana wa tata,mwana wa mama,mwana wa tata,moruna wakwa,mwana wa baba munyinyi,mwana wa tata,mwana wa tata,morua mwaiitu,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa mama,mokoro wakwa,mwana wa tata,mwana wa tata,mwana wa tata,mama,mama,mama,mama,tata,baba m'uk'ur'u,baba m'uk'ur'u,tata,tata,tata,mama,tata,mama,tata,tata,tata,tata,tata,baba,mama,baba munyinyi,baba,mama,tata,baba munyinyi,maiitu,maiitu,tata
1,0.2626919707533315,1.3620475927059177,1.0993556219525862,mwana wa tata,mokoro wakwa,moihwa,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa mama,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa baba m'uk'ur'u,moihwa,kihato,mwana wa tata,mwana wa mama,mwana wa baba m'uk'ur'u,moihwa,mwana wa tata,mwana wa tata,mwana wa tata,moruna wakwa,mokoro wakwa,mwana wa mama,mwana wa tata,mwana wa baba munyinyi,mwana wa mama,moruna wakwa,mwana wa mama,mwana wa tata,mwana wa baba munyinyi,moihwa,moihwa,mwana wa baba m'uk'ur'u,mwana wa mama,mwana wa tata,mwana wa tata,morua mwaiitu,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa baba munyinyi,mwana wa tata,mwana wa tata,moruna wakwa,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa mama,moihwa,mokoro wakwa,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,moruna wakwa,mwana wa tata,mwana wa tata,mwana wa tata,moihwa,kihato,mokoro wakwa,mwana wa baba m'uk'ur'u,mwana wa tata,mwana wa tata,mwana wa baba munyinyi,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa tata,moihwa,mwana wa mama,moihwa,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa mama,mwana wa mama,mwana wa tata,mwana wa mama,moihwa,morua mwaiitu,moihwa,mwana wa tata,mama,baba,mama,baba m'uk'ur'u,tata,maiitu,baba,tata,tata,baba m'uk'ur'u,mama,maiitu,baba munyinyi,mama,mama,tata,tata,tata,tata,tata,mama,baba munyinyi,mama,tata,tata,tata,tata,mama
2,0.16492220897717869,1.3622973892685883,1.1973751802914097,mwana wa tata,mwana wa baba m'uk'ur'u,mwana wa mama,mwana wa tata,mwana wa mama,mwana wa mama,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,moihwa,mokoro wakwa,moruna wakwa,morua mwaiitu,mwana wa tata,moihwa,mokoro wakwa,mwana wa tata,mokoro wakwa,mwana wa baba munyinyi,mwana wa tata,moihwa,moruna wakwa,mwana wa tata,mwana wa baba m'uk'ur'u,mwana wa baba munyinyi,mwana wa tata,mwana wa tata,moihwa,mwana wa tata,moihwa,mwana wa tata,mwana wa mama,mwana wa baba m'uk'ur'u,mwana wa tata,mwana wa tata,mwana wa tata,moihwa,mwana wa tata,mwana wa tata,mwana wa baba m'uk'ur'u,mwana wa tata,moihwa,mwana wa tata,mwana wa tata,kihato,mwana wa tata,moihwa,mwana wa tata,moihwa,moruna wakwa,moihwa,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa mama,mokoro wakwa,mwana wa mama,mwana wa mama,mwana wa mama,mwana wa mama,mwana wa tata,mwana wa tata,morua mwaiitu,mwana wa baba munyinyi,mwana wa tata,kihato,mwana wa mama,mwana wa tata,mwana wa mama,mwana wa mama,mwana wa mama,moruna wakwa,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa baba munyinyi,moihwa,mwana wa tata,mwana wa tata,mwana wa mama,mama,mama,mama,tata,tata,mama,mama,baba m'uk'ur'u,baba munyinyi,tata,baba m'uk'ur'u,baba,tata,maiitu,mama,tata,tata,tata,mama,tata,baba munyinyi,tata,baba,mama,tata,tata,tata,maiitu
3,0.28720833848066674,1.3736233105040734,1.0864149720234066,mwana wa tata,mwana wa baba munyinyi,mwana wa mama,mwana wa baba m'uk'ur'u,kihato,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,moihwa,mwana wa baba m'uk'ur'u,mwana wa mama,moihwa,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa mama,mwana wa mama,mwana wa baba munyinyi,moihwa,mwana wa tata,mwana wa tata,mwana wa tata,morua mwaiitu,moruna wakwa,moihwa,moihwa,mwana wa tata,moihwa,mokoro wakwa,mwana wa tata,mwana wa tata,mwana wa baba munyinyi,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa tata,kihato,mwana wa tata,morua mwaiitu,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa mama,mokoro wakwa,mwana wa tata,moihwa,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa baba munyinyi,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa tata,moihwa,mwana wa tata,mwana wa mama,mwana wa mama,mwana wa baba m'uk'ur'u,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,moruna wakwa,moihwa,moruna wakwa,mokoro wakwa,mwana wa baba m'uk'ur'u,mwana wa mama,moihwa,mwana wa mama,mwana wa tata,moruna wakwa,mwana wa mama,moihwa,mokoro wakwa,mwana wa mama,mwana wa mama,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa mama,mwana wa tata,tata,mama,baba m'uk'ur'u,tata,mama,maiitu,mama,baba munyinyi,tata,mama,baba m'uk'ur'u,tata,baba,mama,mama,tata,tata,tata,tata,baba munyinyi,tata,maiitu,mama,mama,tata,tata,baba,tata
4,0.250991432325965,1.4304121222817447,1.1794206899557798,mwana wa tata,mokoro wakwa,mwana wa tata,moihwa,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa baba munyinyi,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mokoro wakwa,moihwa,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa baba munyinyi,mwana wa mama,mwana wa tata,mwana wa tata,kihato,mwana wa mama,mwana wa mama,kihato,mwana wa tata,moihwa,mwana wa mama,moihwa,mwana wa mama,mwana wa mama,mwana wa tata,mokoro wakwa,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa mama,moruna wakwa,mwana wa baba munyinyi,mwana wa baba m'uk'ur'u,mwana wa mama,moihwa,mwana wa mama,moihwa,moihwa,mwana wa tata,mwana wa baba m'uk'ur'u,mwana wa tata,mwana wa tata,mwana wa tata,moihwa,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,moihwa,mwana wa tata,moihwa,moruna wakwa,moihwa,mwana wa baba munyinyi,mwana wa mama,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa mama,morua mwaiitu,mokoro wakwa,mwana wa tata,morua mwaiitu,mwana wa tata,mwana wa baba m'uk'ur'u,mwana wa baba m'uk'ur'u,moruna wakwa,mwana wa mama,mwana wa tata,mwana wa tata,moruna wakwa,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa mama,tata,baba munyinyi,tata,tata,tata,baba m'uk'ur'u,mama,tata,tata,tata,mama,tata,baba,mama,mama,mama,mama,tata,baba munyinyi,tata,tata,maiitu,baba m'uk'ur'u,mama,mama,tata,maiitu,baba
5,0.21826013056297766,1.480771897528726,1.2625117669657484,mwana wa baba munyinyi,mwana wa mama,mwana wa mama,kihato,morua mwaiitu,moruna wakwa,moihwa,mwana wa tata,mwana wa tata,mwana wa baba m'uk'ur'u,mwana wa tata,mwana wa tata,mwana wa tata,mokoro wakwa,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa mama,mwana wa mama,mwana wa mama,moihwa,mwana wa baba m'uk'ur'u,mwana wa mama,kihato,mwana wa mama,mwana wa mama,mokoro wakwa,moihwa,mokoro wakwa,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa tata,mokoro wakwa,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa baba munyinyi,mwana wa tata,morua mwaiitu,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa mama,mwana wa mama,mwana wa tata,mwana wa mama,mwana wa tata,moruna wakwa,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa baba m'uk'ur'u,mwana wa tata,moihwa,moihwa,mwana wa mama,mwana wa baba munyinyi,moihwa,moruna wakwa,mwana wa tata,mwana wa tata,mwana wa baba m'uk'ur'u,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa mama,mwana wa tata,moihwa,moihwa,mwana wa tata,moihwa,mwana wa tata,mwana wa baba munyinyi,mwana wa tata,mwana wa tata,moruna wakwa,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa tata,moihwa,moihwa,tata,mama,tata,baba,baba munyinyi,tata,tata,tata,maiitu,tata,baba m'uk'ur'u,mama,mama,mama,baba m'uk'ur'u,tata,mama,mama,tata,tata,mama,tata,baba,tata,maiitu,baba munyinyi,mama,tata
6,0.2974538135596456,1.5355020742392982,1.2380482606796526,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa baba m'uk'ur'u,mwana wa tata,mwana wa mama,moruna wakwa,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa baba munyinyi,mwana wa tata,mokoro wakwa,mokoro wakwa,mwana wa mama,mwana wa tata,mwana wa mama,mwana wa mama,moruna wakwa,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa baba m'uk'ur'u,moihwa,morua mwaiitu,mokoro wakwa,mwana wa mama,moihwa,mwana wa tata,mwana wa tata,mwana wa baba m'uk'ur'u,mwana wa mama,mwana wa mama,moruna wakwa,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa baba munyinyi,morua mwaiitu,mwana wa mama,mwana wa tata,mwana wa mama,mwana wa baba m'uk'ur'u,mwana wa tata,mwana wa tata,moihwa,mwana wa mama,mwana wa tata,moihwa,mwana wa baba munyinyi,mwana wa mama,moruna wakwa,mwana wa mama,mwana wa tata,kihato,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa baba munyinyi,moihwa,mwana wa mama,mwana wa tata,moihwa,mokoro wakwa,mwana wa tata,moihwa,moihwa,moihwa,moihwa,kihato,moihwa,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,tata,tata,mama,tata,mama,tata,tata,tata,baba,baba m'uk'ur'u,mama,tata,tata,mama,baba m'uk'ur'u,tata,baba munyinyi,baba munyinyi,mama,mama,baba,mama,tata,maiitu,tata,mama,tata,maiitu
7,0.18516956433058107,1.4850554063412138,1.2998858420106327,mwana wa baba m'uk'ur'u,mokoro wakwa,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,moihwa,moihwa,mwana wa mama,moihwa,moihwa,mwana wa tata,mwana wa tata,moruna wakwa,mwana wa mama,mwana wa mama,moihwa,moihwa,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,moruna wakwa,mokoro wakwa,mwana wa tata,morua mwaiitu,mokoro wakwa,mwana wa tata,mwana wa mama,mwana wa baba munyinyi,mwana wa tata,mwana wa baba m'uk'ur'u,mwana wa tata,mwana wa mama,mwana wa mama,mwana wa tata,mwana wa tata,moruna wakwa,mwana wa baba m'uk'ur'u,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa baba munyinyi,mwana wa mama,morua mwaiitu,mwana wa tata,mwana wa tata,mwana wa tata,moihwa,mwana wa mama,mwana wa mama,mwana wa mama,mwana wa tata,moruna wakwa,mwana wa tata,moihwa,kihato,mokoro wakwa,mwana wa tata,mwana wa tata,mwana wa baba munyinyi,mwana wa baba m'uk'ur'u,mwana wa tata,mwana wa mama,moihwa,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa mama,moihwa,kihato,mwana wa mama,mwana wa mama,mwana wa tata,mwana wa baba munyinyi,moihwa,mwana wa tata,baba munyinyi,tata,baba m'uk'ur'u,tata,maiitu,tata,baba munyinyi,tata,baba m'uk'ur'u,mama,tata,tata,tata,tata,mama,tata,tata,tata,mama,maiitu,baba,mama,mama,mama,tata,mama,mama,baba
8,0.24967113171207123,1.4968289620766733,1.247157830364602,mwana wa mama,mwana wa tata,mwana wa mama,moihwa,mwana wa mama,mwana wa tata,moihwa,mwana wa tata,mwana wa tata,moruna wakwa,mwana wa tata,mwana wa mama,mwana wa mama,moruna wakwa,moihwa,mwana wa tata,mwana wa tata,moruna wakwa,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa baba munyinyi,mwana wa tata,mwana wa tata,morua mwaiitu,mwana wa mama,mwana wa tata,mwana wa baba m'uk'ur'u,moihwa,mwana wa tata,mokoro wakwa,mwana wa tata,mokoro wakwa,mwana wa tata,moihwa,moihwa,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa mama,moihwa,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa mama,morua mwaiitu,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,moihwa,moihwa,mwana wa tata,mwana wa baba munyinyi,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa baba m'uk'ur'u,mwana wa mama,kihato,mwana wa tata,mwana wa baba munyinyi,mwana wa mama,mwana wa mama,mwana wa tata,mwana wa baba munyinyi,mwana wa tata,mwana wa mama,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,mokoro wakwa,mwana wa baba m'uk'ur'u,mwana wa tata,moihwa,mwana wa baba m'uk'ur'u,mokoro wakwa,moruna wakwa,mwana wa tata,kihato,moihwa,mwana wa tata,mwana wa tata,mwana wa tata,mama,baba m'uk'ur'u,tata,mama,baba m'uk'ur'u,tata,tata,tata,maiitu,mama,tata,baba munyinyi,baba,mama,tata,mama,baba,tata,baba munyinyi,tata,mama,mama,tata,tata,tata,mama,tata,maiitu
9,0.23901467875851345,1.401053442928696,1.1620387641701826,mwana wa mama,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa tata,moihwa,mwana wa mama,mwana wa mama,moruna wakwa,mwana wa baba munyinyi,mwana wa mama,mwana wa tata,mwana wa mama,mwana wa tata,mokoro wakwa,mwana wa tata,mwana wa mama,mwana wa baba munyinyi,moihwa,mokoro wakwa,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa tata,moruna wakwa,mwana wa mama,moihwa,mwana wa tata,kihato,mwana wa baba munyinyi,mwana wa tata,mwana wa mama,mokoro wakwa,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,moihwa,moihwa,mwana wa tata,moihwa,morua mwaiitu,mwana wa baba m'uk'ur'u,mwana wa mama,mokoro wakwa,mwana wa mama,mwana wa baba m'uk'ur'u,mwana wa mama,moihwa,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa baba munyinyi,morua mwaiitu,mwana wa mama,mwana wa tata,moruna wakwa,moihwa,mwana wa tata,mwana wa mama,moihwa,mwana wa tata,mwana wa mama,moihwa,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa baba m'uk'ur'u,mwana wa baba m'uk'ur'u,mwana wa tata,mwana wa tata,moihwa,moruna wakwa,kihato,mwana wa tata,mwana wa mama,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,mwana wa tata,baba munyinyi,tata,mama,tata,tata,baba,tata,mama,tata,tata,mama,baba m'uk'ur'u,mama,baba,baba munyinyi,mama,tata,mama,tata,tata,tata,tata,mama,baba m'uk'ur'u,maiitu,mama,tata,maiitu
