simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFZ,mMB,mMZ,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM
0,0.27892814080808925,1.717501127993918,1.4385729871858288,qayri,qayri,qayri tura,qayri pana,kuncha,qayri pana,qayri pana,qayri,qayri pana,qayri tura,qayri,qayri,qayri,qayri,qayri pana,qayri,qayri pana,qayri tura,qayri,ñaña.,qayri,qayri pana,qayri,qayri,qayri pana,qayri pana,qayri pana,wayqe,qayri pana,qayri pana,qayri,qayri pana,qayri pana,tura,pana,qayri,qayri tura,qayri pana,kuncha,qayri,qayri tura,qayri,qayri,qayri tura,qayri,qayri,kuncha,qayri tura,ñaña.,qayri tura,qayri tura,kuncha,ñaña.,qayri,qayri tura,qayri,qayri,qayri pana,qayri tura,qayri,qayri pana,pana,qayri pana,qayri,qayri,qayri tura,qayri,qayri,qayri tura,pana,qayri,qayri tura,tura,tura,qayri,qayri,qayri tura,qayri tura,qayri,qayri,qayri,qayri pana,wayqe,kuncha,qayri tura,qayri pana,qayri tura,qayri tura,qayri,yaya.,mama.,sullk'a mama,sullk'a mama,kaka,ipa.,kaka,mama.,ipa.,yaya.,ipa.,sullk'a mama,sullk'a tayta,kaka
1,0.3747394748442987,1.7521260838462593,1.3773866090019606,pana,qayri,qayri tura,qayri,qayri,qayri tura,qayri tura,qayri tura,qayri pana,qayri pana,ñaña.,wayqe,qayri pana,qayri,qayri,qayri,qayri,qayri pana,qayri pana,qayri tura,qayri,qayri tura,qayri,tura,qayri,ñaña.,qayri pana,qayri,qayri pana,qayri pana,qayri pana,qayri pana,qayri,qayri,qayri pana,qayri,qayri tura,qayri pana,qayri,qayri,ñaña.,kuncha,kuncha,qayri pana,qayri,qayri,pana,tura,qayri,qayri pana,qayri pana,qayri tura,qayri tura,qayri,qayri tura,kuncha,qayri tura,qayri,qayri pana,tura,qayri tura,kuncha,qayri tura,qayri tura,qayri,qayri tura,qayri,qayri,qayri tura,qayri,qayri,qayri,qayri,wayqe,qayri,qayri,pana,qayri tura,qayri,kuncha,qayri pana,qayri tura,qayri,qayri,qayri tura,qayri,qayri pana,qayri pana,qayri pana,yaya.,kaka,mama.,sullk'a tayta,kaka,ipa.,sullk'a mama,ipa.,mama.,sullk'a mama,ipa.,yaya.,kaka,sullk'a mama
2,0.4252216196847134,1.69337690052809,1.2681552808433767,qayri,kuncha,qayri pana,qayri,qayri pana,pana,qayri pana,qayri,qayri tura,qayri pana,kuncha,qayri tura,qayri,qayri pana,qayri,kuncha,qayri,qayri pana,kuncha,qayri,qayri tura,wayqe,qayri tura,qayri,qayri,qayri,qayri pana,qayri,qayri,qayri,tura,qayri,qayri tura,qayri tura,qayri,qayri tura,qayri pana,pana,qayri,qayri tura,qayri,qayri tura,qayri,qayri,qayri pana,qayri,qayri,qayri pana,qayri pana,ñaña.,qayri,qayri tura,qayri,tura,qayri tura,qayri pana,qayri tura,qayri pana,wayqe,kuncha,qayri tura,qayri,qayri,qayri,qayri pana,qayri pana,qayri tura,qayri tura,qayri,qayri pana,qayri,tura,qayri pana,qayri tura,qayri,qayri,qayri pana,qayri,qayri pana,qayri,qayri,qayri,qayri tura,qayri pana,qayri tura,pana,qayri tura,ñaña.,ñaña.,ipa.,kaka,kaka,sullk'a mama,yaya.,mama.,mama.,sullk'a mama,sullk'a tayta,kaka,sullk'a mama,yaya.,ipa.,ipa.
3,0.2102234497151365,1.715373547968389,1.5051500982532524,qayri,qayri,qayri pana,qayri tura,qayri tura,qayri pana,qayri,pana,qayri,qayri,kuncha,qayri,qayri,qayri tura,qayri pana,qayri,qayri,qayri pana,qayri tura,qayri,qayri,pana,qayri pana,qayri tura,qayri pana,qayri tura,qayri tura,qayri,qayri,ñaña.,qayri tura,wayqe,kuncha,qayri tura,pana,qayri,tura,qayri pana,qayri pana,qayri pana,kuncha,qayri tura,tura,qayri pana,qayri,qayri,tura,qayri tura,qayri,qayri tura,ñaña.,qayri,qayri tura,qayri pana,qayri pana,qayri,qayri pana,qayri,qayri,qayri tura,qayri,wayqe,qayri,ñaña.,qayri tura,kuncha,qayri pana,qayri,qayri pana,qayri,qayri tura,qayri,qayri tura,qayri,qayri,qayri,qayri,qayri pana,qayri,qayri,qayri pana,qayri pana,qayri pana,qayri,qayri tura,qayri pana,qayri tura,kuncha,qayri,ipa.,sullk'a tayta,sullk'a mama,sullk'a mama,kaka,yaya.,sullk'a mama,yaya.,ipa.,kaka,kaka,mama.,ipa.,mama.
4,0.3854148649727256,1.742878856742873,1.3574639917701474,qayri,pana,qayri pana,qayri,qayri pana,qayri,qayri tura,tura,qayri pana,qayri,qayri tura,qayri,qayri tura,qayri tura,qayri,qayri,qayri,qayri pana,qayri,qayri pana,qayri pana,qayri tura,qayri pana,qayri,qayri,qayri,qayri tura,qayri tura,qayri,qayri,qayri pana,qayri tura,qayri tura,qayri pana,qayri,pana,qayri,qayri tura,qayri pana,qayri pana,kuncha,qayri pana,qayri pana,qayri tura,ñaña.,qayri,qayri pana,kuncha,qayri,qayri,qayri,qayri pana,qayri pana,qayri,tura,kuncha,qayri,qayri tura,qayri,tura,qayri tura,qayri tura,qayri tura,pana,qayri tura,qayri,ñaña.,qayri pana,kuncha,kuncha,qayri,qayri,qayri,wayqe,qayri,qayri pana,qayri pana,wayqe,qayri,qayri,qayri,qayri tura,qayri tura,qayri,qayri tura,qayri,ñaña.,qayri pana,qayri,ipa.,kaka,yaya.,mama.,mama.,sullk'a mama,ipa.,yaya.,kaka,kaka,sullk'a mama,sullk'a mama,sullk'a tayta,ipa.
5,0.4337292105871722,1.720490764267983,1.2867615536808108,qayri pana,pana,qayri,qayri tura,qayri tura,qayri pana,qayri tura,qayri,qayri tura,qayri pana,ñaña.,ñaña.,qayri pana,kuncha,qayri tura,qayri,qayri tura,qayri,qayri,qayri,qayri,qayri,tura,wayqe,qayri tura,qayri pana,qayri,qayri,qayri,qayri tura,qayri,qayri,qayri tura,qayri pana,qayri tura,qayri pana,qayri pana,qayri pana,qayri pana,qayri tura,qayri tura,qayri,qayri pana,qayri pana,qayri,ñaña.,qayri,qayri tura,qayri,qayri,qayri pana,qayri tura,qayri,tura,qayri,kuncha,qayri,kuncha,qayri,qayri,pana,qayri pana,qayri,pana,qayri,qayri tura,qayri tura,qayri tura,qayri pana,qayri,qayri,qayri,qayri pana,qayri pana,tura,qayri,kuncha,wayqe,qayri pana,qayri tura,kuncha,qayri tura,qayri,qayri pana,qayri pana,qayri,qayri,qayri,qayri,mama.,kaka,yaya.,sullk'a mama,ipa.,kaka,yaya.,sullk'a mama,ipa.,sullk'a mama,kaka,sullk'a tayta,ipa.,mama.
6,0.43649063796488075,1.7527437303357383,1.3162530923708575,qayri,qayri tura,qayri tura,qayri,kuncha,qayri pana,qayri tura,qayri,qayri pana,qayri,qayri,qayri,pana,ñaña.,qayri pana,qayri tura,qayri,qayri,qayri pana,qayri tura,ñaña.,qayri pana,qayri tura,qayri,qayri pana,qayri,qayri,qayri,qayri,kuncha,tura,qayri tura,kuncha,wayqe,qayri,pana,qayri,qayri,qayri pana,qayri tura,qayri pana,qayri,qayri tura,qayri,qayri tura,pana,qayri pana,qayri pana,qayri tura,qayri pana,qayri,qayri,qayri pana,qayri pana,qayri,tura,qayri,qayri,kuncha,kuncha,qayri tura,qayri,qayri tura,qayri,qayri tura,qayri tura,qayri,qayri pana,qayri tura,qayri tura,qayri,qayri pana,qayri,qayri,qayri pana,qayri,qayri,qayri pana,wayqe,qayri pana,qayri pana,qayri tura,qayri,qayri,ñaña.,tura,qayri pana,qayri tura,qayri,yaya.,ipa.,sullk'a tayta,kaka,sullk'a mama,ipa.,sullk'a mama,mama.,ipa.,sullk'a mama,yaya.,kaka,kaka,mama.
7,0.36624653695686193,1.7174299786767135,1.3511834417198516,qayri,qayri tura,qayri tura,qayri tura,tura,qayri tura,qayri pana,qayri pana,qayri,qayri,ñaña.,qayri pana,qayri pana,pana,qayri tura,qayri pana,ñaña.,qayri pana,qayri tura,ñaña.,qayri pana,qayri tura,qayri pana,qayri,qayri pana,qayri,qayri,qayri,kuncha,qayri tura,pana,qayri,qayri,qayri tura,qayri,qayri pana,qayri pana,qayri pana,qayri,qayri,qayri,qayri pana,qayri tura,qayri,qayri tura,qayri pana,qayri,qayri tura,tura,qayri tura,qayri,qayri,qayri tura,qayri,pana,qayri,qayri pana,kuncha,kuncha,qayri,qayri,tura,qayri tura,qayri,qayri,qayri,qayri,qayri,qayri,kuncha,qayri tura,qayri,qayri tura,qayri,qayri pana,qayri,qayri pana,kuncha,qayri pana,qayri pana,qayri tura,qayri,qayri,wayqe,qayri pana,wayqe,qayri tura,qayri,qayri,kaka,kaka,mama.,yaya.,sullk'a mama,ipa.,yaya.,ipa.,kaka,sullk'a mama,ipa.,sullk'a tayta,sullk'a mama,mama.
8,0.4791698675377387,1.7200011007862783,1.2408312332485396,qayri tura,qayri,ñaña.,kuncha,qayri,ñaña.,qayri,qayri pana,qayri,ñaña.,qayri pana,qayri,qayri,qayri pana,qayri pana,qayri tura,qayri pana,tura,kuncha,qayri tura,qayri,tura,qayri pana,kuncha,wayqe,qayri,qayri pana,tura,qayri pana,qayri tura,qayri tura,qayri tura,qayri tura,qayri,qayri,qayri tura,qayri pana,qayri,qayri pana,qayri,qayri tura,qayri pana,qayri tura,wayqe,qayri,qayri,qayri pana,qayri pana,qayri tura,qayri,qayri pana,qayri,qayri pana,qayri,qayri tura,pana,qayri,qayri,kuncha,pana,qayri pana,qayri,qayri,qayri,qayri,qayri,qayri,qayri tura,qayri,qayri tura,qayri,qayri,qayri pana,qayri,qayri pana,qayri,qayri tura,qayri pana,kuncha,qayri tura,qayri tura,qayri tura,qayri,qayri tura,qayri,qayri,qayri pana,pana,qayri,yaya.,kaka,mama.,ipa.,mama.,sullk'a mama,kaka,yaya.,ipa.,ipa.,sullk'a tayta,sullk'a mama,sullk'a mama,kaka
9,0.3883435068860175,1.6967313226817642,1.3083878157957467,qayri pana,qayri,qayri tura,kuncha,qayri,kuncha,kuncha,qayri tura,qayri,tura,qayri tura,qayri,qayri,qayri,qayri,qayri tura,kuncha,qayri,qayri,qayri,qayri,qayri tura,qayri,wayqe,qayri tura,qayri tura,qayri tura,wayqe,tura,qayri tura,ñaña.,qayri pana,qayri,qayri,qayri,ñaña.,qayri,qayri pana,qayri,qayri,qayri tura,qayri tura,qayri pana,qayri pana,qayri pana,qayri pana,qayri,qayri,qayri,kuncha,qayri pana,qayri,qayri,qayri,qayri pana,qayri pana,qayri tura,qayri,qayri,qayri pana,qayri pana,qayri pana,qayri tura,pana,qayri tura,qayri,qayri,pana,qayri,tura,qayri,qayri,qayri tura,qayri pana,qayri tura,qayri tura,qayri pana,qayri tura,qayri,ñaña.,qayri,qayri pana,pana,qayri pana,qayri pana,qayri pana,qayri tura,qayri,qayri pana,sullk'a mama,yaya.,sullk'a mama,yaya.,kaka,mama.,ipa.,sullk'a tayta,mama.,ipa.,kaka,sullk'a mama,kaka,ipa.
