simulation_number,mutual_information,entropy,conditional_entropy,mMBD,mMZD,mMBS,mMZS,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fMBD,fMZD,fMBS,fMZS,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mFZD,mFBD,mFBS,mFZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,fFZD,fFBD,fFBS,fFZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,mB,mZ,mMBeS,mMByS,meB,myB,meZ,myZ,fB,fZ,fMBeS,fMByS,feB,fyB,feZ,fyZ,mFeB,mMeZ,mMyZ,fMZ,fFeB,fMeZ,fMyZ,mF,mM,mMB,mFyB,mFyZ,mMeB,mMyB,fF,fM,fMB,fFyB,fFyZ,fMeB,fMyB
0,0.10543085400433139,1.4690029478018025,1.3635720937974711,kádf,kádf,kádf,kádf,ndàlà,kádf,kádí-wà-pàé,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádí-wà-mòétò,kádí-wà-mòétò,kádf,kádf,ndàlà,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kɔ̀kɔ̀,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kɔ̀kɔ̀,kádf,kádf,kádf,kádí-wà-mòétò,kádf,ngúé,ngúé,kɔ̀kɔ̀,kádí-wà-tàó-wà-pàé,kɔ̀kɔ̀,táé,táé,ngúé,ngúé,kɔ̀kɔ̀,kádí-wà-tàó-wà-pàé,kɔ̀kɔ̀,kɔ̀kɔ̀,kɔ̀kɔ̀,táé,kádí-wà-tàó-wà-mòétò,ngúé,táé,kádí-wà-tàó-wà-mòétò,ngúé,ngúé
1,0.12777070369933208,1.4911239719316014,1.3633532682322693,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kɔ̀kɔ̀,kádf,kádf,kádf,kádí-wà-pàé,kádí-wà-pàé,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,ndàlà,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,ndàlà,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kɔ̀kɔ̀,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádí-wà-pàé,kádf,kádf,ngúé,ngúé,táé,kádí-wà-tàó-wà-pàé,kɔ̀kɔ̀,táé,táé,ngúé,kádí-wà-tàó-wà-pàé,ngúé,kɔ̀kɔ̀,ngúé,kɔ̀kɔ̀,kɔ̀kɔ̀,kádí-wà-tàó-wà-mòétò,ngúé,ngúé,kɔ̀kɔ̀,kɔ̀kɔ̀,kádí-wà-tàó-wà-mòétò,táé
2,0.05557476313768528,1.4230123793111813,1.367437616173496,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kɔ̀kɔ̀,kádf,kádf,kádí-wà-mòétò,kádf,kɔ̀kɔ̀,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,ndàlà,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádí-wà-pàé,kádf,ndàlà,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádí-wà-tàó-wà-mòétò,kádí-wà-tàó-wà-pàé,ngúé,ngúé,kádí-wà-tàó-wà-mòétò,táé,kɔ̀kɔ̀,kɔ̀kɔ̀,ngúé,ngúé,kɔ̀kɔ̀,kɔ̀kɔ̀,táé,ngúé,táé,kádí-wà-tàó-wà-pàé,kɔ̀kɔ̀,táé,ngúé,ngúé,kɔ̀kɔ̀
3,0.06638856723837927,1.4087218332454827,1.3423332660071035,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kɔ̀kɔ̀,kádí-wà-mòétò,kádf,kádf,kádí-wà-mòétò,kádí-wà-pàé,kádf,kádf,ndàlà,kɔ̀kɔ̀,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,ndàlà,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádí-wà-mòétò,kádf,kádí-wà-mòétò,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,ngúé,ngúé,táé,kɔ̀kɔ̀,ngúé,kɔ̀kɔ̀,ngúé,ngúé,ngúé,kɔ̀kɔ̀,kádí-wà-tàó-wà-mòétò,táé,kɔ̀kɔ̀,kádí-wà-tàó-wà-pàé,táé,kɔ̀kɔ̀,ngúé,táé,kádí-wà-tàó-wà-pàé,kádí-wà-tàó-wà-mòétò,kɔ̀kɔ̀
4,0.0645184443790563,1.4771068911684018,1.4125884467893455,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kɔ̀kɔ̀,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,ndàlà,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádí-wà-mòétò,kɔ̀kɔ̀,kádf,kádf,kádf,kádf,ndàlà,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,táé,kɔ̀kɔ̀,kɔ̀kɔ̀,kádí-wà-tàó-wà-pàé,kɔ̀kɔ̀,kɔ̀kɔ̀,ngúé,táé,táé,ngúé,ngúé,kádí-wà-tàó-wà-mòétò,kɔ̀kɔ̀,táé,kádí-wà-tàó-wà-mòétò,ngúé,ngúé,kádí-wà-tàó-wà-pàé,ngúé,kɔ̀kɔ̀,ngúé
5,0.08006877416386926,1.5462840623211915,1.4662152881573223,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádí-wà-pàé,kádf,ndàlà,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kɔ̀kɔ̀,kádf,ndàlà,kádí-wà-pàé,kádf,kádf,kádf,kádí-wà-pàé,kádí-wà-mòétò,kádf,kádf,kɔ̀kɔ̀,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,ngúé,táé,táé,táé,ngúé,táé,ngúé,kádí-wà-tàó-wà-mòétò,kádí-wà-tàó-wà-mòétò,kádí-wà-tàó-wà-pàé,kɔ̀kɔ̀,ngúé,kɔ̀kɔ̀,kɔ̀kɔ̀,ngúé,kɔ̀kɔ̀,ngúé,kɔ̀kɔ̀,ngúé,kádí-wà-tàó-wà-pàé,kɔ̀kɔ̀
6,0.15183414455081023,1.4402688792284946,1.2884347346776843,kádf,kádf,kádí-wà-pàé,kádf,kádí-wà-mòétò,ndàlà,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádí-wà-mòétò,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,ndàlà,kádf,kádf,kádf,kɔ̀kɔ̀,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kɔ̀kɔ̀,kádf,kádí-wà-pàé,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,táé,táé,ngúé,kɔ̀kɔ̀,ngúé,ngúé,táé,kɔ̀kɔ̀,kádí-wà-tàó-wà-mòétò,ngúé,ngúé,kádí-wà-tàó-wà-pàé,kɔ̀kɔ̀,kɔ̀kɔ̀,kádí-wà-tàó-wà-mòétò,ngúé,kɔ̀kɔ̀,kádí-wà-tàó-wà-pàé,kɔ̀kɔ̀,ngúé,táé
7,0.11997029524901026,1.4557640654623356,1.3357937702133253,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kɔ̀kɔ̀,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,ndàlà,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádí-wà-mòétò,kádí-wà-pàé,kɔ̀kɔ̀,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,ndàlà,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádí-wà-tàó-wà-mòétò,táé,kɔ̀kɔ̀,táé,ngúé,táé,ngúé,táé,ngúé,ngúé,kádí-wà-tàó-wà-pàé,kɔ̀kɔ̀,ngúé,kádí-wà-tàó-wà-pàé,ngúé,kɔ̀kɔ̀,kɔ̀kɔ̀,ngúé,kɔ̀kɔ̀,kádí-wà-tàó-wà-mòétò,kɔ̀kɔ̀
8,0.1695804351571466,1.478977183154649,1.3093967479975024,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kɔ̀kɔ̀,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kɔ̀kɔ̀,kádf,kádf,ndàlà,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádí-wà-mòétò,kádí-wà-mòétò,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,ndàlà,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádí-wà-tàó-wà-mòétò,táé,ngúé,kɔ̀kɔ̀,ngúé,kɔ̀kɔ̀,táé,kádí-wà-tàó-wà-pàé,kɔ̀kɔ̀,ngúé,táé,ngúé,kɔ̀kɔ̀,ngúé,kádí-wà-tàó-wà-mòétò,táé,ngúé,kɔ̀kɔ̀,kádí-wà-tàó-wà-pàé,kɔ̀kɔ̀,ngúé
9,0.14019579951042882,1.4527960616377245,1.3126002621272956,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kɔ̀kɔ̀,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,ndàlà,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kɔ̀kɔ̀,kádf,kádí-wà-pàé,kádí-wà-mòétò,kádf,kádf,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádí-wà-mòétò,kádf,kádf,kádí-wà-pàé,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,ndàlà,kádí-wà-tàó-wà-mòétò,ngúé,kádí-wà-tàó-wà-mòétò,táé,kádí-wà-tàó-wà-pàé,táé,ngúé,ngúé,kɔ̀kɔ̀,kɔ̀kɔ̀,táé,ngúé,kádí-wà-tàó-wà-pàé,kɔ̀kɔ̀,kɔ̀kɔ̀,táé,ngúé,ngúé,kɔ̀kɔ̀,ngúé,kɔ̀kɔ̀
