simulation_number,mutual_information,entropy,conditional_entropy,meB,feZ,mZ,myB,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mFeB,mFyB,fFeB,fFyB,mF,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,fF,fFZ,fMB,fFeZ,fFyZ,fMeB,fMyB,mM,mFB,mMZ,mMeZ,mMyZ,fM,fFB,fMZ,fMeZ,fMyZ
0,0.1879784931458568,1.9177535260201473,1.7297750328742905,umuvyara,umusaza,umusaza,umuvyara,mwenewachu,umusaza,umusaza,mwenewachu,mwenewachu,umuvyara,umwishiki,umuvyara,mwenewachu,umuvyara,umwishiki,umuvyara,umuvyara,umuvyara,umwishiki,mwenewachu,umusaza,umuvyara,umuvyara,mwenewachu,mwenewachu,umuvyara,mwenewachu,umuvyara,umwishiki,mukuru,umuvyara,umuvyara,umuvyara,mwenewachu,umuvyara,umuvyara,umurumuna,umusaza,mwenewachu,mwenewachu,umuvyara,umuvyara,mwenewachu,mwenewachu,umuvyara,mwenewachu,mukuru,umuvyara,umwishiki,mwenewachu,umusaza,mwenewachu,umusaza,umuvyara,umuvyara,mwenewachu,umwishiki,umuvyara,umuvyara,umuvyara,umusaza,umuvyara,umuvyara,umuvyara,umuvyara,umwishiki,umwishiki,umwishiki,umusaza,umuvyara,umuvyara,umuvyara,umuvyara,umurumuna,umuvyara,mwenewachu,umuvyara,umuvyara,umuvyara,umwishiki,umuvyara,umuvyara,umwishiki,mwenewachu,marume,mamamuto,senge,mamamuto,baba mdogo,senge,senge,datamuto,mamamuto,mamamuto,baba mkubwa,marume,senge,marume,mamamuto,senge,marume,senge,data,datamuto,marume,data,baba mkubwa,mamamuto,mama,mama,baba mdogo,marume
1,0.24303755048600295,1.852050874825362,1.609013324339359,mwenewachu,umuvyara,umuvyara,umusaza,umuvyara,umuvyara,umuvyara,mwenewachu,umuvyara,umuvyara,umuvyara,mukuru,mwenewachu,mwenewachu,umwishiki,umuvyara,mwenewachu,umuvyara,umuvyara,mwenewachu,mwenewachu,mukuru,umuvyara,umuvyara,umuvyara,umwishiki,mwenewachu,umusaza,umuvyara,umwishiki,umusaza,umusaza,umuvyara,umuvyara,umuvyara,umwishiki,umuvyara,umuvyara,umwishiki,umuvyara,umuvyara,umuvyara,umusaza,umurumuna,umuvyara,umuvyara,mwenewachu,mwenewachu,umuvyara,umuvyara,umurumuna,umwishiki,umusaza,mwenewachu,mwenewachu,umwishiki,umuvyara,umuvyara,umwishiki,mwenewachu,umwishiki,umuvyara,umuvyara,umuvyara,umuvyara,umusaza,umuvyara,umuvyara,umwishiki,umuvyara,mwenewachu,umuvyara,mwenewachu,umusaza,mwenewachu,umusaza,umuvyara,umuvyara,mwenewachu,umwishiki,umuvyara,mwenewachu,mwenewachu,umusaza,mamamuto,data,baba mdogo,mama,datamuto,datamuto,marume,mamamuto,senge,marume,data,baba mkubwa,baba mkubwa,senge,mamamuto,baba mdogo,senge,mamamuto,marume,mamamuto,senge,marume,senge,mama,marume,marume,senge,mamamuto
2,0.26888124697279014,1.9483040751993104,1.6794228282265202,mwenewachu,umwishiki,mwenewachu,umusaza,umusaza,umuvyara,umurumuna,umwishiki,mwenewachu,umuvyara,umusaza,mwenewachu,umusaza,umuvyara,umuvyara,umuvyara,umusaza,umusaza,umwishiki,umuvyara,umuvyara,mwenewachu,umuvyara,mukuru,umuvyara,umuvyara,mwenewachu,umwishiki,mukuru,umwishiki,mwenewachu,umuvyara,mwenewachu,umurumuna,mwenewachu,umuvyara,umwishiki,umuvyara,mwenewachu,umuvyara,mwenewachu,umusaza,umuvyara,mwenewachu,umuvyara,umwishiki,umuvyara,mwenewachu,umuvyara,umuvyara,umusaza,umusaza,umuvyara,umuvyara,mwenewachu,umuvyara,umuvyara,umwishiki,umuvyara,umuvyara,umuvyara,umuvyara,umwishiki,umuvyara,umuvyara,mwenewachu,umwishiki,umwishiki,umuvyara,umuvyara,umuvyara,mwenewachu,mwenewachu,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,umusaza,mwenewachu,umuvyara,mwenewachu,mamamuto,marume,mama,mamamuto,baba mdogo,datamuto,data,mama,marume,data,senge,senge,datamuto,marume,mamamuto,senge,baba mkubwa,senge,baba mdogo,marume,marume,senge,mamamuto,mamamuto,senge,baba mkubwa,mamamuto,marume
3,0.2717182874062958,1.9392938102103714,1.6675755228040756,mwenewachu,umusaza,umuvyara,umwishiki,mwenewachu,umurumuna,mwenewachu,umuvyara,umuvyara,umuvyara,umuvyara,mwenewachu,mwenewachu,mukuru,umuvyara,umuvyara,umuvyara,umuvyara,mukuru,umuvyara,umwishiki,umuvyara,umuvyara,umuvyara,mwenewachu,umuvyara,mwenewachu,umusaza,umuvyara,umuvyara,umuvyara,umwishiki,umusaza,umusaza,umwishiki,umuvyara,umwishiki,umuvyara,mwenewachu,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,mwenewachu,umuvyara,umuvyara,mwenewachu,mwenewachu,umuvyara,umusaza,umuvyara,umuvyara,umuvyara,mwenewachu,mwenewachu,umurumuna,umusaza,umuvyara,mwenewachu,mwenewachu,umuvyara,umwishiki,umuvyara,umusaza,mwenewachu,umwishiki,mwenewachu,umuvyara,umwishiki,umusaza,umuvyara,umuvyara,umuvyara,mwenewachu,umwishiki,umwishiki,umwishiki,umuvyara,umuvyara,umusaza,umuvyara,umusaza,mwenewachu,marume,senge,senge,senge,baba mkubwa,data,datamuto,baba mdogo,mama,marume,mamamuto,datamuto,mamamuto,senge,marume,senge,mamamuto,mamamuto,mamamuto,mama,senge,marume,marume,baba mkubwa,data,mamamuto,marume,baba mdogo
4,0.2660901838581271,1.8564765452334662,1.590386361375339,umuvyara,umuvyara,umuvyara,umuvyara,umusaza,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,mwenewachu,umuvyara,umuvyara,umwishiki,umurumuna,mwenewachu,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,mwenewachu,umuvyara,umuvyara,umuvyara,umuvyara,mwenewachu,mwenewachu,umusaza,umusaza,mwenewachu,umusaza,umuvyara,mwenewachu,umwishiki,umurumuna,umwishiki,umwishiki,umwishiki,umwishiki,mwenewachu,mwenewachu,umuvyara,umwishiki,umusaza,umuvyara,mwenewachu,umusaza,umuvyara,mukuru,mukuru,umuvyara,mwenewachu,umwishiki,umuvyara,umuvyara,umuvyara,umwishiki,umusaza,umuvyara,mwenewachu,umuvyara,mwenewachu,umwishiki,mwenewachu,umuvyara,umuvyara,umuvyara,mwenewachu,umuvyara,umuvyara,mwenewachu,umuvyara,mwenewachu,mwenewachu,umusaza,umuvyara,umusaza,mwenewachu,umusaza,umwishiki,umuvyara,data,datamuto,baba mkubwa,senge,mamamuto,mama,senge,senge,baba mdogo,senge,mamamuto,marume,mamamuto,marume,marume,mama,datamuto,senge,baba mdogo,mamamuto,marume,senge,mamamuto,baba mkubwa,marume,marume,data,mamamuto
5,0.23010100228527763,1.8520320467351752,1.6219310444498976,umuvyara,umusaza,umuvyara,umuvyara,umuvyara,mwenewachu,umuvyara,umusaza,mwenewachu,umusaza,mwenewachu,umuvyara,umwishiki,mwenewachu,mukuru,umwishiki,umuvyara,umwishiki,mwenewachu,mwenewachu,umuvyara,umwishiki,umuvyara,umuvyara,umuvyara,umwishiki,umuvyara,umusaza,umusaza,mwenewachu,umuvyara,umuvyara,mwenewachu,umusaza,umuvyara,umuvyara,mwenewachu,umuvyara,mwenewachu,umuvyara,mukuru,umuvyara,umuvyara,umuvyara,umuvyara,umurumuna,umusaza,umuvyara,umuvyara,umwishiki,umusaza,umuvyara,umuvyara,mwenewachu,umuvyara,mwenewachu,mwenewachu,mwenewachu,mwenewachu,umuvyara,umwishiki,umurumuna,umuvyara,umuvyara,umusaza,umuvyara,mwenewachu,umuvyara,umuvyara,umuvyara,umwishiki,mwenewachu,umwishiki,umuvyara,umusaza,umwishiki,umuvyara,umwishiki,mwenewachu,umuvyara,umuvyara,mwenewachu,umuvyara,umuvyara,mamamuto,mama,data,datamuto,marume,baba mkubwa,marume,mamamuto,marume,senge,baba mdogo,senge,senge,marume,senge,mamamuto,marume,mamamuto,baba mdogo,marume,mamamuto,mamamuto,senge,datamuto,baba mkubwa,senge,mama,data
6,0.17637079748138285,1.8818733235869265,1.7055025261055436,umwishiki,umwishiki,umuvyara,mwenewachu,mwenewachu,umuvyara,mwenewachu,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,mwenewachu,umuvyara,umuvyara,umuvyara,mwenewachu,umusaza,mwenewachu,mwenewachu,mwenewachu,umuvyara,umuvyara,umwishiki,umusaza,umuvyara,umusaza,umuvyara,umuvyara,mwenewachu,umusaza,umuvyara,umurumuna,mukuru,umwishiki,mwenewachu,mwenewachu,umuvyara,umwishiki,umuvyara,mwenewachu,umwishiki,umwishiki,umuvyara,umuvyara,umusaza,umuvyara,umusaza,umuvyara,mwenewachu,umuvyara,umuvyara,umuvyara,umusaza,umwishiki,umuvyara,mwenewachu,umwishiki,umuvyara,umuvyara,mukuru,umwishiki,umurumuna,umwishiki,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,mwenewachu,umusaza,umusaza,umuvyara,umuvyara,umuvyara,mwenewachu,umuvyara,mwenewachu,mwenewachu,umuvyara,umusaza,umuvyara,umuvyara,mwenewachu,marume,senge,baba mdogo,senge,marume,senge,mama,baba mdogo,senge,mama,baba mkubwa,marume,senge,mamamuto,marume,mamamuto,data,marume,baba mkubwa,mamamuto,mamamuto,mamamuto,marume,data,mamamuto,datamuto,senge,datamuto
7,0.24171398151563372,1.9205643013474083,1.6788503198317746,mukuru,umwishiki,umuvyara,umuvyara,mwenewachu,umuvyara,mukuru,umuvyara,mwenewachu,umuvyara,mwenewachu,umusaza,umuvyara,umwishiki,umurumuna,umwishiki,umuvyara,umuvyara,umuvyara,umwishiki,mwenewachu,mwenewachu,umusaza,umwishiki,umusaza,mwenewachu,umuvyara,umuvyara,umusaza,mwenewachu,mwenewachu,mwenewachu,umuvyara,umusaza,umwishiki,umuvyara,umuvyara,umwishiki,umwishiki,umuvyara,mwenewachu,mwenewachu,mwenewachu,umuvyara,umuvyara,mwenewachu,mwenewachu,umuvyara,umwishiki,mwenewachu,umuvyara,umuvyara,umuvyara,umuvyara,mwenewachu,umuvyara,umusaza,umuvyara,umusaza,umuvyara,umuvyara,mwenewachu,umuvyara,umusaza,umuvyara,umuvyara,umwishiki,umuvyara,umusaza,mwenewachu,umuvyara,umuvyara,umuvyara,umwishiki,umuvyara,umuvyara,umusaza,umuvyara,umuvyara,umuvyara,mwenewachu,umurumuna,umuvyara,umuvyara,mama,marume,senge,mamamuto,senge,senge,mamamuto,mama,marume,marume,marume,datamuto,senge,data,mamamuto,baba mkubwa,mamamuto,mamamuto,data,baba mdogo,mamamuto,senge,datamuto,marume,baba mkubwa,senge,marume,baba mdogo
8,0.246049572156821,1.9311497251215455,1.6851001529647245,umuvyara,mwenewachu,umusaza,umuvyara,umusaza,umuvyara,umuvyara,umwishiki,umuvyara,umuvyara,mukuru,umwishiki,umuvyara,umuvyara,umuvyara,mukuru,umuvyara,umuvyara,umuvyara,umurumuna,umuvyara,umusaza,mwenewachu,mwenewachu,umuvyara,umuvyara,umuvyara,mwenewachu,umuvyara,umwishiki,umusaza,umuvyara,umuvyara,mwenewachu,mwenewachu,mwenewachu,umwishiki,umuvyara,umusaza,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,mwenewachu,umwishiki,umuvyara,mwenewachu,umuvyara,umuvyara,mwenewachu,mwenewachu,umusaza,umuvyara,mwenewachu,mwenewachu,umurumuna,umusaza,umuvyara,umuvyara,mwenewachu,umuvyara,umuvyara,umusaza,umusaza,umuvyara,mwenewachu,umwishiki,umuvyara,umwishiki,umuvyara,umwishiki,umuvyara,umuvyara,mwenewachu,mwenewachu,umwishiki,umuvyara,umwishiki,umuvyara,mwenewachu,mwenewachu,umusaza,umwishiki,mama,baba mdogo,mamamuto,mamamuto,marume,marume,mamamuto,mamamuto,datamuto,marume,senge,data,marume,mama,data,marume,senge,mamamuto,senge,baba mdogo,datamuto,senge,senge,marume,mamamuto,senge,baba mkubwa,baba mkubwa
9,0.23252343429265454,1.9089321969644788,1.6764087626718243,umuvyara,mwenewachu,umusaza,umusaza,umuvyara,umuvyara,umwishiki,umuvyara,umurumuna,mukuru,umuvyara,mwenewachu,umwishiki,mwenewachu,mwenewachu,mwenewachu,mukuru,umuvyara,umuvyara,umusaza,umuvyara,mwenewachu,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,umuvyara,umwishiki,umusaza,mwenewachu,umusaza,mwenewachu,umuvyara,umuvyara,mwenewachu,mwenewachu,umuvyara,umuvyara,umuvyara,umurumuna,umuvyara,umusaza,mwenewachu,umuvyara,mwenewachu,mwenewachu,umuvyara,umuvyara,umwishiki,umuvyara,mwenewachu,umuvyara,umuvyara,umuvyara,umuvyara,umwishiki,mwenewachu,umusaza,umuvyara,umwishiki,umuvyara,umusaza,umwishiki,umuvyara,umuvyara,umuvyara,mwenewachu,umusaza,mwenewachu,mwenewachu,umwishiki,umuvyara,umuvyara,umusaza,umwishiki,umuvyara,umuvyara,umuvyara,mwenewachu,umuvyara,umuvyara,umwishiki,umwishiki,marume,senge,marume,senge,senge,data,marume,baba mdogo,baba mdogo,mamamuto,senge,mama,mamamuto,marume,baba mkubwa,marume,mamamuto,mamamuto,datamuto,senge,baba mkubwa,mamamuto,data,mama,datamuto,marume,senge,mamamuto
