simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mZ,fZ,mF,mM,mFZ,mMB,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fMZ,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mFB,mFeB,mFyB,fFB,fFeB,fFyB
0,0.11341727498919818,1.3757155648326997,1.2622982898435016,jamirti,tyurtu,jamirti,jurtu,marlanku,malangu,kurta,tyurtu,jamirti,jurtu,jurtu,jurtu,jamirti,papartu,marlanku,kurta,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,kurta,jamirti,marlanku,jamirti,jamirti,jamirti,marlanku,malangu,kurta,jamirti,jamirti,jurtu,jamirti,jurtu,jurtu,tyurtu,jamirti,jamirti,tyurtu,marlanku,tyurtu,jamirti,jamirti,kurta,jamirti,tyurtu,papartu,jamirti,tyurtu,kurta,kurta,tyurtu,pupu,malangu,malangu,jamirti,jurtu,jurtu,marlanku,jurtu,pupu,jamirti,marlanku,marlanku,jamirti,jamirti,marlanku,kurta,jamirti,tyurtu,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jurtu,jurtu,tyurtu,tyurtu,kurta,jamirti,jamirti,kurta,jamirti,mama,yipi,kamuru,mama,mama,mama,kamuru,kamuru,yaparli,yaparli,yipi,yipi,yaparli,kamuru,yaparli,yipi,yipi,mama,yaparli,yipi,kamuru,kamuru,yaparli,yipi,yipi,mama,mama,mama
1,0.15694580387625678,1.375294824480267,1.2183490206040102,kurta,tyurtu,jurtu,tyurtu,jurtu,malangu,jurtu,malangu,jamirti,kurta,jamirti,jamirti,tyurtu,jamirti,kurta,jamirti,pupu,kurta,jamirti,jurtu,marlanku,malangu,marlanku,kurta,jamirti,jamirti,tyurtu,jurtu,kurta,jamirti,jurtu,jamirti,jamirti,jamirti,tyurtu,jurtu,papartu,marlanku,jamirti,jamirti,jamirti,jamirti,jurtu,jamirti,kurta,jurtu,jamirti,jamirti,jamirti,tyurtu,kurta,marlanku,kurta,pupu,jamirti,jamirti,jamirti,jamirti,jurtu,jamirti,kurta,jamirti,jamirti,jurtu,jamirti,jamirti,jamirti,jamirti,marlanku,tyurtu,jamirti,jamirti,marlanku,jurtu,marlanku,jamirti,papartu,tyurtu,jamirti,malangu,marlanku,tyurtu,tyurtu,jamirti,jamirti,marlanku,jamirti,tyurtu,jamirti,jamirti,yaparli,mama,yaparli,yipi,yipi,mama,yaparli,kamuru,yipi,yipi,kamuru,yaparli,kamuru,yaparli,yaparli,mama,mama,kamuru,yipi,kamuru,mama,mama,yipi,mama,yipi,kamuru,yipi,mama
2,0.11241589826167697,1.3743370509143578,1.2619211526526808,jamirti,jamirti,marlanku,jamirti,jamirti,kurta,kurta,jamirti,jurtu,jamirti,marlanku,tyurtu,jamirti,marlanku,jurtu,kurta,jamirti,jurtu,jamirti,kurta,kurta,kurta,marlanku,papartu,jurtu,jamirti,tyurtu,tyurtu,malangu,jamirti,jamirti,jamirti,jamirti,marlanku,kurta,jurtu,jamirti,jamirti,jamirti,pupu,jamirti,tyurtu,jamirti,jurtu,tyurtu,jamirti,kurta,jamirti,jurtu,jamirti,tyurtu,marlanku,tyurtu,kurta,tyurtu,tyurtu,jamirti,jamirti,kurta,jurtu,jamirti,jamirti,tyurtu,jamirti,jamirti,jurtu,jamirti,jamirti,malangu,jamirti,tyurtu,marlanku,jamirti,malangu,jurtu,jamirti,jurtu,jamirti,marlanku,jamirti,jamirti,malangu,jamirti,jamirti,jamirti,pupu,papartu,jamirti,jurtu,marlanku,mama,kamuru,yipi,kamuru,mama,yipi,yaparli,yipi,mama,kamuru,yipi,yaparli,kamuru,yipi,yipi,yipi,kamuru,mama,yaparli,mama,kamuru,yaparli,yaparli,mama,mama,yaparli,yipi,mama
3,0.16063412507206642,1.3767394504716577,1.2161053253995913,papartu,jamirti,tyurtu,jamirti,jurtu,kurta,jamirti,jamirti,jamirti,kurta,jamirti,jamirti,marlanku,tyurtu,jurtu,marlanku,jurtu,tyurtu,jurtu,tyurtu,jamirti,jamirti,marlanku,jurtu,jamirti,tyurtu,kurta,malangu,malangu,tyurtu,kurta,jamirti,malangu,kurta,tyurtu,jamirti,kurta,jurtu,jamirti,jamirti,jamirti,jamirti,tyurtu,marlanku,jamirti,marlanku,marlanku,jamirti,jamirti,jamirti,kurta,jamirti,jurtu,marlanku,kurta,jamirti,kurta,jamirti,tyurtu,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,pupu,tyurtu,marlanku,jamirti,jamirti,kurta,jamirti,jamirti,jurtu,jurtu,jurtu,jamirti,jurtu,jamirti,jamirti,pupu,jurtu,jamirti,papartu,jamirti,marlanku,jamirti,jamirti,tyurtu,malangu,yaparli,mama,mama,kamuru,yipi,yaparli,mama,yipi,mama,yaparli,yipi,mama,mama,yaparli,yipi,kamuru,mama,mama,kamuru,yipi,yaparli,yipi,kamuru,yipi,yipi,kamuru,kamuru,yaparli
4,0.15898586385585878,1.3735634437279267,1.214577579872068,jamirti,jamirti,kurta,jamirti,kurta,jurtu,jamirti,jamirti,kurta,jamirti,jamirti,marlanku,jurtu,jamirti,jurtu,tyurtu,tyurtu,jamirti,marlanku,kurta,tyurtu,jamirti,pupu,marlanku,jurtu,malangu,marlanku,jurtu,malangu,tyurtu,jamirti,marlanku,kurta,jamirti,jamirti,jamirti,tyurtu,jamirti,marlanku,jamirti,jamirti,kurta,malangu,tyurtu,jamirti,marlanku,kurta,jamirti,jamirti,jamirti,jurtu,malangu,jamirti,tyurtu,tyurtu,jamirti,kurta,jurtu,papartu,marlanku,kurta,papartu,jamirti,jamirti,jamirti,jamirti,tyurtu,jurtu,jamirti,marlanku,jurtu,jamirti,jurtu,jurtu,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,pupu,tyurtu,jurtu,jamirti,kurta,jamirti,jamirti,tyurtu,jamirti,kamuru,yipi,kamuru,yaparli,kamuru,yaparli,yipi,mama,kamuru,mama,kamuru,mama,yipi,yaparli,yipi,yipi,yaparli,yipi,mama,kamuru,mama,yipi,mama,yipi,yaparli,mama,mama,yaparli
5,0.17738325452600123,1.3762322936988687,1.1988490391728674,jamirti,marlanku,jamirti,marlanku,jamirti,marlanku,kurta,papartu,jamirti,jamirti,papartu,jamirti,malangu,jamirti,marlanku,pupu,jurtu,tyurtu,jurtu,kurta,tyurtu,kurta,tyurtu,jurtu,jamirti,tyurtu,jamirti,jamirti,tyurtu,tyurtu,kurta,jurtu,tyurtu,tyurtu,pupu,jamirti,marlanku,jamirti,jamirti,jamirti,kurta,jamirti,malangu,jamirti,jamirti,jamirti,jurtu,jamirti,kurta,jamirti,jamirti,jamirti,jurtu,jamirti,tyurtu,malangu,marlanku,jamirti,jurtu,tyurtu,jamirti,marlanku,malangu,kurta,jamirti,jamirti,jurtu,jamirti,jamirti,marlanku,kurta,jurtu,jamirti,jamirti,tyurtu,jamirti,marlanku,kurta,jamirti,jurtu,jamirti,jurtu,jamirti,jamirti,jamirti,jamirti,kurta,jamirti,jamirti,jurtu,yaparli,yaparli,yipi,yipi,mama,mama,yipi,mama,mama,kamuru,mama,kamuru,yipi,yaparli,kamuru,yipi,yipi,yaparli,yipi,yipi,mama,mama,yaparli,kamuru,mama,kamuru,yaparli,kamuru
6,0.1197475415057927,1.3836079432099158,1.263860401704123,jurtu,kurta,tyurtu,jurtu,jamirti,tyurtu,jamirti,jurtu,jurtu,jamirti,jamirti,papartu,jamirti,jamirti,jamirti,tyurtu,tyurtu,pupu,jamirti,jamirti,tyurtu,jamirti,kurta,kurta,jamirti,jamirti,marlanku,jamirti,tyurtu,jamirti,jurtu,jamirti,jamirti,jamirti,malangu,kurta,papartu,tyurtu,jamirti,jamirti,jurtu,jamirti,jamirti,jamirti,jamirti,marlanku,jurtu,malangu,jamirti,jurtu,jurtu,kurta,tyurtu,kurta,jamirti,malangu,jurtu,jamirti,jamirti,jamirti,jamirti,jamirti,tyurtu,marlanku,jamirti,jamirti,jamirti,kurta,tyurtu,jamirti,jamirti,marlanku,jurtu,marlanku,malangu,jamirti,jamirti,jamirti,kurta,marlanku,marlanku,jurtu,kurta,marlanku,kurta,marlanku,pupu,tyurtu,jamirti,jamirti,yipi,mama,yaparli,yipi,kamuru,yaparli,yaparli,yipi,yaparli,mama,yipi,mama,yaparli,kamuru,mama,kamuru,mama,yipi,yipi,kamuru,yipi,mama,yaparli,mama,yipi,kamuru,kamuru,mama
7,0.14982137375402904,1.3669163643352238,1.2170949905811947,jamirti,jamirti,jamirti,jamirti,pupu,jamirti,jamirti,tyurtu,tyurtu,marlanku,jurtu,jamirti,tyurtu,jamirti,papartu,kurta,tyurtu,jamirti,jurtu,tyurtu,marlanku,jurtu,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,kurta,jamirti,kurta,jurtu,jurtu,marlanku,tyurtu,marlanku,jurtu,jurtu,jamirti,tyurtu,kurta,tyurtu,jamirti,pupu,jamirti,malangu,jamirti,jamirti,kurta,kurta,malangu,jamirti,jamirti,tyurtu,malangu,marlanku,jamirti,jurtu,jamirti,marlanku,jamirti,jamirti,marlanku,jurtu,kurta,jurtu,kurta,marlanku,jamirti,jamirti,jurtu,jamirti,jamirti,kurta,jurtu,papartu,jamirti,malangu,tyurtu,jamirti,jamirti,jamirti,jamirti,tyurtu,kurta,jamirti,jamirti,jamirti,marlanku,jamirti,yipi,mama,kamuru,kamuru,yaparli,mama,yipi,yaparli,kamuru,kamuru,kamuru,mama,mama,mama,mama,yipi,yaparli,yaparli,mama,yipi,yaparli,yipi,yipi,yipi,mama,yaparli,yipi,kamuru
8,0.10625183964404683,1.3765511172760503,1.2702992776320035,tyurtu,kurta,kurta,jurtu,jamirti,kurta,malangu,jurtu,jurtu,jamirti,kurta,malangu,jurtu,jamirti,tyurtu,jamirti,jamirti,kurta,tyurtu,jamirti,jamirti,jurtu,jamirti,jamirti,tyurtu,jamirti,jamirti,tyurtu,jamirti,jurtu,kurta,jurtu,jamirti,jamirti,malangu,jurtu,kurta,jamirti,tyurtu,jamirti,marlanku,jamirti,jamirti,jamirti,kurta,jurtu,pupu,marlanku,malangu,jurtu,jamirti,jamirti,marlanku,jamirti,papartu,tyurtu,marlanku,jamirti,jamirti,jamirti,jamirti,jamirti,marlanku,jurtu,marlanku,tyurtu,kurta,marlanku,jamirti,tyurtu,kurta,jamirti,pupu,papartu,jamirti,jamirti,tyurtu,jamirti,marlanku,marlanku,jamirti,jamirti,jamirti,jurtu,jamirti,jamirti,jamirti,jamirti,jamirti,tyurtu,kamuru,kamuru,mama,yipi,yaparli,mama,yipi,yaparli,mama,yaparli,yaparli,yipi,yipi,mama,yipi,yaparli,kamuru,yaparli,mama,mama,kamuru,yipi,yipi,kamuru,mama,kamuru,yipi,mama
9,0.13048123588158544,1.3765511172760503,1.2460698813944648,marlanku,tyurtu,jamirti,jamirti,jamirti,jurtu,jamirti,jamirti,marlanku,kurta,jamirti,kurta,malangu,kurta,jamirti,jamirti,jamirti,pupu,jamirti,jamirti,jamirti,jamirti,jamirti,jurtu,jamirti,jamirti,tyurtu,tyurtu,jurtu,jamirti,papartu,tyurtu,jamirti,jurtu,jamirti,jamirti,tyurtu,jurtu,kurta,jamirti,jurtu,tyurtu,jamirti,jamirti,tyurtu,kurta,marlanku,marlanku,jamirti,jamirti,marlanku,jurtu,malangu,jamirti,jamirti,marlanku,jurtu,jamirti,jamirti,kurta,jamirti,jamirti,jamirti,tyurtu,marlanku,tyurtu,jamirti,jamirti,tyurtu,jamirti,jurtu,jurtu,jurtu,tyurtu,jurtu,papartu,kurta,jamirti,kurta,malangu,pupu,jamirti,marlanku,kurta,jamirti,kurta,jamirti,marlanku,malangu,jamirti,mama,yipi,mama,yipi,yipi,yaparli,yaparli,kamuru,mama,mama,mama,yipi,yipi,yaparli,yaparli,kamuru,kamuru,kamuru,yipi,yipi,mama,yaparli,yaparli,kamuru,yipi,kamuru,mama,mama
