simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,meZ,feZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.15545486324032098,1.3722083857267477,1.2167535224864268,thithi,thithi,thithi,yarnti,kaku,tyarta,yaku,thithi,tyarta,yarnti,tyarta,wangi,tyarta,thithi,yarnti,yarnti,yarnti,kaku,tyarta,tyarta,tyarta,tyarta,yarnti,kaku,tyarta,kaku,kaku,yarnti,kaku,thithi,yarnti,kaku,wangi,kaku,kaku,wangi,tyarta,thithi,thithi,thithi,thithi,kaku,wangi,yarnti,thithi,yaku,tyarta,tyarta,yarnti,wangi,yarnti,kaku,tyarta,yarnti,kaku,yarnti,tyarta,thithi,kaku,tyarta,yarnti,thithi,kaku,yarnti,kaku,kaku,thithi,tyarta,tyarta,kaku,kaku,wangi,yarnti,tyarta,thithi,kaku,tyarta,kaku,thithi,yarnti,kaku,tyarta,yarnti,thithi,thithi,thithi,yarnti,yarnti,thithi,ngamari,ngamari,yami,yapiri,ngamari,ngarlu,yami,yami,yapiri,yapiri,yapiri,ngamari,ngarlu,yapiri,yapiri,ngarlu,yapiri,ngarlu,ngarlu,ngamari,ngarlu,yapiri,yami,ngamari,ngamari,yami,yami,ngamari
1,0.09392224698073681,1.3723995140310494,1.2784772670503126,yarnti,tyarta,wangi,yarnti,yarnti,thithi,yarnti,tyarta,tyarta,tyarta,tyarta,wangi,tyarta,kaku,kaku,kaku,thithi,thithi,yarnti,thithi,yarnti,yarnti,wangi,wangi,yaku,kaku,yaku,tyarta,tyarta,thithi,kaku,kaku,yarnti,wangi,tyarta,thithi,thithi,yarnti,tyarta,thithi,thithi,kaku,wangi,thithi,kaku,kaku,kaku,kaku,kaku,yarnti,yarnti,kaku,yarnti,tyarta,yarnti,thithi,yarnti,tyarta,kaku,tyarta,kaku,thithi,thithi,tyarta,kaku,yarnti,thithi,thithi,thithi,kaku,tyarta,yarnti,tyarta,yarnti,tyarta,yarnti,tyarta,kaku,tyarta,thithi,kaku,thithi,yarnti,thithi,kaku,yarnti,kaku,tyarta,thithi,yapiri,ngamari,ngamari,ngarlu,ngarlu,yapiri,ngamari,ngarlu,yapiri,ngamari,ngamari,ngarlu,yami,yami,ngarlu,yami,yapiri,yapiri,yami,ngamari,yapiri,yapiri,ngarlu,ngamari,yami,yami,yapiri,ngamari
2,0.08610202123762223,1.3589152427676838,1.2728132215300616,kaku,kaku,yarnti,thithi,yarnti,yarnti,kaku,kaku,tyarta,tyarta,thithi,kaku,kaku,kaku,tyarta,tyarta,tyarta,tyarta,yarnti,thithi,tyarta,tyarta,thithi,tyarta,thithi,thithi,kaku,kaku,kaku,yarnti,wangi,yarnti,yarnti,wangi,kaku,kaku,yarnti,kaku,yarnti,tyarta,thithi,yaku,kaku,thithi,kaku,wangi,yaku,tyarta,wangi,thithi,yarnti,kaku,tyarta,kaku,kaku,yarnti,thithi,thithi,thithi,thithi,yarnti,tyarta,tyarta,yarnti,yarnti,thithi,yarnti,tyarta,thithi,thithi,tyarta,thithi,wangi,tyarta,wangi,kaku,yarnti,thithi,tyarta,yarnti,kaku,yarnti,tyarta,thithi,thithi,yarnti,yarnti,tyarta,kaku,ngamari,ngarlu,yami,ngamari,yapiri,ngamari,yami,yapiri,yapiri,ngarlu,ngamari,yapiri,yapiri,yami,ngamari,ngarlu,ngamari,ngamari,yami,yami,yapiri,yami,yapiri,yapiri,ngamari,ngarlu,ngarlu,ngarlu
3,0.0944743215179209,1.3724192334223968,1.277944911904476,yarnti,yarnti,thithi,yarnti,tyarta,kaku,wangi,yarnti,yarnti,yarnti,tyarta,tyarta,tyarta,yaku,kaku,thithi,thithi,thithi,kaku,tyarta,thithi,tyarta,yarnti,yarnti,tyarta,kaku,wangi,tyarta,kaku,kaku,tyarta,thithi,tyarta,thithi,tyarta,tyarta,yaku,yarnti,wangi,thithi,thithi,yarnti,kaku,tyarta,kaku,wangi,thithi,yarnti,wangi,yarnti,yarnti,yarnti,tyarta,tyarta,yarnti,thithi,tyarta,thithi,yarnti,kaku,kaku,tyarta,thithi,yarnti,thithi,tyarta,kaku,kaku,thithi,tyarta,kaku,thithi,yarnti,kaku,thithi,yarnti,kaku,thithi,yarnti,tyarta,thithi,thithi,wangi,kaku,kaku,kaku,kaku,kaku,kaku,ngarlu,yapiri,yami,yapiri,ngamari,yapiri,ngarlu,ngarlu,ngarlu,yapiri,yami,ngarlu,yapiri,yami,yapiri,ngarlu,yami,yami,ngamari,ngamari,ngamari,ngamari,ngamari,ngamari,yami,yapiri,yapiri,ngamari
4,0.09660310353870227,1.3788253651527442,1.282222261614042,thithi,kaku,thithi,tyarta,thithi,thithi,wangi,thithi,thithi,kaku,thithi,tyarta,yarnti,tyarta,kaku,tyarta,thithi,yarnti,tyarta,yarnti,tyarta,tyarta,yarnti,tyarta,yarnti,tyarta,kaku,kaku,yarnti,yarnti,kaku,yarnti,yarnti,kaku,kaku,yarnti,thithi,tyarta,wangi,kaku,thithi,yarnti,thithi,tyarta,thithi,yaku,yaku,kaku,kaku,wangi,tyarta,yarnti,yarnti,kaku,tyarta,kaku,thithi,kaku,yarnti,yarnti,thithi,tyarta,tyarta,tyarta,wangi,tyarta,kaku,thithi,thithi,yarnti,thithi,kaku,thithi,kaku,tyarta,yarnti,kaku,thithi,wangi,yarnti,thithi,wangi,tyarta,yarnti,kaku,kaku,yarnti,tyarta,kaku,ngarlu,ngarlu,yapiri,yami,yami,ngamari,ngamari,ngarlu,yapiri,ngamari,yami,yapiri,yami,yapiri,yapiri,yapiri,yami,yapiri,ngarlu,ngamari,yapiri,ngarlu,yami,ngamari,ngamari,ngamari,ngamari,ngarlu
5,0.11716831590032273,1.3853485275539863,1.2681802116536636,kaku,kaku,kaku,yarnti,kaku,tyarta,wangi,tyarta,thithi,yaku,tyarta,kaku,yarnti,tyarta,yarnti,yaku,kaku,yarnti,kaku,tyarta,thithi,yarnti,kaku,tyarta,yarnti,yarnti,tyarta,kaku,tyarta,kaku,kaku,tyarta,thithi,wangi,tyarta,yarnti,thithi,kaku,thithi,yarnti,yarnti,thithi,tyarta,thithi,tyarta,kaku,tyarta,yarnti,kaku,thithi,thithi,yarnti,kaku,wangi,yarnti,thithi,tyarta,yarnti,kaku,wangi,yarnti,thithi,thithi,thithi,thithi,yarnti,kaku,kaku,tyarta,tyarta,kaku,yarnti,yarnti,thithi,tyarta,thithi,yarnti,thithi,kaku,tyarta,wangi,thithi,yarnti,tyarta,kaku,thithi,wangi,thithi,tyarta,ngamari,yapiri,yami,ngarlu,yami,ngarlu,ngamari,yapiri,ngamari,ngamari,yami,ngarlu,yapiri,ngarlu,yapiri,ngamari,yami,ngarlu,yapiri,ngamari,ngamari,yapiri,yapiri,yami,ngamari,yapiri,yami,ngarlu
6,0.11277358600941079,1.3586780550074578,1.245904468998047,yaku,thithi,thithi,yarnti,yarnti,thithi,kaku,tyarta,yarnti,yarnti,thithi,tyarta,yarnti,yarnti,kaku,yarnti,tyarta,tyarta,thithi,thithi,kaku,yarnti,tyarta,tyarta,kaku,yaku,tyarta,thithi,thithi,kaku,tyarta,tyarta,tyarta,yarnti,thithi,yarnti,tyarta,wangi,thithi,kaku,kaku,yarnti,yarnti,kaku,thithi,kaku,kaku,tyarta,kaku,wangi,tyarta,kaku,thithi,yarnti,tyarta,thithi,thithi,thithi,tyarta,thithi,yarnti,yarnti,kaku,tyarta,yarnti,yarnti,yarnti,kaku,wangi,kaku,thithi,thithi,kaku,tyarta,tyarta,thithi,kaku,wangi,yarnti,wangi,kaku,thithi,yarnti,wangi,tyarta,kaku,kaku,kaku,tyarta,ngarlu,yapiri,ngamari,yami,yapiri,ngarlu,ngamari,ngarlu,ngamari,yami,ngarlu,ngamari,ngamari,yami,yapiri,yami,yapiri,ngamari,yapiri,yapiri,yami,ngamari,yapiri,yami,ngamari,ngarlu,ngarlu,yapiri
7,0.04213550562668278,1.368793412425428,1.3266579067987452,kaku,yarnti,thithi,yarnti,tyarta,yarnti,yaku,thithi,wangi,kaku,thithi,tyarta,tyarta,kaku,kaku,yarnti,wangi,tyarta,thithi,thithi,yarnti,kaku,thithi,kaku,yarnti,kaku,yarnti,tyarta,thithi,thithi,thithi,kaku,thithi,wangi,thithi,thithi,wangi,kaku,tyarta,tyarta,tyarta,kaku,thithi,yarnti,tyarta,yarnti,tyarta,thithi,tyarta,yarnti,tyarta,yarnti,thithi,yarnti,yarnti,kaku,kaku,thithi,tyarta,kaku,tyarta,yarnti,wangi,yarnti,yarnti,yarnti,kaku,tyarta,kaku,tyarta,tyarta,kaku,yaku,kaku,tyarta,thithi,yarnti,thithi,kaku,tyarta,yarnti,kaku,wangi,kaku,yarnti,kaku,thithi,tyarta,thithi,ngamari,ngarlu,yami,yapiri,ngarlu,yami,ngamari,yapiri,yapiri,yapiri,ngamari,yami,yapiri,ngamari,ngarlu,yapiri,ngamari,yapiri,ngamari,ngamari,ngarlu,yami,yapiri,ngarlu,yami,ngarlu,yami,ngamari
8,0.09579836199972158,1.3758674975318248,1.2800691355321032,kaku,yarnti,thithi,tyarta,kaku,tyarta,yarnti,tyarta,thithi,kaku,kaku,wangi,tyarta,thithi,kaku,yarnti,yarnti,thithi,thithi,tyarta,thithi,kaku,kaku,kaku,kaku,kaku,yaku,tyarta,yarnti,tyarta,wangi,wangi,kaku,kaku,tyarta,tyarta,thithi,thithi,tyarta,thithi,tyarta,yarnti,tyarta,kaku,yarnti,yarnti,yarnti,kaku,thithi,tyarta,tyarta,thithi,kaku,yaku,tyarta,kaku,tyarta,tyarta,yarnti,yarnti,thithi,tyarta,thithi,tyarta,thithi,tyarta,thithi,yarnti,thithi,kaku,thithi,kaku,yarnti,thithi,yarnti,wangi,wangi,wangi,yarnti,kaku,yarnti,kaku,yarnti,thithi,kaku,yarnti,yarnti,thithi,yarnti,ngarlu,yami,ngamari,yami,ngamari,ngamari,yami,yapiri,yami,ngarlu,ngarlu,ngamari,ngarlu,ngarlu,ngamari,yapiri,yapiri,yami,ngarlu,yapiri,yapiri,yapiri,yapiri,ngamari,ngamari,yami,ngamari,yapiri
9,0.12006218226147913,1.3775900673775552,1.257527885116076,yarnti,thithi,thithi,tyarta,yarnti,thithi,kaku,tyarta,thithi,kaku,kaku,thithi,thithi,yarnti,kaku,thithi,tyarta,yaku,tyarta,thithi,thithi,tyarta,wangi,yarnti,tyarta,tyarta,tyarta,tyarta,kaku,yarnti,kaku,tyarta,kaku,tyarta,thithi,kaku,thithi,wangi,yarnti,yarnti,yarnti,tyarta,thithi,kaku,kaku,yarnti,yaku,kaku,tyarta,yarnti,kaku,yarnti,wangi,tyarta,kaku,yarnti,yarnti,thithi,wangi,kaku,kaku,yarnti,tyarta,kaku,yarnti,tyarta,kaku,kaku,yarnti,thithi,kaku,thithi,thithi,wangi,thithi,yarnti,kaku,yarnti,yarnti,thithi,kaku,tyarta,tyarta,yarnti,thithi,tyarta,tyarta,wangi,thithi,ngamari,ngamari,ngarlu,yami,ngamari,ngamari,ngamari,yami,ngamari,yapiri,ngarlu,yapiri,ngarlu,yapiri,yami,yami,yami,yapiri,ngarlu,yapiri,yami,yapiri,ngamari,yapiri,yapiri,ngamari,ngarlu,ngarlu
