simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFBeS,mFByS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeD,mFByD,mFZeD,mFZyD,mMBeD,mMByD,mMZeD,mMZyD,fB,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeD,fFByD,fFZeD,fFZyD,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.24302968914504164,1.693015081679869,1.4499853925348274,samoppu,tangumpua,samoppu,tangumpua,samoppu,samoppu,tangumpua,tangumpua,tangumpua,tangumpua,tami(ttsi),samoppu,tangumpua,samoppu,samoppu,tami,tami,tangumpua,samoppu,samoppu,samoppu,patsi,papi,tangumpua,tangumpua,samoppu,tangumpua,tami,tangumpua,samoppu,tangumpua,samoppu,tami,nammi(ttsi),tangumpua,papi,samoppu,samompu,samoppu,samoppu,samoppu,tangumpua,tangumpua,samoppu,tangumpua,samoppu,samoppu,samoppu,samoppu,tangumpua,samoppu,samoppu,tangumpua,tami,tangumpua,tami,samoppu,nammi(ttsi),samoppu,samoppu,papi,papi,papi,tangumpua,papi,samoppu,tami,samoppu,samoppu,tangumpua,samoppu,samoppu,samoppu,patsi,papi,tangumpua,samoppu,samoppu,tangumpua,samoppu,papi,tami(ttsi),samoppu,samoppu,samoppu,tami,appü,pahwa,tsukuna,tokkwattsi,tokkwattsi,pahwa,pia,tsukuna,tsukuna,pahwa,pahwa,tsukuna,tokkwattsi,piasamoppu,piasamoppu,tsukuna,tokkwattsi,piasamoppu,appü,piasamoppu,tokkwattsi,piasamoppu,pahwa,tokkwattsi,tsukuna,piasamoppu,pia,pahwa
1,0.2664897219003486,1.698719547921943,1.4322298260215944,tangumpua,samoppu,samoppu,samoppu,samoppu,samoppu,samoppu,tami,samoppu,papi,tami,samoppu,samoppu,papi,tangumpua,tangumpua,tangumpua,papi,samoppu,samoppu,tami,samompu,tangumpua,tangumpua,samoppu,samoppu,samoppu,nammi(ttsi),samoppu,tangumpua,tami,samoppu,samoppu,tami(ttsi),tangumpua,samoppu,samoppu,papi,tangumpua,tangumpua,tangumpua,samoppu,tangumpua,tangumpua,patsi,samoppu,samoppu,samoppu,tami,papi,tami,tangumpua,samoppu,samoppu,samoppu,tangumpua,samoppu,tangumpua,samoppu,tami,samoppu,samoppu,papi,tangumpua,samoppu,samoppu,samoppu,samoppu,samoppu,nammi(ttsi),tangumpua,samoppu,tami(ttsi),tangumpua,papi,tami,samoppu,tangumpua,tangumpua,tangumpua,samoppu,samoppu,patsi,tangumpua,tangumpua,papi,tokkwattsi,tokkwattsi,pahwa,appü,appü,tsukuna,piasamoppu,tokkwattsi,tsukuna,tsukuna,piasamoppu,piasamoppu,pia,piasamoppu,piasamoppu,tsukuna,pahwa,tokkwattsi,tsukuna,pahwa,pia,piasamoppu,tsukuna,pahwa,tokkwattsi,tokkwattsi,pahwa,pahwa
2,0.20166157239563964,1.7260854337187839,1.5244238613231442,tangumpua,papi,samoppu,nammi(ttsi),tangumpua,tangumpua,samoppu,samoppu,samoppu,tami,tangumpua,tangumpua,nammi(ttsi),samoppu,tangumpua,tangumpua,samoppu,papi,tami,tangumpua,tami,samoppu,samoppu,samoppu,tangumpua,samoppu,samoppu,tami,samoppu,tangumpua,papi,samoppu,tangumpua,samoppu,tangumpua,tangumpua,samoppu,samoppu,tangumpua,tangumpua,samoppu,samoppu,samoppu,tangumpua,samoppu,samoppu,samoppu,papi,samoppu,tami(ttsi),samoppu,samoppu,samoppu,patsi,papi,tangumpua,tangumpua,samoppu,samoppu,samoppu,tangumpua,tangumpua,tangumpua,samoppu,tami,samompu,samoppu,tami(ttsi),samoppu,papi,tami,samoppu,tangumpua,samoppu,samoppu,patsi,papi,samoppu,tangumpua,samoppu,tami,samoppu,tami,samoppu,tangumpua,papi,tokkwattsi,pahwa,pia,piasamoppu,tsukuna,piasamoppu,tokkwattsi,pia,piasamoppu,tokkwattsi,pahwa,tsukuna,pahwa,tsukuna,tsukuna,appü,tokkwattsi,appü,tokkwattsi,pahwa,pahwa,piasamoppu,pahwa,tsukuna,piasamoppu,piasamoppu,tokkwattsi,tsukuna
3,0.19382048608021996,1.6551409555105723,1.4613204694303523,samoppu,tangumpua,papi,samompu,tangumpua,samoppu,tangumpua,tangumpua,tangumpua,samoppu,samoppu,papi,tami,samoppu,samoppu,samoppu,tami(ttsi),papi,samoppu,samoppu,samoppu,papi,tami,samoppu,tangumpua,tangumpua,nammi(ttsi),samoppu,samoppu,samoppu,tami,samoppu,samoppu,tami,samoppu,tangumpua,tangumpua,samoppu,papi,samoppu,tangumpua,tangumpua,samoppu,tami,tangumpua,samoppu,patsi,tangumpua,papi,nammi(ttsi),samoppu,tangumpua,samoppu,tangumpua,tangumpua,samoppu,samoppu,samoppu,tami,papi,samoppu,tangumpua,tangumpua,tangumpua,samoppu,tangumpua,samoppu,samoppu,samoppu,samoppu,samoppu,tami,tangumpua,tangumpua,tangumpua,papi,samoppu,samoppu,samoppu,patsi,tami,tangumpua,samoppu,tami(ttsi),samoppu,samoppu,piasamoppu,tokkwattsi,pahwa,tsukuna,piasamoppu,tokkwattsi,piasamoppu,pahwa,appü,pahwa,tokkwattsi,piasamoppu,pahwa,tsukuna,tsukuna,tsukuna,piasamoppu,tokkwattsi,appü,piasamoppu,tokkwattsi,pia,tokkwattsi,pahwa,tsukuna,pia,tsukuna,pahwa
4,0.20520046982602125,1.659138100678228,1.4539376308522067,tangumpua,tami,samoppu,samoppu,nammi(ttsi),patsi,samoppu,samoppu,tangumpua,patsi,samoppu,samoppu,tami(ttsi),tami,tangumpua,samoppu,tangumpua,samoppu,samompu,tangumpua,samoppu,samoppu,samoppu,samoppu,tangumpua,tami,samoppu,papi,tangumpua,tangumpua,tangumpua,tangumpua,samoppu,samoppu,tangumpua,tami,papi,tangumpua,papi,tangumpua,samoppu,papi,tangumpua,samoppu,samoppu,samoppu,samoppu,papi,tangumpua,tangumpua,tangumpua,samoppu,tangumpua,tami,samoppu,papi,tangumpua,samoppu,samoppu,samoppu,papi,tangumpua,samoppu,samoppu,tami,samoppu,samoppu,samoppu,papi,tangumpua,tami(ttsi),samoppu,samoppu,samoppu,tami,samoppu,nammi(ttsi),tangumpua,samoppu,tami,tangumpua,samoppu,samoppu,samoppu,samoppu,tangumpua,piasamoppu,tokkwattsi,piasamoppu,piasamoppu,tsukuna,piasamoppu,piasamoppu,tsukuna,pahwa,tokkwattsi,piasamoppu,pahwa,pahwa,tokkwattsi,appü,tokkwattsi,tsukuna,pahwa,tokkwattsi,tsukuna,tsukuna,tokkwattsi,tsukuna,pia,pahwa,pia,pahwa,appü
5,0.26293284186867205,1.6660991105825704,1.4031662687138984,tangumpua,tangumpua,samoppu,samoppu,samoppu,papi,papi,samoppu,tami,samoppu,samoppu,papi,samoppu,tangumpua,patsi,samoppu,papi,samoppu,samoppu,samoppu,nammi(ttsi),tami,tami,papi,samoppu,samoppu,samoppu,tangumpua,nammi(ttsi),tangumpua,tangumpua,tangumpua,tangumpua,tangumpua,samoppu,tangumpua,samoppu,papi,samoppu,samoppu,samoppu,samoppu,samoppu,samoppu,tami(ttsi),tangumpua,papi,tami,samoppu,samoppu,tangumpua,tangumpua,samoppu,samoppu,samoppu,tami(ttsi),samoppu,samoppu,tangumpua,samoppu,tangumpua,samoppu,tangumpua,tangumpua,samoppu,samoppu,papi,tangumpua,samoppu,samoppu,tangumpua,samoppu,tangumpua,samoppu,patsi,tami,samoppu,tangumpua,tangumpua,tami,tangumpua,tangumpua,samompu,samoppu,tami,tami,tokkwattsi,tokkwattsi,piasamoppu,tsukuna,tsukuna,tokkwattsi,pia,pahwa,appü,piasamoppu,tsukuna,tsukuna,tokkwattsi,pahwa,appü,tokkwattsi,pahwa,piasamoppu,tsukuna,pahwa,tokkwattsi,piasamoppu,piasamoppu,pia,pahwa,tsukuna,pahwa,piasamoppu
6,0.22968614013430844,1.6504059286807224,1.420719788546414,samoppu,tangumpua,samoppu,samoppu,papi,tangumpua,samoppu,samoppu,samompu,samoppu,samoppu,samoppu,tangumpua,samoppu,samoppu,papi,tangumpua,tangumpua,samoppu,samoppu,tangumpua,samoppu,samoppu,papi,samoppu,tangumpua,samoppu,samoppu,tangumpua,samoppu,samoppu,samoppu,tangumpua,tami,tami,samoppu,patsi,tangumpua,tangumpua,tangumpua,papi,samoppu,tami,samoppu,tangumpua,samoppu,tami,tami(ttsi),samoppu,papi,samoppu,samoppu,tami,tangumpua,samoppu,tami,papi,tangumpua,samoppu,samoppu,tangumpua,tangumpua,tangumpua,samoppu,tangumpua,tami(ttsi),samoppu,patsi,samoppu,tami,samoppu,papi,tangumpua,papi,tangumpua,samoppu,tangumpua,samoppu,tami,nammi(ttsi),tangumpua,samoppu,tangumpua,samoppu,samoppu,nammi(ttsi),tsukuna,piasamoppu,pahwa,pahwa,tsukuna,pahwa,appü,tokkwattsi,tokkwattsi,tsukuna,tsukuna,pia,tokkwattsi,tsukuna,pahwa,tokkwattsi,tsukuna,tokkwattsi,piasamoppu,piasamoppu,pia,tokkwattsi,piasamoppu,pahwa,pahwa,piasamoppu,piasamoppu,appü
7,0.19357624063629553,1.6481550864243544,1.4545788457880588,samoppu,samoppu,tangumpua,samoppu,tami,samoppu,tangumpua,samoppu,samoppu,papi,samoppu,nammi(ttsi),samoppu,tangumpua,tangumpua,samoppu,tami(ttsi),samoppu,samoppu,samoppu,tami,tami,tangumpua,papi,samoppu,samoppu,tangumpua,samoppu,samoppu,samoppu,tangumpua,samoppu,patsi,papi,tangumpua,samoppu,samoppu,samoppu,nammi(ttsi),tangumpua,papi,tami,samoppu,samoppu,samoppu,tangumpua,tangumpua,samoppu,papi,samoppu,papi,samoppu,tangumpua,samoppu,tangumpua,tangumpua,samoppu,samoppu,tami(ttsi),samoppu,tangumpua,tangumpua,tangumpua,tami,samoppu,samoppu,tami,tangumpua,tangumpua,samoppu,samompu,samoppu,tangumpua,papi,samoppu,samoppu,papi,samoppu,samoppu,tangumpua,patsi,tangumpua,tami,tangumpua,tami,tangumpua,tokkwattsi,pia,tsukuna,tokkwattsi,piasamoppu,pahwa,piasamoppu,piasamoppu,appü,pahwa,tsukuna,tsukuna,tokkwattsi,tokkwattsi,pahwa,piasamoppu,tsukuna,pahwa,pahwa,tsukuna,pia,piasamoppu,appü,tokkwattsi,tsukuna,piasamoppu,pahwa,tokkwattsi
8,0.19770696672022692,1.6815010928223417,1.4837941261021148,samoppu,samoppu,samoppu,tangumpua,samoppu,papi,tangumpua,samoppu,samoppu,samoppu,tangumpua,tami,samompu,tangumpua,tangumpua,samoppu,samoppu,samoppu,tangumpua,tami(ttsi),samoppu,papi,tangumpua,samoppu,nammi(ttsi),samoppu,papi,samoppu,tangumpua,papi,samoppu,papi,samoppu,tangumpua,tangumpua,tangumpua,samoppu,papi,samoppu,tangumpua,tangumpua,samoppu,samoppu,tangumpua,samoppu,tangumpua,samoppu,tami,tangumpua,samoppu,papi,tangumpua,tangumpua,tangumpua,patsi,patsi,samoppu,samoppu,samoppu,samoppu,samoppu,tami,samoppu,tami,tangumpua,papi,samoppu,tami,samoppu,tami(ttsi),samoppu,samoppu,samoppu,samoppu,samoppu,tangumpua,samoppu,nammi(ttsi),tangumpua,tami,tangumpua,samoppu,tami,tangumpua,tami,samoppu,pahwa,tokkwattsi,tsukuna,piasamoppu,tokkwattsi,appü,pahwa,piasamoppu,piasamoppu,tsukuna,pia,tsukuna,tokkwattsi,tsukuna,pahwa,tokkwattsi,piasamoppu,pahwa,pahwa,piasamoppu,tokkwattsi,tokkwattsi,piasamoppu,tsukuna,pahwa,appü,tsukuna,pia
9,0.23612685319894666,1.7202195739492723,1.4840927207503256,samoppu,papi,patsi,samoppu,samoppu,samoppu,samoppu,tangumpua,patsi,tangumpua,samoppu,samoppu,samoppu,samoppu,samoppu,papi,tami,samoppu,tangumpua,samoppu,samoppu,tangumpua,tami,samoppu,tangumpua,tangumpua,samoppu,samoppu,tami,tangumpua,tami,tangumpua,samoppu,tangumpua,samompu,tangumpua,tangumpua,samoppu,samoppu,papi,samoppu,samoppu,samoppu,samoppu,tangumpua,tangumpua,papi,tangumpua,tangumpua,samoppu,samoppu,papi,tami,samoppu,nammi(ttsi),tangumpua,samoppu,papi,papi,samoppu,samoppu,samoppu,samoppu,samoppu,tami(ttsi),tangumpua,tangumpua,tami,samoppu,samoppu,tangumpua,tangumpua,samoppu,samoppu,tami,tami(ttsi),tami,nammi(ttsi),tangumpua,samoppu,tangumpua,samoppu,tangumpua,tangumpua,samoppu,papi,tsukuna,tokkwattsi,tokkwattsi,appü,pahwa,tsukuna,piasamoppu,tokkwattsi,tsukuna,tokkwattsi,pahwa,pia,pahwa,piasamoppu,piasamoppu,pia,pahwa,piasamoppu,appü,piasamoppu,tsukuna,pahwa,tsukuna,pahwa,tokkwattsi,piasamoppu,tokkwattsi,tsukuna
