simulation_number,mutual_information,entropy,conditional_entropy,myZ,mFBD,mMZD,mFBS,mMZS,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,mMZeD,mMZyD,fyB,fyZ,fFBD,fMZD,fFBS,fMZS,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMZyS,fMZeD,fMZyD
0,NA,NA,NA,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko
1,NA,NA,NA,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko
2,NA,NA,NA,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko
3,NA,NA,NA,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko
4,NA,NA,NA,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko
5,NA,NA,NA,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko
6,NA,NA,NA,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko
7,NA,NA,NA,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko
8,NA,NA,NA,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko
9,NA,NA,NA,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko,*tïpko
