simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.10030291578865125,1.457108276399275,1.3568053606106238,tamai,natui,tamai,veve,tamai,natui,veve,tuaga,veve,natui,natui,natui,tamai,tamai,veve,veve,natui,natui,tamai,veve,veve,natui,natui,tutuai,tutuai,tutuai,tutuai,tamai,tamai,natui,"tasiu, tasmatagaraqa",veve,"tasiu, tasmatagaraqa",natui,veve,veve,natui,natui,natui,natui,natui,natui,tamai,natui,natui,tamai,natui,veve,maraui,mama,vevegae,mama,maraui,veve,veve,mama,veve,vevegae,mama,vevegae,vevegae,maraui,veve,maraui,"tamak, mama, tamai",veve,"tamak, mama, tamai"
1,0.25446477575905857,1.5279636881936969,1.2734989124346383,tamai,tutuai,"tasiu, tasmatagaraqa",tutuai,"tasiu, tasmatagaraqa",tamai,natui,natui,tamai,veve,natui,veve,natui,tamai,tamai,natui,tutuai,natui,veve,natui,tamai,veve,natui,natui,veve,veve,veve,natui,natui,natui,tamai,natui,natui,veve,tutuai,tamai,tuaga,tamai,natui,tamai,natui,natui,veve,veve,natui,natui,natui,veve,maraui,mama,"tamak, mama, tamai",maraui,veve,mama,mama,maraui,vevegae,veve,veve,"tamak, mama, tamai",maraui,vevegae,mama,veve,veve,vevegae,vevegae
2,0.27859368524092365,1.298418156660238,1.0198244714193143,natui,veve,tuaga,tamai,natui,natui,natui,tutuai,tamai,tamai,veve,natui,veve,veve,tutuai,tamai,natui,tamai,tutuai,veve,natui,natui,"tasiu, tasmatagaraqa",natui,natui,tamai,veve,tamai,"tasiu, tasmatagaraqa",natui,natui,natui,tamai,natui,tamai,natui,veve,natui,natui,veve,veve,natui,tamai,veve,natui,natui,tutuai,maraui,mama,mama,veve,vevegae,veve,veve,vevegae,maraui,veve,maraui,mama,vevegae,maraui,veve,veve,vevegae,mama,"tamak, mama, tamai","tamak, mama, tamai"
3,0.11592083760635408,1.298418156660238,1.1824973190538839,veve,natui,veve,tamai,natui,tamai,tutuai,natui,tamai,natui,veve,natui,natui,natui,natui,natui,tamai,natui,veve,veve,natui,tamai,veve,veve,"tasiu, tasmatagaraqa",natui,natui,natui,tuaga,tamai,natui,natui,tamai,natui,veve,natui,natui,tutuai,veve,tutuai,tamai,tamai,"tasiu, tasmatagaraqa",tamai,natui,veve,tutuai,maraui,veve,mama,veve,vevegae,maraui,maraui,veve,vevegae,vevegae,mama,vevegae,veve,"tamak, mama, tamai",veve,mama,veve,mama,maraui,"tamak, mama, tamai"
4,0.2196945525021028,1.5250643963502455,1.3053698438481427,tamai,natui,veve,natui,veve,natui,natui,natui,tamai,tamai,natui,tutuai,tamai,veve,natui,"tasiu, tasmatagaraqa",tamai,veve,veve,natui,natui,tamai,tamai,natui,veve,natui,natui,tamai,tuaga,natui,veve,veve,natui,natui,tamai,natui,tutuai,tamai,natui,tutuai,natui,"tasiu, tasmatagaraqa",natui,veve,natui,tutuai,veve,"tamak, mama, tamai",vevegae,maraui,maraui,veve,mama,veve,"tamak, mama, tamai",veve,vevegae,veve,mama,mama,maraui,vevegae,veve,mama,veve,vevegae,maraui
5,0.37632832374367475,1.586971507092431,1.2106431833487563,veve,tamai,veve,veve,natui,tamai,"tasiu, tasmatagaraqa",natui,veve,natui,veve,veve,natui,natui,tutuai,tutuai,natui,tamai,natui,veve,natui,tutuai,tamai,veve,tutuai,natui,natui,natui,natui,veve,natui,natui,tamai,natui,tamai,veve,natui,tamai,natui,tamai,natui,"tasiu, tasmatagaraqa",tuaga,tamai,tamai,natui,natui,"tamak, mama, tamai",vevegae,vevegae,veve,veve,vevegae,veve,mama,mama,maraui,veve,maraui,veve,maraui,maraui,mama,vevegae,"tamak, mama, tamai",mama,veve
6,0.24145835188991582,1.4598284605077487,1.218370108617833,tuaga,natui,veve,natui,tamai,natui,tamai,tamai,"tasiu, tasmatagaraqa",natui,veve,natui,natui,veve,tutuai,natui,natui,veve,tamai,tutuai,veve,veve,tamai,natui,tamai,tamai,tamai,veve,natui,natui,natui,natui,natui,natui,natui,natui,natui,veve,natui,tutuai,tamai,veve,"tasiu, tasmatagaraqa",tamai,natui,veve,tutuai,maraui,mama,veve,"tamak, mama, tamai",vevegae,veve,vevegae,veve,mama,mama,maraui,veve,vevegae,maraui,veve,veve,vevegae,mama,maraui,"tamak, mama, tamai"
7,0.3388982748441911,1.5188362794064827,1.1799380045622916,veve,veve,natui,natui,veve,tamai,tamai,natui,natui,veve,natui,natui,tuaga,tamai,natui,natui,tamai,"tasiu, tasmatagaraqa",tutuai,natui,natui,natui,natui,veve,veve,natui,natui,veve,tamai,tutuai,veve,natui,natui,tutuai,veve,natui,tutuai,tamai,tamai,natui,tamai,"tasiu, tasmatagaraqa",natui,natui,veve,tamai,tamai,veve,veve,"tamak, mama, tamai",mama,vevegae,maraui,veve,mama,mama,maraui,veve,vevegae,maraui,veve,vevegae,maraui,veve,"tamak, mama, tamai",vevegae,mama
8,0.3640881751613956,1.460299646437568,1.0962114712761724,tutuai,natui,natui,tamai,veve,natui,tamai,natui,veve,natui,veve,veve,natui,tamai,natui,tutuai,natui,veve,natui,veve,tamai,natui,tamai,natui,natui,natui,natui,"tasiu, tasmatagaraqa",tuaga,tamai,veve,tutuai,veve,natui,"tasiu, tasmatagaraqa",veve,natui,natui,natui,veve,natui,tamai,tamai,tamai,tamai,tutuai,natui,veve,veve,vevegae,mama,"tamak, mama, tamai",maraui,mama,mama,"tamak, mama, tamai",vevegae,mama,maraui,veve,maraui,vevegae,maraui,veve,vevegae,veve,veve
9,0.2931797003631811,1.32160108515204,1.0284213847888588,natui,natui,veve,natui,natui,tamai,natui,tamai,veve,natui,veve,tamai,veve,natui,tamai,natui,natui,veve,tamai,natui,veve,veve,tamai,natui,tamai,veve,tutuai,"tasiu, tasmatagaraqa",veve,natui,tuaga,natui,natui,veve,natui,natui,tamai,natui,tutuai,tamai,natui,"tasiu, tasmatagaraqa",natui,natui,tutuai,tamai,tutuai,veve,mama,veve,veve,maraui,"tamak, mama, tamai",veve,veve,maraui,mama,mama,mama,vevegae,vevegae,veve,vevegae,maraui,"tamak, mama, tamai",vevegae,maraui
