simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.20505815914420467,1.0789922078775833,0.8739340487333787,kadi,ndome,kadi,kadi,mono,kadi,kadi,mono,ndome,kadi,ndome,ndome,katshi,iyà,tétà,tétà,iyà,katshi,tétà,tétà,tétà,tétà,katshi,tétà,tétà,iyà,tétà,tétà,iyà,katshi,iyà,iyà,tétà,tétà,iyà,katshi,tétà,katshi,iyà
1,0.007016107555648743,1.0789922078775833,1.0719761003219346,kadi,ndome,kadi,kadi,mono,ndome,kadi,ndome,kadi,mono,kadi,ndome,tétà,tétà,tétà,iyà,katshi,tétà,iyà,iyà,iyà,iyà,iyà,tétà,katshi,katshi,iyà,katshi,tétà,katshi,katshi,tétà,tétà,iyà,tétà,tétà,tétà,tétà,tétà
2,0.026343007880565983,0.5982695885852573,0.5719265807046913,kadi,ndome,mono,kadi,kadi,ndome,mono,kadi,ndome,ndome,kadi,kadi,tétà,tétà,tétà,iyà,tétà,tétà,iyà,tétà,iyà,tétà,katshi,iyà,tétà,tétà,katshi,tétà,tétà,katshi,katshi,iyà,iyà,tétà,katshi,katshi,iyà,iyà,tétà
3,0.13732453187634652,1.0789922078775833,0.9416676760012368,kadi,mono,kadi,ndome,mono,ndome,kadi,kadi,ndome,kadi,ndome,kadi,katshi,tétà,iyà,iyà,tétà,tétà,tétà,iyà,katshi,tétà,tétà,iyà,katshi,iyà,tétà,katshi,tétà,tétà,tétà,tétà,tétà,tétà,katshi,katshi,iyà,iyà,iyà
4,0.014032215111297486,0.6829081047004717,0.6688758895891742,kadi,mono,kadi,ndome,kadi,kadi,ndome,ndome,kadi,kadi,mono,ndome,tétà,iyà,katshi,tétà,tétà,tétà,tétà,iyà,tétà,iyà,tétà,tétà,iyà,katshi,katshi,katshi,tétà,tétà,iyà,katshi,tétà,iyà,tétà,katshi,iyà,tétà,iyà
5,0.1627389010865974,1.0789922078775833,0.9162533067909859,mono,kadi,kadi,ndome,mono,kadi,ndome,kadi,kadi,kadi,ndome,ndome,iyà,tétà,tétà,iyà,tétà,tétà,tétà,iyà,iyà,katshi,tétà,iyà,iyà,katshi,tétà,tétà,tétà,katshi,iyà,katshi,tétà,tétà,iyà,tétà,tétà,katshi,katshi
6,0.22517784314083567,1.0789922078775833,0.8538143647367477,ndome,ndome,kadi,ndome,kadi,mono,ndome,kadi,kadi,kadi,kadi,mono,tétà,tétà,iyà,tétà,tétà,iyà,tétà,katshi,tétà,tétà,iyà,tétà,iyà,katshi,iyà,tétà,tétà,tétà,tétà,katshi,katshi,tétà,katshi,iyà,iyà,katshi,iyà
7,0.23748863591010427,1.0789922078775833,0.841503571967479,ndome,mono,kadi,mono,kadi,kadi,kadi,kadi,ndome,ndome,ndome,kadi,iyà,tétà,katshi,iyà,iyà,tétà,iyà,tétà,tétà,katshi,tétà,tétà,katshi,katshi,tétà,iyà,iyà,katshi,tétà,katshi,tétà,tétà,tétà,tétà,iyà,iyà,tétà
8,0.21207426669985352,1.0789922078775833,0.8669179411777298,ndome,kadi,kadi,kadi,ndome,kadi,ndome,kadi,mono,mono,kadi,ndome,katshi,tétà,tétà,katshi,tétà,katshi,tétà,iyà,iyà,tétà,katshi,tétà,iyà,iyà,tétà,iyà,iyà,tétà,tétà,iyà,katshi,iyà,tétà,tétà,katshi,tétà,tétà
9,0.2868240015233602,1.0789922078775833,0.7921682063542231,kadi,kadi,mono,kadi,kadi,mono,ndome,ndome,ndome,kadi,kadi,ndome,katshi,katshi,tétà,tétà,iyà,iyà,katshi,iyà,iyà,tétà,iyà,tétà,tétà,tétà,iyà,tétà,tétà,tétà,iyà,katshi,tétà,katshi,tétà,tétà,katshi,iyà,tétà
