simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mMBeS,mMByS,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fMBeS,fMByS,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.28682400152336013,0.6829081047004717,0.39608410317711157,socotiku,socotiku,bumbu,socotiku,"noku vorai, vuotavuaiku",socotiku,vuosocotiku,"noku vorai, vuotasiku",socotiku,"noku vorai, tavuaiku","noku vorai, tasiku","noku vorai, vuotavuaiku",vuosocotiku,"noku vorai, tasiku",vuosocotiku,vuosocotiku,bumbu,"noku vorai, vuotasiku",natu,"noku vorai, tavuaiku","noku vorai, tasiku",vuosocotiku,"noku vorai, vuotavuaiku",vuosocotiku,"noku vorai, vuotasiku",bumbu,tama,tama,tina,tina,"taura, noku vorai","taura, noku vorai",tina,tama,tama,"taura, noku vorai",tina,tina,tinanou,vuonatu,tina,tama,"taura, noku vorai",tina,vuonatu,tama
1,0.2868240015233603,1.0789922078775833,0.792168206354223,vuosocotiku,socotiku,"noku vorai, tavuaiku","noku vorai, tavuaiku","noku vorai, tasiku",natu,vuosocotiku,bumbu,socotiku,vuosocotiku,socotiku,"noku vorai, vuotavuaiku",bumbu,"noku vorai, vuotavuaiku",socotiku,"noku vorai, vuotasiku","noku vorai, vuotavuaiku",vuosocotiku,"noku vorai, tasiku","noku vorai, vuotasiku",vuosocotiku,socotiku,bumbu,"noku vorai, vuotasiku","noku vorai, tasiku",vuosocotiku,tina,tina,tama,vuonatu,tina,"taura, noku vorai",tama,vuonatu,"taura, noku vorai",tina,tama,tina,tina,tama,"taura, noku vorai",tinanou,tama,"taura, noku vorai",tama,tina
2,0.24243302655595822,1.0346012329101812,0.792168206354223,vuosocotiku,"noku vorai, vuotasiku",bumbu,vuosocotiku,"noku vorai, tasiku","noku vorai, tasiku",socotiku,"noku vorai, tavuaiku","noku vorai, tavuaiku",socotiku,vuosocotiku,"noku vorai, vuotasiku",bumbu,bumbu,socotiku,"noku vorai, vuotavuaiku","noku vorai, vuotasiku",socotiku,vuosocotiku,vuosocotiku,natu,"noku vorai, vuotavuaiku","noku vorai, vuotavuaiku",vuosocotiku,socotiku,"noku vorai, tasiku",tinanou,vuonatu,vuonatu,tina,"taura, noku vorai",tama,tama,"taura, noku vorai",tina,tama,tama,tina,"taura, noku vorai","taura, noku vorai",tina,tina,tina,tama,tama,tina
3,0.06679396821673317,0.5195798391305154,0.45278587091378225,vuosocotiku,vuosocotiku,socotiku,"noku vorai, tavuaiku",socotiku,socotiku,"noku vorai, vuotasiku","noku vorai, tavuaiku","noku vorai, tasiku","noku vorai, vuotavuaiku",vuosocotiku,vuosocotiku,bumbu,"noku vorai, tasiku",vuosocotiku,"noku vorai, tasiku",bumbu,natu,vuosocotiku,"noku vorai, vuotasiku",socotiku,"noku vorai, vuotavuaiku",socotiku,bumbu,"noku vorai, vuotasiku","noku vorai, vuotavuaiku",tama,tina,tina,tina,tama,tama,vuonatu,tina,tina,tama,vuonatu,"taura, noku vorai",tama,"taura, noku vorai",tina,tama,"taura, noku vorai",tina,"taura, noku vorai",tinanou
4,0.24243302655595822,1.0346012329101812,0.792168206354223,socotiku,"noku vorai, vuotasiku","noku vorai, tasiku","noku vorai, tavuaiku","noku vorai, vuotavuaiku",socotiku,"noku vorai, vuotasiku",vuosocotiku,vuosocotiku,socotiku,"noku vorai, tasiku",bumbu,vuosocotiku,natu,"noku vorai, vuotavuaiku","noku vorai, tavuaiku","noku vorai, vuotavuaiku","noku vorai, vuotasiku",vuosocotiku,bumbu,vuosocotiku,"noku vorai, tasiku",socotiku,bumbu,vuosocotiku,socotiku,"taura, noku vorai",tina,tina,tama,tina,tina,tinanou,"taura, noku vorai","taura, noku vorai",tina,tama,tama,tina,"taura, noku vorai",vuonatu,tina,tama,tama,tama,vuonatu
5,0.2050581591442049,1.0346012329101812,0.8295430737659764,bumbu,"noku vorai, vuotasiku",bumbu,bumbu,"noku vorai, tasiku",vuosocotiku,"noku vorai, vuotasiku","noku vorai, vuotavuaiku",vuosocotiku,socotiku,vuosocotiku,"noku vorai, tasiku",vuosocotiku,"noku vorai, vuotavuaiku",vuosocotiku,socotiku,"noku vorai, tavuaiku",socotiku,"noku vorai, tavuaiku","noku vorai, vuotavuaiku",vuosocotiku,socotiku,natu,"noku vorai, vuotasiku","noku vorai, tasiku",socotiku,tina,tama,tina,vuonatu,tina,tama,tina,tama,"taura, noku vorai",vuonatu,tinanou,"taura, noku vorai",tina,tama,tina,"taura, noku vorai",tama,"taura, noku vorai",tina,tama
6,2.220446049250313e-16,0.6931471805599453,0.6931471805599451,"noku vorai, tasiku","noku vorai, vuotasiku",vuosocotiku,bumbu,vuosocotiku,vuosocotiku,"noku vorai, tavuaiku",natu,bumbu,"noku vorai, vuotasiku","noku vorai, vuotavuaiku","noku vorai, tavuaiku",socotiku,socotiku,vuosocotiku,socotiku,socotiku,"noku vorai, tasiku",socotiku,"noku vorai, vuotasiku",vuosocotiku,bumbu,vuosocotiku,"noku vorai, vuotavuaiku","noku vorai, tasiku","noku vorai, vuotavuaiku",tina,tama,tama,tina,tina,"taura, noku vorai",tina,"taura, noku vorai",tama,vuonatu,tina,tama,tina,"taura, noku vorai",tina,tama,tinanou,vuonatu,"taura, noku vorai",tama
7,0.24243302655595822,1.0346012329101812,0.792168206354223,vuosocotiku,bumbu,vuosocotiku,"noku vorai, tavuaiku",socotiku,"noku vorai, vuotasiku","noku vorai, vuotavuaiku",socotiku,vuosocotiku,"noku vorai, tasiku","noku vorai, vuotavuaiku",socotiku,bumbu,vuosocotiku,"noku vorai, vuotasiku",socotiku,vuosocotiku,vuosocotiku,bumbu,"noku vorai, vuotavuaiku",natu,"noku vorai, tasiku","noku vorai, vuotasiku","noku vorai, tasiku",socotiku,"noku vorai, tavuaiku",tina,"taura, noku vorai","taura, noku vorai",tama,tina,tama,vuonatu,"taura, noku vorai",tinanou,tama,tama,tina,"taura, noku vorai",tama,tina,tina,vuonatu,tina,tina,tama
8,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,socotiku,socotiku,"noku vorai, vuotavuaiku",vuosocotiku,vuosocotiku,vuosocotiku,"noku vorai, vuotavuaiku","noku vorai, tasiku","noku vorai, tasiku",natu,"noku vorai, tavuaiku",bumbu,socotiku,bumbu,socotiku,vuosocotiku,"noku vorai, vuotasiku","noku vorai, tavuaiku",vuosocotiku,bumbu,"noku vorai, vuotavuaiku","noku vorai, tasiku",socotiku,"noku vorai, vuotasiku","noku vorai, vuotasiku",vuosocotiku,tina,"taura, noku vorai",tina,"taura, noku vorai",tama,tina,tama,tinanou,tama,tina,tama,tina,"taura, noku vorai",vuonatu,vuonatu,tama,tama,tina,"taura, noku vorai",tina
9,0.10603713334992693,1.0346012329101812,0.9285640995602543,vuosocotiku,bumbu,"noku vorai, vuotavuaiku",natu,bumbu,vuosocotiku,vuosocotiku,"noku vorai, vuotavuaiku",socotiku,socotiku,vuosocotiku,socotiku,"noku vorai, tasiku",socotiku,"noku vorai, tasiku","noku vorai, vuotasiku","noku vorai, tavuaiku","noku vorai, vuotavuaiku",socotiku,"noku vorai, tasiku",vuosocotiku,"noku vorai, vuotasiku",bumbu,"noku vorai, vuotasiku",vuosocotiku,"noku vorai, tavuaiku",tina,"taura, noku vorai",tama,tina,tama,vuonatu,"taura, noku vorai","taura, noku vorai",tinanou,vuonatu,tama,tama,tina,tina,"taura, noku vorai",tama,tama,tina,tina,tina
