simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.07770359999288723,0.9767960797952498,0.8990924798023626,tjurtu,,marlanypa,marlanypa,,,,,,,marlanypa,,,marlanypa,watjirra,,,,,marlanypa,,,,watjirra,kurta,,,marlanypa,,watjirra,kurta,kurta,tjurtu,watjirra,marlanypa,marlanypa,,,,marlanypa,kurta,,tjurtu,,marlanypa,,marlanypa,,marlanypa,,marlanypa,,marlanypa,,,tjurtu,kurta,watjirra,watjirra,,kurta,tjurtu,,,tjurtu,marlanypa,,,,,,watjirra,kurta,marlanypa,,tjurtu,tjurtu,tjurtu,kurta,marlanypa,tjurtu,marlanypa,,kurta,,,marlanypa,kurta,,watjirra,ngunytju,,,ngunytju,mama,ngunytju,mama,,,mama,ngunytju,,,,,ngunytju,,,,,mama,,,mama,,ngunytju,,mama
1,0.10469768038053306,0.9240214621137215,0.8193237817331884,,tjurtu,,,marlanypa,,,marlanypa,,marlanypa,tjurtu,marlanypa,marlanypa,watjirra,watjirra,,watjirra,,,,marlanypa,,marlanypa,marlanypa,watjirra,watjirra,,,,,marlanypa,tjurtu,,,watjirra,kurta,tjurtu,,,marlanypa,kurta,,marlanypa,,tjurtu,,,marlanypa,marlanypa,marlanypa,watjirra,,,kurta,kurta,tjurtu,,,tjurtu,watjirra,marlanypa,tjurtu,kurta,marlanypa,,,marlanypa,kurta,,,,,,,,kurta,kurta,tjurtu,,,kurta,marlanypa,,tjurtu,,,kurta,,marlanypa,,,,,,ngunytju,,mama,ngunytju,,mama,,mama,,ngunytju,,mama,mama,,,,ngunytju,,,ngunytju,,ngunytju,,mama
2,0.11196732751043803,0.9308396486635961,0.8188723211531581,marlanypa,,,,marlanypa,watjirra,,marlanypa,,kurta,,,kurta,,marlanypa,marlanypa,,watjirra,kurta,marlanypa,watjirra,,kurta,kurta,kurta,,tjurtu,,,,,tjurtu,,marlanypa,,marlanypa,watjirra,marlanypa,marlanypa,,kurta,,marlanypa,tjurtu,,tjurtu,marlanypa,,marlanypa,,watjirra,marlanypa,,,,,,marlanypa,tjurtu,kurta,marlanypa,watjirra,tjurtu,,marlanypa,,watjirra,,,marlanypa,,watjirra,,,,,,marlanypa,,tjurtu,,tjurtu,,kurta,kurta,,tjurtu,,,tjurtu,,,,,,ngunytju,,,ngunytju,ngunytju,,,ngunytju,,mama,,mama,,,mama,,ngunytju,mama,ngunytju,,,mama,mama
3,0.0827024662767557,0.9724809323379562,0.8897784660612005,,,,,watjirra,,,,,kurta,,,kurta,,tjurtu,watjirra,,,kurta,,tjurtu,marlanypa,marlanypa,marlanypa,tjurtu,watjirra,,kurta,watjirra,watjirra,kurta,kurta,,tjurtu,,marlanypa,marlanypa,,tjurtu,,marlanypa,kurta,tjurtu,marlanypa,kurta,,tjurtu,marlanypa,kurta,,kurta,,,,marlanypa,marlanypa,marlanypa,,marlanypa,,,tjurtu,,,,,watjirra,marlanypa,tjurtu,,,,,,,watjirra,marlanypa,,,marlanypa,marlanypa,tjurtu,marlanypa,marlanypa,watjirra,,,,,marlanypa,ngunytju,mama,,,,ngunytju,,,ngunytju,mama,ngunytju,,mama,,,,,,,mama,mama,,,,mama,ngunytju,ngunytju,
4,0.06732232450581699,1.00512982666978,0.9378075021639629,kurta,,marlanypa,marlanypa,tjurtu,tjurtu,watjirra,,watjirra,,marlanypa,marlanypa,tjurtu,tjurtu,watjirra,marlanypa,watjirra,,,marlanypa,,,,,,tjurtu,marlanypa,,,,,,,,tjurtu,kurta,,watjirra,,,,marlanypa,marlanypa,,,,watjirra,,tjurtu,,,,,tjurtu,,marlanypa,kurta,,,,kurta,kurta,,kurta,marlanypa,marlanypa,,watjirra,tjurtu,kurta,marlanypa,,marlanypa,kurta,marlanypa,,watjirra,,marlanypa,,tjurtu,,kurta,,,,kurta,marlanypa,marlanypa,marlanypa,ngunytju,,mama,,,mama,mama,,ngunytju,,,mama,,,ngunytju,,ngunytju,,mama,,,,,,mama,,ngunytju,ngunytju
5,0.038239050666665775,0.9633557782724265,0.9251167276057607,tjurtu,watjirra,,,,watjirra,,marlanypa,marlanypa,kurta,marlanypa,marlanypa,,,tjurtu,,,,,,,,marlanypa,marlanypa,kurta,,kurta,marlanypa,,,kurta,watjirra,watjirra,tjurtu,,marlanypa,,,watjirra,marlanypa,,tjurtu,tjurtu,,marlanypa,marlanypa,,marlanypa,,,marlanypa,watjirra,marlanypa,marlanypa,,,,watjirra,,kurta,marlanypa,,marlanypa,tjurtu,tjurtu,,kurta,tjurtu,,,kurta,,kurta,kurta,,tjurtu,marlanypa,,,tjurtu,watjirra,,marlanypa,,,,kurta,,,,ngunytju,ngunytju,mama,,,,,,,,mama,mama,ngunytju,,ngunytju,,,mama,,,mama,ngunytju,,,mama,,,ngunytju
6,0.05590206868767955,0.9633557782724264,0.9074537095847468,watjirra,kurta,,tjurtu,,,kurta,watjirra,,,,,marlanypa,,tjurtu,watjirra,,watjirra,,kurta,,tjurtu,,marlanypa,,,marlanypa,,,,marlanypa,watjirra,tjurtu,,,kurta,marlanypa,,marlanypa,marlanypa,kurta,marlanypa,,marlanypa,kurta,,,,marlanypa,marlanypa,kurta,,kurta,marlanypa,,,,marlanypa,,marlanypa,,marlanypa,watjirra,tjurtu,,,,,kurta,,tjurtu,tjurtu,marlanypa,kurta,marlanypa,tjurtu,tjurtu,,watjirra,,,,,,watjirra,marlanypa,,tjurtu,marlanypa,,,ngunytju,,,,,,,ngunytju,,ngunytju,,,mama,mama,mama,,ngunytju,,mama,ngunytju,,mama,,mama,,,ngunytju
7,0.07474262913672847,0.943552729642272,0.8688101005055435,,,marlanypa,marlanypa,tjurtu,,watjirra,,marlanypa,marlanypa,,watjirra,kurta,tjurtu,marlanypa,watjirra,,tjurtu,tjurtu,,marlanypa,,marlanypa,,,watjirra,,marlanypa,,kurta,,tjurtu,tjurtu,,,,marlanypa,,,kurta,watjirra,marlanypa,kurta,kurta,tjurtu,,marlanypa,,kurta,tjurtu,,watjirra,watjirra,marlanypa,,tjurtu,,,,kurta,,,,kurta,,marlanypa,tjurtu,,watjirra,marlanypa,marlanypa,,,,marlanypa,,,kurta,,marlanypa,,marlanypa,marlanypa,,,,kurta,,,,,mama,,ngunytju,,,ngunytju,mama,,,,,,mama,,,,,ngunytju,,,,mama,ngunytju,mama,mama,ngunytju,ngunytju
8,0.05672954755146209,0.9340405089031141,0.877310961351652,,,,marlanypa,marlanypa,kurta,marlanypa,tjurtu,,,,kurta,tjurtu,,,,,marlanypa,kurta,watjirra,watjirra,watjirra,marlanypa,,,marlanypa,kurta,,,,,watjirra,,marlanypa,marlanypa,watjirra,,,,kurta,kurta,tjurtu,,,,marlanypa,marlanypa,,marlanypa,,marlanypa,,tjurtu,,kurta,,,,marlanypa,,marlanypa,kurta,,tjurtu,kurta,,,,,marlanypa,,tjurtu,,kurta,watjirra,,marlanypa,marlanypa,,tjurtu,marlanypa,,,,tjurtu,watjirra,tjurtu,tjurtu,marlanypa,watjirra,mama,,,,,,,ngunytju,mama,,mama,ngunytju,,,ngunytju,ngunytju,,,,ngunytju,,,mama,mama,ngunytju,,mama,
9,0.04830910922551945,0.9789554492785635,0.930646340053044,,marlanypa,,,,kurta,tjurtu,watjirra,kurta,,kurta,,kurta,,,kurta,,,,tjurtu,,,,marlanypa,tjurtu,,,tjurtu,tjurtu,,,,,tjurtu,,,,,marlanypa,marlanypa,watjirra,marlanypa,watjirra,marlanypa,,kurta,watjirra,,watjirra,,marlanypa,kurta,kurta,marlanypa,tjurtu,watjirra,,,marlanypa,,,watjirra,marlanypa,,,,marlanypa,kurta,,,marlanypa,,,,,marlanypa,marlanypa,tjurtu,marlanypa,marlanypa,kurta,marlanypa,marlanypa,,,tjurtu,tjurtu,,marlanypa,watjirra,,ngunytju,mama,ngunytju,,ngunytju,,,ngunytju,,,,,ngunytju,,,,,mama,,ngunytju,mama,,mama,,mama,mama,
