simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.10109274270407287,1.034601232910181,0.9335084902061082,mwite,mwite,mwite,mwite,yakal,mwite,ane,yakal,ane,nngn,ane,nngn,mwite,yakal,yakal,mwite,mwite,ane,nngn,"nngn, mrz",ane,nngn,yakal,mwite,yakal,yakal,mwite,"nngn, hakr",mwite,"nngn, mrz",mwite,mwite,mwite,ane,ane,mwite,"nngn, hakr",mwite,tasor,bavali,bavali,ama,bava,tasor,bava,tasor,deve,bava,mwidädém,bavali,bavali,deve toge,tasor,deve,mwidädém,ama,deve toge,bava
1,0.2868240015233601,1.3760552852604169,1.0892312837370568,"nngn, hakr",yakal,mwite,mwite,mwite,mwite,yakal,yakal,mwite,mwite,mwite,"nngn, mrz",yakal,nngn,mwite,mwite,yakal,mwite,mwite,ane,nngn,nngn,mwite,"nngn, mrz","nngn, hakr",mwite,ane,mwite,nngn,ane,ane,ane,mwite,ane,mwite,ane,yakal,yakal,tasor,deve toge,ama,mwidädém,mwidädém,bava,tasor,bavali,bava,bava,bavali,deve,tasor,tasor,deve toge,bava,deve,ama,bavali,bavali
2,0.0887819499348046,1.376055285260417,1.2872733353256125,mwite,yakal,mwite,ane,mwite,mwite,ane,mwite,nngn,nngn,yakal,mwite,nngn,mwite,mwite,"nngn, hakr",yakal,mwite,ane,"nngn, mrz",ane,ane,ane,mwite,mwite,yakal,mwite,mwite,mwite,"nngn, mrz",mwite,yakal,nngn,"nngn, hakr",ane,mwite,yakal,yakal,bavali,deve,ama,tasor,bavali,tasor,mwidädém,bava,bava,deve,bavali,bavali,tasor,deve toge,deve toge,ama,tasor,bava,bava,mwidädém
3,0.16353168475831137,1.0789922078775833,0.915460523119272,mwite,mwite,mwite,yakal,"nngn, mrz","nngn, mrz",mwite,nngn,mwite,mwite,nngn,mwite,yakal,nngn,mwite,mwite,yakal,yakal,mwite,yakal,"nngn, hakr",ane,nngn,mwite,"nngn, hakr",ane,ane,ane,ane,mwite,mwite,ane,mwite,mwite,yakal,yakal,ane,mwite,tasor,tasor,ama,bavali,bava,ama,deve,deve toge,tasor,bavali,deve toge,bava,mwidädém,deve,mwidädém,bava,bavali,bava,tasor,bavali
4,0.04439097496740241,1.0346012329101812,0.9902102579427788,mwite,ane,mwite,mwite,ane,mwite,yakal,ane,ane,nngn,mwite,ane,mwite,mwite,ane,nngn,nngn,nngn,yakal,"nngn, mrz","nngn, hakr",mwite,mwite,mwite,mwite,yakal,mwite,yakal,ane,"nngn, mrz",mwite,mwite,yakal,"nngn, hakr",mwite,yakal,mwite,yakal,bavali,bava,tasor,bavali,bava,deve toge,ama,tasor,bavali,mwidädém,deve toge,deve,deve,tasor,ama,mwidädém,tasor,bavali,bava,bava
5,0.41011631828840944,1.376055285260417,0.9659389669720077,mwite,mwite,"nngn, mrz",mwite,nngn,yakal,yakal,mwite,mwite,yakal,mwite,yakal,nngn,ane,mwite,"nngn, hakr","nngn, hakr",yakal,ane,mwite,mwite,mwite,mwite,"nngn, mrz",mwite,mwite,ane,ane,nngn,mwite,mwite,yakal,mwite,ane,ane,nngn,ane,yakal,mwidädém,bavali,deve,deve toge,bava,bavali,deve,deve toge,bavali,ama,mwidädém,bava,tasor,bava,tasor,bava,tasor,bavali,ama,tasor
6,0.08878194993480482,1.376055285260417,1.2872733353256123,yakal,nngn,"nngn, mrz",mwite,nngn,yakal,mwite,mwite,"nngn, mrz",mwite,ane,yakal,yakal,nngn,"nngn, hakr",mwite,mwite,mwite,yakal,mwite,yakal,nngn,mwite,ane,yakal,ane,"nngn, hakr",ane,mwite,mwite,mwite,mwite,mwite,ane,mwite,ane,mwite,ane,bava,bavali,tasor,deve,ama,mwidädém,tasor,tasor,deve toge,bavali,bavali,deve,tasor,deve toge,bava,bava,ama,bavali,bava,mwidädém
7,0.484866053111916,1.3760552852604169,0.8911892321485009,mwite,ane,ane,mwite,yakal,"nngn, hakr",yakal,mwite,ane,mwite,ane,mwite,mwite,ane,mwite,mwite,mwite,mwite,nngn,ane,ane,mwite,yakal,yakal,"nngn, hakr",mwite,nngn,mwite,nngn,"nngn, mrz",mwite,mwite,yakal,yakal,yakal,mwite,nngn,"nngn, mrz",bava,deve toge,tasor,ama,tasor,deve,bava,ama,bavali,bavali,bavali,deve toge,tasor,deve,mwidädém,bava,tasor,bavali,mwidädém,bava
8,0.14341200076168037,1.0346012329101812,0.8911892321485009,"nngn, mrz",mwite,"nngn, hakr",ane,mwite,yakal,ane,mwite,nngn,yakal,ane,ane,mwite,yakal,mwite,mwite,mwite,mwite,yakal,yakal,"nngn, hakr",ane,mwite,mwite,nngn,mwite,mwite,yakal,yakal,ane,"nngn, mrz",mwite,mwite,mwite,nngn,mwite,ane,nngn,bavali,deve toge,bavali,mwidädém,tasor,ama,bava,bava,mwidädém,tasor,deve,deve toge,bavali,tasor,tasor,deve,bavali,ama,bava,bava
9,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,ane,ane,mwite,"nngn, hakr",mwite,yakal,mwite,nngn,ane,mwite,yakal,"nngn, mrz",mwite,mwite,yakal,"nngn, mrz",mwite,nngn,mwite,mwite,yakal,mwite,yakal,nngn,ane,yakal,ane,mwite,nngn,ane,mwite,mwite,ane,mwite,yakal,mwite,mwite,"nngn, hakr",tasor,bavali,bavali,tasor,ama,mwidädém,tasor,bavali,deve toge,ama,bava,bavali,bava,deve toge,bava,mwidädém,deve,deve,bava,tasor
