simulation_number,mutual_information,entropy,conditional_entropy,myB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.10420805792503018,1.377879873100077,1.2736718151750468,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,"nanahŋ, sija","yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋgan,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,kudharaŋgan,kudharaŋgan,kudharaŋgan,kudharaŋgan,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",banahm,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirgahŋ, yilgahn",kudharaŋgan,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,banahm,"yirbul, yirbaŋdhar","nanahŋ, sija","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","nanahŋ, sija",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,"bijaŋ, biyul, babaŋ, mahmaŋ","wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ",kawaŋ,ŋaruny,kawaŋ,"wadhuŋ, wayuŋ","wadhuŋ, wayuŋ",ŋaruny,"wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ","wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ",kawaŋ,"bijaŋ, biyul, babaŋ, mahmaŋ",ŋaruny,ŋaruny,kawaŋ,"bijaŋ, biyul, babaŋ, mahmaŋ"
1,0.11191935605741254,1.362020905485915,1.2501015494285024,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋgan,banahm,kudharaŋgan,"yirbul, yirbaŋdhar","nanahŋ, sija","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","nanahŋ, sija",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","nanahŋ, sija","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",banahm,kudharaŋgan,kudharaŋgan,kudharaŋgan,kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,kudharaŋgan,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,kudharaŋgan,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirgahŋ, yilgahn",kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,ŋaruny,kawaŋ,"wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ","wadhuŋ, wayuŋ","wadhuŋ, wayuŋ","wadhuŋ, wayuŋ",kawaŋ,"bijaŋ, biyul, babaŋ, mahmaŋ","wadhuŋ, wayuŋ",ŋaruny,"bijaŋ, biyul, babaŋ, mahmaŋ",ŋaruny,"bijaŋ, biyul, babaŋ, mahmaŋ","bijaŋ, biyul, babaŋ, mahmaŋ",ŋaruny,kawaŋ,"bijaŋ, biyul, babaŋ, mahmaŋ",kawaŋ
2,0.08583624358168018,1.3708096782498718,1.2849734346681916,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"nanahŋ, sija",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","nanahŋ, sija",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,kudharaŋgan,kudharaŋgan,kudharaŋgan,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,banahm,kudharaŋgan,kudharaŋgan,kudharaŋgan,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,kudharaŋgan,kudharaŋ,"nanahŋ, sija",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,kudharaŋgan,kudharaŋ,"yirbul, yirbaŋdhar","yirgahŋ, yilgahn","yirbul, yirbaŋdhar",kudharaŋ,banahm,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"bijaŋ, biyul, babaŋ, mahmaŋ","wadhuŋ, wayuŋ",kawaŋ,"bijaŋ, biyul, babaŋ, mahmaŋ","bijaŋ, biyul, babaŋ, mahmaŋ",ŋaruny,kawaŋ,"bijaŋ, biyul, babaŋ, mahmaŋ",kawaŋ,"wadhuŋ, wayuŋ",ŋaruny,"bijaŋ, biyul, babaŋ, mahmaŋ","wadhuŋ, wayuŋ",kawaŋ,"wadhuŋ, wayuŋ",ŋaruny,"wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ",ŋaruny
3,0.17960457262057883,1.362020905485915,1.182416332865336,"yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋgan,kudharaŋgan,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,kudharaŋgan,"yirbul, yirbaŋdhar","yirgahŋ, yilgahn","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋgan,"nanahŋ, sija",kudharaŋgan,kudharaŋgan,kudharaŋgan,kudharaŋgan,kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","nanahŋ, sija","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",banahm,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",banahm,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,kudharaŋ,"nanahŋ, sija",kudharaŋ,kudharaŋ,ŋaruny,"wadhuŋ, wayuŋ","wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ",ŋaruny,kawaŋ,"bijaŋ, biyul, babaŋ, mahmaŋ",kawaŋ,"wadhuŋ, wayuŋ",kawaŋ,"wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ",ŋaruny,"bijaŋ, biyul, babaŋ, mahmaŋ","bijaŋ, biyul, babaŋ, mahmaŋ","wadhuŋ, wayuŋ",kawaŋ,ŋaruny,"bijaŋ, biyul, babaŋ, mahmaŋ"
4,0.1640063048567164,1.3708096782498718,1.2068033733931554,"yirbul, yirbaŋdhar","nanahŋ, sija","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",banahm,kudharaŋ,banahm,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,"nanahŋ, sija","yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,kudharaŋ,kudharaŋ,kudharaŋgan,kudharaŋgan,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋgan,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirgahŋ, yilgahn","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"nanahŋ, sija","bijaŋ, biyul, babaŋ, mahmaŋ",ŋaruny,"wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ","wadhuŋ, wayuŋ",kawaŋ,"wadhuŋ, wayuŋ",ŋaruny,kawaŋ,"bijaŋ, biyul, babaŋ, mahmaŋ",ŋaruny,kawaŋ,"wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ",kawaŋ,"wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ",ŋaruny,"bijaŋ, biyul, babaŋ, mahmaŋ"
5,0.12033135925079574,1.362020905485915,1.2416895462351192,kudharaŋgan,kudharaŋ,kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,"nanahŋ, sija",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋgan,kudharaŋ,banahm,kudharaŋ,kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirgahŋ, yilgahn","nanahŋ, sija",kudharaŋ,kudharaŋgan,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,"nanahŋ, sija","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,banahm,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kawaŋ,"bijaŋ, biyul, babaŋ, mahmaŋ",kawaŋ,"wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ",kawaŋ,"wadhuŋ, wayuŋ",kawaŋ,"bijaŋ, biyul, babaŋ, mahmaŋ","bijaŋ, biyul, babaŋ, mahmaŋ","wadhuŋ, wayuŋ","wadhuŋ, wayuŋ",ŋaruny,ŋaruny,ŋaruny,"bijaŋ, biyul, babaŋ, mahmaŋ","bijaŋ, biyul, babaŋ, mahmaŋ",ŋaruny,"wadhuŋ, wayuŋ"
6,0.11496529600570882,1.377879873100077,1.2629145770943682,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","nanahŋ, sija",kudharaŋgan,kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,kudharaŋgan,kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋgan,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","nanahŋ, sija",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,"nanahŋ, sija","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirgahŋ, yilgahn","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",banahm,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋgan,banahm,kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋ,"bijaŋ, biyul, babaŋ, mahmaŋ","wadhuŋ, wayuŋ",ŋaruny,"wadhuŋ, wayuŋ","wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ",ŋaruny,"wadhuŋ, wayuŋ",ŋaruny,ŋaruny,"bijaŋ, biyul, babaŋ, mahmaŋ","bijaŋ, biyul, babaŋ, mahmaŋ","bijaŋ, biyul, babaŋ, mahmaŋ",kawaŋ,"wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ",kawaŋ,kawaŋ,kawaŋ
7,0.14874959066340043,1.377879873100077,1.2291302824366765,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirgahŋ, yilgahn","yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋ,"nanahŋ, sija",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋgan,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,"nanahŋ, sija",kudharaŋgan,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,"nanahŋ, sija","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar",banahm,"yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",banahm,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,ŋaruny,"wadhuŋ, wayuŋ",kawaŋ,kawaŋ,"wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ",ŋaruny,"wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ","bijaŋ, biyul, babaŋ, mahmaŋ",ŋaruny,"bijaŋ, biyul, babaŋ, mahmaŋ","bijaŋ, biyul, babaŋ, mahmaŋ","wadhuŋ, wayuŋ",ŋaruny,kawaŋ,"bijaŋ, biyul, babaŋ, mahmaŋ","wadhuŋ, wayuŋ",kawaŋ
8,0.13477524843744093,1.362020905485915,1.227245657048474,kudharaŋgan,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar","nanahŋ, sija",kudharaŋgan,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","nanahŋ, sija",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",banahm,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar","yirgahŋ, yilgahn","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,banahm,"yirbul, yirbaŋdhar",kudharaŋ,"nanahŋ, sija",kudharaŋgan,kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋgan,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,"bijaŋ, biyul, babaŋ, mahmaŋ","wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ","bijaŋ, biyul, babaŋ, mahmaŋ","wadhuŋ, wayuŋ",ŋaruny,"bijaŋ, biyul, babaŋ, mahmaŋ",ŋaruny,kawaŋ,kawaŋ,"bijaŋ, biyul, babaŋ, mahmaŋ","wadhuŋ, wayuŋ",kawaŋ,"bijaŋ, biyul, babaŋ, mahmaŋ",ŋaruny,"wadhuŋ, wayuŋ",kawaŋ,"wadhuŋ, wayuŋ",ŋaruny
9,0.18139816057248392,1.362020905485915,1.180622744913431,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","nanahŋ, sija","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","nanahŋ, sija","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,kudharaŋgan,kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,kudharaŋgan,kudharaŋ,kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",banahm,kudharaŋ,kudharaŋ,kudharaŋgan,kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",banahm,kudharaŋgan,"yirgahŋ, yilgahn",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋgan,"nanahŋ, sija",kudharaŋgan,"yirbul, yirbaŋdhar",kudharaŋgan,"yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar","yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋ,"yirbul, yirbaŋdhar",kudharaŋgan,kawaŋ,"wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ","wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ",ŋaruny,"wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ","wadhuŋ, wayuŋ","bijaŋ, biyul, babaŋ, mahmaŋ",kawaŋ,ŋaruny,ŋaruny,"bijaŋ, biyul, babaŋ, mahmaŋ","bijaŋ, biyul, babaŋ, mahmaŋ",kawaŋ,ŋaruny,kawaŋ,"wadhuŋ, wayuŋ"
