simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,fB,feB,fyB,feZ,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.2796105908735062,0.605797499372304,0.3261869084987978,sehru,ahätatum,sehru,šešgallu,šešgallu,duppussû,duppussû,ahu(m),ahâtatum,mahā'um,mahātum,mahātum,abu(m),mahātum,mahā'um,mahā'um,mahā'um,mahātum,mahātum,mahātum,mahā'um,mahā'um,mahā'um,mahātum,mahātum,mahātum,mahātum,ugu,mahā'um,mahā'um,mahā'um,mahātum,mahātum,mahā'um,mahā'um,ugu,abu(m)
1,0.3652291691183204,1.017602986115916,0.6523738169975956,ahâtatum,ahätatum,duppussû,sehru,šešgallu,ahu(m),duppussû,sehru,šešgallu,mahātum,mahātum,mahā'um,mahā'um,mahātum,mahātum,mahātum,mahā'um,abu(m),ugu,mahā'um,mahātum,mahātum,mahā'um,abu(m),mahā'um,mahātum,mahātum,mahā'um,mahā'um,mahātum,mahā'um,mahā'um,ugu,mahātum,mahātum,mahā'um,mahā'um
2,0.21940766547038654,0.5455945739691843,0.3261869084987978,duppussû,duppussû,šešgallu,ahâtatum,šešgallu,sehru,sehru,ahätatum,ahu(m),mahā'um,abu(m),mahā'um,mahātum,mahātum,mahā'um,mahātum,mahātum,mahātum,mahātum,mahā'um,mahā'um,mahātum,mahā'um,mahā'um,mahā'um,mahātum,mahā'um,mahātum,mahā'um,mahātum,mahā'um,abu(m),mahātum,ugu,mahātum,ugu,mahā'um
3,0.4027278011710468,1.0551016181686423,0.6523738169975956,duppussû,sehru,duppussû,šešgallu,ahätatum,sehru,ahu(m),ahâtatum,šešgallu,ugu,mahā'um,mahā'um,mahātum,mahā'um,mahā'um,mahā'um,mahātum,mahātum,mahā'um,mahātum,mahā'um,mahā'um,abu(m),mahātum,mahātum,mahātum,mahātum,mahā'um,ugu,mahātum,mahā'um,abu(m),mahātum,mahātum,mahātum,mahā'um,mahā'um
4,0.2836824419936209,1.017602986115916,0.733920544122295,duppussû,ahâtatum,šešgallu,ahätatum,duppussû,sehru,sehru,šešgallu,ahu(m),mahātum,ugu,mahātum,mahā'um,mahā'um,mahā'um,mahātum,mahā'um,ugu,abu(m),mahātum,mahā'um,mahātum,mahātum,mahātum,mahā'um,abu(m),mahā'um,mahā'um,mahā'um,mahātum,mahātum,mahā'um,mahātum,mahātum,mahātum,mahā'um,mahā'um
5,0.2836824419936209,1.017602986115916,0.733920544122295,sehru,duppussû,ahu(m),duppussû,šešgallu,ahâtatum,sehru,ahätatum,šešgallu,mahātum,abu(m),mahātum,mahā'um,mahātum,mahā'um,mahātum,ugu,mahā'um,mahā'um,mahātum,mahātum,mahā'um,mahātum,mahātum,mahā'um,mahā'um,abu(m),mahātum,mahā'um,ugu,mahātum,mahātum,mahātum,mahā'um,mahā'um,mahā'um,mahā'um
6,0.117872816369758,0.5455945739691843,0.4277217575994263,ahâtatum,šešgallu,sehru,duppussû,sehru,ahu(m),šešgallu,ahätatum,duppussû,mahātum,mahātum,mahātum,mahātum,mahātum,mahā'um,mahātum,mahā'um,abu(m),mahā'um,mahā'um,mahā'um,mahā'um,mahā'um,mahā'um,mahātum,mahātum,mahātum,mahā'um,mahā'um,ugu,mahātum,mahā'um,mahātum,mahātum,ugu,abu(m),mahā'um
7,0.3652291691183204,1.017602986115916,0.6523738169975956,duppussû,sehru,šešgallu,šešgallu,ahu(m),sehru,ahätatum,duppussû,ahâtatum,mahātum,mahātum,abu(m),mahātum,mahā'um,mahā'um,mahā'um,mahātum,mahātum,mahā'um,mahātum,mahā'um,mahātum,mahā'um,ugu,mahā'um,ugu,mahā'um,mahātum,mahātum,mahātum,mahātum,mahā'um,mahā'um,mahātum,mahā'um,abu(m),mahā'um
8,0.2288431663231919,0.605797499372304,0.3769543330491121,ahâtatum,ahu(m),sehru,duppussû,sehru,duppussû,ahätatum,šešgallu,šešgallu,ugu,mahātum,mahātum,mahātum,mahā'um,mahātum,mahā'um,mahā'um,mahā'um,abu(m),mahātum,mahātum,mahā'um,mahā'um,mahātum,mahātum,mahā'um,mahā'um,mahātum,mahā'um,mahā'um,abu(m),mahātum,ugu,mahā'um,mahā'um,mahātum,mahātum
9,0.03904226061952276,0.6914160776171183,0.6523738169975956,ahätatum,sehru,ahu(m),ahâtatum,duppussû,šešgallu,sehru,šešgallu,duppussû,mahātum,mahā'um,mahātum,mahā'um,mahātum,mahā'um,abu(m),mahā'um,mahā'um,mahātum,mahā'um,mahā'um,mahātum,mahātum,mahātum,mahā'um,mahātum,abu(m),mahātum,ugu,mahā'um,mahātum,mahā'um,ugu,mahātum,mahā'um,mahātum,mahā'um
