simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,mFZD,mMBD,mFZS,mMBS,meZ,myZ,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,fyB,fFZD,fMBD,fFZS,fMBS,feZ,fyZ,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,meB,feB,mF,mM,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeZ,fFyZ,fMeB,fMyB
0,0.15665949875278085,0.9132368933392001,0.7565773945864193,minini,minini,kalikali,minini,minini,muginyinymigi,kalikali,kalikali,minini,minini,minini,muginyinymigi,wuwi,wuwi,minini,kalikali,yukuyuku,minini,kalikali,minini,minini,gurrung,muginyinymigi,minini,gurrung,gurrung,muginyinymigi,gurrung,wuwi,gurrung,kalikali,gurrung,minini,minini,kalikali,wuwi,muginyinymigi,gurrung,gurrung,minini,minini,muginyinymigi,kalikali,minini,minini,gurrung,yukuyuku,kalikali,kalikali,gurrung,minini,minini,nyarraka,nyarraka,nyarraka,gaykiy,ama,nyarraka,gaykiy,gaykiy,nyarraka,gaykiy,nyarraka,gaykiy,gaykiy,ama,nyarraka,nyarraka
1,0.14818142085951758,0.9770739511098399,0.8288925302503223,minini,minini,minini,kalikali,minini,minini,gurrung,kalikali,yukuyuku,yukuyuku,muginyinymigi,gurrung,wuwi,gurrung,wuwi,minini,kalikali,kalikali,muginyinymigi,gurrung,muginyinymigi,muginyinymigi,kalikali,minini,minini,minini,gurrung,gurrung,wuwi,minini,minini,gurrung,kalikali,gurrung,kalikali,minini,kalikali,minini,minini,gurrung,kalikali,kalikali,minini,muginyinymigi,minini,wuwi,gurrung,muginyinymigi,minini,minini,minini,minini,nyarraka,gaykiy,nyarraka,nyarraka,nyarraka,gaykiy,nyarraka,gaykiy,nyarraka,nyarraka,gaykiy,ama,nyarraka,gaykiy,ama,gaykiy
2,0.11250338824332284,0.9770739511098399,0.864570562866517,gurrung,kalikali,kalikali,kalikali,gurrung,wuwi,muginyinymigi,minini,minini,kalikali,kalikali,minini,minini,minini,kalikali,gurrung,minini,gurrung,minini,minini,muginyinymigi,minini,wuwi,kalikali,wuwi,minini,minini,muginyinymigi,gurrung,muginyinymigi,minini,minini,minini,muginyinymigi,kalikali,minini,kalikali,minini,wuwi,gurrung,minini,minini,minini,yukuyuku,kalikali,gurrung,yukuyuku,minini,gurrung,gurrung,gurrung,muginyinymigi,nyarraka,gaykiy,gaykiy,ama,ama,gaykiy,nyarraka,gaykiy,nyarraka,nyarraka,nyarraka,nyarraka,nyarraka,gaykiy,nyarraka,gaykiy
3,0.07948761554143124,0.9960459302460973,0.9165583147046661,minini,minini,minini,wuwi,gurrung,muginyinymigi,kalikali,gurrung,minini,gurrung,gurrung,wuwi,minini,yukuyuku,muginyinymigi,minini,minini,kalikali,yukuyuku,muginyinymigi,wuwi,kalikali,gurrung,minini,minini,gurrung,kalikali,gurrung,minini,kalikali,gurrung,kalikali,minini,kalikali,minini,minini,kalikali,minini,minini,wuwi,muginyinymigi,kalikali,minini,minini,kalikali,minini,minini,muginyinymigi,gurrung,minini,gurrung,muginyinymigi,ama,gaykiy,nyarraka,nyarraka,gaykiy,nyarraka,nyarraka,gaykiy,nyarraka,ama,nyarraka,gaykiy,nyarraka,nyarraka,gaykiy,gaykiy
4,0.15027237086267897,0.9285240961559607,0.7782517252932817,minini,kalikali,muginyinymigi,gurrung,gurrung,wuwi,muginyinymigi,yukuyuku,wuwi,minini,gurrung,gurrung,muginyinymigi,kalikali,minini,gurrung,gurrung,minini,minini,kalikali,kalikali,minini,minini,minini,gurrung,minini,minini,yukuyuku,minini,gurrung,kalikali,minini,muginyinymigi,minini,minini,muginyinymigi,kalikali,kalikali,minini,muginyinymigi,kalikali,minini,gurrung,wuwi,minini,kalikali,gurrung,minini,kalikali,minini,wuwi,minini,gaykiy,gaykiy,gaykiy,gaykiy,nyarraka,ama,nyarraka,nyarraka,nyarraka,nyarraka,gaykiy,nyarraka,nyarraka,gaykiy,nyarraka,ama
5,0.09590973959265903,0.9960459302460973,0.9001361906534383,gurrung,gurrung,gurrung,minini,gurrung,muginyinymigi,minini,kalikali,minini,wuwi,gurrung,gurrung,minini,minini,muginyinymigi,wuwi,kalikali,kalikali,minini,yukuyuku,gurrung,minini,minini,minini,minini,minini,kalikali,minini,gurrung,minini,minini,wuwi,minini,kalikali,minini,kalikali,muginyinymigi,yukuyuku,minini,kalikali,minini,kalikali,muginyinymigi,kalikali,kalikali,wuwi,gurrung,minini,minini,muginyinymigi,muginyinymigi,gurrung,nyarraka,ama,nyarraka,gaykiy,nyarraka,nyarraka,nyarraka,gaykiy,nyarraka,ama,nyarraka,gaykiy,gaykiy,gaykiy,nyarraka,gaykiy
6,0.1684354955189975,0.9911201931177065,0.822684697598709,muginyinymigi,gurrung,gurrung,minini,kalikali,gurrung,kalikali,minini,wuwi,gurrung,minini,minini,wuwi,minini,yukuyuku,muginyinymigi,kalikali,muginyinymigi,minini,kalikali,minini,minini,minini,gurrung,gurrung,kalikali,minini,kalikali,minini,minini,minini,minini,minini,muginyinymigi,minini,minini,wuwi,gurrung,wuwi,gurrung,muginyinymigi,kalikali,kalikali,gurrung,yukuyuku,minini,minini,kalikali,muginyinymigi,kalikali,gurrung,minini,gaykiy,gaykiy,nyarraka,ama,nyarraka,gaykiy,nyarraka,ama,nyarraka,gaykiy,gaykiy,nyarraka,gaykiy,nyarraka,nyarraka,nyarraka
7,0.10560428495365248,0.9638912649151476,0.8582869799614952,minini,gurrung,kalikali,minini,muginyinymigi,kalikali,kalikali,wuwi,minini,gurrung,minini,kalikali,wuwi,kalikali,minini,minini,kalikali,minini,minini,gurrung,minini,kalikali,minini,muginyinymigi,minini,wuwi,minini,gurrung,gurrung,yukuyuku,gurrung,muginyinymigi,wuwi,kalikali,gurrung,minini,muginyinymigi,minini,minini,muginyinymigi,gurrung,kalikali,kalikali,minini,gurrung,minini,minini,minini,yukuyuku,gurrung,muginyinymigi,minini,nyarraka,ama,gaykiy,nyarraka,gaykiy,gaykiy,nyarraka,gaykiy,nyarraka,gaykiy,nyarraka,nyarraka,nyarraka,gaykiy,ama,nyarraka
8,0.08807858498730825,0.9770739511098399,0.8889953661225316,wuwi,gurrung,gurrung,kalikali,muginyinymigi,kalikali,minini,minini,kalikali,kalikali,wuwi,muginyinymigi,gurrung,minini,minini,gurrung,kalikali,minini,minini,gurrung,wuwi,muginyinymigi,gurrung,minini,gurrung,yukuyuku,kalikali,minini,muginyinymigi,minini,gurrung,minini,muginyinymigi,minini,minini,yukuyuku,kalikali,minini,muginyinymigi,kalikali,kalikali,gurrung,minini,gurrung,minini,minini,minini,minini,minini,wuwi,minini,kalikali,nyarraka,nyarraka,ama,gaykiy,gaykiy,ama,gaykiy,gaykiy,nyarraka,nyarraka,nyarraka,gaykiy,nyarraka,nyarraka,nyarraka,gaykiy
9,0.1343894171234239,0.9638912649151476,0.8295018477917238,kalikali,gurrung,muginyinymigi,gurrung,minini,minini,gurrung,kalikali,minini,kalikali,minini,minini,gurrung,kalikali,kalikali,kalikali,minini,wuwi,yukuyuku,gurrung,muginyinymigi,minini,muginyinymigi,wuwi,muginyinymigi,gurrung,gurrung,kalikali,wuwi,gurrung,minini,kalikali,minini,minini,minini,kalikali,gurrung,kalikali,muginyinymigi,gurrung,minini,minini,minini,minini,minini,muginyinymigi,minini,wuwi,minini,yukuyuku,minini,minini,gaykiy,nyarraka,ama,nyarraka,nyarraka,gaykiy,ama,gaykiy,gaykiy,nyarraka,nyarraka,nyarraka,gaykiy,nyarraka,nyarraka,gaykiy
