simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,mFZD,mFBD,mFBS,mFZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,fZ,feB,fyB,fFZD,fFBD,fFBS,fFZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,meZ,feZ,myZ,fyZ,mB,mZ,mMBD,mMBS,mMeBS,mMyBS,mMeBD,mMyBD,mMBeS,mMByS,mMBeD,mMByD,fB,fMBD,fMBS,fMeBS,fMyBS,fMeBD,fMyBD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMeB,mMyB,fF,fM,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMeB,fMyB,mFB,mMyZ,fFB,fMyZ
0,0.3403883257272551,1.7834126202445648,1.4430242945173097,bāi,ambesa,ambesa,mrīgali,mrīgenju,tangerīnḍi,mrīgenju,bāi,bāiḍi,bāi,ambesa,ambesa,ambesa,bāi,bāi,mrīgenju,bāi,bāi,bāi,bāi,mrīgali,ambesa,aṇgi,mrīgali,mrīgenju,ambesa,ambesa,tangerīnḍi,mrīgali,mrīgali,mrīgali,tajeriaru,mrīgali,tajeriaru,bāi,ambesa,mrīgali,ambesa,mrīgali,ambesa,bāi,bāi,ambesa,ambesa,ambesa,ambesa,ambesa,ambesa,bāi,mrīgali,ambesa,ambesa,mrīgenju,dada,mrīgenju,mrīgenju,dada,bāi,ambesa,bāiḍi,aṇgi,bāi,mrīgenju,mrīgenju,mrīgenju,ambesa,bāi,bāi,ambesa,bāi,bāi,prehenḍa,ama,ama,ake boḍu,kōka,ango,ama,tanji,prehenḍa,mousi,ango,tanji,aiadi,aiadi,ake boḍu,ama,ama,ake boḍu,ake boḍu,mousi,ama,ake boḍu,mousi,ake boḍu,mousi,ake boḍu,ake boḍu,kōka
1,0.2989606578749895,1.8739811514086355,1.575020493533646,mrīgenju,ambesa,ambesa,bāi,mrīgenju,ambesa,mrīgali,mrīgali,bāi,bāi,ambesa,mrīgali,bāiḍi,ambesa,tangerīnḍi,mrīgali,bāi,bāi,ambesa,dada,bāi,mrīgenju,mrīgenju,tangerīnḍi,mrīgenju,aṇgi,mrīgali,ambesa,ambesa,aṇgi,bāi,mrīgenju,bāi,mrīgenju,ambesa,bāi,bāi,bāi,ambesa,ambesa,ambesa,bāi,ambesa,mrīgenju,bāi,ambesa,mrīgali,mrīgali,dada,mrīgali,bāi,bāi,ambesa,mrīgenju,mrīgenju,ambesa,mrīgali,bāi,tajeriaru,bāi,ambesa,tajeriaru,bāiḍi,ambesa,ambesa,ambesa,bāi,mrīgali,ambesa,bāi,ambesa,mousi,ake boḍu,tanji,mousi,mousi,ake boḍu,ango,ake boḍu,kōka,ama,ake boḍu,ama,aiadi,ake boḍu,ama,aiadi,tanji,ake boḍu,mousi,ango,ake boḍu,kōka,prehenḍa,prehenḍa,ama,ama,ama,ake boḍu
2,0.45069407551565366,1.995121947561997,1.5444278720463434,ambesa,bāi,ambesa,mrīgenju,ambesa,ambesa,mrīgenju,bāi,mrīgenju,mrīgali,bāi,ambesa,mrīgali,mrīgali,ambesa,bāi,mrīgenju,ambesa,mrīgali,dada,aṇgi,mrīgenju,ambesa,mrīgali,mrīgenju,mrīgali,ambesa,bāi,bāiḍi,bāi,mrīgenju,tangerīnḍi,aṇgi,tajeriaru,ambesa,bāi,mrīgenju,mrīgali,bāi,mrīgenju,bāi,mrīgali,bāi,ambesa,tajeriaru,tangerīnḍi,bāiḍi,ambesa,ambesa,ambesa,ambesa,bāi,ambesa,bāi,ambesa,dada,mrīgali,ambesa,ambesa,ambesa,bāi,ambesa,mrīgali,bāi,mrīgenju,bāi,bāi,bāi,ambesa,bāi,bāi,tanji,ake boḍu,ama,tanji,mousi,ake boḍu,ama,ama,ango,ake boḍu,ake boḍu,aiadi,kōka,kōka,ango,prehenḍa,mousi,ama,mousi,ake boḍu,ake boḍu,ake boḍu,ama,mousi,aiadi,ama,prehenḍa,ake boḍu
3,0.3429916843241698,1.7949672762659798,1.45197559194181,bāi,bāi,bāi,ambesa,bāi,bāi,bāi,ambesa,bāi,aṇgi,ambesa,bāi,bāi,mrīgenju,dada,bāi,ambesa,ambesa,tajeriaru,bāi,mrīgenju,ambesa,ambesa,mrīgali,mrīgenju,ambesa,bāi,bāi,ambesa,mrīgenju,ambesa,bāi,mrīgenju,ambesa,mrīgali,mrīgenju,mrīgali,ambesa,mrīgali,mrīgenju,mrīgali,ambesa,mrīgenju,tangerīnḍi,ambesa,mrīgali,ambesa,bāi,mrīgali,ambesa,mrīgali,bāi,bāiḍi,bāiḍi,ambesa,mrīgali,ambesa,mrīgenju,mrīgenju,tangerīnḍi,ambesa,mrīgali,ambesa,bāi,tajeriaru,ambesa,ambesa,bāi,aṇgi,dada,bāi,ama,tanji,mousi,tanji,mousi,ake boḍu,ama,ake boḍu,prehenḍa,aiadi,ango,aiadi,prehenḍa,ake boḍu,ake boḍu,mousi,ama,ama,kōka,ake boḍu,ango,ama,mousi,ake boḍu,ake boḍu,kōka,ama,ake boḍu
4,0.38242219283291434,1.9539889622416362,1.5715667694087219,ambesa,ambesa,mrīgali,bāiḍi,dada,mrīgenju,mrīgali,bāi,bāi,ambesa,tajeriaru,bāi,aṇgi,bāi,bāi,mrīgenju,bāi,mrīgenju,ambesa,ambesa,tangerīnḍi,ambesa,ambesa,ambesa,ambesa,bāi,ambesa,bāi,ambesa,dada,ambesa,mrīgenju,aṇgi,mrīgenju,mrīgali,bāi,ambesa,bāi,bāi,mrīgali,bāi,bāiḍi,bāi,bāi,ambesa,bāi,bāi,ambesa,mrīgali,bāi,bāi,ambesa,mrīgenju,mrīgali,ambesa,mrīgali,mrīgenju,ambesa,mrīgali,mrīgali,mrīgenju,ambesa,tajeriaru,mrīgenju,ambesa,bāi,mrīgenju,tangerīnḍi,ambesa,ambesa,mrīgali,mousi,ama,ama,aiadi,ama,ango,ango,ama,kōka,mousi,tanji,ake boḍu,ake boḍu,ake boḍu,aiadi,mousi,ake boḍu,prehenḍa,ama,ake boḍu,prehenḍa,ake boḍu,tanji,kōka,mousi,ake boḍu,ake boḍu,ama
5,0.38072943915011925,1.816017398095205,1.4352879589450858,mrīgenju,ambesa,bāi,ambesa,bāi,bāi,ambesa,bāi,mrīgenju,bāi,bāi,bāi,mrīgenju,ambesa,tajeriaru,bāi,mrīgenju,bāi,bāi,bāi,bāi,ambesa,ambesa,tangerīnḍi,bāiḍi,ambesa,dada,mrīgenju,bāi,mrīgali,ambesa,ambesa,mrīgenju,mrīgali,ambesa,mrīgali,bāi,mrīgali,bāi,ambesa,ambesa,ambesa,ambesa,bāiḍi,ambesa,mrīgenju,mrīgenju,mrīgali,mrīgali,ambesa,bāi,dada,aṇgi,ambesa,mrīgali,bāi,ambesa,ambesa,ambesa,bāi,tangerīnḍi,mrīgenju,ambesa,tajeriaru,ambesa,mrīgali,mrīgenju,aṇgi,mrīgali,mrīgali,bāi,aiadi,ake boḍu,ama,ake boḍu,kōka,kōka,tanji,mousi,ama,aiadi,ake boḍu,ama,ake boḍu,ake boḍu,ama,ango,ake boḍu,ango,mousi,ake boḍu,ama,mousi,mousi,ama,prehenḍa,tanji,prehenḍa,ake boḍu
6,0.31964717080093963,1.7996581524864674,1.4800109816855278,tangerīnḍi,mrīgali,ambesa,bāi,aṇgi,ambesa,ambesa,ambesa,bāi,bāi,mrīgali,bāi,mrīgenju,ambesa,mrīgali,mrīgali,bāi,ambesa,ambesa,mrīgenju,tajeriaru,mrīgali,bāi,bāi,ambesa,bāi,mrīgenju,bāi,ambesa,mrīgenju,ambesa,ambesa,tangerīnḍi,bāi,ambesa,ambesa,mrīgali,bāi,dada,bāi,bāi,mrīgenju,bāi,dada,mrīgali,mrīgali,ambesa,bāi,ambesa,aṇgi,mrīgenju,mrīgenju,mrīgenju,ambesa,mrīgenju,mrīgenju,ambesa,bāi,mrīgali,ambesa,ambesa,bāiḍi,mrīgali,tajeriaru,bāi,bāi,ambesa,ambesa,bāi,ambesa,bāiḍi,aiadi,prehenḍa,mousi,ama,ama,ake boḍu,tanji,kōka,ake boḍu,ama,ake boḍu,mousi,ake boḍu,mousi,ama,ama,tanji,ama,kōka,ake boḍu,ake boḍu,ango,ango,prehenḍa,mousi,ake boḍu,ake boḍu,aiadi
7,0.2607973962601502,1.6956198272089495,1.4348224309487994,mrīgali,bāi,mrīgenju,bāi,ambesa,mrīgali,bāi,ambesa,ambesa,aṇgi,ambesa,tajeriaru,mrīgenju,bāi,bāi,dada,bāi,bāi,mrīgenju,mrīgali,ambesa,mrīgali,bāiḍi,mrīgali,ambesa,bāiḍi,bāi,ambesa,ambesa,mrīgenju,aṇgi,ambesa,bāi,ambesa,ambesa,bāi,bāi,ambesa,bāi,mrīgenju,bāi,tangerīnḍi,mrīgali,mrīgali,bāi,bāi,tangerīnḍi,ambesa,bāi,mrīgenju,ambesa,mrīgali,ambesa,mrīgenju,ambesa,tajeriaru,ambesa,mrīgenju,dada,ambesa,mrīgenju,ambesa,mrīgenju,bāi,ambesa,bāi,mrīgali,ambesa,mrīgali,ambesa,bāi,ama,mousi,ake boḍu,ake boḍu,kōka,prehenḍa,ama,ake boḍu,ake boḍu,ango,mousi,mousi,ake boḍu,ango,ama,ama,ake boḍu,aiadi,ake boḍu,ama,aiadi,tanji,tanji,ake boḍu,prehenḍa,ama,mousi,kōka
8,0.33721359421672314,1.6281009122372478,1.2908873180205247,ambesa,mrīgenju,mrīgali,bāi,bāi,mrīgenju,ambesa,bāi,ambesa,mrīgali,mrīgenju,mrīgenju,mrīgali,ambesa,tangerīnḍi,bāi,tajeriaru,bāi,ambesa,bāi,mrīgali,bāi,mrīgenju,ambesa,tangerīnḍi,mrīgenju,dada,aṇgi,mrīgali,bāi,mrīgali,bāi,ambesa,ambesa,mrīgali,bāiḍi,mrīgenju,bāi,ambesa,mrīgenju,ambesa,mrīgenju,ambesa,ambesa,ambesa,ambesa,ambesa,ambesa,ambesa,bāi,bāi,mrīgali,mrīgenju,bāi,mrīgali,ambesa,bāi,ambesa,dada,bāi,bāi,tajeriaru,bāi,bāi,aṇgi,ambesa,ambesa,mrīgali,ambesa,bāi,bāiḍi,ake boḍu,tanji,ama,ake boḍu,ango,ake boḍu,ake boḍu,kōka,ake boḍu,ama,aiadi,ama,prehenḍa,mousi,ake boḍu,ake boḍu,ango,aiadi,ama,ake boḍu,prehenḍa,tanji,mousi,mousi,ama,mousi,ama,kōka
9,0.3297637706702903,1.8892418766144132,1.559478105944123,bāi,bāi,tajeriaru,mrīgenju,ambesa,aṇgi,bāiḍi,mrīgenju,ambesa,mrīgali,bāi,ambesa,bāi,tajeriaru,bāi,ambesa,tangerīnḍi,mrīgali,ambesa,mrīgenju,mrīgenju,ambesa,mrīgali,ambesa,ambesa,bāi,ambesa,mrīgali,ambesa,mrīgali,bāi,bāi,mrīgenju,ambesa,mrīgali,bāi,ambesa,bāi,bāi,bāi,ambesa,mrīgali,mrīgenju,ambesa,bāi,bāi,ambesa,ambesa,mrīgenju,ambesa,dada,mrīgenju,dada,mrīgenju,ambesa,bāiḍi,aṇgi,mrīgenju,ambesa,ambesa,mrīgali,bāi,bāi,bāi,ambesa,ambesa,bāi,bāi,tangerīnḍi,mrīgali,mrīgali,ake boḍu,mousi,ake boḍu,kōka,ama,ama,mousi,ake boḍu,ake boḍu,ake boḍu,ake boḍu,ango,ama,prehenḍa,ama,prehenḍa,ake boḍu,tanji,tanji,kōka,ama,ake boḍu,aiadi,ango,ama,mousi,mousi,aiadi
