simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeZD,mFyZD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.4783498682820294,1.2473784703497062,0.7690286020676768,manök,tet lalou,tivalök,"vavwe lil, vavwe mba",evünök,tet lalou,"vavwe lil, vavwe mba",tivalök,"vavwe lil, vavwe mba",tet lalou,"vavwe lil, vavwe mba",manök,tivalök nöngk,tivalök nöngk,evünök,natök usöwei,tivalök nöngk,natök usöwei,tet lalou,vavwe,vavwe,tatei,tatei,wunei,wunei,tatei,wunei,vavwe,bünei,wunei,wunei,tatei,tatei,tatei,bünei,wunei,vavwe,bünei,bünei
1,0.4620347213739495,1.3229495110045284,0.8609147896305789,evünök,"vavwe lil, vavwe mba",tivalök nöngk,tet lalou,tet lalou,natök usöwei,tet lalou,"vavwe lil, vavwe mba",tet lalou,natök usöwei,"vavwe lil, vavwe mba",evünök,tivalök,manök,manök,tivalök nöngk,tivalök,tivalök nöngk,"vavwe lil, vavwe mba",tatei,tatei,wunei,vavwe,wunei,tatei,bünei,tatei,vavwe,tatei,tatei,vavwe,bünei,wunei,bünei,wunei,wunei,wunei,bünei,vavwe
2,0.4448034256357639,1.3751146687214826,0.9303112430857187,evünök,natök usöwei,tet lalou,tet lalou,manök,tet lalou,manök,"vavwe lil, vavwe mba",evünök,natök usöwei,tivalök nöngk,tet lalou,"vavwe lil, vavwe mba",tivalök,tivalök nöngk,tivalök nöngk,"vavwe lil, vavwe mba","vavwe lil, vavwe mba",tivalök,bünei,tatei,vavwe,vavwe,vavwe,tatei,wunei,tatei,vavwe,tatei,wunei,wunei,wunei,tatei,bünei,wunei,tatei,bünei,wunei,bünei
3,0.3458316203703754,1.3397942802855756,0.9939626599152002,tivalök nöngk,tivalök nöngk,tivalök,manök,"vavwe lil, vavwe mba",tet lalou,tivalök nöngk,natök usöwei,"vavwe lil, vavwe mba","vavwe lil, vavwe mba",natök usöwei,tet lalou,tivalök,tet lalou,evünök,manök,"vavwe lil, vavwe mba",tet lalou,evünök,tatei,wunei,bünei,vavwe,wunei,vavwe,vavwe,tatei,wunei,vavwe,wunei,wunei,wunei,tatei,tatei,bünei,tatei,bünei,tatei,bünei
4,0.23456604627607913,0.9833122247384488,0.7487461784623697,"vavwe lil, vavwe mba",tet lalou,manök,tet lalou,"vavwe lil, vavwe mba","vavwe lil, vavwe mba","vavwe lil, vavwe mba",natök usöwei,natök usöwei,tet lalou,tivalök,manök,tet lalou,tivalök nöngk,tivalök nöngk,tivalök nöngk,evünök,tivalök,evünök,bünei,tatei,wunei,wunei,tatei,bünei,bünei,wunei,tatei,tatei,vavwe,wunei,bünei,vavwe,wunei,wunei,tatei,tatei,vavwe,vavwe
5,0.4162936181434419,1.3408598246035022,0.9245662064600603,evünök,tivalök nöngk,"vavwe lil, vavwe mba",manök,tivalök,tet lalou,"vavwe lil, vavwe mba",tet lalou,tivalök,tet lalou,natök usöwei,evünök,tivalök nöngk,tet lalou,manök,tivalök nöngk,"vavwe lil, vavwe mba","vavwe lil, vavwe mba",natök usöwei,vavwe,wunei,tatei,bünei,wunei,wunei,tatei,wunei,vavwe,wunei,bünei,bünei,tatei,wunei,tatei,vavwe,tatei,bünei,vavwe,tatei
6,0.47985010601835765,1.2625126928404593,0.7826625868221017,evünök,tet lalou,tivalök nöngk,tivalök nöngk,tivalök,tivalök,tet lalou,"vavwe lil, vavwe mba",natök usöwei,natök usöwei,tivalök nöngk,"vavwe lil, vavwe mba","vavwe lil, vavwe mba",tet lalou,"vavwe lil, vavwe mba",manök,manök,evünök,tet lalou,tatei,tatei,tatei,wunei,tatei,bünei,bünei,tatei,wunei,vavwe,tatei,wunei,bünei,wunei,vavwe,wunei,vavwe,bünei,vavwe,wunei
7,0.7213538963880273,1.3512196258319578,0.6298657294439305,natök usöwei,evünök,evünök,manök,tet lalou,tivalök nöngk,tivalök nöngk,"vavwe lil, vavwe mba","vavwe lil, vavwe mba",tivalök,natök usöwei,"vavwe lil, vavwe mba",tet lalou,tet lalou,tivalök nöngk,tet lalou,tivalök,manök,"vavwe lil, vavwe mba",tatei,tatei,vavwe,wunei,vavwe,wunei,wunei,bünei,vavwe,bünei,tatei,bünei,tatei,wunei,bünei,wunei,vavwe,tatei,tatei,wunei
8,0.5231557002431846,1.161073848614172,0.6379181483709875,tet lalou,tivalök,natök usöwei,"vavwe lil, vavwe mba",tet lalou,tet lalou,evünök,tivalök nöngk,"vavwe lil, vavwe mba","vavwe lil, vavwe mba","vavwe lil, vavwe mba",tet lalou,tivalök nöngk,tivalök,tivalök nöngk,manök,natök usöwei,evünök,manök,vavwe,tatei,tatei,wunei,tatei,vavwe,vavwe,tatei,bünei,wunei,bünei,wunei,vavwe,tatei,wunei,tatei,wunei,bünei,bünei,wunei
9,0.5426296505778336,1.3456380600045899,0.8030084094267562,tet lalou,"vavwe lil, vavwe mba","vavwe lil, vavwe mba",tivalök,tivalök nöngk,manök,tet lalou,evünök,tivalök nöngk,tet lalou,natök usöwei,"vavwe lil, vavwe mba",tivalök,tet lalou,tivalök nöngk,evünök,"vavwe lil, vavwe mba",manök,natök usöwei,vavwe,tatei,wunei,wunei,tatei,vavwe,bünei,bünei,vavwe,wunei,tatei,tatei,bünei,wunei,tatei,wunei,bünei,vavwe,tatei,wunei
