simulation_number,mutual_information,entropy,conditional_entropy,mFBeD,mMZeD,feB,mFBeS,fFBeS,mFZeS,mFZyS,mMBeS,mMByS,fFZeS,fFZyS,fMBeS,fMByS,fyZ,fFByD,fMZyD,mFByD,mMZyD,myZ,myB,fyB,mFByS,fFByS,mMZyS,fMZyS,mMBeD,mMByD,mFZeD,mFZyD,feZ,fFBeD,fMZeD,mMZeS,meB,fFZeD,fFZyD,fMBeD,fMByD,mFeZ,mFyZ,fFeZ,fFyZ,mMeB,mMyB,fMeB,fMyB,mM,fM,mMeZ,mMyZ,fMeZ,fMyZ,mF,fF,mFeB,mFyB,fFeB,fFyB
0,0.3414540523502362,1.0346012329101812,0.6931471805599451,me-tonʼ-kä,me-tonkʼ-she,me-tonkʼ-she,cha-päʼ-she,me-sonʼ-kä-lä,cha-päʼ-she,she-chaʼ-she,hä-käʼ-she,tibʼ-a-lo,me-sonʼ-kä-lä,me-sonʼ-kä-lä,ton-ka',ton-ka',she-shaʼ-she,me-sonʼ-kä-lä,cha-päʼ-she,she-chaʼ-she,tä-häʼ-she,me-sonʼ-kä-lä,hä-käʼ-she,me-tonʼ-kä,tibʼ-a-lo,ha-käʼ-she,cheʼ-a,chu-wa',chu-wa',tä-häʼ-she,me-tänkʼ-she,che-aʼ,tibʼ-a-lo,she-shaʼ-she,me-sonʼ-kä-lä,tä-häʼ-she,tä-häʼ-she,cha-päʼ-she,me-tonʼ-kä,chu-wa',ha-käʼ-she,eʼ-nah,ah-taʼ,lakeʼ-she,ah-taʼ,eʼ-nah,eʼ-nah,ah-taʼ,lakeʼ-she,ah-taʼ,lakeʼ-she,ah-taʼ,tohʼ-we,tohʼ-we,tohʼ-we,lakeʼ-she,eʼ-nah,ah-taʼ,eʼ-nah,tohʼ-we,eʼ-nah
1,0.1608706033651573,0.5195798391305154,0.3587092357653581,hä-käʼ-she,ton-ka',me-sonʼ-kä-lä,me-tonkʼ-she,she-chaʼ-she,me-tonʼ-kä,cha-päʼ-she,ha-käʼ-she,me-sonʼ-kä-lä,chu-wa',tä-häʼ-she,che-aʼ,me-sonʼ-kä-lä,cha-päʼ-she,tibʼ-a-lo,ton-ka',tä-häʼ-she,cheʼ-a,me-tonʼ-kä,hä-käʼ-she,tibʼ-a-lo,me-sonʼ-kä-lä,me-tänkʼ-she,she-chaʼ-she,tä-häʼ-she,cha-päʼ-she,she-shaʼ-she,me-tonʼ-kä,tibʼ-a-lo,me-tonkʼ-she,cha-päʼ-she,tä-häʼ-she,she-shaʼ-she,me-sonʼ-kä-lä,me-sonʼ-kä-lä,chu-wa',ha-käʼ-she,chu-wa',ah-taʼ,lakeʼ-she,tohʼ-we,ah-taʼ,ah-taʼ,eʼ-nah,eʼ-nah,eʼ-nah,eʼ-nah,ah-taʼ,lakeʼ-she,tohʼ-we,tohʼ-we,lakeʼ-she,ah-taʼ,ah-taʼ,eʼ-nah,lakeʼ-she,tohʼ-we,eʼ-nah
2,0.34145405235023585,1.034601232910181,0.6931471805599452,she-chaʼ-she,me-sonʼ-kä-lä,me-sonʼ-kä-lä,cha-päʼ-she,me-tonkʼ-she,che-aʼ,me-tonkʼ-she,tibʼ-a-lo,ha-käʼ-she,ha-käʼ-she,hä-käʼ-she,ton-ka',me-tänkʼ-she,tibʼ-a-lo,hä-käʼ-she,tä-häʼ-she,tä-häʼ-she,me-tonʼ-kä,she-shaʼ-she,cheʼ-a,me-sonʼ-kä-lä,me-sonʼ-kä-lä,me-tonʼ-kä,she-chaʼ-she,me-sonʼ-kä-lä,cha-päʼ-she,ton-ka',chu-wa',chu-wa',me-sonʼ-kä-lä,me-tonʼ-kä,cha-päʼ-she,she-shaʼ-she,chu-wa',tä-häʼ-she,tibʼ-a-lo,tä-häʼ-she,cha-päʼ-she,eʼ-nah,eʼ-nah,eʼ-nah,eʼ-nah,tohʼ-we,tohʼ-we,tohʼ-we,tohʼ-we,eʼ-nah,ah-taʼ,ah-taʼ,ah-taʼ,eʼ-nah,ah-taʼ,ah-taʼ,lakeʼ-she,lakeʼ-she,lakeʼ-she,lakeʼ-she,ah-taʼ
3,0.10603713334992682,1.0346012329101812,0.9285640995602544,tä-häʼ-she,cha-päʼ-she,me-sonʼ-kä-lä,me-sonʼ-kä-lä,me-tonʼ-kä,ha-käʼ-she,tä-häʼ-she,me-sonʼ-kä-lä,ton-ka',hä-käʼ-she,chu-wa',me-tonʼ-kä,tibʼ-a-lo,cha-päʼ-she,me-tonʼ-kä,she-chaʼ-she,cha-päʼ-she,che-aʼ,cha-päʼ-she,chu-wa',me-tonkʼ-she,chu-wa',me-tonkʼ-she,tibʼ-a-lo,cheʼ-a,hä-käʼ-she,me-sonʼ-kä-lä,she-shaʼ-she,she-chaʼ-she,me-sonʼ-kä-lä,tä-häʼ-she,tibʼ-a-lo,tä-häʼ-she,me-sonʼ-kä-lä,ton-ka',me-tänkʼ-she,ha-käʼ-she,she-shaʼ-she,lakeʼ-she,eʼ-nah,eʼ-nah,eʼ-nah,ah-taʼ,tohʼ-we,ah-taʼ,lakeʼ-she,ah-taʼ,lakeʼ-she,ah-taʼ,eʼ-nah,tohʼ-we,ah-taʼ,lakeʼ-she,eʼ-nah,eʼ-nah,tohʼ-we,ah-taʼ,tohʼ-we
4,0.20218548540814574,0.5982695885852573,0.3960841031771115,tä-häʼ-she,me-tänkʼ-she,chu-wa',tibʼ-a-lo,me-tonkʼ-she,ton-ka',me-sonʼ-kä-lä,she-shaʼ-she,me-sonʼ-kä-lä,chu-wa',cha-päʼ-she,me-sonʼ-kä-lä,she-chaʼ-she,cha-päʼ-she,cheʼ-a,ha-käʼ-she,tibʼ-a-lo,cha-päʼ-she,ton-ka',me-tonʼ-kä,me-tonkʼ-she,tä-häʼ-she,me-sonʼ-kä-lä,tibʼ-a-lo,tä-häʼ-she,hä-käʼ-she,cha-päʼ-she,che-aʼ,she-chaʼ-she,hä-käʼ-she,tä-häʼ-she,me-tonʼ-kä,ha-käʼ-she,me-tonʼ-kä,me-sonʼ-kä-lä,she-shaʼ-she,chu-wa',me-sonʼ-kä-lä,eʼ-nah,ah-taʼ,lakeʼ-she,tohʼ-we,eʼ-nah,tohʼ-we,ah-taʼ,lakeʼ-she,eʼ-nah,eʼ-nah,lakeʼ-she,ah-taʼ,ah-taʼ,ah-taʼ,eʼ-nah,lakeʼ-she,ah-taʼ,eʼ-nah,tohʼ-we,tohʼ-we
5,0.242433026555958,1.034601232910181,0.792168206354223,ha-käʼ-she,tä-häʼ-she,tä-häʼ-she,tä-häʼ-she,cha-päʼ-she,tibʼ-a-lo,chu-wa',ton-ka',me-tänkʼ-she,me-sonʼ-kä-lä,me-sonʼ-kä-lä,she-chaʼ-she,ha-käʼ-she,tibʼ-a-lo,me-tonʼ-kä,tibʼ-a-lo,me-sonʼ-kä-lä,she-shaʼ-she,me-sonʼ-kä-lä,ton-ka',chu-wa',hä-käʼ-she,tä-häʼ-she,cha-päʼ-she,me-tonkʼ-she,she-shaʼ-she,me-sonʼ-kä-lä,cha-päʼ-she,me-sonʼ-kä-lä,cha-päʼ-she,me-tonkʼ-she,hä-käʼ-she,me-tonʼ-kä,chu-wa',me-tonʼ-kä,she-chaʼ-she,cheʼ-a,che-aʼ,tohʼ-we,ah-taʼ,ah-taʼ,tohʼ-we,tohʼ-we,tohʼ-we,ah-taʼ,eʼ-nah,eʼ-nah,eʼ-nah,eʼ-nah,eʼ-nah,lakeʼ-she,lakeʼ-she,lakeʼ-she,ah-taʼ,eʼ-nah,ah-taʼ,lakeʼ-she,ah-taʼ
6,0.1608706033651573,0.5195798391305154,0.3587092357653581,hä-käʼ-she,she-chaʼ-she,hä-käʼ-she,ha-käʼ-she,me-tänkʼ-she,cha-päʼ-she,me-sonʼ-kä-lä,cha-päʼ-she,me-sonʼ-kä-lä,tä-häʼ-she,me-tonkʼ-she,tä-häʼ-she,she-shaʼ-she,chu-wa',tibʼ-a-lo,ton-ka',tä-häʼ-she,she-shaʼ-she,chu-wa',che-aʼ,me-tonkʼ-she,tibʼ-a-lo,tibʼ-a-lo,me-tonʼ-kä,me-sonʼ-kä-lä,she-chaʼ-she,me-tonʼ-kä,me-tonʼ-kä,cheʼ-a,me-sonʼ-kä-lä,ton-ka',ha-käʼ-she,me-sonʼ-kä-lä,cha-päʼ-she,me-sonʼ-kä-lä,tä-häʼ-she,cha-päʼ-she,chu-wa',ah-taʼ,tohʼ-we,ah-taʼ,lakeʼ-she,lakeʼ-she,lakeʼ-she,ah-taʼ,tohʼ-we,eʼ-nah,eʼ-nah,tohʼ-we,lakeʼ-she,ah-taʼ,eʼ-nah,ah-taʼ,eʼ-nah,eʼ-nah,eʼ-nah,tohʼ-we,ah-taʼ
7,0.6829081047004719,1.376055285260417,0.6931471805599452,me-tonʼ-kä,me-sonʼ-kä-lä,hä-käʼ-she,she-chaʼ-she,che-aʼ,me-sonʼ-kä-lä,me-sonʼ-kä-lä,ton-ka',me-tonʼ-kä,me-tonkʼ-she,tä-häʼ-she,cha-päʼ-she,she-shaʼ-she,tibʼ-a-lo,cha-päʼ-she,me-tonʼ-kä,cheʼ-a,tibʼ-a-lo,cha-päʼ-she,me-sonʼ-kä-lä,ha-käʼ-she,she-chaʼ-she,tä-häʼ-she,me-tonkʼ-she,ha-käʼ-she,hä-käʼ-she,chu-wa',cha-päʼ-she,she-shaʼ-she,tä-häʼ-she,ton-ka',me-sonʼ-kä-lä,chu-wa',me-sonʼ-kä-lä,me-tänkʼ-she,chu-wa',tibʼ-a-lo,tä-häʼ-she,ah-taʼ,eʼ-nah,tohʼ-we,eʼ-nah,eʼ-nah,ah-taʼ,tohʼ-we,eʼ-nah,tohʼ-we,eʼ-nah,ah-taʼ,ah-taʼ,lakeʼ-she,tohʼ-we,lakeʼ-she,ah-taʼ,ah-taʼ,lakeʼ-she,lakeʼ-she,eʼ-nah
8,0.24243302655595822,1.0346012329101812,0.792168206354223,she-chaʼ-she,she-chaʼ-she,me-tonʼ-kä,tä-häʼ-she,me-tonʼ-kä,she-shaʼ-she,che-aʼ,me-tonʼ-kä,me-tonkʼ-she,ton-ka',she-shaʼ-she,tä-häʼ-she,chu-wa',tibʼ-a-lo,me-sonʼ-kä-lä,tibʼ-a-lo,me-sonʼ-kä-lä,me-sonʼ-kä-lä,cha-päʼ-she,hä-käʼ-she,hä-käʼ-she,me-tänkʼ-she,tä-häʼ-she,ha-käʼ-she,me-sonʼ-kä-lä,tä-häʼ-she,me-tonkʼ-she,cheʼ-a,chu-wa',ha-käʼ-she,chu-wa',me-sonʼ-kä-lä,cha-päʼ-she,cha-päʼ-she,ton-ka',me-sonʼ-kä-lä,tibʼ-a-lo,cha-päʼ-she,eʼ-nah,lakeʼ-she,ah-taʼ,tohʼ-we,eʼ-nah,eʼ-nah,tohʼ-we,ah-taʼ,tohʼ-we,lakeʼ-she,ah-taʼ,ah-taʼ,tohʼ-we,ah-taʼ,lakeʼ-she,eʼ-nah,eʼ-nah,ah-taʼ,eʼ-nah,lakeʼ-she
9,0.20218548540814574,0.5982695885852573,0.3960841031771115,she-shaʼ-she,me-tonkʼ-she,chu-wa',cheʼ-a,me-tonʼ-kä,tä-häʼ-she,hä-käʼ-she,tibʼ-a-lo,chu-wa',cha-päʼ-she,ton-ka',tä-häʼ-she,me-tänkʼ-she,ha-käʼ-she,me-sonʼ-kä-lä,che-aʼ,chu-wa',ha-käʼ-she,cha-päʼ-she,me-sonʼ-kä-lä,tä-häʼ-she,me-tonʼ-kä,me-sonʼ-kä-lä,she-shaʼ-she,tä-häʼ-she,me-sonʼ-kä-lä,hä-käʼ-she,she-chaʼ-she,me-sonʼ-kä-lä,me-tonʼ-kä,tibʼ-a-lo,cha-päʼ-she,ton-ka',cha-päʼ-she,she-chaʼ-she,me-tonkʼ-she,me-sonʼ-kä-lä,tibʼ-a-lo,eʼ-nah,tohʼ-we,tohʼ-we,eʼ-nah,lakeʼ-she,ah-taʼ,eʼ-nah,ah-taʼ,ah-taʼ,ah-taʼ,lakeʼ-she,tohʼ-we,lakeʼ-she,ah-taʼ,ah-taʼ,eʼ-nah,tohʼ-we,eʼ-nah,lakeʼ-she,eʼ-nah
