simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mB,mFZD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.09485219323076621,1.3755559660075276,1.2807037727767614,auóNge,auóNge,auóNge,ámi,ári,ári,yánde,auóNge,akwaníndu,auóNge,auóNge,auóNge,ári,auóNge,akwáni,akwaníndu,ámi,auóNge,yánde,ári,auóNge,auóNge,yánde,auóNge,auóNge,auóNge,akwáni,yánde,auóNge,auóNge,auóNge,akwáni,auóNge,auóNge,auóNge,auóNge,auóNge,auóNge,auóNge,ári,akwaníndu,akwaníndu,yánde,ári,akwaníndu,ári,auóNge,ámi,akwaníndu,auóNge,akwaníndu,auóNge,ámi,auóNge,akwaníndu,yánde,yánde,ári,auóNge,auóNge,auóNge,yánde,yánde,auóNge,auóNge,akwaníndu,auóNge,auóNge,ári,auóNge,ámi,auóNge,auóNge,akwáni,akwaníndu,akwáni,yánde,ári,auóNge,auóNge,auóNge,ámi,ámi,ézi,ámi,ézi,ári,ári,éru,ézi,ézi,ézi,éru,éru,éru,éru,ári,ámi,ézi,éru,ári,ézi,ámi,ári,ámi,ári,éru,ézi,éru
1,0.09420707407705398,1.3142243656744053,1.2200172915973513,auóNge,yánde,ári,auóNge,auóNge,auóNge,ári,ári,yánde,akwaníndu,ári,akwaníndu,yánde,auóNge,auóNge,auóNge,auóNge,auóNge,akwáni,auóNge,auóNge,ámi,auóNge,yánde,auóNge,ári,auóNge,auóNge,akwaníndu,akwaníndu,auóNge,auóNge,ári,akwaníndu,auóNge,yánde,ámi,akwaníndu,auóNge,auóNge,akwaníndu,auóNge,yánde,auóNge,auóNge,auóNge,auóNge,auóNge,akwaníndu,akwaníndu,auóNge,auóNge,yánde,auóNge,ári,auóNge,akwáni,yánde,ámi,akwaníndu,auóNge,auóNge,ámi,akwáni,auóNge,ári,auóNge,yánde,auóNge,akwáni,ári,akwáni,auóNge,auóNge,auóNge,auóNge,ámi,ári,yánde,auóNge,auóNge,ézi,ámi,ámi,éru,ámi,ézi,ézi,éru,éru,ári,éru,ézi,ézi,ári,ámi,éru,ézi,éru,éru,éru,ári,ári,ámi,ári,ézi,ézi,ári,ámi
2,0.09900311418011554,1.3415442317135784,1.2425411175334629,auóNge,auóNge,akwaníndu,auóNge,auóNge,auóNge,auóNge,ári,ámi,akwaníndu,auóNge,auóNge,auóNge,akwaníndu,auóNge,auóNge,auóNge,auóNge,akwaníndu,ámi,yánde,akwaníndu,yánde,ámi,yánde,auóNge,auóNge,akwaníndu,auóNge,akwaníndu,auóNge,ári,ámi,auóNge,ári,ári,ári,yánde,auóNge,yánde,auóNge,auóNge,akwaníndu,yánde,ári,ári,auóNge,akwáni,auóNge,ári,akwáni,auóNge,auóNge,yánde,auóNge,auóNge,akwáni,yánde,ári,auóNge,auóNge,auóNge,auóNge,ámi,akwaníndu,auóNge,auóNge,auóNge,auóNge,yánde,auóNge,auóNge,yánde,ári,akwaníndu,auóNge,auóNge,akwáni,auóNge,auóNge,akwáni,éru,éru,ézi,ári,ámi,ézi,ézi,ári,éru,ézi,ámi,éru,ézi,ári,ámi,ézi,éru,ézi,ézi,éru,éru,ámi,ári,ári,ári,éru,ámi,ámi
3,0.09892211138307672,1.379076980812318,1.2801548694292413,auóNge,yánde,auóNge,ámi,akwáni,auóNge,akwaníndu,auóNge,auóNge,ámi,auóNge,yánde,akwaníndu,auóNge,auóNge,auóNge,auóNge,yánde,auóNge,akwaníndu,auóNge,auóNge,auóNge,auóNge,akwáni,akwáni,auóNge,akwaníndu,yánde,akwaníndu,auóNge,ári,auóNge,ári,auóNge,auóNge,akwaníndu,ári,ári,akwaníndu,auóNge,yánde,auóNge,auóNge,ámi,ári,akwaníndu,auóNge,ári,auóNge,auóNge,ári,yánde,auóNge,auóNge,auóNge,yánde,akwaníndu,akwáni,yánde,auóNge,yánde,ámi,auóNge,ári,auóNge,auóNge,ári,auóNge,auóNge,akwaníndu,ári,akwáni,auóNge,auóNge,auóNge,auóNge,auóNge,auóNge,ámi,yánde,ézi,ári,ámi,éru,ézi,ézi,ámi,éru,ézi,ézi,ári,ámi,ári,ézi,ámi,ézi,éru,ári,éru,ézi,ári,éru,éru,ámi,ámi,éru,éru,ári
4,0.08188972267195394,1.3782650598852217,1.2963753372132678,auóNge,auóNge,akwáni,auóNge,akwáni,auóNge,auóNge,ámi,akwaníndu,auóNge,auóNge,yánde,auóNge,auóNge,auóNge,akwaníndu,auóNge,auóNge,auóNge,yánde,auóNge,ámi,auóNge,auóNge,ári,yánde,auóNge,auóNge,auóNge,auóNge,auóNge,auóNge,auóNge,auóNge,yánde,ári,akwaníndu,auóNge,akwaníndu,ámi,akwaníndu,ámi,akwaníndu,auóNge,yánde,auóNge,akwaníndu,auóNge,auóNge,yánde,auóNge,akwáni,akwáni,ári,ári,yánde,yánde,ári,ári,akwaníndu,ári,auóNge,auóNge,ári,ámi,yánde,ári,auóNge,auóNge,akwaníndu,auóNge,auóNge,auóNge,auóNge,ári,akwáni,akwaníndu,auóNge,auóNge,yánde,auóNge,ézi,ári,ári,ézi,ári,éru,ézi,ári,éru,éru,ézi,ári,ámi,éru,ézi,ézi,ámi,ári,ámi,ámi,ézi,ámi,ámi,éru,ézi,éru,éru,éru
5,0.1290400283744213,1.3599620290179522,1.2309220006435309,auóNge,akwaníndu,auóNge,auóNge,ámi,akwaníndu,auóNge,auóNge,auóNge,auóNge,auóNge,yánde,auóNge,akwáni,auóNge,ári,ári,akwaníndu,yánde,auóNge,akwaníndu,ári,auóNge,yánde,auóNge,auóNge,akwáni,ámi,auóNge,auóNge,auóNge,auóNge,yánde,auóNge,auóNge,auóNge,yánde,ári,auóNge,akwaníndu,auóNge,auóNge,auóNge,ári,akwaníndu,ári,ámi,ámi,ári,akwáni,auóNge,auóNge,akwaníndu,auóNge,akwaníndu,auóNge,auóNge,auóNge,ári,akwáni,auóNge,auóNge,akwaníndu,yánde,auóNge,yánde,auóNge,auóNge,auóNge,akwáni,yánde,auóNge,auóNge,akwaníndu,auóNge,yánde,ári,ári,auóNge,ámi,yánde,ézi,ézi,ári,éru,ári,ámi,ézi,ámi,éru,ézi,ári,éru,ézi,ári,ézi,éru,ézi,éru,éru,ámi,ámi,ári,éru,ámi,éru,ézi,ári,ámi
6,0.14457852660927273,1.3191177042325326,1.1745391776232599,auóNge,akwaníndu,auóNge,auóNge,auóNge,auóNge,akwaníndu,auóNge,akwaníndu,yánde,akwáni,auóNge,auóNge,auóNge,yánde,ámi,auóNge,auóNge,ámi,auóNge,auóNge,yánde,ári,auóNge,ámi,akwáni,akwaníndu,auóNge,akwáni,auóNge,auóNge,auóNge,akwaníndu,auóNge,akwáni,auóNge,auóNge,auóNge,ámi,auóNge,auóNge,akwaníndu,ámi,akwaníndu,auóNge,akwaníndu,ári,akwáni,yánde,yánde,auóNge,auóNge,ári,ári,akwaníndu,auóNge,auóNge,auóNge,auóNge,yánde,ári,yánde,auóNge,auóNge,yánde,ári,akwaníndu,ári,auóNge,yánde,auóNge,auóNge,auóNge,auóNge,auóNge,auóNge,ári,auóNge,yánde,ári,ári,éru,ézi,ézi,ámi,éru,ézi,ámi,ézi,ári,ári,ári,ámi,ári,ézi,ámi,éru,éru,ámi,éru,ézi,ári,éru,ári,éru,ámi,ézi,éru,ézi
7,0.10775607510759966,1.3604589003534646,1.252702825245865,ári,auóNge,yánde,auóNge,ári,ámi,akwaníndu,auóNge,auóNge,ámi,auóNge,auóNge,yánde,auóNge,auóNge,auóNge,ári,akwáni,ári,auóNge,akwáni,yánde,yánde,auóNge,auóNge,auóNge,auóNge,auóNge,auóNge,auóNge,auóNge,ári,auóNge,ári,akwaníndu,ámi,auóNge,auóNge,ári,akwaníndu,ári,auóNge,auóNge,auóNge,akwaníndu,auóNge,auóNge,ámi,ári,auóNge,auóNge,auóNge,akwáni,akwaníndu,auóNge,auóNge,akwaníndu,yánde,yánde,auóNge,auóNge,akwáni,auóNge,yánde,yánde,auóNge,akwaníndu,auóNge,akwaníndu,yánde,akwaníndu,akwáni,akwaníndu,auóNge,ári,ámi,auóNge,yánde,auóNge,auóNge,auóNge,ézi,ézi,ézi,ámi,éru,ámi,ári,ári,ári,ári,ézi,éru,ámi,ámi,ári,éru,éru,éru,ézi,ézi,éru,ézi,ámi,éru,ári,éru,ézi,ámi
8,0.17169713712446621,1.378265059885222,1.2065679227607558,auóNge,auóNge,akwaníndu,auóNge,auóNge,auóNge,auóNge,akwáni,auóNge,ári,akwáni,ári,auóNge,yánde,akwaníndu,auóNge,auóNge,auóNge,auóNge,ári,yánde,auóNge,ári,auóNge,auóNge,yánde,auóNge,ári,auóNge,auóNge,akwaníndu,auóNge,ári,auóNge,auóNge,auóNge,auóNge,auóNge,yánde,auóNge,auóNge,auóNge,auóNge,yánde,ámi,akwaníndu,ámi,ári,auóNge,yánde,auóNge,auóNge,akwáni,auóNge,auóNge,auóNge,yánde,auóNge,yánde,akwáni,auóNge,akwaníndu,auóNge,akwaníndu,ári,auóNge,ámi,auóNge,yánde,akwaníndu,ámi,akwaníndu,ári,auóNge,akwáni,auóNge,yánde,akwaníndu,ári,ámi,akwaníndu,ézi,éru,ári,ámi,ézi,éru,ámi,ári,éru,éru,ámi,éru,ézi,ári,ézi,éru,ári,ézi,éru,ámi,ézi,ámi,ézi,ári,ámi,ézi,ári,éru
9,0.09156329356781434,1.3130288248570177,1.2214655312892033,akwaníndu,auóNge,auóNge,yánde,auóNge,ári,auóNge,ári,auóNge,akwáni,auóNge,akwaníndu,yánde,ámi,auóNge,auóNge,auóNge,auóNge,ámi,yánde,auóNge,auóNge,auóNge,ámi,auóNge,akwaníndu,auóNge,auóNge,auóNge,auóNge,auóNge,auóNge,auóNge,akwaníndu,auóNge,auóNge,auóNge,auóNge,ári,auóNge,akwaníndu,akwaníndu,ári,akwáni,auóNge,yánde,ári,auóNge,ári,ári,yánde,auóNge,auóNge,ári,auóNge,akwáni,auóNge,akwaníndu,yánde,auóNge,akwaníndu,yánde,ári,yánde,ári,auóNge,akwaníndu,ámi,auóNge,auóNge,auóNge,auóNge,yánde,auóNge,akwáni,auóNge,auóNge,akwáni,ámi,yánde,akwaníndu,ézi,éru,ézi,ámi,ézi,ámi,ézi,ézi,ári,éru,ári,ári,ámi,ézi,ézi,éru,ámi,éru,ézi,éru,ári,ári,éru,éru,ári,ámi,ámi,éru
