simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mFBD,mFZD,mMBD,fFBS,fFZS,fMBS,fFBD,fFZD,fMBD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ
0,0.0669142170006507,0.6540548103069317,0.587140593306281,'āsi-na,wa'a-na,wari-na,hahone-na,wa'a-na,ura-na,ura-na,wari-na,wari-na,'āsi-na,'āsi-na,hahone-na,ura-na,hahone-na,wari-na,ura-na,ura-na,ura-na,ura-na,wa'a-na,ura-na,ura-na,wari-na,wari-na,ura-na,ura-na,hahone-na,wari-na,wa'a-na,ura-na,wa'a-na,wari-na,wa'a-na,wari-na,wari-na,wa'a-na,ura-na,ura-na,wari-na,wa'a-na,wari-na,wa'a-na,wa'a-na,ura-na,ura-na,wa'a-na,wari-na,wa'a-na,wari-na,ura-na,ura-na,wari-na,wa'a-na,ura-na,wa'a-na,wari-na,wa'a-na,wa'a-na,wari-na,wari-na,wari-na,wari-na,wa'a-na,wa'a-na,wa'a-na,ura-na,nike-na,nike-na,"mama-na, ama-na",nike-na,nike-na,nike-na,nike-na,"mama-na, ama-na","mama-na, ama-na","mama-na, ama-na","mama-na, ama-na",nike-na,"mama-na, ama-na",nike-na,nike-na,nike-na
1,0.16204310155293733,0.6791932659915256,0.5171501644385883,wa'a-na,ura-na,wa'a-na,wari-na,wa'a-na,ura-na,ura-na,wa'a-na,wari-na,wari-na,wa'a-na,wa'a-na,ura-na,ura-na,wari-na,wari-na,ura-na,ura-na,wari-na,wari-na,wari-na,wa'a-na,wa'a-na,ura-na,hahone-na,wari-na,ura-na,wa'a-na,wa'a-na,wari-na,ura-na,ura-na,hahone-na,ura-na,wari-na,wari-na,'āsi-na,wari-na,'āsi-na,wari-na,wari-na,hahone-na,ura-na,wa'a-na,ura-na,wa'a-na,wa'a-na,wari-na,ura-na,'āsi-na,ura-na,wari-na,ura-na,ura-na,hahone-na,wari-na,wari-na,ura-na,wa'a-na,wa'a-na,wari-na,wa'a-na,wa'a-na,ura-na,wa'a-na,wa'a-na,nike-na,"mama-na, ama-na","mama-na, ama-na","mama-na, ama-na",nike-na,nike-na,nike-na,"mama-na, ama-na","mama-na, ama-na",nike-na,nike-na,"mama-na, ama-na",nike-na,nike-na,nike-na,nike-na
2,0.18511539929062137,0.45056120886630463,0.26544580957568326,wari-na,hahone-na,wa'a-na,hahone-na,wa'a-na,wari-na,wa'a-na,wari-na,wari-na,ura-na,ura-na,wa'a-na,hahone-na,ura-na,wa'a-na,wa'a-na,wari-na,ura-na,wa'a-na,wari-na,wari-na,wa'a-na,wa'a-na,wari-na,wari-na,wari-na,ura-na,ura-na,ura-na,wari-na,wari-na,wa'a-na,ura-na,ura-na,wari-na,wari-na,wa'a-na,wari-na,ura-na,wari-na,ura-na,ura-na,wa'a-na,wa'a-na,wa'a-na,ura-na,wari-na,wari-na,wari-na,ura-na,wa'a-na,ura-na,wa'a-na,ura-na,hahone-na,ura-na,wa'a-na,wa'a-na,ura-na,'āsi-na,'āsi-na,ura-na,'āsi-na,wari-na,ura-na,wa'a-na,nike-na,nike-na,nike-na,nike-na,nike-na,nike-na,nike-na,"mama-na, ama-na","mama-na, ama-na","mama-na, ama-na",nike-na,nike-na,nike-na,"mama-na, ama-na","mama-na, ama-na","mama-na, ama-na"
3,0.17257577542066538,0.6540548103069317,0.4814790348862663,wa'a-na,ura-na,wari-na,wari-na,wari-na,ura-na,ura-na,wari-na,ura-na,wari-na,ura-na,wa'a-na,wari-na,wa'a-na,wa'a-na,ura-na,'āsi-na,ura-na,wari-na,ura-na,hahone-na,wari-na,wari-na,wa'a-na,ura-na,wari-na,wa'a-na,ura-na,wa'a-na,wari-na,wari-na,wari-na,wa'a-na,wari-na,wa'a-na,wari-na,ura-na,wa'a-na,ura-na,ura-na,wari-na,hahone-na,wa'a-na,ura-na,wa'a-na,wa'a-na,wa'a-na,wa'a-na,wa'a-na,ura-na,hahone-na,wari-na,ura-na,wari-na,wari-na,ura-na,'āsi-na,wari-na,'āsi-na,wa'a-na,ura-na,ura-na,hahone-na,ura-na,wa'a-na,wa'a-na,"mama-na, ama-na","mama-na, ama-na",nike-na,"mama-na, ama-na",nike-na,nike-na,"mama-na, ama-na",nike-na,"mama-na, ama-na",nike-na,nike-na,nike-na,nike-na,nike-na,nike-na,"mama-na, ama-na"
4,0.04692283281178233,0.6365141682948128,0.5895913354830304,ura-na,ura-na,ura-na,wari-na,wari-na,wari-na,wa'a-na,wa'a-na,wa'a-na,hahone-na,ura-na,ura-na,wa'a-na,ura-na,ura-na,wari-na,ura-na,'āsi-na,wari-na,ura-na,wa'a-na,'āsi-na,wa'a-na,wari-na,wari-na,wari-na,wari-na,ura-na,'āsi-na,wari-na,wari-na,hahone-na,wa'a-na,wari-na,ura-na,ura-na,wari-na,wa'a-na,wari-na,ura-na,hahone-na,wa'a-na,wa'a-na,wari-na,wa'a-na,wa'a-na,wari-na,ura-na,wari-na,wa'a-na,ura-na,wa'a-na,ura-na,wa'a-na,wari-na,ura-na,ura-na,wari-na,ura-na,wa'a-na,hahone-na,wa'a-na,ura-na,wari-na,wa'a-na,wa'a-na,nike-na,"mama-na, ama-na",nike-na,nike-na,"mama-na, ama-na",nike-na,nike-na,"mama-na, ama-na",nike-na,"mama-na, ama-na","mama-na, ama-na",nike-na,nike-na,nike-na,nike-na,"mama-na, ama-na"
5,0.10529382764838657,0.6791932659915256,0.5738994383431391,wari-na,ura-na,wari-na,ura-na,ura-na,wa'a-na,wari-na,wa'a-na,ura-na,wa'a-na,wa'a-na,ura-na,ura-na,wa'a-na,ura-na,wari-na,hahone-na,wari-na,wari-na,ura-na,wa'a-na,wari-na,wari-na,wa'a-na,wari-na,ura-na,wari-na,wa'a-na,wari-na,wari-na,ura-na,wari-na,ura-na,ura-na,wa'a-na,ura-na,wa'a-na,ura-na,hahone-na,ura-na,wari-na,wa'a-na,ura-na,wa'a-na,wari-na,'āsi-na,ura-na,wa'a-na,wa'a-na,wari-na,'āsi-na,wa'a-na,wa'a-na,wa'a-na,wari-na,wari-na,wari-na,ura-na,ura-na,hahone-na,ura-na,wari-na,'āsi-na,wa'a-na,hahone-na,wa'a-na,nike-na,nike-na,"mama-na, ama-na","mama-na, ama-na",nike-na,nike-na,nike-na,"mama-na, ama-na",nike-na,nike-na,nike-na,"mama-na, ama-na",nike-na,"mama-na, ama-na","mama-na, ama-na",nike-na
6,0.06003897234801525,0.615498282275913,0.5554593099278977,wari-na,wa'a-na,wari-na,wari-na,wa'a-na,ura-na,ura-na,ura-na,ura-na,ura-na,wari-na,ura-na,wa'a-na,ura-na,wa'a-na,wari-na,ura-na,ura-na,wa'a-na,wa'a-na,wari-na,wa'a-na,ura-na,wari-na,wa'a-na,'āsi-na,wa'a-na,'āsi-na,hahone-na,hahone-na,hahone-na,wa'a-na,wari-na,wari-na,ura-na,'āsi-na,ura-na,wari-na,ura-na,ura-na,wari-na,wari-na,wa'a-na,ura-na,wa'a-na,wa'a-na,wari-na,wa'a-na,wa'a-na,ura-na,wari-na,wari-na,wa'a-na,wa'a-na,ura-na,ura-na,wari-na,wari-na,wari-na,wari-na,ura-na,wari-na,ura-na,hahone-na,wa'a-na,wa'a-na,nike-na,"mama-na, ama-na",nike-na,"mama-na, ama-na",nike-na,nike-na,nike-na,nike-na,nike-na,nike-na,nike-na,"mama-na, ama-na",nike-na,"mama-na, ama-na","mama-na, ama-na","mama-na, ama-na"
7,0.24084559536131644,0.6540548103069317,0.41320921494561524,ura-na,wa'a-na,ura-na,wari-na,ura-na,wari-na,wari-na,ura-na,wa'a-na,wa'a-na,wa'a-na,wa'a-na,ura-na,'āsi-na,wari-na,wa'a-na,wari-na,wari-na,hahone-na,wari-na,ura-na,wa'a-na,wa'a-na,wari-na,ura-na,hahone-na,wari-na,wa'a-na,wa'a-na,ura-na,ura-na,ura-na,wari-na,wari-na,ura-na,ura-na,wari-na,wari-na,wari-na,ura-na,wari-na,wa'a-na,wari-na,wari-na,wari-na,hahone-na,wa'a-na,wari-na,'āsi-na,wa'a-na,hahone-na,wa'a-na,ura-na,wari-na,wa'a-na,ura-na,ura-na,ura-na,wa'a-na,wa'a-na,wa'a-na,ura-na,ura-na,'āsi-na,ura-na,wa'a-na,nike-na,nike-na,nike-na,nike-na,"mama-na, ama-na",nike-na,nike-na,"mama-na, ama-na",nike-na,nike-na,"mama-na, ama-na","mama-na, ama-na","mama-na, ama-na",nike-na,nike-na,"mama-na, ama-na"
8,0.052254856304131625,0.6916031758694977,0.6393483195653661,wari-na,wa'a-na,wari-na,wa'a-na,wa'a-na,hahone-na,hahone-na,'āsi-na,wari-na,wa'a-na,wari-na,'āsi-na,ura-na,wari-na,hahone-na,wa'a-na,ura-na,wari-na,ura-na,ura-na,wari-na,ura-na,wari-na,wa'a-na,ura-na,ura-na,wa'a-na,wa'a-na,ura-na,wari-na,wa'a-na,ura-na,wari-na,wa'a-na,wari-na,ura-na,ura-na,ura-na,ura-na,ura-na,ura-na,wari-na,wari-na,ura-na,'āsi-na,wari-na,ura-na,wa'a-na,wa'a-na,hahone-na,wa'a-na,wari-na,wa'a-na,wari-na,wa'a-na,ura-na,ura-na,wari-na,wari-na,ura-na,wari-na,wa'a-na,wa'a-na,wari-na,wa'a-na,wa'a-na,nike-na,nike-na,nike-na,"mama-na, ama-na","mama-na, ama-na",nike-na,"mama-na, ama-na","mama-na, ama-na",nike-na,nike-na,"mama-na, ama-na",nike-na,"mama-na, ama-na",nike-na,nike-na,nike-na
9,0.03351684139057898,0.5908422462755826,0.5573254048850036,ura-na,ura-na,wari-na,wari-na,wa'a-na,ura-na,ura-na,ura-na,wari-na,'āsi-na,wa'a-na,wa'a-na,wa'a-na,wari-na,wa'a-na,wa'a-na,ura-na,wari-na,wari-na,wari-na,wari-na,ura-na,wari-na,hahone-na,wa'a-na,ura-na,ura-na,ura-na,wari-na,ura-na,ura-na,wa'a-na,hahone-na,wa'a-na,'āsi-na,'āsi-na,ura-na,wari-na,wa'a-na,wa'a-na,hahone-na,wa'a-na,wari-na,ura-na,wari-na,wari-na,ura-na,wari-na,wari-na,wa'a-na,wa'a-na,wa'a-na,ura-na,wa'a-na,ura-na,wari-na,ura-na,hahone-na,wa'a-na,ura-na,wa'a-na,ura-na,wa'a-na,wari-na,wari-na,wari-na,"mama-na, ama-na",nike-na,"mama-na, ama-na",nike-na,nike-na,nike-na,nike-na,nike-na,nike-na,"mama-na, ama-na",nike-na,nike-na,"mama-na, ama-na",nike-na,"mama-na, ama-na","mama-na, ama-na"
