simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.242433026555958,1.034601232910181,0.792168206354223,"jɛre-, hela-",minjɛ- ari,minjɛ- ari,"jɛre-, hela-","mɛtɛhal, jUnjɛ-","mɛtɛhal, jUnjɛ-",hela-,irnja-,"tae, rahɛ-","tae, rahɛ-",tata,"tae, rahɛ-","tae, rahɛ-",tata,mlsjɔ-,irnja-,"tata, tima-","tae, rahɛ-","tae, rahɛ-",irnja-,mlsjɔ-,mlsjɔ-,mlsjɔ-,tata,tata,"tata, tima-",irnja-
1,0.2868240015233603,1.0789922078775833,0.792168206354223,"mɛtɛhal, jUnjɛ-",minjɛ- ari,"mɛtɛhal, jUnjɛ-",hela-,minjɛ- ari,"jɛre-, hela-","jɛre-, hela-",mlsjɔ-,mlsjɔ-,irnja-,"tae, rahɛ-","tae, rahɛ-",irnja-,"tae, rahɛ-",tata,"tata, tima-","tae, rahɛ-","tae, rahɛ-",tata,mlsjɔ-,irnja-,"tata, tima-",mlsjɔ-,"tae, rahɛ-",tata,irnja-,tata
2,0.484866053111916,0.9799711820833055,0.4951051289713895,"mɛtɛhal, jUnjɛ-","jɛre-, hela-",hela-,minjɛ- ari,minjɛ- ari,"jɛre-, hela-","mɛtɛhal, jUnjɛ-","tata, tima-",mlsjɔ-,"tae, rahɛ-","tae, rahɛ-",mlsjɔ-,"tae, rahɛ-",tata,irnja-,"tae, rahɛ-",mlsjɔ-,"tata, tima-","tae, rahɛ-",tata,tata,irnja-,"tae, rahɛ-",irnja-,mlsjɔ-,irnja-,tata
3,0.14341200076168037,1.0346012329101812,0.8911892321485009,"jɛre-, hela-","jɛre-, hela-","mɛtɛhal, jUnjɛ-",minjɛ- ari,hela-,minjɛ- ari,"mɛtɛhal, jUnjɛ-","tae, rahɛ-",mlsjɔ-,mlsjɔ-,tata,irnja-,"tae, rahɛ-",tata,irnja-,"tata, tima-",irnja-,mlsjɔ-,"tae, rahɛ-",irnja-,"tae, rahɛ-",tata,tata,"tata, tima-",mlsjɔ-,"tae, rahɛ-","tae, rahɛ-"
4,0.0443909749674023,1.034601232910181,0.9902102579427787,minjɛ- ari,minjɛ- ari,"mɛtɛhal, jUnjɛ-","mɛtɛhal, jUnjɛ-","jɛre-, hela-","jɛre-, hela-",hela-,"tae, rahɛ-",tata,mlsjɔ-,tata,"tae, rahɛ-","tata, tima-",irnja-,mlsjɔ-,irnja-,"tae, rahɛ-",mlsjɔ-,"tae, rahɛ-","tae, rahɛ-",tata,irnja-,"tata, tima-",mlsjɔ-,tata,irnja-,"tae, rahɛ-"
5,0.2868240015233605,1.376055285260417,1.0892312837370566,minjɛ- ari,"jɛre-, hela-",minjɛ- ari,"mɛtɛhal, jUnjɛ-",hela-,"mɛtɛhal, jUnjɛ-","jɛre-, hela-",mlsjɔ-,"tae, rahɛ-",tata,irnja-,mlsjɔ-,"tata, tima-",tata,"tae, rahɛ-",mlsjɔ-,irnja-,"tata, tima-","tae, rahɛ-",irnja-,"tae, rahɛ-","tae, rahɛ-","tae, rahɛ-",mlsjɔ-,tata,irnja-,tata
6,0.242433026555958,1.034601232910181,0.792168206354223,minjɛ- ari,hela-,"jɛre-, hela-","mɛtɛhal, jUnjɛ-",minjɛ- ari,"mɛtɛhal, jUnjɛ-","jɛre-, hela-",mlsjɔ-,irnja-,"tae, rahɛ-",irnja-,tata,"tae, rahɛ-",tata,tata,irnja-,"tae, rahɛ-",mlsjɔ-,"tata, tima-",tata,"tae, rahɛ-","tae, rahɛ-",irnja-,"tata, tima-",mlsjɔ-,mlsjɔ-,"tae, rahɛ-"
7,0.2868240015233603,1.3760552852604169,1.0892312837370566,hela-,"jɛre-, hela-","jɛre-, hela-","mɛtɛhal, jUnjɛ-",minjɛ- ari,minjɛ- ari,"mɛtɛhal, jUnjɛ-",mlsjɔ-,irnja-,"tae, rahɛ-","tata, tima-",irnja-,"tata, tima-",irnja-,"tae, rahɛ-",tata,tata,mlsjɔ-,"tae, rahɛ-","tae, rahɛ-","tae, rahɛ-",tata,"tae, rahɛ-",tata,irnja-,mlsjɔ-,mlsjɔ-
8,0.0443909749674023,1.034601232910181,0.9902102579427787,"mɛtɛhal, jUnjɛ-",hela-,minjɛ- ari,minjɛ- ari,"jɛre-, hela-","jɛre-, hela-","mɛtɛhal, jUnjɛ-",irnja-,"tae, rahɛ-","tae, rahɛ-",tata,irnja-,"tae, rahɛ-","tata, tima-",tata,tata,tata,mlsjɔ-,"tae, rahɛ-","tae, rahɛ-","tata, tima-",mlsjɔ-,mlsjɔ-,irnja-,irnja-,mlsjɔ-,"tae, rahɛ-"
9,0.2868240015233603,0.9799711820833055,0.6931471805599452,hela-,"jɛre-, hela-","mɛtɛhal, jUnjɛ-",minjɛ- ari,"mɛtɛhal, jUnjɛ-",minjɛ- ari,"jɛre-, hela-",tata,mlsjɔ-,irnja-,irnja-,"tae, rahɛ-",irnja-,"tae, rahɛ-","tata, tima-",mlsjɔ-,"tae, rahɛ-",irnja-,"tae, rahɛ-","tata, tima-",mlsjɔ-,mlsjɔ-,tata,tata,tata,"tae, rahɛ-","tae, rahɛ-"
