simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mMBD,mMZD,mFBS,mMBS,mMZS,mFeBS,mFyBS,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fMZD,fFBS,fMBS,fMZS,fFeBS,fFyBS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1159703391654765,1.3689252401445904,1.2529549009791139,tyurtu,yinkarni,yinkarni,yinkarni,watyirra,tyurtu,kurta,yinkarni,tyurtu,kurta,marlatyu,kurta,kurta,yinkarni,watyirra,yinkarni,watyirra,yinkarni,yinkarni,yinkarni,watyirra,kurta,tyurtu,yinkarni,kurta,yinkarni,watyirra,marlatyu,watyirra,marlatyu,watyirra,tyurtu,kurta,kurta,tyurtu,yinkarni,tyurtu,kurta,pupu,kurta,yinkarni,yinkarni,yinkarni,kurta,marlatyu,kurta,tyurtu,kurta,kurta,watyirra,tyurtu,yinkarni,kurta,kurta,kurta,tyurtu,tyurtu,tyurtu,kurta,pupu,yinkarni,watyirra,yinkarni,yinkarni,tyurtu,yinkarni,watyirra,kurta,kaka,yunyarri,yipi,yipi,kaka,mama,yunyarri,yunyarri,yunyarri,mama,yipi,yipi,yunyarri,kaka,mama,mama,yipi,yipi,mama,yunyarri,mama,kaka,kaka,mama,yipi,yipi,mama,kaka
1,0.13563960772899875,1.349472553874512,1.2138329461455133,tyurtu,marlatyu,yinkarni,watyirra,kurta,yinkarni,tyurtu,kurta,yinkarni,kurta,tyurtu,watyirra,tyurtu,kurta,yinkarni,kurta,marlatyu,watyirra,kurta,yinkarni,tyurtu,watyirra,yinkarni,tyurtu,marlatyu,marlatyu,pupu,yinkarni,kurta,watyirra,yinkarni,tyurtu,tyurtu,yinkarni,kurta,yinkarni,kurta,yinkarni,kurta,kurta,watyirra,yinkarni,tyurtu,watyirra,yinkarni,yinkarni,kurta,yinkarni,watyirra,tyurtu,yinkarni,kurta,kurta,kurta,kurta,kurta,pupu,kurta,tyurtu,yinkarni,watyirra,yinkarni,yinkarni,kurta,yinkarni,tyurtu,watyirra,tyurtu,mama,mama,yipi,yunyarri,yipi,yipi,yipi,kaka,mama,mama,yunyarri,yunyarri,mama,mama,yunyarri,kaka,mama,yipi,yipi,yunyarri,yipi,kaka,kaka,kaka,kaka,mama,yipi,yunyarri
2,0.10214274164389558,1.3811862503421042,1.2790435086982086,watyirra,kurta,tyurtu,yinkarni,kurta,kurta,tyurtu,yinkarni,yinkarni,watyirra,yinkarni,kurta,tyurtu,watyirra,tyurtu,yinkarni,kurta,yinkarni,tyurtu,marlatyu,watyirra,kurta,tyurtu,yinkarni,yinkarni,tyurtu,yinkarni,tyurtu,yinkarni,kurta,yinkarni,marlatyu,yinkarni,kurta,tyurtu,kurta,yinkarni,kurta,kurta,kurta,kurta,tyurtu,kurta,watyirra,kurta,yinkarni,marlatyu,kurta,watyirra,watyirra,yinkarni,watyirra,kurta,yinkarni,pupu,kurta,kurta,yinkarni,yinkarni,yinkarni,tyurtu,watyirra,tyurtu,pupu,watyirra,tyurtu,yinkarni,marlatyu,yunyarri,mama,yipi,kaka,yunyarri,yipi,mama,kaka,yipi,mama,yunyarri,mama,mama,yunyarri,kaka,yipi,mama,yipi,kaka,kaka,yunyarri,kaka,yunyarri,yipi,yipi,mama,mama,yipi
3,0.20053536380935322,1.3780432462248204,1.1775078824154672,kurta,yinkarni,yinkarni,yinkarni,tyurtu,watyirra,kurta,yinkarni,marlatyu,yinkarni,tyurtu,yinkarni,kurta,kurta,marlatyu,kurta,yinkarni,tyurtu,marlatyu,tyurtu,tyurtu,yinkarni,pupu,watyirra,yinkarni,yinkarni,kurta,marlatyu,watyirra,tyurtu,kurta,kurta,kurta,watyirra,yinkarni,yinkarni,kurta,kurta,kurta,yinkarni,yinkarni,kurta,kurta,watyirra,tyurtu,kurta,tyurtu,tyurtu,yinkarni,yinkarni,yinkarni,watyirra,yinkarni,watyirra,watyirra,tyurtu,watyirra,kurta,yinkarni,kurta,yinkarni,tyurtu,watyirra,kurta,pupu,tyurtu,kurta,tyurtu,kaka,mama,yipi,yipi,mama,yunyarri,mama,yunyarri,yipi,kaka,yipi,yipi,mama,yipi,mama,mama,mama,yipi,yunyarri,kaka,yunyarri,kaka,mama,kaka,yipi,yunyarri,yunyarri,kaka
4,0.22400447820438907,1.359784157920152,1.1357796797157629,yinkarni,tyurtu,yinkarni,kurta,yinkarni,kurta,tyurtu,marlatyu,tyurtu,kurta,yinkarni,yinkarni,yinkarni,kurta,kurta,kurta,watyirra,kurta,kurta,yinkarni,kurta,kurta,tyurtu,yinkarni,yinkarni,tyurtu,watyirra,tyurtu,yinkarni,kurta,tyurtu,yinkarni,kurta,kurta,kurta,marlatyu,watyirra,watyirra,watyirra,kurta,marlatyu,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,watyirra,tyurtu,kurta,watyirra,pupu,kurta,yinkarni,tyurtu,watyirra,tyurtu,yinkarni,yinkarni,tyurtu,kurta,watyirra,tyurtu,marlatyu,kurta,watyirra,tyurtu,yinkarni,pupu,mama,yipi,yunyarri,mama,yipi,yipi,mama,mama,kaka,yipi,yunyarri,kaka,yunyarri,yipi,yunyarri,kaka,mama,kaka,yipi,yunyarri,kaka,yipi,mama,mama,yipi,kaka,mama,yunyarri
5,0.16306527140502447,1.3316917111515987,1.1686264397465742,kurta,kurta,tyurtu,kurta,watyirra,kurta,yinkarni,watyirra,kurta,tyurtu,kurta,yinkarni,tyurtu,kurta,yinkarni,yinkarni,kurta,kurta,tyurtu,yinkarni,yinkarni,watyirra,watyirra,yinkarni,tyurtu,kurta,watyirra,marlatyu,tyurtu,tyurtu,marlatyu,yinkarni,marlatyu,kurta,yinkarni,yinkarni,tyurtu,watyirra,kurta,tyurtu,kurta,kurta,marlatyu,yinkarni,watyirra,pupu,yinkarni,kurta,kurta,yinkarni,yinkarni,kurta,watyirra,tyurtu,yinkarni,kurta,yinkarni,tyurtu,yinkarni,yinkarni,tyurtu,kurta,watyirra,watyirra,pupu,tyurtu,yinkarni,yinkarni,yunyarri,yunyarri,yunyarri,mama,mama,yipi,yunyarri,mama,yunyarri,kaka,yipi,yipi,mama,yipi,yipi,mama,yipi,kaka,mama,mama,kaka,yipi,kaka,kaka,yunyarri,kaka,mama,yipi
6,0.145045768790399,1.3363596485554463,1.1913138797650473,tyurtu,yinkarni,marlatyu,pupu,kurta,kurta,yinkarni,kurta,kurta,kurta,watyirra,tyurtu,marlatyu,kurta,marlatyu,kurta,kurta,yinkarni,watyirra,kurta,kurta,yinkarni,watyirra,yinkarni,kurta,yinkarni,tyurtu,tyurtu,yinkarni,watyirra,watyirra,kurta,yinkarni,kurta,tyurtu,watyirra,yinkarni,tyurtu,yinkarni,kurta,kurta,tyurtu,yinkarni,watyirra,tyurtu,yinkarni,tyurtu,kurta,pupu,tyurtu,watyirra,yinkarni,tyurtu,kurta,yinkarni,tyurtu,watyirra,kurta,yinkarni,yinkarni,yinkarni,yinkarni,tyurtu,yinkarni,kurta,marlatyu,watyirra,yinkarni,mama,yunyarri,yipi,mama,yipi,yipi,yunyarri,yunyarri,yipi,kaka,kaka,yipi,kaka,yipi,yunyarri,mama,yipi,yunyarri,mama,mama,kaka,mama,kaka,mama,mama,yunyarri,yipi,kaka
7,0.12174107533047196,1.3706555574045827,1.2489144820741107,yinkarni,watyirra,kurta,yinkarni,kurta,yinkarni,kurta,tyurtu,tyurtu,yinkarni,kurta,watyirra,yinkarni,watyirra,yinkarni,yinkarni,marlatyu,marlatyu,kurta,yinkarni,yinkarni,tyurtu,pupu,yinkarni,kurta,kurta,tyurtu,tyurtu,kurta,pupu,kurta,marlatyu,yinkarni,yinkarni,watyirra,tyurtu,tyurtu,kurta,yinkarni,tyurtu,kurta,kurta,kurta,marlatyu,yinkarni,watyirra,kurta,yinkarni,tyurtu,kurta,yinkarni,kurta,tyurtu,watyirra,tyurtu,watyirra,yinkarni,yinkarni,kurta,kurta,kurta,tyurtu,watyirra,yinkarni,watyirra,tyurtu,yinkarni,watyirra,mama,mama,kaka,mama,yunyarri,kaka,yunyarri,mama,yipi,kaka,kaka,yipi,yipi,yunyarri,yipi,yipi,mama,kaka,mama,yipi,mama,yipi,yunyarri,yunyarri,mama,yipi,yunyarri,kaka
8,0.12010553005060842,1.360218000616279,1.2401124705656705,yinkarni,kurta,tyurtu,yinkarni,tyurtu,yinkarni,tyurtu,kurta,kurta,marlatyu,pupu,yinkarni,yinkarni,kurta,watyirra,kurta,watyirra,tyurtu,kurta,kurta,kurta,marlatyu,yinkarni,yinkarni,tyurtu,yinkarni,yinkarni,watyirra,tyurtu,yinkarni,tyurtu,kurta,kurta,tyurtu,tyurtu,watyirra,yinkarni,kurta,kurta,watyirra,marlatyu,marlatyu,kurta,yinkarni,yinkarni,yinkarni,yinkarni,watyirra,tyurtu,watyirra,kurta,tyurtu,kurta,watyirra,yinkarni,yinkarni,watyirra,tyurtu,kurta,tyurtu,kurta,yinkarni,kurta,yinkarni,watyirra,kurta,yinkarni,pupu,yipi,mama,yipi,kaka,mama,yipi,mama,yunyarri,mama,kaka,yunyarri,yunyarri,kaka,yipi,yunyarri,yipi,yipi,kaka,mama,mama,mama,yipi,yipi,yunyarri,yunyarri,kaka,mama,kaka
9,0.13910381277400963,1.3519484949398162,1.2128446821658065,watyirra,yinkarni,tyurtu,kurta,yinkarni,yinkarni,marlatyu,kurta,pupu,tyurtu,yinkarni,tyurtu,marlatyu,yinkarni,yinkarni,kurta,yinkarni,tyurtu,kurta,yinkarni,kurta,yinkarni,kurta,watyirra,kurta,yinkarni,tyurtu,kurta,yinkarni,yinkarni,tyurtu,watyirra,kurta,tyurtu,tyurtu,pupu,yinkarni,kurta,kurta,watyirra,watyirra,watyirra,watyirra,yinkarni,kurta,tyurtu,kurta,kurta,yinkarni,watyirra,tyurtu,watyirra,tyurtu,kurta,marlatyu,yinkarni,tyurtu,yinkarni,tyurtu,kurta,yinkarni,marlatyu,yinkarni,kurta,yinkarni,kurta,watyirra,kurta,yunyarri,yunyarri,yunyarri,yipi,mama,yipi,yunyarri,kaka,yipi,mama,yipi,kaka,yipi,yipi,kaka,mama,yunyarri,mama,mama,kaka,mama,kaka,kaka,yunyarri,yipi,mama,yipi,mama
