simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.24369661534760523,1.9735680638562263,1.729871448508621,mkpwoi,mwenenu,kaka,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mkpwoi,mkpwoi,mvyere,mwenenu,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mdide,mwenenu,mkpwoi,mwenenu,mwenenu,mwenenu,mkpwoi,mwenenu,mwenenu,mvyere,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mdide,mwenenu,mdide,dada,kaka,mwenenu,mkpwoi,mwenenu,mvyere,mkpwoi,mkpwoi,mwenenu,mwenenu,mkpwoi,mkpwoi,dada,mkpwoi,mkpwoi,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mkpwoi,mkpwoi,mkpwoi,mvyere,mdide,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mkpwoi,mwenenu,mwenenu,mkpwoi,mkpwoi,mwenenu,mwenenu,mkpwoi,mwenenu,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,shangazi,mayo,mayo mdide,baba mvyere,mayo mvyere,baba mvyere,baba,baba,shangazi,aphu,shangazi,aphu,aphu,mayo,baba,baba mdide,shangazi,aphu,aphu,shangazi,baba mdide,mayo,shangazi,mayo,mayo mvyere,baba,aphu,mayo mdide
1,0.207503451612564,1.9783664222795228,1.7708629706669587,dada,mwenenu,mvyere,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,mdide,mvyere,mkpwoi,kaka,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mwenenu,mkpwoi,mkpwoi,dada,mkpwoi,mkpwoi,mwenenu,mkpwoi,mwenenu,mdide,mkpwoi,mwenenu,mwenenu,mwenenu,mwenenu,mkpwoi,mwenenu,mkpwoi,mvyere,mdide,mkpwoi,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mwenenu,mkpwoi,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,mkpwoi,mwenenu,mvyere,mkpwoi,mkpwoi,mwenenu,mwenenu,mkpwoi,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,mdide,mkpwoi,mwenenu,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,mwenenu,mwenenu,kaka,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,baba,aphu,mayo,baba mdide,baba mvyere,aphu,aphu,aphu,aphu,shangazi,mayo mvyere,baba mdide,shangazi,mayo mdide,baba,baba,shangazi,mayo mdide,mayo,mayo,baba mvyere,shangazi,mayo,shangazi,mayo mvyere,baba,shangazi,aphu
2,0.1347277368760782,1.9176144796627002,1.782886742786622,mwenenu,mwenenu,mwenenu,mdide,mwenenu,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mvyere,mwenenu,mvyere,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,mkpwoi,kaka,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,mkpwoi,mkpwoi,kaka,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mkpwoi,mvyere,mwenenu,mvyere,mwenenu,mwenenu,dada,dada,mkpwoi,mkpwoi,mwenenu,mkpwoi,mdide,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mkpwoi,mdide,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mkpwoi,mwenenu,mdide,mkpwoi,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,aphu,mayo,aphu,mayo mvyere,mayo,shangazi,mayo mdide,mayo,baba mvyere,shangazi,baba mdide,aphu,aphu,baba,aphu,shangazi,shangazi,mayo mdide,baba,shangazi,baba mvyere,mayo mvyere,baba,baba mdide,shangazi,baba,mayo,aphu
3,0.20210843262840394,1.9357701361208655,1.7336617034924615,mdide,mdide,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,kaka,mkpwoi,mwenenu,mwenenu,dada,mkpwoi,mkpwoi,mkpwoi,mvyere,mkpwoi,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,kaka,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,mkpwoi,mkpwoi,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mkpwoi,mwenenu,mwenenu,mdide,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mkpwoi,mwenenu,mwenenu,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,mwenenu,mwenenu,mkpwoi,mwenenu,mkpwoi,mkpwoi,mdide,mwenenu,mkpwoi,mwenenu,mkpwoi,mvyere,mwenenu,mwenenu,mvyere,mkpwoi,mkpwoi,mkpwoi,dada,mvyere,mwenenu,mwenenu,mwenenu,mkpwoi,mayo mvyere,shangazi,baba,baba,baba,shangazi,aphu,aphu,baba mdide,shangazi,mayo,mayo mdide,mayo mvyere,aphu,shangazi,baba mvyere,mayo,aphu,mayo,aphu,baba mdide,shangazi,mayo,shangazi,baba mvyere,aphu,baba,mayo mdide
4,0.16969396569231043,1.909296314910507,1.7396023492181967,mwenenu,kaka,mkpwoi,mkpwoi,mdide,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mwenenu,mkpwoi,mwenenu,mwenenu,mvyere,mkpwoi,mwenenu,mwenenu,mwenenu,mwenenu,mwenenu,mkpwoi,mwenenu,dada,mkpwoi,mkpwoi,mvyere,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,mvyere,mwenenu,mwenenu,mwenenu,mkpwoi,mdide,mwenenu,mwenenu,mkpwoi,mvyere,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,mkpwoi,dada,mwenenu,mwenenu,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,mdide,mwenenu,mwenenu,mkpwoi,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,mdide,mwenenu,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,kaka,mayo,shangazi,baba,aphu,aphu,mayo mdide,aphu,shangazi,baba mdide,baba mvyere,mayo mdide,baba mdide,baba,shangazi,shangazi,aphu,shangazi,mayo,mayo mvyere,shangazi,baba,baba mvyere,mayo,mayo,mayo mvyere,aphu,baba,aphu
5,0.19339266875381456,1.9477397411020705,1.754347072348256,mwenenu,mkpwoi,mwenenu,mwenenu,mwenenu,mwenenu,mwenenu,mkpwoi,mwenenu,mdide,mwenenu,mvyere,mkpwoi,mwenenu,mwenenu,mwenenu,mwenenu,mkpwoi,mwenenu,mwenenu,mdide,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,dada,kaka,mkpwoi,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mkpwoi,mvyere,mwenenu,kaka,mkpwoi,mkpwoi,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mkpwoi,mwenenu,mkpwoi,mvyere,mkpwoi,mkpwoi,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mkpwoi,mwenenu,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mwenenu,mkpwoi,mvyere,dada,mkpwoi,mwenenu,mdide,mkpwoi,mdide,mwenenu,shangazi,aphu,aphu,aphu,baba,baba mdide,shangazi,baba mvyere,mayo,baba mvyere,mayo mvyere,shangazi,shangazi,baba,mayo,mayo mdide,mayo mdide,baba mdide,aphu,mayo,aphu,mayo,baba,shangazi,aphu,baba,shangazi,mayo mvyere
6,0.1928663629524754,1.9616381912804803,1.768771828328005,mkpwoi,mkpwoi,mdide,mwenenu,mwenenu,mwenenu,mwenenu,mkpwoi,mwenenu,mwenenu,mkpwoi,mvyere,mvyere,mkpwoi,mwenenu,mvyere,mkpwoi,dada,mwenenu,mwenenu,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mdide,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,mdide,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,mkpwoi,mwenenu,mkpwoi,mkpwoi,mwenenu,kaka,mkpwoi,mvyere,kaka,mwenenu,mwenenu,mkpwoi,mkpwoi,mwenenu,mwenenu,mkpwoi,mkpwoi,mwenenu,mwenenu,mkpwoi,mkpwoi,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,dada,mwenenu,mwenenu,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mkpwoi,mkpwoi,mwenenu,mdide,mwenenu,mkpwoi,baba mvyere,baba,mayo,baba mdide,baba,aphu,aphu,aphu,baba,aphu,aphu,mayo mdide,shangazi,mayo mdide,mayo,shangazi,mayo,mayo mvyere,shangazi,shangazi,aphu,baba mdide,mayo,shangazi,baba mvyere,shangazi,mayo mvyere,baba
7,0.18598165864488747,1.9010166860961468,1.7150350274512594,mkpwoi,kaka,mkpwoi,mkpwoi,mwenenu,mdide,mwenenu,mwenenu,dada,mkpwoi,mwenenu,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mkpwoi,kaka,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mvyere,mwenenu,mwenenu,mwenenu,mkpwoi,mwenenu,mdide,mkpwoi,mkpwoi,mwenenu,mvyere,mwenenu,mwenenu,mkpwoi,mdide,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,mkpwoi,mkpwoi,mwenenu,mkpwoi,mkpwoi,mwenenu,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,mkpwoi,mwenenu,dada,mdide,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mwenenu,mkpwoi,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,mkpwoi,mvyere,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mkpwoi,mkpwoi,mkpwoi,mvyere,mwenenu,mayo,baba,shangazi,shangazi,aphu,baba,mayo mdide,aphu,shangazi,mayo mvyere,baba mvyere,mayo,baba,mayo,aphu,aphu,baba mdide,shangazi,aphu,baba mdide,aphu,baba mvyere,mayo mvyere,mayo,shangazi,mayo mdide,baba,shangazi
8,0.21701350938526365,1.9683238960889529,1.7513103867036892,mwenenu,mwenenu,mkpwoi,mwenenu,mvyere,mwenenu,mwenenu,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,mkpwoi,mdide,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,mkpwoi,mdide,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mkpwoi,mwenenu,mkpwoi,mkpwoi,mvyere,mkpwoi,kaka,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mkpwoi,mvyere,mvyere,mkpwoi,dada,mkpwoi,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,kaka,mwenenu,mkpwoi,mwenenu,mkpwoi,mdide,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mkpwoi,mkpwoi,mwenenu,dada,mwenenu,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mwenenu,mdide,mkpwoi,shangazi,baba,baba mvyere,baba mdide,shangazi,baba,baba mdide,mayo mvyere,mayo,aphu,aphu,shangazi,baba,shangazi,baba,baba mvyere,mayo,shangazi,aphu,mayo mvyere,shangazi,mayo,mayo,aphu,mayo mdide,aphu,mayo mdide,aphu
9,0.19477280809247155,1.8852728012126656,1.690499993120194,mwenenu,mwenenu,mkpwoi,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,mkpwoi,mwenenu,mkpwoi,dada,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mvyere,mwenenu,mwenenu,mkpwoi,mdide,mvyere,dada,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mwenenu,mwenenu,mkpwoi,mdide,mwenenu,mkpwoi,mwenenu,mkpwoi,mkpwoi,mkpwoi,mdide,mkpwoi,mkpwoi,mwenenu,mwenenu,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mwenenu,kaka,mwenenu,mwenenu,mkpwoi,mwenenu,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mkpwoi,kaka,mvyere,mkpwoi,mwenenu,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mkpwoi,mwenenu,mkpwoi,mwenenu,mwenenu,mkpwoi,mwenenu,mwenenu,mdide,mkpwoi,mwenenu,mwenenu,mvyere,mkpwoi,mkpwoi,mkpwoi,mwenenu,aphu,shangazi,shangazi,mayo,aphu,mayo,mayo mvyere,baba,baba,aphu,mayo mvyere,aphu,baba mvyere,baba,aphu,mayo mdide,shangazi,baba mdide,shangazi,mayo,shangazi,baba mdide,shangazi,mayo mdide,aphu,baba,mayo,baba mvyere
