simulation_number,mutual_information,entropy,conditional_entropy,fyZ,meB,myB,meZ,myZ,mFZD,mFZS,mMBS,mFZyS,mFBeD,mMByS,mMBeD,mMZeD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mFZeS,mFZeD,mFZyD,mMBeS,feB,fyB,feZ,fFZD,fFZS,fMBS,fFZyS,fFBeD,fMByS,fMBeD,fMZeD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fFZeS,fFZeD,fFZyD,fMBeS,mF,mFZ,mMB,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fFZ,fMB,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.8914641760239209,1.6088124978648568,0.7173483218409359,ma:ma koduku,ba:wa,ba:wa,menma:ma koduku,cinnamma biḍḍa,me: natta bidda,me: natta bidda,anna,me: natta bidda,me: natta bidda,ma:ma koduku,menma:ma biḍḍa,ba:wa,ba:wa,ba:wa,ba:wa,akka,tammudu,me: natta bidda,cellelu,ma:ma koduku,menatta koḍuku,ma:ma koduku,cellelu,ba:wa,cinnamma biḍḍa,cinna:yanabiḍḍa,ma:ma koduku,menma:ma biḍḍa,ma:ma koduku,me: natta bidda,ma:ma koduku,me: natta bidda,ba:wa,tammudu,anna,menatta koḍuku,me: natta bidda,cinna:yanabiḍḍa,me: natta bidda,me: natta bidda,ma:ma koduku,menma:ma koduku,akka,abba,me:nma:mma,me:nma:mma,peddana:yana,cinnamma,me:natta,peddamma,cinnamma,cinnayana,me:natta,me:nma:mma,cinnayana,me:nma:mma,me:natta,me:nma:mma,peddana:yana,me:natta,me:nma:mma,peddamma,me:natta,abba,me:natta
1,0.8510988300416753,1.7722929383601445,0.9211941083184692,cinna:yanabiḍḍa,me: natta bidda,ma:ma koduku,cinnamma biḍḍa,menma:ma biḍḍa,me: natta bidda,me: natta bidda,ba:wa,cinna:yanabiḍḍa,menma:ma koduku,ma:ma koduku,ba:wa,me: natta bidda,akka,menma:ma koduku,me: natta bidda,ba:wa,ba:wa,anna,ba:wa,me: natta bidda,cinnamma biḍḍa,me: natta bidda,me: natta bidda,anna,me: natta bidda,tammudu,menma:ma biḍḍa,menatta koḍuku,ma:ma koduku,menatta koḍuku,ma:ma koduku,ba:wa,ba:wa,ma:ma koduku,cellelu,ma:ma koduku,ma:ma koduku,ma:ma koduku,me: natta bidda,cellelu,tammudu,ba:wa,akka,abba,me:nma:mma,me:nma:mma,me:natta,cinnamma,me:nma:mma,peddana:yana,me:natta,cinnayana,me:nma:mma,me:natta,me:natta,peddana:yana,peddamma,abba,me:natta,me:nma:mma,me:natta,peddamma,me:nma:mma,cinnamma,cinnayana
2,0.8651081429271729,1.825015485247051,0.9599073423198782,me: natta bidda,me: natta bidda,ba:wa,ma:ma koduku,anna,anna,ba:wa,cellelu,tammudu,me: natta bidda,akka,me: natta bidda,cinnamma biḍḍa,ma:ma koduku,me: natta bidda,ma:ma koduku,menma:ma biḍḍa,menma:ma koduku,ma:ma koduku,ba:wa,menatta koḍuku,tammudu,akka,me: natta bidda,ba:wa,me: natta bidda,ma:ma koduku,ba:wa,cinna:yanabiḍḍa,me: natta bidda,ba:wa,menatta koḍuku,ba:wa,cellelu,cinnamma biḍḍa,menma:ma biḍḍa,menma:ma koduku,ma:ma koduku,me: natta bidda,ma:ma koduku,me: natta bidda,ma:ma koduku,ba:wa,cinna:yanabiḍḍa,peddamma,me:nma:mma,peddana:yana,me:nma:mma,me:nma:mma,peddamma,me:nma:mma,me:nma:mma,me:natta,me:natta,cinnamma,me:nma:mma,cinnayana,me:natta,peddana:yana,me:natta,abba,me:natta,cinnamma,abba,me:natta,cinnayana
3,0.7874406215847065,1.5858064548110327,0.7983658332263261,tammudu,me: natta bidda,menatta koḍuku,ma:ma koduku,ma:ma koduku,me: natta bidda,me: natta bidda,ma:ma koduku,anna,ba:wa,me: natta bidda,me: natta bidda,me: natta bidda,me: natta bidda,cellelu,cellelu,ba:wa,ba:wa,akka,akka,ba:wa,menma:ma koduku,cinna:yanabiḍḍa,menma:ma biḍḍa,me: natta bidda,anna,me: natta bidda,menatta koḍuku,cinna:yanabiḍḍa,ma:ma koduku,ma:ma koduku,ba:wa,ba:wa,ma:ma koduku,cinnamma biḍḍa,me: natta bidda,tammudu,ma:ma koduku,cinnamma biḍḍa,menma:ma koduku,menma:ma biḍḍa,ba:wa,ba:wa,ma:ma koduku,peddamma,me:natta,peddamma,me:natta,cinnamma,me:natta,abba,me:nma:mma,me:natta,me:natta,me:nma:mma,peddana:yana,me:natta,abba,cinnamma,me:nma:mma,me:nma:mma,cinnayana,peddana:yana,me:nma:mma,cinnayana,me:nma:mma
4,0.7723597310100908,1.7087859764349345,0.9364262454248437,akka,ba:wa,tammudu,ba:wa,menma:ma koduku,ba:wa,ma:ma koduku,ma:ma koduku,ma:ma koduku,ma:ma koduku,me: natta bidda,ma:ma koduku,me: natta bidda,cinna:yanabiḍḍa,me: natta bidda,me: natta bidda,cellelu,cellelu,ba:wa,menatta koḍuku,tammudu,me: natta bidda,menma:ma koduku,ba:wa,anna,me: natta bidda,akka,menma:ma biḍḍa,menma:ma biḍḍa,me: natta bidda,me: natta bidda,cinna:yanabiḍḍa,ma:ma koduku,ma:ma koduku,me: natta bidda,cinnamma biḍḍa,cinnamma biḍḍa,anna,ba:wa,me: natta bidda,ba:wa,ba:wa,ma:ma koduku,menatta koḍuku,me:natta,cinnamma,peddana:yana,cinnamma,cinnayana,abba,me:nma:mma,me:nma:mma,cinnayana,me:nma:mma,peddamma,me:nma:mma,me:natta,abba,me:natta,peddamma,me:natta,me:natta,me:nma:mma,me:nma:mma,peddana:yana,me:natta
5,0.7704235858017551,1.683594358170397,0.9131707723686419,ba:wa,me: natta bidda,menma:ma koduku,cinna:yanabiḍḍa,ba:wa,cellelu,ba:wa,ma:ma koduku,me: natta bidda,tammudu,me: natta bidda,ma:ma koduku,ba:wa,menma:ma koduku,ma:ma koduku,ma:ma koduku,ba:wa,ma:ma koduku,ba:wa,me: natta bidda,menatta koḍuku,menma:ma biḍḍa,ba:wa,ma:ma koduku,ma:ma koduku,tammudu,me: natta bidda,me: natta bidda,me: natta bidda,ba:wa,ma:ma koduku,me: natta bidda,cinnamma biḍḍa,akka,me: natta bidda,cinnamma biḍḍa,cellelu,menatta koḍuku,anna,cinna:yanabiḍḍa,me: natta bidda,menma:ma biḍḍa,akka,anna,me:nma:mma,cinnamma,me:nma:mma,abba,me:natta,cinnayana,me:nma:mma,cinnayana,me:natta,me:natta,abba,peddamma,cinnamma,me:nma:mma,peddamma,me:natta,peddana:yana,me:nma:mma,me:natta,peddana:yana,me:natta,me:nma:mma
6,0.7797941560054702,1.8748443100948706,1.0950501540894004,ma:ma koduku,me: natta bidda,ba:wa,menma:ma biḍḍa,cinna:yanabiḍḍa,me: natta bidda,cellelu,ma:ma koduku,menma:ma biḍḍa,ba:wa,akka,menma:ma koduku,me: natta bidda,ma:ma koduku,menatta koḍuku,ba:wa,ma:ma koduku,cinnamma biḍḍa,akka,ma:ma koduku,me: natta bidda,ba:wa,ba:wa,menma:ma koduku,me: natta bidda,tammudu,tammudu,cinnamma biḍḍa,ba:wa,menatta koḍuku,ba:wa,anna,me: natta bidda,ma:ma koduku,ma:ma koduku,cellelu,me: natta bidda,me: natta bidda,ma:ma koduku,me: natta bidda,me: natta bidda,anna,ba:wa,cinna:yanabiḍḍa,me:natta,abba,cinnayana,cinnayana,me:natta,me:nma:mma,me:natta,me:natta,me:nma:mma,me:nma:mma,abba,peddana:yana,peddana:yana,cinnamma,me:nma:mma,me:natta,me:nma:mma,peddamma,me:nma:mma,peddamma,me:natta,cinnamma
7,0.7266233195497398,1.5892064775798938,0.862583158030154,ba:wa,cinna:yanabiḍḍa,menatta koḍuku,menma:ma koduku,tammudu,akka,me: natta bidda,cinna:yanabiḍḍa,ba:wa,ma:ma koduku,ba:wa,ma:ma koduku,menma:ma biḍḍa,akka,me: natta bidda,ba:wa,anna,menma:ma koduku,ma:ma koduku,ba:wa,menma:ma biḍḍa,ba:wa,ma:ma koduku,cinnamma biḍḍa,ma:ma koduku,cinnamma biḍḍa,ma:ma koduku,ba:wa,me: natta bidda,ma:ma koduku,anna,me: natta bidda,menatta koḍuku,me: natta bidda,ba:wa,me: natta bidda,cellelu,tammudu,me: natta bidda,me: natta bidda,me: natta bidda,cellelu,me: natta bidda,ma:ma koduku,me:natta,me:natta,me:nma:mma,peddana:yana,me:nma:mma,cinnayana,abba,me:natta,me:nma:mma,abba,me:nma:mma,cinnamma,peddamma,cinnayana,peddana:yana,me:natta,me:nma:mma,me:natta,cinnamma,me:nma:mma,me:natta,peddamma
8,0.5629733987459486,1.3180347960974077,0.755061397351459,ma:ma koduku,ma:ma koduku,cinna:yanabiḍḍa,me: natta bidda,cinnamma biḍḍa,tammudu,ba:wa,me: natta bidda,tammudu,anna,cinna:yanabiḍḍa,ma:ma koduku,me: natta bidda,menatta koḍuku,akka,ba:wa,akka,menma:ma koduku,me: natta bidda,cinnamma biḍḍa,me: natta bidda,cellelu,ba:wa,ba:wa,ba:wa,anna,ma:ma koduku,menatta koḍuku,me: natta bidda,me: natta bidda,me: natta bidda,cellelu,menma:ma biḍḍa,menma:ma biḍḍa,ma:ma koduku,ba:wa,ba:wa,me: natta bidda,ma:ma koduku,ma:ma koduku,ma:ma koduku,ba:wa,menma:ma koduku,me: natta bidda,peddana:yana,me:nma:mma,me:nma:mma,peddamma,peddamma,me:natta,cinnayana,cinnayana,me:natta,peddana:yana,me:natta,me:nma:mma,me:nma:mma,cinnamma,abba,me:natta,abba,me:natta,cinnamma,me:nma:mma,me:natta,me:nma:mma
9,0.7070256044087391,1.7147987898693529,1.0077731854606138,anna,me: natta bidda,me: natta bidda,menatta koḍuku,cinna:yanabiḍḍa,tammudu,ba:wa,cellelu,me: natta bidda,ba:wa,cinnamma biḍḍa,menma:ma biḍḍa,ba:wa,cellelu,ma:ma koduku,ba:wa,me: natta bidda,menatta koḍuku,ma:ma koduku,akka,ba:wa,me: natta bidda,ba:wa,cinnamma biḍḍa,menma:ma koduku,ba:wa,ma:ma koduku,me: natta bidda,tammudu,anna,menma:ma biḍḍa,me: natta bidda,me: natta bidda,ma:ma koduku,ma:ma koduku,ba:wa,cinna:yanabiḍḍa,me: natta bidda,ma:ma koduku,akka,menma:ma koduku,ma:ma koduku,me: natta bidda,ma:ma koduku,me:natta,me:nma:mma,me:natta,cinnayana,me:natta,me:natta,abba,me:nma:mma,me:nma:mma,me:nma:mma,peddana:yana,abba,peddamma,cinnayana,cinnamma,me:nma:mma,peddana:yana,me:natta,cinnamma,peddamma,me:nma:mma,me:natta
