simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mMeB,mMyB,fFeB,fFyB,fMeB,fMyB
0,0.07028217269545944,0.9032885266470554,0.833006353951596,tuakana,tua'ine,tuakana,tua'ine,tuakana,tua'ine,tua'ine,tungāne,tuakana,tungāne,tuakana,tuakana,tuakana,tua'ine,tuakana,teina,tuakana,tua'ine,tuakana,tua'ine,tungāne,tungāne,tungāne,tua'ine,tuakana,tuakana,tungāne,tuakana,tungāne,tua'ine,tua'ine,tungāne,tuakana,tua'ine,tua'ine,tungāne,tungāne,tuakana,tuakana,teina,tungāne,tua'ine,tua'ine,tungāne,tuakana,tungāne,tungāne,tua'ine,tua'ine,tuakana,tuakana,tungāne,tuakana,tuakana,tuakana,tungāne,tua'ine,tuakana,tuakana,tua'ine,tuakana,tuakana,tuakana,tuakana,tungāne,tuakana,tuakana,tua'ine,tua'ine,tuakana,tuakana,tuakana,tuakana,tungāne,tua'ine,tungāne,tua'ine,tungāne,tuakana,tuakana,tuakana,tuakana,tungāne,tuakana,tuakana,'akapāpā,māmā,metua,'akapāpā,metua,'akapāpā,'akapāpā,'akapāpā,māmā,'akapāpā,'akapāpā,'akapāpā
1,0.12046208689967586,0.8157843798568941,0.6953222929572183,tuakana,tuakana,tuakana,tungāne,tuakana,tungāne,tuakana,tungāne,tuakana,tuakana,tua'ine,tuakana,teina,tua'ine,tuakana,tuakana,tua'ine,tua'ine,tuakana,tuakana,tuakana,tuakana,tungāne,tua'ine,tuakana,tua'ine,tungāne,tuakana,tungāne,tuakana,tuakana,tua'ine,tuakana,tua'ine,tuakana,tuakana,tua'ine,tua'ine,tua'ine,tua'ine,tuakana,tuakana,tuakana,tungāne,tuakana,tuakana,tuakana,tuakana,tuakana,tungāne,tuakana,tungāne,tua'ine,tungāne,tungāne,tua'ine,teina,tungāne,tuakana,tuakana,tuakana,tungāne,tungāne,tuakana,tua'ine,tua'ine,tungāne,tuakana,tuakana,tungāne,tua'ine,tungāne,tua'ine,tuakana,tuakana,tuakana,tungāne,tua'ine,tungāne,tua'ine,tuakana,tungāne,tua'ine,tungāne,tua'ine,'akapāpā,'akapāpā,māmā,'akapāpā,'akapāpā,metua,'akapāpā,māmā,'akapāpā,metua,'akapāpā,'akapāpā
2,0.05062653441197673,0.9032885266470554,0.8526619922350787,tuakana,tua'ine,tuakana,tuakana,tua'ine,tuakana,tua'ine,tuakana,tuakana,tuakana,tuakana,tuakana,tuakana,tungāne,tua'ine,tuakana,tuakana,tuakana,tungāne,tua'ine,tungāne,tuakana,tuakana,tuakana,tua'ine,tungāne,tuakana,tuakana,tuakana,tungāne,tua'ine,tuakana,tuakana,tungāne,tua'ine,tuakana,tuakana,tuakana,tua'ine,tuakana,tuakana,tua'ine,tua'ine,teina,tungāne,tua'ine,tungāne,tuakana,tungāne,tuakana,tua'ine,tungāne,tua'ine,tuakana,tuakana,tuakana,tungāne,tungāne,tungāne,tuakana,tungāne,tungāne,tua'ine,tuakana,tuakana,tuakana,tungāne,tua'ine,tua'ine,tuakana,tuakana,tuakana,tua'ine,tuakana,tungāne,tua'ine,tua'ine,tua'ine,tungāne,tungāne,tungāne,tungāne,tuakana,teina,tua'ine,māmā,'akapāpā,metua,'akapāpā,metua,'akapāpā,'akapāpā,māmā,'akapāpā,'akapāpā,'akapāpā,'akapāpā
3,0.17861395656208112,0.7777899315559316,0.5991759749938504,tungāne,tuakana,tungāne,tua'ine,tuakana,tua'ine,tua'ine,tungāne,tuakana,tuakana,tua'ine,tuakana,tua'ine,tuakana,tua'ine,tua'ine,tuakana,tungāne,tuakana,tuakana,tua'ine,tungāne,tuakana,tuakana,tuakana,tungāne,tuakana,tuakana,tungāne,tua'ine,tuakana,tungāne,tua'ine,tuakana,tuakana,tuakana,tungāne,tungāne,tua'ine,tua'ine,tungāne,tungāne,tua'ine,tuakana,tua'ine,tuakana,tua'ine,tuakana,tua'ine,tua'ine,tuakana,tuakana,teina,tua'ine,tuakana,tuakana,tuakana,tuakana,tua'ine,teina,tuakana,tuakana,tuakana,tungāne,tuakana,tuakana,tungāne,tuakana,tuakana,tungāne,tuakana,tungāne,tuakana,tuakana,tuakana,tungāne,tungāne,tua'ine,tua'ine,tua'ine,tungāne,tuakana,tuakana,tungāne,tungāne,'akapāpā,'akapāpā,'akapāpā,'akapāpā,'akapāpā,'akapāpā,metua,'akapāpā,māmā,metua,māmā,'akapāpā
4,0.168203967912387,0.7777899315559316,0.6095859636435446,tungāne,tua'ine,tua'ine,tungāne,tuakana,tuakana,tua'ine,tungāne,tuakana,tuakana,teina,tua'ine,tua'ine,tuakana,tungāne,tua'ine,tungāne,tuakana,tuakana,tungāne,tuakana,tungāne,tuakana,tua'ine,tungāne,tungāne,tuakana,tungāne,tuakana,tungāne,tuakana,tuakana,tungāne,tungāne,tua'ine,teina,tuakana,tuakana,tua'ine,tuakana,tuakana,tungāne,tungāne,tua'ine,tuakana,tua'ine,tuakana,tuakana,tuakana,tuakana,tuakana,tuakana,tungāne,tuakana,tua'ine,tuakana,tuakana,tuakana,tua'ine,tungāne,tua'ine,tuakana,tuakana,tuakana,tua'ine,tuakana,tungāne,tungāne,tuakana,tua'ine,tua'ine,tua'ine,tua'ine,tuakana,tua'ine,tuakana,tuakana,tua'ine,tuakana,tuakana,tuakana,tua'ine,tungāne,tuakana,tungāne,'akapāpā,māmā,'akapāpā,'akapāpā,'akapāpā,'akapāpā,māmā,'akapāpā,'akapāpā,metua,metua,'akapāpā
5,0.20562937766541223,0.9032885266470554,0.6976591489816432,tuakana,tuakana,tua'ine,tua'ine,tungāne,tua'ine,tua'ine,tuakana,tua'ine,tua'ine,tuakana,tuakana,tungāne,tuakana,tuakana,tua'ine,tua'ine,tungāne,tua'ine,tuakana,tungāne,tuakana,tungāne,tungāne,tuakana,tuakana,tua'ine,tuakana,tuakana,tuakana,tungāne,tuakana,tuakana,tuakana,teina,tuakana,tungāne,tungāne,tuakana,tungāne,tungāne,tuakana,tuakana,tuakana,tungāne,tua'ine,tuakana,tua'ine,tuakana,tuakana,tua'ine,tuakana,tungāne,tuakana,teina,tuakana,tuakana,tungāne,tuakana,tuakana,tuakana,tua'ine,tungāne,tua'ine,tuakana,tungāne,tua'ine,tua'ine,tuakana,tuakana,tuakana,tuakana,tungāne,tuakana,tua'ine,tuakana,tua'ine,tungāne,tuakana,tungāne,tungāne,tua'ine,tungāne,tua'ine,tua'ine,metua,'akapāpā,'akapāpā,māmā,'akapāpā,'akapāpā,'akapāpā,'akapāpā,'akapāpā,'akapāpā,metua,māmā
6,0.1020971565329204,0.9032885266470554,0.801191370114135,teina,tuakana,tuakana,tuakana,tua'ine,tuakana,tua'ine,tungāne,tua'ine,tua'ine,tua'ine,tuakana,tuakana,tungāne,tua'ine,tungāne,tungāne,tungāne,tua'ine,tua'ine,tua'ine,tuakana,tungāne,tuakana,tuakana,tungāne,tua'ine,tua'ine,tuakana,tuakana,tuakana,tungāne,tua'ine,tuakana,tuakana,tuakana,tuakana,tungāne,tungāne,tuakana,tuakana,teina,tungāne,tungāne,tungāne,tuakana,tuakana,tungāne,tungāne,tuakana,tuakana,tungāne,tua'ine,tuakana,tua'ine,tuakana,tungāne,tuakana,tungāne,tuakana,tua'ine,tuakana,tungāne,tua'ine,tuakana,tuakana,tungāne,tua'ine,tuakana,tuakana,tuakana,tuakana,tuakana,tua'ine,tuakana,tuakana,tuakana,tungāne,tua'ine,tua'ine,tua'ine,tuakana,tuakana,tuakana,tua'ine,'akapāpā,metua,'akapāpā,māmā,māmā,metua,'akapāpā,'akapāpā,'akapāpā,'akapāpā,'akapāpā,'akapāpā
7,0.08296699122870188,0.9378057145489618,0.8548387233202599,tuakana,tuakana,tua'ine,tua'ine,tua'ine,tungāne,tuakana,tua'ine,tuakana,tungāne,tua'ine,tungāne,tuakana,tuakana,tuakana,tuakana,tua'ine,tungāne,tungāne,tua'ine,tua'ine,tungāne,tuakana,tuakana,tuakana,tungāne,tungāne,tungāne,tuakana,tua'ine,tungāne,tua'ine,tungāne,tuakana,tuakana,tuakana,tungāne,tuakana,tua'ine,tuakana,tuakana,tuakana,tua'ine,tuakana,tuakana,tuakana,tuakana,tua'ine,tuakana,tungāne,tuakana,tuakana,tungāne,tungāne,tungāne,tua'ine,tungāne,tuakana,tua'ine,tuakana,tuakana,tungāne,tuakana,tuakana,tuakana,tuakana,tungāne,tuakana,tua'ine,teina,tua'ine,tuakana,tuakana,tuakana,tua'ine,tuakana,tua'ine,tua'ine,tua'ine,tua'ine,tuakana,teina,tungāne,tungāne,tuakana,'akapāpā,'akapāpā,metua,māmā,'akapāpā,'akapāpā,'akapāpā,metua,'akapāpā,'akapāpā,māmā,'akapāpā
8,0.07740967001046606,0.9032885266470554,0.8258788566365893,tua'ine,tuakana,tungāne,tuakana,tuakana,tuakana,tua'ine,tua'ine,tua'ine,tua'ine,tuakana,tua'ine,tuakana,tungāne,tungāne,tua'ine,tungāne,tuakana,tuakana,tuakana,teina,tuakana,tuakana,tungāne,tuakana,tuakana,tua'ine,tuakana,tua'ine,tuakana,tuakana,tungāne,tuakana,tuakana,tua'ine,tuakana,tuakana,tuakana,tuakana,tungāne,tuakana,tuakana,tua'ine,tuakana,tungāne,tungāne,tuakana,tungāne,tungāne,tua'ine,tuakana,tuakana,tua'ine,tua'ine,tuakana,tuakana,tua'ine,tuakana,tungāne,tuakana,tungāne,tuakana,tua'ine,tua'ine,tuakana,tuakana,tuakana,tungāne,tungāne,tuakana,tua'ine,tua'ine,tua'ine,tungāne,tungāne,tuakana,tua'ine,tuakana,teina,tungāne,tungāne,tungāne,tungāne,tua'ine,tuakana,'akapāpā,'akapāpā,metua,'akapāpā,māmā,'akapāpā,metua,'akapāpā,māmā,'akapāpā,'akapāpā,'akapāpā
9,0.04325541987110326,0.8260288829215586,0.7827734630504554,tuakana,tungāne,tuakana,tungāne,tuakana,tuakana,tua'ine,tua'ine,tuakana,tungāne,tuakana,tungāne,tua'ine,tuakana,tuakana,tuakana,tungāne,tuakana,tuakana,tua'ine,tungāne,tuakana,tungāne,tua'ine,tuakana,tua'ine,tungāne,tuakana,tuakana,tua'ine,tungāne,tua'ine,tua'ine,tua'ine,tungāne,tuakana,tuakana,tua'ine,tuakana,tuakana,tungāne,tuakana,tungāne,teina,tuakana,tuakana,tuakana,tua'ine,tuakana,tungāne,teina,tungāne,tua'ine,tua'ine,tungāne,tuakana,tungāne,tuakana,tungāne,tuakana,tuakana,tuakana,tuakana,tua'ine,tungāne,tuakana,tua'ine,tuakana,tuakana,tungāne,tungāne,tua'ine,tua'ine,tua'ine,tua'ine,tuakana,tuakana,tua'ine,tuakana,tua'ine,tuakana,tuakana,tuakana,tuakana,tungāne,'akapāpā,metua,'akapāpā,māmā,'akapāpā,'akapāpā,metua,'akapāpā,'akapāpā,māmā,'akapāpā,'akapāpā
