simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFB,mFZ,mMB,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB
0,0.15910693468303672,1.526004863406646,1.3668979287236094,withiwa,withiwa,aparli-aparli,pilya,pilya,pilya,pilya,sthutti,pilya,withiwa,kupaka,kuppali,pilya,pilya,aparli-aparli,pilya,kupaka,withiwa,pilya,withiwa,withiwa,withiwa,aparli-aparli,pilya,pilya,kuppali,pilya,sthutti,pilya,pilya,withiwa,withiwa,withiwa,withiwa,pilya,withiwa,withiwa,pilya,withiwa,withiwa,kupaka,pilya,pilya,withiwa,withiwa,pilya,withiwa,kupaka,pilya,withiwa,withiwa,ngawili,stharluka,ngawili,ngamakarti,neia,apityi,ngawili,ngawili,ngamakarti,apityi,apityi,ngamakarti,ngawili,ngamakarti,apityi,ngawili,neia,ngamakarti,stharluka,ngamakarti,apityi,apityi
1,0.33523295465440106,1.4535676536629394,1.1183346990085383,pilya,withiwa,withiwa,withiwa,aparli-aparli,withiwa,pilya,pilya,pilya,withiwa,kupaka,pilya,kuppali,pilya,withiwa,pilya,pilya,pilya,kupaka,sthutti,withiwa,pilya,pilya,pilya,pilya,withiwa,pilya,pilya,withiwa,withiwa,withiwa,withiwa,withiwa,withiwa,sthutti,withiwa,pilya,withiwa,aparli-aparli,pilya,pilya,aparli-aparli,withiwa,kuppali,pilya,withiwa,kupaka,pilya,withiwa,withiwa,kupaka,neia,ngamakarti,ngawili,ngawili,ngawili,ngamakarti,apityi,ngamakarti,stharluka,ngawili,ngamakarti,ngamakarti,ngawili,apityi,apityi,apityi,ngamakarti,stharluka,apityi,apityi,neia,ngawili
2,0.27030530020769317,1.4328927219256928,1.1625874217179997,withiwa,withiwa,pilya,pilya,pilya,pilya,pilya,pilya,withiwa,pilya,pilya,kupaka,withiwa,pilya,withiwa,withiwa,pilya,pilya,pilya,withiwa,sthutti,kupaka,pilya,sthutti,withiwa,withiwa,withiwa,withiwa,withiwa,withiwa,withiwa,kupaka,pilya,kuppali,pilya,pilya,aparli-aparli,pilya,pilya,kupaka,pilya,withiwa,pilya,withiwa,withiwa,aparli-aparli,withiwa,kuppali,withiwa,withiwa,aparli-aparli,ngawili,stharluka,ngamakarti,apityi,stharluka,apityi,ngawili,neia,ngawili,apityi,ngawili,ngawili,apityi,neia,apityi,apityi,ngamakarti,ngamakarti,ngamakarti,ngamakarti,ngawili,ngamakarti
3,0.20667901910852682,1.2926233037878083,1.0859442846792815,pilya,withiwa,sthutti,aparli-aparli,pilya,withiwa,pilya,withiwa,pilya,pilya,pilya,pilya,withiwa,kupaka,withiwa,withiwa,withiwa,sthutti,pilya,withiwa,pilya,withiwa,withiwa,pilya,kupaka,withiwa,pilya,aparli-aparli,withiwa,withiwa,withiwa,kupaka,pilya,pilya,withiwa,pilya,aparli-aparli,pilya,kuppali,withiwa,withiwa,withiwa,kuppali,kupaka,pilya,pilya,withiwa,withiwa,pilya,pilya,pilya,ngawili,ngawili,apityi,ngamakarti,ngamakarti,ngamakarti,stharluka,apityi,neia,ngamakarti,ngamakarti,ngawili,apityi,apityi,ngawili,ngawili,apityi,neia,stharluka,apityi,ngawili,ngamakarti
4,0.2012122682894233,1.4973140215743626,1.2961017532849393,withiwa,sthutti,kupaka,aparli-aparli,kuppali,pilya,withiwa,pilya,withiwa,pilya,kuppali,withiwa,withiwa,withiwa,pilya,withiwa,pilya,withiwa,kupaka,withiwa,pilya,withiwa,pilya,withiwa,pilya,withiwa,kupaka,withiwa,pilya,kupaka,pilya,aparli-aparli,pilya,sthutti,aparli-aparli,pilya,withiwa,withiwa,pilya,pilya,withiwa,pilya,pilya,withiwa,withiwa,withiwa,pilya,withiwa,pilya,pilya,pilya,ngamakarti,apityi,ngawili,apityi,ngamakarti,ngamakarti,apityi,ngamakarti,ngamakarti,stharluka,ngawili,ngawili,apityi,ngawili,stharluka,ngamakarti,apityi,ngawili,apityi,neia,ngawili,neia
5,0.18524952554587348,1.4315524972108729,1.2463029716649994,withiwa,withiwa,pilya,pilya,pilya,pilya,pilya,kupaka,kuppali,withiwa,withiwa,pilya,withiwa,sthutti,pilya,pilya,withiwa,withiwa,kupaka,withiwa,sthutti,kupaka,withiwa,withiwa,kupaka,pilya,pilya,withiwa,pilya,pilya,withiwa,withiwa,withiwa,pilya,aparli-aparli,pilya,withiwa,aparli-aparli,pilya,withiwa,withiwa,pilya,pilya,pilya,pilya,aparli-aparli,withiwa,withiwa,kuppali,withiwa,pilya,ngamakarti,apityi,ngamakarti,apityi,ngawili,ngawili,ngawili,neia,apityi,ngawili,ngawili,ngamakarti,apityi,apityi,ngawili,ngamakarti,stharluka,apityi,stharluka,neia,ngamakarti,ngamakarti
6,0.23451910408534182,1.433108205681792,1.1985891015964503,withiwa,kupaka,withiwa,pilya,withiwa,withiwa,withiwa,pilya,withiwa,pilya,kupaka,pilya,pilya,kupaka,kuppali,withiwa,withiwa,withiwa,pilya,pilya,withiwa,sthutti,withiwa,withiwa,pilya,pilya,kuppali,pilya,pilya,pilya,withiwa,aparli-aparli,kupaka,pilya,withiwa,withiwa,sthutti,pilya,pilya,pilya,pilya,withiwa,withiwa,aparli-aparli,withiwa,withiwa,withiwa,pilya,aparli-aparli,pilya,pilya,apityi,ngamakarti,apityi,ngawili,apityi,ngawili,stharluka,ngamakarti,ngamakarti,apityi,stharluka,ngawili,ngamakarti,ngamakarti,ngawili,neia,neia,ngawili,apityi,ngamakarti,apityi,ngawili
7,0.17106488841675493,1.5449192307603759,1.373854342343621,kuppali,pilya,pilya,pilya,withiwa,pilya,withiwa,kupaka,withiwa,kuppali,pilya,pilya,withiwa,pilya,pilya,withiwa,kupaka,withiwa,sthutti,withiwa,pilya,withiwa,withiwa,withiwa,kupaka,withiwa,pilya,sthutti,pilya,withiwa,kupaka,withiwa,withiwa,pilya,withiwa,pilya,pilya,pilya,withiwa,withiwa,aparli-aparli,pilya,pilya,aparli-aparli,pilya,withiwa,pilya,withiwa,withiwa,aparli-aparli,pilya,stharluka,apityi,ngawili,ngamakarti,ngamakarti,ngamakarti,apityi,neia,ngawili,apityi,apityi,stharluka,neia,ngawili,ngawili,apityi,ngamakarti,ngamakarti,ngawili,apityi,ngawili,ngamakarti
8,0.2212042981718425,1.5620440530299122,1.3408397548580697,pilya,withiwa,withiwa,withiwa,pilya,aparli-aparli,pilya,withiwa,kuppali,withiwa,withiwa,pilya,pilya,withiwa,withiwa,kupaka,pilya,pilya,kupaka,withiwa,withiwa,aparli-aparli,withiwa,withiwa,pilya,withiwa,pilya,pilya,withiwa,pilya,pilya,sthutti,kuppali,pilya,withiwa,withiwa,withiwa,pilya,pilya,pilya,kupaka,sthutti,pilya,pilya,withiwa,aparli-aparli,withiwa,pilya,pilya,kupaka,withiwa,apityi,ngawili,apityi,neia,ngamakarti,ngawili,ngamakarti,ngawili,apityi,ngawili,ngamakarti,ngawili,apityi,apityi,stharluka,apityi,ngamakarti,ngamakarti,ngawili,stharluka,neia,ngamakarti
9,0.1962592457815826,1.4331082056817919,1.2368489599002093,withiwa,pilya,withiwa,pilya,kuppali,withiwa,kupaka,kupaka,pilya,withiwa,pilya,withiwa,kupaka,withiwa,pilya,withiwa,pilya,withiwa,withiwa,pilya,withiwa,pilya,withiwa,kuppali,pilya,aparli-aparli,withiwa,kupaka,pilya,sthutti,pilya,withiwa,pilya,pilya,pilya,aparli-aparli,withiwa,aparli-aparli,withiwa,pilya,withiwa,withiwa,pilya,withiwa,withiwa,withiwa,pilya,pilya,pilya,pilya,sthutti,ngamakarti,ngamakarti,neia,stharluka,ngawili,ngamakarti,ngawili,ngamakarti,ngawili,apityi,apityi,ngamakarti,ngawili,ngawili,ngawili,apityi,apityi,stharluka,ngamakarti,apityi,neia,apityi
