simulation_number,mutual_information,entropy,conditional_entropy,fB,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mZ,meB,myB,meZ,myZ,fZ,feB,fyB,feZ,fyZ,mF,mM,fF,fM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.29331286233006937,2.350008769935867,2.0566959076057976,sono,namami,sono,sono,sono,sono,sono,sono,sono,sono,namami,alwané,namami,sono,namami,namami,sono,sono,sono,namami,namami,apua'i a motoa,namami,sono,amua'i,sono,sono,sono,namami,namami,namami,namami,sono,namami,namami,sono,sono,sono,namami,namami,namami,namami,sono,sono,namami,namami,alwané,sono,sono,sono,sono,namami,namami,homioné,sono,námámè,namami,sono,sono,sono,sono,namami,namami,amua'i,sono,apua'i a motoa,apua'i a motoa,namami,namami,namami,sono,sono,namami,namami,namami,apua'i a motoa,homioné,namami,namami,sono,namami,sono,namami,sono,namami,sono,namami,sono,namami,mot-ema,noko,èpá,alwa'e na epa,moto e na epa,êmá,om-ema,kola,êmá,omeba,ema,moto e na epa,moteba,alwa'e na epa,eba,moteba,mot-ema,kola,noko,noko,eba,ema,omeba,om-ema,èpá,noko,noko,noko
1,0.35407094733747124,2.3364586624638433,1.982387715126372,namami,namami,namami,sono,sono,namami,sono,namami,namami,namami,namami,sono,namami,sono,namami,sono,sono,apua'i a motoa,sono,sono,sono,namami,namami,namami,apua'i a motoa,namami,namami,sono,namami,sono,homioné,sono,sono,sono,namami,sono,sono,sono,namami,namami,sono,amua'i,namami,sono,namami,namami,sono,sono,sono,namami,sono,sono,namami,sono,namami,alwané,namami,namami,sono,amua'i,apua'i a motoa,alwané,sono,sono,sono,namami,namami,sono,apua'i a motoa,sono,sono,sono,homioné,namami,sono,námámè,sono,sono,namami,namami,sono,namami,namami,namami,namami,sono,sono,namami,namami,moteba,omeba,moto e na epa,êmá,noko,moto e na epa,omeba,noko,noko,noko,kola,noko,om-ema,moteba,alwa'e na epa,ema,mot-ema,eba,noko,mot-ema,èpá,èpá,alwa'e na epa,ema,kola,êmá,om-ema,eba
2,0.36014324384143226,2.3609413866930273,2.000798142851595,sono,namami,namami,sono,sono,sono,sono,sono,sono,sono,namami,namami,sono,sono,sono,sono,sono,namami,namami,sono,sono,namami,apua'i a motoa,namami,apua'i a motoa,alwané,sono,namami,sono,namami,sono,apua'i a motoa,namami,sono,namami,namami,namami,namami,sono,sono,sono,namami,sono,namami,namami,namami,amua'i,sono,apua'i a motoa,sono,sono,namami,namami,sono,namami,namami,namami,namami,sono,namami,namami,namami,sono,namami,sono,sono,amua'i,namami,sono,sono,sono,sono,namami,sono,alwané,sono,namami,sono,namami,namami,sono,homioné,sono,namami,namami,homioné,námámè,namami,namami,mot-ema,kola,ema,noko,noko,kola,noko,alwa'e na epa,eba,moto e na epa,alwa'e na epa,om-ema,êmá,moteba,noko,moto e na epa,eba,èpá,êmá,èpá,om-ema,moteba,mot-ema,noko,omeba,omeba,noko,ema
3,0.30567238723093926,2.348953392166236,2.043281004935297,sono,namami,sono,namami,namami,sono,sono,namami,namami,namami,sono,homioné,namami,namami,sono,namami,sono,sono,namami,sono,namami,namami,sono,sono,sono,námámè,sono,namami,sono,namami,namami,namami,namami,sono,namami,apua'i a motoa,namami,sono,namami,namami,sono,sono,sono,apua'i a motoa,namami,namami,sono,sono,sono,namami,namami,namami,sono,sono,sono,sono,namami,namami,sono,namami,sono,namami,namami,namami,apua'i a motoa,sono,sono,sono,namami,sono,sono,apua'i a motoa,sono,namami,alwané,namami,namami,namami,namami,amua'i,homioné,amua'i,sono,sono,sono,sono,sono,alwané,sono,kola,alwa'e na epa,om-ema,moteba,ema,eba,noko,moto e na epa,omeba,alwa'e na epa,ema,moteba,om-ema,êmá,noko,mot-ema,èpá,noko,kola,noko,moto e na epa,mot-ema,èpá,eba,noko,noko,êmá,omeba
4,0.2122121701977786,2.4122717264294296,2.200059556231651,sono,namami,namami,namami,namami,namami,sono,namami,sono,amua'i,sono,namami,sono,namami,namami,namami,sono,sono,sono,namami,sono,namami,namami,namami,sono,sono,sono,sono,homioné,sono,namami,sono,namami,homioné,namami,namami,apua'i a motoa,sono,sono,sono,namami,sono,apua'i a motoa,namami,namami,namami,sono,sono,sono,namami,amua'i,namami,sono,sono,sono,namami,sono,namami,alwané,sono,sono,sono,sono,sono,námámè,namami,sono,namami,apua'i a motoa,namami,sono,namami,namami,namami,sono,apua'i a motoa,namami,sono,alwané,namami,namami,namami,sono,sono,namami,sono,sono,sono,namami,om-ema,omeba,kola,moto e na epa,kola,alwa'e na epa,mot-ema,noko,êmá,moteba,alwa'e na epa,omeba,ema,ema,noko,mot-ema,eba,êmá,èpá,noko,noko,noko,moteba,eba,om-ema,noko,èpá,moto e na epa
5,0.38853199848212716,2.383630397649952,1.995098399167825,sono,namami,namami,sono,sono,namami,namami,sono,sono,apua'i a motoa,sono,námámè,namami,sono,sono,sono,sono,sono,apua'i a motoa,amua'i,alwané,namami,namami,namami,sono,sono,namami,namami,namami,namami,sono,sono,namami,sono,sono,namami,sono,namami,namami,sono,sono,sono,namami,amua'i,namami,namami,alwané,namami,sono,homioné,sono,namami,namami,namami,sono,namami,namami,sono,namami,sono,sono,namami,sono,sono,namami,namami,apua'i a motoa,homioné,namami,namami,sono,sono,namami,sono,namami,sono,sono,sono,sono,namami,sono,namami,namami,sono,namami,namami,apua'i a motoa,sono,sono,kola,eba,èpá,èpá,êmá,moto e na epa,moteba,noko,om-ema,alwa'e na epa,noko,ema,eba,mot-ema,moto e na epa,moteba,omeba,alwa'e na epa,noko,noko,omeba,noko,mot-ema,êmá,om-ema,ema,noko,kola
6,0.34016085993063516,2.3842533322867436,2.0440924723561085,namami,namami,sono,namami,sono,sono,namami,namami,namami,sono,sono,amua'i,namami,namami,namami,námámè,namami,namami,sono,namami,sono,sono,sono,namami,sono,alwané,sono,namami,namami,sono,sono,sono,sono,namami,namami,sono,namami,apua'i a motoa,apua'i a motoa,sono,sono,namami,sono,sono,namami,namami,sono,namami,namami,sono,namami,sono,namami,homioné,namami,namami,sono,alwané,amua'i,sono,namami,apua'i a motoa,sono,sono,namami,namami,namami,sono,namami,sono,sono,sono,sono,namami,sono,namami,namami,namami,sono,apua'i a motoa,sono,sono,namami,sono,sono,namami,sono,sono,homioné,omeba,noko,kola,moteba,êmá,om-ema,ema,èpá,noko,noko,noko,moto e na epa,mot-ema,moto e na epa,mot-ema,omeba,noko,èpá,om-ema,kola,eba,ema,alwa'e na epa,eba,moteba,noko,êmá,alwa'e na epa
7,0.30523826188755443,2.381512850630549,2.0762745887429945,sono,namami,sono,sono,sono,sono,namami,sono,sono,sono,sono,namami,namami,sono,namami,sono,sono,sono,sono,námámè,namami,sono,namami,sono,sono,sono,namami,namami,sono,namami,sono,apua'i a motoa,namami,namami,sono,sono,namami,sono,sono,namami,sono,alwané,sono,namami,amua'i,namami,homioné,alwané,sono,namami,apua'i a motoa,sono,namami,sono,amua'i,sono,namami,namami,sono,apua'i a motoa,namami,sono,namami,sono,sono,sono,namami,namami,sono,homioné,namami,namami,sono,namami,sono,namami,namami,namami,namami,namami,namami,sono,namami,namami,namami,namami,apua'i a motoa,namami,sono,êmá,moto e na epa,moteba,eba,kola,om-ema,eba,noko,alwa'e na epa,kola,noko,mot-ema,moto e na epa,êmá,ema,èpá,mot-ema,omeba,moteba,noko,noko,èpá,ema,omeba,noko,om-ema,alwa'e na epa,noko
8,0.3492445023283359,2.3818983838904195,2.0326538815620836,namami,sono,sono,sono,sono,namami,namami,namami,apua'i a motoa,apua'i a motoa,namami,sono,namami,namami,sono,sono,apua'i a motoa,namami,sono,sono,sono,namami,namami,sono,namami,namami,amua'i,namami,namami,namami,namami,sono,apua'i a motoa,sono,sono,namami,namami,sono,namami,námámè,namami,sono,namami,namami,namami,namami,namami,namami,sono,namami,sono,sono,sono,amua'i,sono,namami,namami,sono,sono,sono,sono,namami,alwané,sono,namami,namami,alwané,namami,sono,homioné,sono,sono,namami,sono,namami,sono,sono,sono,sono,namami,sono,homioné,sono,namami,namami,sono,sono,sono,sono,ema,êmá,kola,om-ema,noko,omeba,eba,èpá,mot-ema,noko,èpá,moto e na epa,moteba,om-ema,ema,noko,êmá,mot-ema,alwa'e na epa,noko,alwa'e na epa,moto e na epa,moteba,eba,kola,omeba,noko,noko
9,0.29059850158189215,2.339007980550301,2.048409478968409,namami,namami,sono,namami,namami,sono,sono,namami,sono,namami,sono,sono,sono,sono,namami,namami,namami,namami,sono,sono,alwané,sono,apua'i a motoa,sono,namami,sono,sono,sono,sono,sono,namami,sono,namami,namami,sono,sono,namami,namami,sono,sono,namami,sono,namami,sono,námámè,homioné,sono,sono,namami,namami,sono,namami,namami,namami,sono,apua'i a motoa,sono,namami,sono,namami,namami,namami,namami,amua'i,namami,sono,homioné,apua'i a motoa,namami,namami,sono,sono,apua'i a motoa,sono,namami,namami,sono,namami,namami,namami,amua'i,sono,sono,sono,sono,namami,namami,alwané,sono,moteba,noko,eba,ema,kola,èpá,noko,alwa'e na epa,eba,noko,êmá,mot-ema,kola,om-ema,èpá,om-ema,omeba,moto e na epa,noko,noko,moto e na epa,omeba,noko,ema,mot-ema,alwa'e na epa,êmá,moteba
