simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,mFBD,mMZD,mFBS,mMZS,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,mMZeD,mMZyD,fB,fZ,feZ,fyZ,fFBD,fMZD,fFBS,fMZS,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMZyS,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.14434402967553406,1.0178427197212851,0.8734986900457511,mutete wangu,mutete wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mucisi,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mupati wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mupati wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwinandumi,mwanokwesu,mwanokwesu,bamaama,simwiesu,bamaama,taata,taata,taata,taata,taata,bamaama,bamaama,bamaama,bamaama,bamaama,bamaama,taata,bamaama,taata,simwiesu,bamaama,taata,simwiesu,bamaama,bamaama,simwiesu,bamaama,simwiesu,bamaama,simwiesu
1,0.10059621327777779,1.0346012329101812,0.9340050196324035,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwinandumi,mwanokwesu,mwanokwesu,mwanokwesu,mupati wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mutete wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mucisi,mutete wangu,mwanokwesu,mwanokwesu,mupati wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,taata,simwiesu,bamaama,bamaama,simwiesu,bamaama,taata,bamaama,taata,bamaama,bamaama,bamaama,simwiesu,simwiesu,taata,taata,taata,bamaama,taata,simwiesu,bamaama,bamaama,bamaama,bamaama,simwiesu,bamaama,bamaama,taata
2,0.1144483740188913,0.8507388967770313,0.73629052275814,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mutete wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwinandumi,mwanokwesu,mupati wangu,mwanokwesu,mwanokwesu,mucisi,mwanokwesu,mwanokwesu,mupati wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mutete wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,taata,bamaama,simwiesu,bamaama,simwiesu,bamaama,simwiesu,bamaama,bamaama,simwiesu,taata,bamaama,simwiesu,taata,bamaama,bamaama,bamaama,taata,bamaama,bamaama,bamaama,bamaama,taata,taata,bamaama,taata,taata,simwiesu
3,0.1277130787475974,1.0511359509468368,0.9234228721992394,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mucisi,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwinandumi,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mupati wangu,mwanokwesu,mwanokwesu,mupati wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mutete wangu,mwanokwesu,mwanokwesu,mutete wangu,mwanokwesu,mwanokwesu,mwanokwesu,simwiesu,simwiesu,simwiesu,bamaama,taata,taata,bamaama,bamaama,bamaama,bamaama,bamaama,taata,bamaama,bamaama,bamaama,taata,bamaama,simwiesu,simwiesu,bamaama,bamaama,taata,simwiesu,bamaama,taata,taata,bamaama,taata
4,0.08776614854713405,0.9128528837223304,0.8250867351751964,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mucisi,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwinandumi,mwanokwesu,mupati wangu,mupati wangu,mutete wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mutete wangu,taata,bamaama,bamaama,taata,taata,bamaama,bamaama,simwiesu,bamaama,bamaama,taata,simwiesu,bamaama,simwiesu,bamaama,taata,taata,simwiesu,bamaama,bamaama,taata,bamaama,taata,simwiesu,bamaama,bamaama,bamaama,simwiesu
5,0.12358931085114244,1.0178427197212851,0.8942534088701427,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mucisi,mutete wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mupati wangu,mwanokwesu,mwanokwesu,mwanokwesu,mupati wangu,mwanokwesu,mutete wangu,mwanokwesu,mwinandumi,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,bamaama,bamaama,bamaama,bamaama,simwiesu,taata,taata,taata,bamaama,taata,bamaama,bamaama,simwiesu,bamaama,bamaama,taata,taata,taata,simwiesu,simwiesu,bamaama,taata,bamaama,bamaama,simwiesu,bamaama,bamaama,simwiesu
6,0.10091437475587939,1.01031496129758,0.9094005865417005,mwanokwesu,mwinandumi,mwanokwesu,mwanokwesu,mucisi,mwanokwesu,mwanokwesu,mupati wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mutete wangu,mwanokwesu,mutete wangu,mupati wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,bamaama,simwiesu,taata,bamaama,bamaama,bamaama,bamaama,bamaama,taata,bamaama,taata,bamaama,taata,bamaama,taata,bamaama,taata,simwiesu,bamaama,simwiesu,bamaama,simwiesu,taata,simwiesu,bamaama,bamaama,simwiesu,taata
7,0.07520899011150683,0.8507388967770313,0.7755299066655245,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mupati wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwinandumi,mwanokwesu,mutete wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mutete wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mupati wangu,mwanokwesu,mucisi,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,simwiesu,bamaama,simwiesu,taata,bamaama,bamaama,taata,bamaama,taata,taata,taata,bamaama,bamaama,simwiesu,bamaama,bamaama,bamaama,simwiesu,taata,bamaama,taata,bamaama,bamaama,simwiesu,bamaama,bamaama,simwiesu,taata
8,0.0731785312311205,0.832535428548953,0.7593568973178325,mwanokwesu,mwanokwesu,mwinandumi,mwanokwesu,mwanokwesu,mucisi,mwanokwesu,mwanokwesu,mwanokwesu,mutete wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mutete wangu,mwanokwesu,mwanokwesu,mupati wangu,mupati wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,bamaama,taata,bamaama,bamaama,bamaama,taata,bamaama,bamaama,taata,taata,simwiesu,taata,simwiesu,simwiesu,bamaama,bamaama,bamaama,bamaama,simwiesu,bamaama,bamaama,bamaama,simwiesu,taata,bamaama,simwiesu,taata,taata
9,0.13420198171930275,1.0813448682427136,0.9471428865234108,mwanokwesu,mutete wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mupati wangu,mwanokwesu,mutete wangu,mwanokwesu,mwanokwesu,mwinandumi,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mucisi,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mupati wangu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,mwanokwesu,bamaama,taata,simwiesu,bamaama,bamaama,simwiesu,taata,taata,bamaama,bamaama,bamaama,bamaama,simwiesu,simwiesu,simwiesu,taata,bamaama,bamaama,taata,simwiesu,taata,bamaama,taata,bamaama,bamaama,bamaama,bamaama,taata
