simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.08652705876465694,1.3465050905813456,1.2599780318166887,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,thirrirri,kangu,kangu,kangu,thawirti,kangu,kangu,kangu,kangu,kangu,kangu,thirrirri,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,yimirti,kurrirti,yimirti,marnu,kurrirti,karlu,kurrirti,yimirti,kurrirti,marnu,marnu,karlu,marnu,yimirti
1,0.030243343656962907,1.3465050905813454,1.3162617469243825,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,thirrirri,kangu,kangu,kangu,kangu,kangu,thawirti,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,thirrirri,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,marnu,marnu,yimirti,marnu,karlu,kurrirti,yimirti,yimirti,karlu,kurrirti,kurrirti,kurrirti,marnu,yimirti
2,0.05094522075387431,1.3465050905813456,1.2955598698274713,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,thirrirri,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,thirrirri,kangu,kangu,thawirti,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,marnu,yimirti,kurrirti,yimirti,yimirti,kurrirti,marnu,kurrirti,kurrirti,karlu,yimirti,karlu,marnu,marnu
3,0.0845208818209695,1.3465050905813456,1.261984208760376,kangu,kangu,kangu,kangu,kangu,kangu,thirrirri,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,thirrirri,kangu,kangu,kangu,thawirti,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,yimirti,yimirti,yimirti,kurrirti,marnu,yimirti,karlu,marnu,kurrirti,marnu,kurrirti,kurrirti,marnu,karlu
4,0.039079593446914807,1.3613834456160072,1.3223038521690924,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,thawirti,kangu,kangu,kanamu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,thirrirri,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,thirrirri,kangu,kangu,kangu,kangu,kangu,yimirti,kurrirti,karlu,marnu,kurrirti,yimirti,karlu,marnu,kurrirti,marnu,kurrirti,marnu,yimirti,yimirti
5,0.14842403165521167,1.3465050905813456,1.198081058926134,thirrirri,kangu,kangu,thirrirri,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kanamu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,thawirti,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,yimirti,yimirti,yimirti,kurrirti,marnu,marnu,marnu,marnu,karlu,kurrirti,karlu,yimirti,kurrirti,kurrirti
6,-2.220446049250313e-16,1.3465050905813454,1.3465050905813456,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,thirrirri,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,thawirti,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,thirrirri,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,karlu,kurrirti,yimirti,kurrirti,karlu,marnu,yimirti,kurrirti,kurrirti,yimirti,marnu,marnu,yimirti,marnu
7,0.114941305281832,1.3447551106252167,1.2298138053433847,kangu,kangu,kangu,kangu,kangu,kangu,thirrirri,thirrirri,kangu,kangu,kangu,kangu,kangu,thawirti,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,karlu,yimirti,marnu,marnu,kurrirti,kurrirti,yimirti,marnu,yimirti,yimirti,marnu,karlu,kurrirti,kurrirti
8,-2.220446049250313e-16,1.361383445616007,1.3613834456160072,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,thirrirri,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,thirrirri,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kanamu,thawirti,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kurrirti,kurrirti,kurrirti,karlu,yimirti,marnu,yimirti,yimirti,kurrirti,marnu,karlu,marnu,yimirti,marnu
9,0.07055990751195007,1.3465050905813456,1.2759451830693955,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,thirrirri,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,thirrirri,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,thawirti,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kanamu,kangu,kangu,kangu,kangu,kangu,kangu,kurrirti,marnu,kurrirti,marnu,yimirti,kurrirti,yimirti,karlu,marnu,kurrirti,yimirti,yimirti,marnu,karlu
