simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeZ,fFyZ,fMeB,fMyB
0,0.15358545225746978,1.1851577896519716,1.0315723373945018,wankili,shoulder2,wankili,thigh1,wankili,wankili,shoulder2,wankili,shoulder2,wankili,wankili,wankili,wankili,wankili,wankili,wankili,ngatyanguru,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,ngatyanguru,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,kapurlu,wankili,wankili,wankili,ngatyanguru,thigh1,wankili,wankili,wankili,kapurlu,shoulder2,wankili,ngamirni,ngamirni,pimirti,ngamirni,ngarti-,kirta,pimirti,pimirti,ngamirni,kirta,pimirti,ngamirni,pimirti,ngarti-,ngamirni,pimirti
1,0.11652543996136999,1.2636544318820964,1.1471289919207264,wankili,wankili,ngatyanguru,wankili,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,thigh1,wankili,kapurlu,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,thigh1,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,ngatyanguru,wankili,wankili,ngatyanguru,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,wankili,wankili,kapurlu,wankili,ngamirni,pimirti,ngarti-,ngamirni,pimirti,ngamirni,ngamirni,pimirti,ngamirni,pimirti,pimirti,ngarti-,kirta,pimirti,ngamirni,kirta
2,0.13195877475289786,1.2334779712661614,1.1015191965132636,shoulder2,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,shoulder2,wankili,thigh1,wankili,wankili,wankili,wankili,wankili,ngatyanguru,ngatyanguru,wankili,shoulder2,wankili,wankili,wankili,ngatyanguru,wankili,wankili,kapurlu,wankili,wankili,wankili,wankili,kapurlu,thigh1,wankili,wankili,shoulder2,wankili,wankili,wankili,wankili,wankili,ngamirni,ngarti-,ngamirni,ngamirni,pimirti,pimirti,pimirti,pimirti,pimirti,ngamirni,ngarti-,ngamirni,pimirti,kirta,ngamirni,kirta
3,0.07746724048080367,1.2172291199827134,1.1397618795019098,wankili,shoulder2,thigh1,wankili,wankili,wankili,wankili,wankili,kapurlu,wankili,wankili,wankili,wankili,wankili,wankili,wankili,ngatyanguru,shoulder2,wankili,wankili,wankili,wankili,wankili,shoulder2,thigh1,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,wankili,wankili,wankili,ngatyanguru,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,kapurlu,ngatyanguru,wankili,ngamirni,ngamirni,kirta,pimirti,pimirti,ngarti-,ngamirni,pimirti,pimirti,ngamirni,ngamirni,ngamirni,ngarti-,pimirti,kirta,pimirti
4,0.10934843018739637,1.266612535685849,1.1572641054984527,wankili,wankili,shoulder2,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,wankili,thigh1,wankili,wankili,ngatyanguru,wankili,wankili,wankili,ngatyanguru,wankili,wankili,wankili,wankili,wankili,wankili,thigh1,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,wankili,wankili,wankili,wankili,kapurlu,wankili,ngatyanguru,wankili,kapurlu,wankili,wankili,wankili,ngamirni,kirta,pimirti,ngamirni,pimirti,pimirti,pimirti,pimirti,ngamirni,ngarti-,kirta,ngamirni,ngamirni,ngamirni,ngarti-,pimirti
5,0.13933444188522537,1.255749418854797,1.1164149769695717,wankili,wankili,wankili,thigh1,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,thigh1,wankili,wankili,kapurlu,wankili,wankili,wankili,ngatyanguru,wankili,wankili,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,kapurlu,wankili,shoulder2,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,ngatyanguru,ngatyanguru,wankili,wankili,shoulder2,wankili,kirta,kirta,pimirti,ngamirni,pimirti,ngarti-,ngamirni,ngamirni,ngamirni,ngarti-,pimirti,pimirti,ngamirni,pimirti,ngamirni,pimirti
6,0.17243325170479995,1.263052604457935,1.0906193527531352,wankili,wankili,thigh1,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,ngatyanguru,ngatyanguru,wankili,wankili,wankili,wankili,wankili,wankili,wankili,ngatyanguru,wankili,shoulder2,wankili,wankili,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,wankili,thigh1,kapurlu,wankili,kapurlu,wankili,wankili,shoulder2,wankili,pimirti,kirta,ngarti-,ngamirni,ngamirni,pimirti,kirta,pimirti,ngamirni,pimirti,ngamirni,pimirti,ngarti-,pimirti,ngamirni,ngamirni
7,0.1168836420147148,1.3138643766624172,1.1969807346477024,wankili,thigh1,wankili,wankili,ngatyanguru,ngatyanguru,wankili,kapurlu,wankili,wankili,wankili,wankili,wankili,kapurlu,wankili,wankili,shoulder2,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,wankili,shoulder2,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,thigh1,shoulder2,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,ngatyanguru,wankili,pimirti,ngamirni,kirta,kirta,pimirti,ngamirni,pimirti,pimirti,ngamirni,pimirti,ngarti-,ngamirni,ngarti-,pimirti,ngamirni,ngamirni
8,0.14963300034115234,1.2521912213263329,1.1025582209851805,wankili,wankili,shoulder2,wankili,wankili,ngatyanguru,wankili,ngatyanguru,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,kapurlu,wankili,kapurlu,wankili,wankili,shoulder2,wankili,wankili,wankili,wankili,wankili,thigh1,wankili,wankili,wankili,thigh1,wankili,wankili,wankili,wankili,ngatyanguru,shoulder2,shoulder2,ngamirni,ngarti-,ngarti-,ngamirni,ngamirni,ngamirni,ngamirni,pimirti,pimirti,ngamirni,pimirti,pimirti,kirta,pimirti,kirta,pimirti
9,0.11200941740620274,1.22081123804657,1.1088018206403674,wankili,ngatyanguru,wankili,wankili,wankili,kapurlu,shoulder2,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,shoulder2,wankili,shoulder2,wankili,ngatyanguru,wankili,ngatyanguru,wankili,wankili,wankili,wankili,wankili,thigh1,wankili,thigh1,wankili,wankili,shoulder2,wankili,wankili,kapurlu,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,pimirti,pimirti,pimirti,ngamirni,ngamirni,ngarti-,kirta,pimirti,ngamirni,ngamirni,kirta,pimirti,ngamirni,ngarti-,pimirti,ngamirni
