simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,fF,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.0706490939596508,0.9910919711819173,0.9204428772222665,pinsan,"kapatid, kaka, panganai, ati",pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, kuya",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,ama-in,ama,ali,ali,ali,ali,ama-in,ama-in,ama-in,ali,ama-in,ali,ali,ama-in,ama-in,ama-in,ama,ali
1,0.05591673848324352,0.9910919711819173,0.9351752326986738,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, kuya",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,ali,ama,ama-in,ama-in,ama-in,ali,ali,ama-in,ali,ama-in,ali,ama-in,ama-in,ama,ama-in,ali,ali,ali
2,0.12203488808232676,0.9660393397604936,0.8440044516781668,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, kuya",pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,ama-in,ama-in,ama-in,ali,ama,ali,ama-in,ama,ali,ali,ama-in,ali,ama-in,ali,ali,ali,ama-in,ama-in
3,0.17446703444627398,0.9660393397604936,0.7915723053142196,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,pinsan,pinsan,kapatid,pinsan,kapatid,pinsan,kapatid,pinsan,pinsan,"kapatid, kaka, panganai, kuya",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,ali,ama-in,ali,ama-in,ali,ali,ama,ama-in,ama-in,ali,ama-in,ali,ama-in,ali,ama-in,ama-in,ali,ama
4,0.060890955583371764,0.9660393397604936,0.9051483841771218,pinsan,kapatid,"kapatid, kaka, panganai, kuya",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,ama-in,ali,ama-in,ama-in,ama,ama-in,ali,ama-in,ali,ama-in,ali,ama-in,ali,ama,ama-in,ali,ali,ali
5,0.03165049821982113,0.9910919711819173,0.9594414729620961,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, kuya",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,ali,ama,ama-in,ali,ama-in,ama-in,ama-in,ali,ali,ama-in,ama-in,ali,ali,ali,ama-in,ali,ama,ama-in
6,0.10227052986060492,0.9660393397604936,0.8637688098998887,pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, kuya",pinsan,pinsan,pinsan,pinsan,kapatid,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,ali,ama-in,ama-in,ali,ali,ama-in,ama-in,ama-in,ama,ama-in,ama-in,ali,ama-in,ali,ama,ali,ali,ali
7,0.08040694652876335,0.9910919711819173,0.9106850246531539,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, kuya",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,ali,ama,ama-in,ali,ali,ama,ali,ama-in,ama-in,ali,ama-in,ama-in,ama-in,ali,ali,ama-in,ali,ama-in
8,0.07075536752999578,0.9660393397604936,0.8952839722304978,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, kuya",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,ali,ali,ama,ali,ama-in,ama-in,ama-in,ama-in,ali,ama,ama-in,ama-in,ama-in,ali,ama-in,ali,ali,ali
9,0.06178345438104638,0.9676463341164716,0.9058628797354252,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, ati",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,kapatid,pinsan,"kapatid, kaka, panganai, ati",pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,"kapatid, kaka, panganai, kuya",pinsan,pinsan,kapatid,pinsan,pinsan,kapatid,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,pinsan,ali,ama-in,ali,ama-in,ama,ali,ama-in,ama-in,ama,ama-in,ali,ama-in,ama-in,ali,ali,ali,ali,ama-in
