simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.2661429854962132,1.3487876966267476,1.0826447111305344,-ian,"-ian, -dias, -bruman yis","-ian, -dias, -bruman yis",-ian,"-ianqai, -ka'au","-ian, -dias, -bruman yis","-gasqai, -bif","-gasqai, -bif",-ian,"-ianqai, -ka'au",-ian,"-ian, -dias, -bruman yis","-gasqai, -ka'au","-gasqai, -ka'au",-ian,"-ian, -dias, -bruman yis",-ianqai,"-ianqai, -bif",-ian,-ian,"-ianqai, -bif","-ianqai, -ka'au","-ian, -dias, -bruman yis","-gasqai, -ka'au","-ian, -dias, -bruman yis","-ianqai, -ka'au","-ian, -dias, -bruman yis","-gasqai, -ka'au","-ianqai, -ka'au",-ian,"-ianqai, -bif","-ianqai, -ka'au","-ianqai, -bif","-gasqai, -bif","-ianqai, -ka'au","-ianqai, -bif","-ianqai, -bif","-ianqai, -bif",-xaler,-umeer,-xala',-oma',-oma',-xala',-umeer,-xala',-oma',-xala',-xaler,-xala',-oma',-umeer,-xaler,-oma',-oma',-umeer,-xala',-xaler
1,0.3034032815087806,1.3553241485015382,1.0519208669927576,"-ianqai, -bif","-ian, -dias, -bruman yis","-ianqai, -bif","-ian, -dias, -bruman yis","-ianqai, -ka'au","-ian, -dias, -bruman yis","-ian, -dias, -bruman yis","-ian, -dias, -bruman yis","-ian, -dias, -bruman yis",-ian,"-gasqai, -ka'au","-ianqai, -bif","-ianqai, -bif",-ianqai,"-ianqai, -bif","-ianqai, -ka'au","-ianqai, -bif",-ian,"-ianqai, -ka'au","-ianqai, -bif","-gasqai, -bif","-ianqai, -ka'au","-gasqai, -bif","-gasqai, -ka'au","-ianqai, -ka'au","-gasqai, -bif","-ianqai, -ka'au",-ian,"-gasqai, -ka'au","-ian, -dias, -bruman yis",-ian,"-ianqai, -ka'au",-ian,-ian,-ian,-ian,"-gasqai, -ka'au","-ian, -dias, -bruman yis",-oma',-xala',-xala',-xaler,-xala',-xala',-oma',-umeer,-umeer,-xala',-xaler,-oma',-xaler,-umeer,-xala',-oma',-xaler,-umeer,-oma',-oma'
2,0.45303084687884887,1.371768896629724,0.918738049750875,-ian,-ian,"-ian, -dias, -bruman yis",-ian,"-ianqai, -ka'au","-ian, -dias, -bruman yis","-ian, -dias, -bruman yis","-ianqai, -bif","-ianqai, -bif",-ian,"-gasqai, -bif","-ianqai, -bif",-ianqai,"-gasqai, -bif","-ian, -dias, -bruman yis","-ianqai, -ka'au",-ian,"-ian, -dias, -bruman yis","-ianqai, -ka'au","-ian, -dias, -bruman yis","-ianqai, -ka'au","-ian, -dias, -bruman yis","-gasqai, -bif",-ian,"-ianqai, -ka'au","-gasqai, -ka'au","-ianqai, -ka'au","-ianqai, -bif",-ian,-ian,"-ian, -dias, -bruman yis","-ianqai, -ka'au","-gasqai, -ka'au","-ianqai, -bif","-ianqai, -bif","-gasqai, -ka'au","-ianqai, -bif","-gasqai, -ka'au",-xala',-oma',-xala',-xaler,-umeer,-xala',-oma',-xala',-xala',-oma',-xaler,-oma',-umeer,-xala',-xaler,-umeer,-xaler,-oma',-umeer,-oma'
3,0.19543362618242632,1.3553241485015377,1.1598905223191114,"-ianqai, -ka'au","-ian, -dias, -bruman yis","-ianqai, -bif","-ian, -dias, -bruman yis",-ian,"-gasqai, -bif",-ian,"-ian, -dias, -bruman yis",-ianqai,-ian,"-ianqai, -ka'au","-ianqai, -bif","-ianqai, -ka'au","-ianqai, -ka'au","-gasqai, -ka'au","-gasqai, -bif",-ian,"-ian, -dias, -bruman yis","-gasqai, -ka'au","-ian, -dias, -bruman yis","-ianqai, -bif","-ianqai, -ka'au","-ian, -dias, -bruman yis","-gasqai, -bif","-ianqai, -ka'au","-ianqai, -bif","-ianqai, -bif","-ian, -dias, -bruman yis","-ianqai, -bif","-ianqai, -ka'au",-ian,"-gasqai, -ka'au",-ian,-ian,"-ian, -dias, -bruman yis",-ian,"-ianqai, -bif","-gasqai, -ka'au",-xala',-oma',-umeer,-xala',-umeer,-xala',-xaler,-oma',-xala',-oma',-umeer,-xaler,-xala',-xaler,-xaler,-oma',-umeer,-xala',-oma',-oma'
4,0.30688223221400834,1.3647683466880345,1.0578861144740261,"-ianqai, -ka'au","-gasqai, -ka'au","-ianqai, -ka'au","-gasqai, -bif",-ian,"-ian, -dias, -bruman yis","-ianqai, -ka'au",-ian,"-gasqai, -ka'au",-ian,"-ianqai, -bif","-ian, -dias, -bruman yis","-ianqai, -bif","-ian, -dias, -bruman yis","-ianqai, -bif",-ianqai,"-ian, -dias, -bruman yis","-ianqai, -bif","-ianqai, -ka'au","-gasqai, -ka'au",-ian,"-ian, -dias, -bruman yis","-ianqai, -bif","-gasqai, -bif","-ian, -dias, -bruman yis",-ian,"-ianqai, -bif","-ianqai, -ka'au",-ian,"-ianqai, -ka'au","-ianqai, -bif","-gasqai, -bif","-ian, -dias, -bruman yis","-ian, -dias, -bruman yis",-ian,"-gasqai, -ka'au","-ianqai, -ka'au",-ian,-xala',-oma',-umeer,-xaler,-xaler,-oma',-umeer,-oma',-oma',-xala',-oma',-oma',-xala',-umeer,-xala',-xaler,-umeer,-xala',-xaler,-xala'
5,0.2794865016828827,1.3717688966297237,1.092282394946841,"-ianqai, -bif","-ianqai, -bif","-ianqai, -ka'au","-gasqai, -ka'au","-ianqai, -bif","-ian, -dias, -bruman yis",-ian,-ian,"-ian, -dias, -bruman yis","-gasqai, -ka'au",-ian,"-ian, -dias, -bruman yis","-ian, -dias, -bruman yis",-ian,-ian,"-ianqai, -ka'au",-ian,"-ian, -dias, -bruman yis","-ianqai, -bif","-ian, -dias, -bruman yis","-ianqai, -bif","-ianqai, -ka'au","-gasqai, -bif","-ianqai, -ka'au","-ianqai, -ka'au",-ianqai,"-ian, -dias, -bruman yis","-ianqai, -ka'au","-ianqai, -ka'au","-gasqai, -ka'au","-gasqai, -bif",-ian,"-gasqai, -bif","-ianqai, -bif","-gasqai, -ka'au",-ian,"-ian, -dias, -bruman yis","-ianqai, -bif",-xala',-xala',-xala',-xaler,-xaler,-xala',-xaler,-oma',-oma',-xala',-oma',-umeer,-oma',-xala',-xaler,-umeer,-umeer,-umeer,-oma',-oma'
6,0.144947400311924,1.3763979873559773,1.2314505870440533,"-ianqai, -bif","-ianqai, -bif","-ian, -dias, -bruman yis","-ian, -dias, -bruman yis","-ianqai, -ka'au","-ianqai, -ka'au","-ianqai, -bif","-ian, -dias, -bruman yis","-ianqai, -ka'au","-ian, -dias, -bruman yis","-gasqai, -ka'au","-ianqai, -ka'au","-gasqai, -bif","-ianqai, -bif","-ianqai, -ka'au","-ianqai, -bif","-gasqai, -ka'au","-gasqai, -ka'au","-ianqai, -bif","-ian, -dias, -bruman yis","-gasqai, -bif",-ian,"-ianqai, -ka'au",-ian,"-gasqai, -bif","-ianqai, -bif",-ianqai,-ian,-ian,-ian,"-gasqai, -ka'au",-ian,"-ian, -dias, -bruman yis",-ian,"-ian, -dias, -bruman yis",-ian,"-ianqai, -ka'au","-ian, -dias, -bruman yis",-xaler,-oma',-xaler,-umeer,-xala',-oma',-xala',-xaler,-xala',-xala',-umeer,-xala',-xaler,-oma',-oma',-xala',-umeer,-umeer,-oma',-oma'
7,0.17102194179355457,1.3652324447549333,1.1942105029613788,"-ian, -dias, -bruman yis",-ian,"-ianqai, -ka'au","-ianqai, -bif",-ian,-ianqai,"-gasqai, -ka'au",-ian,"-ian, -dias, -bruman yis","-ianqai, -ka'au","-ianqai, -bif","-ianqai, -ka'au","-ianqai, -ka'au",-ian,-ian,"-ianqai, -bif","-ianqai, -ka'au",-ian,"-ian, -dias, -bruman yis","-ian, -dias, -bruman yis","-ianqai, -ka'au","-ianqai, -bif","-ianqai, -bif","-ianqai, -bif","-ian, -dias, -bruman yis",-ian,-ian,"-gasqai, -ka'au","-ianqai, -ka'au","-ian, -dias, -bruman yis","-ian, -dias, -bruman yis","-ian, -dias, -bruman yis","-gasqai, -bif","-ianqai, -bif","-gasqai, -bif","-gasqai, -ka'au","-gasqai, -bif","-gasqai, -ka'au",-xaler,-oma',-oma',-xala',-oma',-xala',-xaler,-xala',-umeer,-oma',-umeer,-xaler,-xaler,-xala',-umeer,-xala',-oma',-oma',-umeer,-xala'
8,0.39382120324212544,1.34791009821198,0.9540888949698546,"-gasqai, -ka'au",-ian,"-gasqai, -bif","-ianqai, -bif","-ianqai, -bif","-gasqai, -bif","-gasqai, -bif",-ian,-ian,-ian,"-ian, -dias, -bruman yis","-ian, -dias, -bruman yis","-ianqai, -ka'au","-ianqai, -ka'au","-ian, -dias, -bruman yis",-ian,"-ianqai, -bif","-ianqai, -bif","-gasqai, -ka'au",-ian,"-ianqai, -bif","-ian, -dias, -bruman yis","-ian, -dias, -bruman yis",-ian,"-ian, -dias, -bruman yis","-gasqai, -ka'au","-ian, -dias, -bruman yis","-ianqai, -ka'au","-gasqai, -ka'au","-ianqai, -ka'au","-ianqai, -ka'au","-ianqai, -bif",-ianqai,"-ianqai, -ka'au","-ianqai, -bif","-ian, -dias, -bruman yis","-ianqai, -ka'au",-ian,-umeer,-xaler,-xala',-xala',-oma',-oma',-xaler,-xaler,-xala',-xala',-xaler,-oma',-oma',-umeer,-oma',-xala',-umeer,-umeer,-oma',-xala'
9,0.11982918416466148,1.3763979873559773,1.2565688031913158,"-ian, -dias, -bruman yis","-gasqai, -bif","-ianqai, -bif","-ian, -dias, -bruman yis","-ianqai, -ka'au","-ian, -dias, -bruman yis","-ianqai, -bif",-ianqai,-ian,-ian,"-gasqai, -ka'au","-ianqai, -ka'au",-ian,"-ianqai, -bif","-ian, -dias, -bruman yis","-ianqai, -ka'au","-ianqai, -ka'au","-ianqai, -ka'au","-ianqai, -ka'au","-ian, -dias, -bruman yis","-ianqai, -bif",-ian,-ian,"-ian, -dias, -bruman yis","-ianqai, -bif","-ianqai, -bif","-ian, -dias, -bruman yis",-ian,-ian,"-ian, -dias, -bruman yis","-gasqai, -ka'au","-gasqai, -bif","-gasqai, -ka'au","-ianqai, -ka'au","-gasqai, -bif","-ianqai, -bif",-ian,"-gasqai, -ka'au",-xaler,-xaler,-umeer,-xaler,-xala',-umeer,-oma',-umeer,-oma',-xala',-umeer,-oma',-xala',-oma',-xaler,-oma',-oma',-xala',-xala',-xala'
