simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.027048296154028373,1.7533777899140672,1.7263294937600389,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,ağabey,kuzen,kuzen,kuzen,kuzen,abla,kuzen,abla,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,ağabey,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,dayı,teyze,dayı,baba,hala,teyze,dayı,teyze,amca,hala,anne,hala,amca,dayı,amca,baba,teyze,amca,anne,hala
1,0.07900156837849037,1.7223690246516663,1.643367456273176,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,ağabey,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,ağabey,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,abla,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,abla,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,anne,hala,dayı,hala,baba,amca,teyze,hala,dayı,hala,amca,anne,teyze,baba,teyze,dayı,teyze,dayı,amca,amca
2,0.11557837026974349,1.7479762745972596,1.632397904327516,kuzen,kuzen,kuzen,ağabey,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,ağabey,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,abla,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,abla,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,hala,hala,dayı,anne,dayı,teyze,amca,hala,teyze,baba,amca,teyze,amca,teyze,hala,dayı,dayı,baba,anne,amca
3,0.07469632221343558,1.7520321439000341,1.6773358216865986,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,abla,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,abla,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kardeš,ağabey,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,ağabey,kuzen,kuzen,kuzen,kuzen,kuzen,anne,hala,amca,teyze,teyze,hala,teyze,hala,dayı,amca,dayı,dayı,baba,hala,amca,anne,dayı,baba,teyze,amca
4,-2.220446049250313e-16,1.7105682707872345,1.7105682707872347,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,ağabey,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,ağabey,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,abla,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,abla,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,hala,teyze,hala,teyze,teyze,amca,amca,amca,dayı,anne,baba,hala,hala,anne,dayı,teyze,dayı,amca,dayı,baba
5,0.08300629569967688,1.7414733112947904,1.6584670155951136,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,ağabey,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,abla,abla,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,ağabey,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,amca,teyze,hala,dayı,hala,amca,dayı,hala,teyze,amca,dayı,baba,amca,hala,dayı,teyze,anne,baba,teyze,anne
6,0.12929484821856385,1.7118101920464226,1.5825153438278587,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,ağabey,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,ağabey,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,abla,kuzen,kuzen,kuzen,abla,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,hala,hala,dayı,amca,anne,baba,hala,teyze,dayı,anne,teyze,amca,dayı,baba,dayı,amca,teyze,hala,teyze,amca
7,0.0672102801443959,1.7428189573088235,1.6756086771644276,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,abla,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,ağabey,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,abla,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,ağabey,kuzen,kuzen,teyze,hala,teyze,amca,dayı,anne,amca,amca,teyze,anne,dayı,hala,dayı,teyze,hala,baba,baba,amca,dayı,hala
8,0.08046987040804376,1.7520321439000341,1.6715622734919904,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,abla,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,ağabey,kardeš,kuzen,kuzen,kuzen,kuzen,abla,kuzen,kuzen,ağabey,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,amca,dayı,baba,hala,anne,teyze,amca,teyze,dayı,dayı,baba,hala,hala,amca,amca,teyze,hala,anne,dayı,teyze
9,0.1119820358570045,1.7361755207328278,1.6241934848758233,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,abla,kuzen,ağabey,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,ağabey,kuzen,abla,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,dayı,dayı,hala,hala,amca,baba,teyze,amca,hala,baba,hala,dayı,teyze,amca,teyze,anne,amca,dayı,anne,teyze
