simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,meB,feZ,mF,mM,mFB,mFZ,mMB,mMZ,fF,fM,fFB,fFZ,fMB,fMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.47765317809610286,2.0965803656909,1.6189271875947973,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che tío r-ajy,che tío r-ajy,che kyvý,che primo,che tío r-ajy,che ryvý,che tío r-ajy,che primo,kɨpɨʔɨ,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che tío r-ajy,che primo,che tío r-ajy,che primo,che kypy'y,che primo,che tía memby,che tía memby,sɨkɨpɨʔɨ-meᵐbɨ,che tía memby,che ryké,che primo,che tía memby,che tío r-ajy,che tío r-ajy,che primo,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,che tío r-ajy,che primo,che tío r-ajy,che primo,kɨvɨ mičĩ'veva,che primo,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che tía memby,che tía memby,che primo,che tío r-ajy,che primo,che primo,che ryke'y,che tío r-ajy,che primo,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che primo,che primo,che tía memby,che primo,che tía memby,che primo,che tío r-ajy,che primo,pehenɣʷe,che primo,che primo,che primo,che tío r-ajy,che primo,che tío r-ajy,che tío r-ajy,che reindý,che tío r-ajy,che primo,che primo,che tía memby,che tío r-ajy,che primo,che tía memby,pehenɣʷe,che tío r-ajy,che primo,che tió,sɨ rɨke,sɨ rɨke,che tió,sɨ kɨvɨ,che sy kypy'y,tua reiⁿdɨ,tua rɨkeʔɨ- tɨ'vɨra,che tió,che r-u r-eindy,tua reiⁿdɨ,che r-u r-eindy,che tió,che tió,che tió,che tió,ru,che tió,che r-u r-eindy,ru,che sy r-yke,tua rɨkeʔɨ- tɨ'vɨra,che r-u r-eindy,sy,che sy r-yke,sy,sɨ kɨvɨ,che sy kypy'y
1,0.4057620392129011,2.075621081645763,1.6698590424328619,che primo,che primo,che ryvý,che primo,che kypy'y,che tío r-ajy,che primo,che tío r-ajy,che primo,che primo,che tío r-ajy,che primo,che primo,che primo,che primo,che primo,che tío r-ajy,che tía memby,che primo,che tío r-ajy,che primo,che tío r-ajy,che primo,che primo,che reindý,che tío r-ajy,che primo,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che tío r-ajy,che primo,pehenɣʷe,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,pehenɣʷe,kɨpɨʔɨ,sɨkɨpɨʔɨ-meᵐbɨ,che ryke'y,che tía memby,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che tío r-ajy,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che tío r-ajy,che tío r-ajy,che primo,che ryké,che primo,che primo,che primo,che tía memby,che tío r-ajy,che tío r-ajy,che tía memby,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,che tío r-ajy,che primo,che tía memby,che tía memby,che tío r-ajy,che primo,kɨvɨ mičĩ'veva,che tío r-ajy,che tío r-ajy,che kyvý,che tía memby,che primo,che primo,che tía memby,che tío r-ajy,che tía memby,che tía memby,che tió,che r-u r-eindy,sy,che r-u r-eindy,che tió,sy,tua reiⁿdɨ,che sy r-yke,che r-u r-eindy,che tió,ru,tua rɨkeʔɨ- tɨ'vɨra,che sy kypy'y,sɨ rɨke,tua reiⁿdɨ,che tió,ru,che sy r-yke,sɨ rɨke,che r-u r-eindy,che tió,che sy kypy'y,che tió,che tió,tua rɨkeʔɨ- tɨ'vɨra,sɨ kɨvɨ,sɨ kɨvɨ,che tió
2,0.465128273088514,2.0565798016122576,1.5914515285237436,che primo,che primo,che tío r-ajy,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,che tía memby,che primo,che tía memby,che primo,che tía memby,che primo,che tío r-ajy,che tío r-ajy,pehenɣʷe,che tío r-ajy,che primo,che tío r-ajy,che primo,che primo,che tío r-ajy,che tío r-ajy,che kypy'y,che ryvý,che tía memby,che primo,che primo,che tío r-ajy,che primo,che tío r-ajy,che primo,che tío r-ajy,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che tío r-ajy,che tío r-ajy,che primo,che primo,che tío r-ajy,che primo,che primo,che tía memby,che tía memby,che tío r-ajy,che primo,che primo,che primo,che kyvý,che primo,che tía memby,che primo,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,che tía memby,che primo,pehenɣʷe,che primo,che tío r-ajy,che primo,che primo,che tía memby,che primo,che tío r-ajy,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che ryké,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,che primo,kɨpɨʔɨ,che primo,kɨvɨ mičĩ'veva,che primo,che tío r-ajy,che primo,che ryke'y,che reindý,che primo,che primo,che primo,che tía memby,che primo,tua reiⁿdɨ,che tió,che tió,che sy kypy'y,che tió,che tió,che tió,che r-u r-eindy,sɨ rɨke,che tió,ru,sy,tua reiⁿdɨ,sɨ rɨke,tua rɨkeʔɨ- tɨ'vɨra,sɨ kɨvɨ,che r-u r-eindy,tua rɨkeʔɨ- tɨ'vɨra,che sy r-yke,ru,che sy kypy'y,che sy r-yke,sy,che r-u r-eindy,che tió,che tió,che r-u r-eindy,sɨ kɨvɨ
3,0.4059271373857334,2.1916209197421295,1.785693782356396,che tío r-ajy,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che tía memby,che primo,che tío r-ajy,che kypy'y,che primo,che primo,che tío r-ajy,che tío r-ajy,pehenɣʷe,che tía memby,che primo,che primo,che reindý,che tío r-ajy,che tío r-ajy,che ryke'y,che kyvý,che primo,che tío r-ajy,che tío r-ajy,che tío r-ajy,che tío r-ajy,che primo,che primo,che primo,pehenɣʷe,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che primo,che primo,kɨvɨ mičĩ'veva,che tía memby,che primo,kɨpɨʔɨ,che primo,che primo,che tía memby,che tío r-ajy,che primo,che primo,che tía memby,sɨkɨpɨʔɨ-meᵐbɨ,che tío r-ajy,che tío r-ajy,che primo,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che tía memby,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che tío r-ajy,che primo,che tío r-ajy,che primo,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che ryké,sɨkɨpɨʔɨ-meᵐbɨ,che tío r-ajy,che primo,che ryvý,che tía memby,che tía memby,che tía memby,che tía memby,che primo,che primo,che primo,che tío r-ajy,che tío r-ajy,che primo,sɨ rɨke,che tió,che sy r-yke,che sy kypy'y,sy,che r-u r-eindy,che tió,che r-u r-eindy,sɨ kɨvɨ,che sy kypy'y,tua reiⁿdɨ,sɨ rɨke,ru,tua rɨkeʔɨ- tɨ'vɨra,che tió,che tió,tua reiⁿdɨ,che r-u r-eindy,che r-u r-eindy,che tió,che tió,che sy r-yke,tua rɨkeʔɨ- tɨ'vɨra,che tió,sɨ kɨvɨ,che tió,ru,sy
4,0.4425629762177903,2.1614028738252595,1.7188398976074692,che tía memby,che primo,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,che tío r-ajy,che primo,che tío r-ajy,che tío r-ajy,che tía memby,che primo,che primo,che primo,che primo,che primo,che primo,che tía memby,che tío r-ajy,pehenɣʷe,kɨpɨʔɨ,che reindý,che tía memby,che tía memby,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che tío r-ajy,che tío r-ajy,che ryvý,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,kɨvɨ mičĩ'veva,che tía memby,che primo,che tío r-ajy,che primo,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che tía memby,che primo,che primo,che primo,che kypy'y,che tío r-ajy,che primo,che tío r-ajy,che primo,che primo,che primo,che primo,che primo,che primo,che primo,che tío r-ajy,pehenɣʷe,che tío r-ajy,che tío r-ajy,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che tío r-ajy,che primo,che tío r-ajy,che primo,che primo,che ryke'y,che tía memby,che tío r-ajy,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che ryké,che tío r-ajy,che primo,che tío r-ajy,che tía memby,che tía memby,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che kyvý,che primo,che primo,ru,sɨ rɨke,che r-u r-eindy,che r-u r-eindy,che sy r-yke,che tió,che tió,sɨ rɨke,che sy r-yke,tua reiⁿdɨ,che r-u r-eindy,sɨ kɨvɨ,che tió,tua rɨkeʔɨ- tɨ'vɨra,sy,sy,che r-u r-eindy,che tió,sɨ kɨvɨ,che sy kypy'y,che tió,che tió,ru,che tió,tua reiⁿdɨ,tua rɨkeʔɨ- tɨ'vɨra,che tió,che sy kypy'y
5,0.45591181761331545,2.0872276191596786,1.6313158015463631,pehenɣʷe,che tío r-ajy,che primo,che primo,che tío r-ajy,che tío r-ajy,che ryvý,che tía memby,che primo,che tío r-ajy,che primo,che tía memby,che tío r-ajy,che ryke'y,che tía memby,che primo,che tío r-ajy,che tía memby,che primo,che tío r-ajy,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che tía memby,che primo,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,kɨpɨʔɨ,che primo,che primo,che primo,che primo,che primo,che primo,che tío r-ajy,che primo,che primo,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che tío r-ajy,che tía memby,che primo,che tío r-ajy,che primo,che primo,che tío r-ajy,che primo,che primo,che primo,che tío r-ajy,che tío r-ajy,che primo,che tía memby,sɨkɨpɨʔɨ-meᵐbɨ,che primo,pehenɣʷe,che tía memby,kɨvɨ mičĩ'veva,che primo,che primo,che primo,che primo,che primo,che primo,che primo,che tía memby,che primo,che primo,che primo,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che tío r-ajy,che tía memby,che reindý,che kyvý,sɨkɨpɨʔɨ-meᵐbɨ,che primo,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,che tío r-ajy,che tío r-ajy,che kypy'y,che tío r-ajy,che ryké,che tió,che tió,sy,tua rɨkeʔɨ- tɨ'vɨra,sɨ kɨvɨ,che tió,tua reiⁿdɨ,che sy r-yke,che r-u r-eindy,che sy r-yke,sɨ kɨvɨ,che tió,che tió,che r-u r-eindy,sɨ rɨke,che tió,che r-u r-eindy,sy,sɨ rɨke,che sy kypy'y,che r-u r-eindy,ru,che tió,ru,che sy kypy'y,tua rɨkeʔɨ- tɨ'vɨra,tua reiⁿdɨ,che tió
6,0.47102329553586575,2.1236953831605025,1.6526720876246368,che primo,che tío r-ajy,che primo,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che tío r-ajy,che tío r-ajy,che tía memby,che tía memby,che tía memby,che primo,che primo,che primo,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che primo,che primo,che ryvý,che kypy'y,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che tío r-ajy,che tía memby,che tía memby,che primo,che primo,che primo,pehenɣʷe,kɨpɨʔɨ,che tío r-ajy,che tía memby,che tía memby,che primo,che tío r-ajy,pehenɣʷe,che primo,che tío r-ajy,che primo,che primo,che primo,che tío r-ajy,che primo,che tío r-ajy,che primo,che primo,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che ryké,che primo,che primo,che primo,che kyvý,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che reindý,che tía memby,kɨvɨ mičĩ'veva,che tía memby,che primo,che tío r-ajy,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che tío r-ajy,che primo,che tío r-ajy,che primo,che tía memby,che tío r-ajy,che ryke'y,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che tío r-ajy,che tío r-ajy,che primo,che primo,ru,che sy r-yke,che tió,tua reiⁿdɨ,che r-u r-eindy,che tió,che r-u r-eindy,che tió,che sy kypy'y,che sy r-yke,tua rɨkeʔɨ- tɨ'vɨra,che r-u r-eindy,sy,che r-u r-eindy,sy,tua rɨkeʔɨ- tɨ'vɨra,sɨ kɨvɨ,che tió,che tió,ru,che sy kypy'y,sɨ rɨke,che tió,che tió,che tió,sɨ kɨvɨ,tua reiⁿdɨ,sɨ rɨke
7,0.36368561212279893,2.179549531605093,1.815863919482294,che tío r-ajy,che tío r-ajy,kɨpɨʔɨ,che primo,che tía memby,che tío r-ajy,che primo,che tía memby,che primo,che primo,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che tío r-ajy,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che primo,kɨvɨ mičĩ'veva,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che tío r-ajy,che primo,che primo,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che tío r-ajy,che primo,che tía memby,che tío r-ajy,che primo,che primo,che primo,che tío r-ajy,che tía memby,che tío r-ajy,che primo,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,sɨkɨpɨʔɨ-meᵐbɨ,che ryké,pehenɣʷe,che tía memby,che primo,sɨkɨpɨʔɨ-meᵐbɨ,pehenɣʷe,che tío r-ajy,che primo,che tío r-ajy,che primo,che primo,che kyvý,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che tío r-ajy,che tío r-ajy,che tía memby,che tía memby,che primo,che reindý,che primo,che primo,che tío r-ajy,che tío r-ajy,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che tía memby,che ryke'y,che primo,che primo,che primo,che tía memby,che tío r-ajy,che primo,che primo,che tía memby,che primo,che primo,che primo,che kypy'y,che ryvý,che primo,che tío r-ajy,sɨ rɨke,sɨ kɨvɨ,sy,sɨ kɨvɨ,ru,che sy r-yke,sy,che tió,che tió,ru,tua reiⁿdɨ,che sy r-yke,tua reiⁿdɨ,sɨ rɨke,che tió,che sy kypy'y,che tió,che r-u r-eindy,che r-u r-eindy,che tió,che tió,tua rɨkeʔɨ- tɨ'vɨra,tua rɨkeʔɨ- tɨ'vɨra,che r-u r-eindy,che tió,che tió,che sy kypy'y,che r-u r-eindy
8,0.3378095014522109,2.0711286312454775,1.7333191297932666,che primo,che tío r-ajy,che tía memby,che primo,che primo,che primo,che tío r-ajy,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che kypy'y,sɨkɨpɨʔɨ-meᵐbɨ,che tía memby,che primo,che tío r-ajy,che primo,che primo,che tía memby,che tío r-ajy,che primo,che tío r-ajy,che tío r-ajy,che primo,che tía memby,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che tío r-ajy,che tío r-ajy,che tío r-ajy,che ryké,che primo,che tío r-ajy,che tío r-ajy,che tío r-ajy,che primo,che primo,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che tía memby,pehenɣʷe,che primo,che ryvý,che tío r-ajy,che primo,che reindý,che tía memby,che primo,kɨvɨ mičĩ'veva,che primo,che tío r-ajy,kɨpɨʔɨ,che tía memby,che primo,che tía memby,che ryke'y,che primo,che primo,che primo,che tío r-ajy,che tía memby,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che kyvý,che tío r-ajy,che tía memby,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che tío r-ajy,che primo,che tío r-ajy,che primo,pehenɣʷe,che primo,che primo,che primo,che primo,che primo,che tío r-ajy,che sy r-yke,sɨ rɨke,sɨ rɨke,che sy kypy'y,che tió,che tió,ru,che r-u r-eindy,che sy kypy'y,tua reiⁿdɨ,che tió,che tió,che tió,che tió,sɨ kɨvɨ,ru,che r-u r-eindy,che tió,sɨ kɨvɨ,che r-u r-eindy,che tió,sy,tua rɨkeʔɨ- tɨ'vɨra,che r-u r-eindy,sy,tua reiⁿdɨ,tua rɨkeʔɨ- tɨ'vɨra,che sy r-yke
9,0.42915131832281994,2.084382985907125,1.655231667584305,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,che tío r-ajy,che tía memby,che tío r-ajy,che primo,che tía memby,che tía memby,che tío r-ajy,sɨkɨpɨʔɨ-meᵐbɨ,pehenɣʷe,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che primo,che tío r-ajy,che tío r-ajy,pehenɣʷe,sɨkɨpɨʔɨ-meᵐbɨ,che reindý,che primo,che primo,che primo,che tío r-ajy,che primo,che primo,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che ryke'y,che primo,che primo,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che tía memby,che tío r-ajy,che primo,che primo,che primo,che primo,che primo,che primo,che tía memby,che ryvý,sɨkɨpɨʔɨ-meᵐbɨ,che tía memby,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che tía memby,che primo,sɨkɨpɨʔɨ-meᵐbɨ,che primo,che tía memby,che primo,che primo,che kypy'y,che tío r-ajy,che tío r-ajy,che primo,kɨvɨ mičĩ'veva,che tío r-ajy,che ryké,che tío r-ajy,che primo,che primo,che primo,kɨpɨʔɨ,che primo,che tío r-ajy,che tío r-ajy,che primo,che tío r-ajy,che tío r-ajy,che primo,che primo,che tío r-ajy,che primo,che tío r-ajy,che primo,che tía memby,che primo,che primo,che tía memby,che primo,che tío r-ajy,che primo,che kyvý,che tío r-ajy,che sy kypy'y,tua rɨkeʔɨ- tɨ'vɨra,che tió,tua rɨkeʔɨ- tɨ'vɨra,che r-u r-eindy,che r-u r-eindy,sɨ rɨke,sɨ rɨke,sy,che tió,che tió,tua reiⁿdɨ,che tió,sɨ kɨvɨ,che r-u r-eindy,che tió,che tió,che sy r-yke,che tió,che sy kypy'y,che tió,ru,sy,tua reiⁿdɨ,che sy r-yke,che r-u r-eindy,sɨ kɨvɨ,ru
