simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFZS,mMBS,mMZS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFZS,fMBS,fMZS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mZ,mFBS,mFeBS,mFyBS,mFBeS,mFByS,fB,fZ,fFBS,fFeBS,fFyBS,fFBeS,fFByS,mFZ,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,fFZ,fMZ,fFeZ,fFyZ,fMeZ,fMyZ,mF,mM,mMB,mMeB,mMyB,fF,fM,fMB,fMeB,fMyB,mFB,mFeB,mFyB,fFB,fFeB,fFyB
0,0.39197214573257555,1.618559494275999,1.2265873485434236,nyinento,omwana na nyinento,omwana na nyinento,nyinarumi,nyinarumi,muto,mwhiwha,mukuru,munyanya,nyinento,munyanya,mwene,mwene,omwana na nyinento,mukuru,mwhiwha,nyina ento,omwana na nyinento,nyinento,mwene,omwana na nyinento,nyaka,mwhiwha,nyinarumi,munyanya,nyinento,mukuru,omwana na nyinento,mwhiwha,nyinento,nyaka,munyanya,nyina ento,munyanya,mwene,mwhiwha,munyanya,mwhiwha,nyina ento,mwhiwha,munyanya,omwana na nyinento,omwana na nyinento,muto,nyinento,nyinarumi,nyinento,muto,mwhiwha,nyinento,omwana na nyinento,nyina ento,nyinarumi,nyinarumi,mwhiwha,nyinarumi,nyinarumi,nyinento,mwhiwha,mwene,omwana na nyinento,mwhiwha,mwhiwha,omwana na nyinento,munyanya,omwana na nyinento,mwhiwha,nyaka,nyaka,mwene,muto,nyaka,mwhiwha,munyanya,omwana na nyinento,munyanya,nyina ento,mwhiwha,omwana na nyinento,omwana na nyinento,munyanya,omwana na nyinento,omwana na nyinento,munyanya,omwana na nyinento,nyinarumi,nyinento,nyinarumi,omwana na nyinento,isenkati,nyinento,mama,ise,isenkati,isento,isento,isenkati,ongundwe,isenkati,ongundwe,isenkati,nyinento,isento,nyinento,nyinento,isento,nyinento,isenkati,ongundwe,ise,isento,ongundwe,ongundwe,ongundwe,nyinento,isento,mama
1,0.28275900698963374,1.6787691688524808,1.396010161862847,munyanya,nyinarumi,mwhiwha,mwhiwha,munyanya,nyinento,nyinento,omwana na nyinento,nyina ento,nyinento,mukuru,mwhiwha,mwene,nyinarumi,munyanya,omwana na nyinento,nyina ento,munyanya,nyinento,mukuru,nyinarumi,mwhiwha,nyinarumi,omwana na nyinento,mwene,omwana na nyinento,nyinarumi,omwana na nyinento,omwana na nyinento,nyinento,omwana na nyinento,nyinento,muto,mwene,munyanya,nyaka,nyinento,omwana na nyinento,omwana na nyinento,mwhiwha,omwana na nyinento,munyanya,nyinento,nyaka,nyaka,nyinarumi,nyinarumi,mwhiwha,omwana na nyinento,omwana na nyinento,nyinento,omwana na nyinento,munyanya,muto,munyanya,mwhiwha,nyina ento,mwene,mwhiwha,nyina ento,nyinarumi,mwhiwha,nyinarumi,mukuru,nyina ento,omwana na nyinento,mwhiwha,munyanya,munyanya,muto,omwana na nyinento,muto,mwene,mwhiwha,mwhiwha,omwana na nyinento,nyaka,omwana na nyinento,omwana na nyinento,munyanya,omwana na nyinento,mwhiwha,mwene,nyaka,nyinarumi,munyanya,mwhiwha,nyinento,mwhiwha,isento,isento,isenkati,nyinento,isento,nyinento,nyinento,ongundwe,isenkati,mama,ongundwe,ise,isento,mama,nyinento,nyinento,isento,ise,isento,isenkati,ongundwe,isenkati,nyinento,ongundwe,isenkati,ongundwe,ongundwe,isenkati
2,0.2707023632784429,1.7220935334863048,1.451391170207862,nyina ento,mukuru,omwana na nyinento,nyina ento,nyinarumi,mwene,nyinento,munyanya,munyanya,nyaka,nyinento,nyinarumi,nyina ento,nyaka,nyaka,muto,muto,nyinento,mwhiwha,mwhiwha,nyinento,omwana na nyinento,nyinento,nyinarumi,munyanya,munyanya,omwana na nyinento,mwhiwha,munyanya,mwene,mwhiwha,mwhiwha,munyanya,nyinarumi,mwhiwha,munyanya,muto,nyinarumi,mwhiwha,omwana na nyinento,nyinarumi,nyinento,nyinarumi,omwana na nyinento,nyina ento,mwhiwha,nyina ento,nyinento,omwana na nyinento,omwana na nyinento,munyanya,omwana na nyinento,nyinento,mwhiwha,nyinarumi,nyinarumi,omwana na nyinento,mukuru,mukuru,munyanya,omwana na nyinento,muto,nyinarumi,munyanya,mwene,omwana na nyinento,omwana na nyinento,mwene,nyinento,nyaka,omwana na nyinento,omwana na nyinento,mwhiwha,omwana na nyinento,omwana na nyinento,mwene,nyinento,nyaka,mwhiwha,mwene,munyanya,omwana na nyinento,mwhiwha,omwana na nyinento,mwhiwha,mwhiwha,omwana na nyinento,munyanya,mwhiwha,isento,nyinento,nyinento,mama,isenkati,ongundwe,ise,isento,ongundwe,ongundwe,isento,isenkati,nyinento,isenkati,mama,isento,nyinento,ise,isento,ongundwe,isenkati,isenkati,isenkati,isento,ongundwe,ongundwe,nyinento,nyinento
3,0.3163232036082464,1.6978896876562384,1.381566484047992,mukuru,omwana na nyinento,omwana na nyinento,munyanya,mwhiwha,omwana na nyinento,mwhiwha,mwhiwha,mukuru,omwana na nyinento,nyinento,muto,mwhiwha,mwhiwha,nyaka,omwana na nyinento,mwene,omwana na nyinento,munyanya,mwhiwha,munyanya,mwhiwha,nyinento,mwene,omwana na nyinento,omwana na nyinento,nyinento,mwene,nyinento,omwana na nyinento,omwana na nyinento,nyina ento,munyanya,nyinarumi,muto,mwhiwha,nyinarumi,mwhiwha,mwhiwha,nyinarumi,nyaka,omwana na nyinento,nyaka,nyina ento,nyinarumi,omwana na nyinento,mukuru,munyanya,nyinento,omwana na nyinento,mwene,mwhiwha,munyanya,muto,munyanya,mwene,muto,nyinarumi,munyanya,nyinarumi,nyinarumi,nyinarumi,omwana na nyinento,mwhiwha,omwana na nyinento,omwana na nyinento,omwana na nyinento,nyaka,munyanya,mwhiwha,nyina ento,nyinento,nyina ento,nyinento,munyanya,nyina ento,nyaka,mwhiwha,mwene,omwana na nyinento,munyanya,mwhiwha,nyinarumi,nyinento,munyanya,nyinarumi,nyinento,nyinento,omwana na nyinento,mama,nyinento,ongundwe,mama,isenkati,ongundwe,isenkati,isento,nyinento,isento,ongundwe,ongundwe,isenkati,nyinento,isenkati,isento,isento,nyinento,isento,ise,nyinento,isenkati,isento,ise,nyinento,isenkati,ongundwe,ongundwe
4,0.3783857005066422,1.6727684600909645,1.2943827595843223,omwana na nyinento,nyina ento,omwana na nyinento,omwana na nyinento,munyanya,mwhiwha,munyanya,munyanya,nyina ento,nyinento,nyinento,nyinarumi,munyanya,omwana na nyinento,omwana na nyinento,nyaka,mwhiwha,munyanya,nyaka,muto,omwana na nyinento,omwana na nyinento,munyanya,munyanya,omwana na nyinento,nyinento,nyina ento,nyaka,mwhiwha,omwana na nyinento,nyinento,omwana na nyinento,nyinarumi,mwene,munyanya,nyina ento,mwene,omwana na nyinento,nyinento,mwhiwha,nyina ento,mwhiwha,nyinarumi,omwana na nyinento,mwhiwha,muto,omwana na nyinento,mwhiwha,munyanya,muto,nyinento,nyinarumi,mwene,nyinarumi,nyinarumi,omwana na nyinento,mwhiwha,nyinarumi,mwene,nyinento,omwana na nyinento,mukuru,mwhiwha,mwhiwha,mukuru,nyinento,mwhiwha,muto,nyinarumi,mwhiwha,nyinento,mwene,omwana na nyinento,nyaka,nyinarumi,omwana na nyinento,munyanya,mukuru,mwene,omwana na nyinento,nyinento,mwhiwha,omwana na nyinento,munyanya,nyaka,mwhiwha,nyinarumi,mwhiwha,munyanya,isento,isento,ise,isenkati,ongundwe,nyinento,nyinento,ongundwe,isento,isenkati,ise,isenkati,mama,ongundwe,isenkati,isenkati,isento,isento,isenkati,nyinento,nyinento,isento,ongundwe,mama,nyinento,ongundwe,nyinento,ongundwe
5,0.2836247681018076,1.673963306365785,1.3903385382639775,munyanya,omwana na nyinento,omwana na nyinento,nyaka,nyinarumi,omwana na nyinento,mwene,omwana na nyinento,mwhiwha,nyinarumi,munyanya,omwana na nyinento,omwana na nyinento,omwana na nyinento,omwana na nyinento,omwana na nyinento,munyanya,mwhiwha,mukuru,nyinento,munyanya,mwhiwha,mwhiwha,omwana na nyinento,nyinarumi,muto,nyaka,mwhiwha,omwana na nyinento,mwhiwha,nyinento,nyina ento,mwene,nyina ento,munyanya,muto,nyinarumi,munyanya,nyinarumi,mwene,nyina ento,mwhiwha,nyina ento,omwana na nyinento,nyinarumi,mwhiwha,nyinento,mwhiwha,nyinarumi,nyinento,mwene,mwhiwha,nyinarumi,omwana na nyinento,munyanya,mwhiwha,nyaka,omwana na nyinento,omwana na nyinento,omwana na nyinento,munyanya,mwene,nyinento,mukuru,muto,nyinento,nyaka,omwana na nyinento,munyanya,omwana na nyinento,mwhiwha,mwhiwha,munyanya,nyinarumi,nyinento,mwene,mwhiwha,muto,nyina ento,nyinarumi,nyinento,munyanya,mwhiwha,nyinento,mukuru,nyinento,munyanya,omwana na nyinento,nyaka,nyinento,ongundwe,isenkati,ise,ongundwe,isento,nyinento,mama,isento,ongundwe,isenkati,isento,isenkati,isenkati,nyinento,ise,isenkati,nyinento,isento,ongundwe,nyinento,isenkati,nyinento,ongundwe,mama,isento,isento,ongundwe
6,0.35747813467956857,1.6476661809830355,1.290188046303467,omwana na nyinento,munyanya,munyanya,mwhiwha,nyinarumi,nyinento,omwana na nyinento,omwana na nyinento,mwene,mukuru,munyanya,omwana na nyinento,nyinarumi,nyina ento,mwhiwha,nyina ento,mwhiwha,mwhiwha,muto,nyaka,omwana na nyinento,munyanya,nyina ento,muto,nyinarumi,omwana na nyinento,nyina ento,nyinento,omwana na nyinento,nyinento,muto,mukuru,omwana na nyinento,nyinarumi,nyinento,mwhiwha,nyinarumi,nyina ento,nyinento,mwhiwha,nyinento,munyanya,omwana na nyinento,mwene,munyanya,munyanya,mwene,nyaka,munyanya,omwana na nyinento,nyaka,mwhiwha,mwhiwha,nyinarumi,nyaka,mwhiwha,omwana na nyinento,omwana na nyinento,nyinento,mwene,nyinarumi,mwhiwha,mwhiwha,mwhiwha,omwana na nyinento,munyanya,omwana na nyinento,nyinento,mwhiwha,nyinarumi,nyinarumi,munyanya,omwana na nyinento,nyinarumi,mwene,mwhiwha,omwana na nyinento,omwana na nyinento,mwene,mukuru,muto,nyinento,munyanya,mwhiwha,omwana na nyinento,omwana na nyinento,nyaka,nyinento,munyanya,isenkati,isenkati,ise,isento,isenkati,isenkati,ongundwe,nyinento,ise,nyinento,nyinento,isento,isenkati,ongundwe,isento,isento,ongundwe,nyinento,mama,ongundwe,isento,nyinento,ongundwe,nyinento,mama,ongundwe,isenkati,isento
7,0.3242617513195125,1.6800269128558687,1.3557651615363562,mwene,omwana na nyinento,nyinento,nyaka,munyanya,nyinarumi,mukuru,nyinarumi,mwhiwha,mwhiwha,omwana na nyinento,munyanya,nyinento,nyinarumi,nyinarumi,omwana na nyinento,mwhiwha,nyinento,nyinento,mwhiwha,nyinarumi,muto,munyanya,mwhiwha,mwhiwha,nyinento,nyina ento,mwene,nyinarumi,mwhiwha,mwhiwha,omwana na nyinento,mwhiwha,nyaka,nyina ento,nyinarumi,munyanya,nyinento,omwana na nyinento,nyaka,muto,nyinento,mukuru,munyanya,mwene,nyina ento,omwana na nyinento,omwana na nyinento,mwhiwha,munyanya,muto,mwhiwha,omwana na nyinento,nyinento,omwana na nyinento,munyanya,omwana na nyinento,munyanya,mwhiwha,omwana na nyinento,nyaka,munyanya,mwene,nyina ento,nyaka,munyanya,mwhiwha,nyinarumi,omwana na nyinento,omwana na nyinento,mwene,omwana na nyinento,mwene,munyanya,omwana na nyinento,omwana na nyinento,omwana na nyinento,nyinento,nyinarumi,omwana na nyinento,nyinarumi,nyinento,nyina ento,mwhiwha,mukuru,mwhiwha,munyanya,muto,omwana na nyinento,isenkati,isento,ise,isento,isenkati,ise,ongundwe,nyinento,isenkati,nyinento,ongundwe,nyinento,ongundwe,isenkati,nyinento,isenkati,isento,isenkati,isento,mama,nyinento,ongundwe,isento,nyinento,mama,isento,ongundwe,ongundwe
8,0.2942083064792824,1.692541537350475,1.3983332308711927,omwana na nyinento,mwhiwha,muto,mwene,omwana na nyinento,nyaka,mwhiwha,munyanya,omwana na nyinento,mwhiwha,nyinarumi,nyaka,nyaka,mukuru,nyina ento,nyaka,munyanya,mwene,mwhiwha,munyanya,munyanya,mwhiwha,nyinento,omwana na nyinento,nyinento,nyinento,mwene,muto,mwhiwha,omwana na nyinento,mwhiwha,nyinento,omwana na nyinento,omwana na nyinento,mwene,nyina ento,nyinento,mwhiwha,mwene,nyinarumi,nyinento,nyinarumi,nyinarumi,nyinarumi,nyinento,mwhiwha,nyina ento,omwana na nyinento,munyanya,omwana na nyinento,muto,munyanya,nyaka,munyanya,mwhiwha,mwhiwha,omwana na nyinento,munyanya,munyanya,mwene,mwhiwha,mwhiwha,omwana na nyinento,nyinarumi,omwana na nyinento,mukuru,nyinento,nyinarumi,omwana na nyinento,nyina ento,munyanya,mwhiwha,omwana na nyinento,omwana na nyinento,nyinento,omwana na nyinento,mwhiwha,omwana na nyinento,nyina ento,nyinarumi,nyinarumi,omwana na nyinento,nyinento,nyinarumi,omwana na nyinento,munyanya,muto,mukuru,munyanya,mama,ongundwe,nyinento,ongundwe,isento,ongundwe,isento,nyinento,isenkati,ongundwe,isento,ongundwe,isenkati,isenkati,isento,isento,nyinento,ise,isento,isenkati,ise,nyinento,nyinento,mama,ongundwe,nyinento,isenkati,isenkati
9,0.2390140391243425,1.7254546496866794,1.486440610562337,nyinarumi,muto,mwhiwha,omwana na nyinento,omwana na nyinento,nyinarumi,munyanya,omwana na nyinento,mwhiwha,nyinento,nyaka,omwana na nyinento,mwhiwha,munyanya,nyinarumi,omwana na nyinento,mwhiwha,nyina ento,nyinarumi,mwhiwha,munyanya,nyaka,omwana na nyinento,mwhiwha,nyinarumi,omwana na nyinento,omwana na nyinento,mwhiwha,mwhiwha,munyanya,nyina ento,muto,nyina ento,omwana na nyinento,mwhiwha,mukuru,mwhiwha,muto,nyinarumi,nyaka,nyina ento,mwene,omwana na nyinento,nyinento,muto,munyanya,nyaka,nyinarumi,mwhiwha,mukuru,nyinento,omwana na nyinento,nyinento,mukuru,nyinarumi,nyina ento,omwana na nyinento,nyinarumi,omwana na nyinento,munyanya,munyanya,mwhiwha,munyanya,mwene,munyanya,nyinento,omwana na nyinento,mwene,nyinento,mwene,mwhiwha,nyinarumi,mwene,nyinento,omwana na nyinento,omwana na nyinento,omwana na nyinento,mwhiwha,nyinento,munyanya,omwana na nyinento,munyanya,munyanya,nyaka,mwene,nyinento,mwhiwha,nyinento,omwana na nyinento,ongundwe,isenkati,isento,isenkati,isenkati,isento,ise,mama,ongundwe,isento,mama,nyinento,isenkati,isenkati,ise,ongundwe,ongundwe,isento,nyinento,ongundwe,nyinento,isenkati,ongundwe,isento,nyinento,isento,nyinento,nyinento
