simulation_number,mutual_information,entropy,conditional_entropy,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,NA,NA,NA,se,se,uli,nana,bosu,uli,ina,uli,nana,se,nana,bosu,ina,se,uli,bosu,nana,bosu,ama
1,NA,NA,NA,nana,nana,uli,se,bosu,bosu,ina,se,ama,nana,se,uli,nana,se,ina,uli,uli,bosu,bosu
2,NA,NA,NA,bosu,nana,ina,bosu,uli,ina,nana,se,se,uli,se,se,uli,nana,ama,bosu,bosu,nana,uli
3,NA,NA,NA,bosu,se,uli,se,bosu,bosu,ina,nana,uli,nana,ina,se,ama,bosu,se,nana,nana,uli,uli
4,NA,NA,NA,nana,ina,uli,se,bosu,ama,bosu,bosu,uli,nana,se,bosu,ina,nana,se,uli,se,uli,nana
5,NA,NA,NA,ina,ina,bosu,uli,nana,se,bosu,bosu,uli,nana,uli,se,uli,nana,bosu,nana,se,ama,se
6,NA,NA,NA,uli,se,bosu,ama,uli,uli,ina,se,uli,nana,bosu,nana,bosu,se,bosu,se,nana,ina,nana
7,NA,NA,NA,ama,bosu,uli,uli,se,se,bosu,se,bosu,nana,uli,ina,nana,bosu,nana,ina,nana,se,uli
8,NA,NA,NA,nana,uli,nana,ina,bosu,se,uli,se,bosu,bosu,se,uli,bosu,se,ama,ina,nana,nana,uli
9,NA,NA,NA,se,uli,bosu,se,nana,bosu,bosu,ina,se,nana,nana,uli,uli,se,uli,nana,bosu,ina,ama
