simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mMB,mMeB,mMyB,fMB,fMeB,fMyB,mF,mM,mFB,mFZ,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fF,fM,fFB,fFZ,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ
0,0.32030694770908497,1.7206211236073816,1.4003141758982967,k'eru ałǰik,k'eru ałǰik,horełbor tła,k'eru tła,morak'roǰ tła,k'eru ałǰik,k'eru tła,k'eru ałǰik,morak'roǰ ałǰik,horełbor ałǰik,horak'roǰ ałǰik,horełbor ałǰik,ełbayr,morak'roǰ tła,horełbor tła,k'eru tła,k'eru ałǰik,ełbayr,morak'roǰ tła,k'eru tła,horak'roǰ tła,horak'roǰ tła,horełbor tła,horełbor tła,morak'roǰ tła,horak'roǰ tła,k'eru tła,horak'roǰ ałǰik,horak'roǰ ałǰik,k'uyr,horak'roǰ ałǰik,morak'roǰ tła,horak'roǰ ałǰik,ełbayr,horełbor ałǰik,horak'roǰ ałǰik,morak'roǰ tła,k'uyr,horak'roǰ ałǰik,k'uyr,horełbor ałǰik,morak'roǰ tła,k'eru tła,horełbor tła,horak'roǰ tła,k'eru tła,horełbor tła,morak'roǰ ałǰik,morak'roǰ ałǰik,horak'roǰ tła,horak'roǰ tła,ełbayr,horełbor ałǰik,morak'roǰ tła,horak'roǰ ałǰik,morak'roǰ ałǰik,k'eru ałǰik,horak'roǰ tła,k'eru ałǰik,horełbor ałǰik,horak'roǰ tła,horak'roǰ ałǰik,horak'roǰ ałǰik,k'eru ałǰik,k'uyr,horełbor tła,morak'roǰ ałǰik,horak'roǰ tła,ełbayr,morak'roǰ ałǰik,horełbor ałǰik,horak'roǰ tła,morak'roǰ tła,horełbor ałǰik,morak'roǰ ałǰik,k'eru tła,morak'roǰ ałǰik,k'eru tła,horełbor tła,ełbayr,k'uyr,k'eru ałǰik,k'uyr,horełbor ałǰik,morak'roǰ ałǰik,horełbor tła,horełbor tła,k'eru tła,morak'roǰ ałǰik,k'eru ałǰik,k'eri,horełbayr,horak'uyr,horak'uyr,horełbayr,horełbayr,morak'uyr,morak'uyr,hayr,morak'uyr,morak'uyr,morak'uyr,horełbayr,horak'uyr,k'eri,k'eri,horełbayr,horak'uyr,k'eri,hayr,mayr,horak'uyr,k'eri,horak'uyr,morak'uyr,k'eri,horełbayr,mayr
1,0.25348811674905813,1.6785192745327526,1.4250311577836945,k'eru tła,horełbor tła,horełbor tła,morak'roǰ ałǰik,k'uyr,horełbor ałǰik,k'uyr,horełbor tła,horełbor ałǰik,horak'roǰ tła,morak'roǰ tła,horełbor ałǰik,horak'roǰ ałǰik,morak'roǰ ałǰik,k'eru ałǰik,morak'roǰ tła,ełbayr,horełbor ałǰik,ełbayr,morak'roǰ ałǰik,morak'roǰ ałǰik,horełbor ałǰik,k'uyr,morak'roǰ ałǰik,morak'roǰ tła,horak'roǰ tła,horak'roǰ ałǰik,morak'roǰ tła,horełbor tła,horełbor tła,horak'roǰ ałǰik,horak'roǰ ałǰik,k'eru ałǰik,k'uyr,k'eru ałǰik,morak'roǰ tła,ełbayr,horełbor ałǰik,ełbayr,horak'roǰ tła,ełbayr,k'eru tła,k'eru tła,k'uyr,k'uyr,k'eru ałǰik,k'eru ałǰik,k'eru tła,horełbor tła,horak'roǰ tła,k'eru tła,k'eru ałǰik,horak'roǰ ałǰik,horak'roǰ tła,horełbor tła,morak'roǰ ałǰik,morak'roǰ tła,morak'roǰ ałǰik,morak'roǰ ałǰik,horak'roǰ tła,ełbayr,horełbor ałǰik,horełbor tła,morak'roǰ tła,morak'roǰ ałǰik,horak'roǰ ałǰik,morak'roǰ tła,morak'roǰ tła,horak'roǰ tła,horak'roǰ ałǰik,horak'roǰ ałǰik,horełbor ałǰik,horak'roǰ ałǰik,morak'roǰ ałǰik,horełbor ałǰik,k'eru ałǰik,horełbor tła,k'eru tła,k'eru tła,horełbor tła,k'eru ałǰik,horak'roǰ tła,horak'roǰ tła,k'eru tła,k'eru ałǰik,horak'roǰ ałǰik,k'eru tła,horak'roǰ tła,k'eru ałǰik,k'eru tła,hayr,k'eri,k'eri,k'eri,morak'uyr,horełbayr,k'eri,horełbayr,morak'uyr,morak'uyr,horak'uyr,horak'uyr,k'eri,morak'uyr,horełbayr,mayr,horełbayr,horak'uyr,horełbayr,horak'uyr,horak'uyr,morak'uyr,k'eri,morak'uyr,hayr,mayr,horak'uyr,horełbayr
2,0.31324327034027877,1.686097803084018,1.3728545327437391,morak'roǰ tła,horak'roǰ ałǰik,ełbayr,morak'roǰ tła,horełbor tła,horak'roǰ ałǰik,k'eru tła,k'eru tła,k'uyr,horak'roǰ tła,morak'roǰ ałǰik,horak'roǰ tła,morak'roǰ tła,ełbayr,k'uyr,k'eru ałǰik,horełbor ałǰik,k'uyr,ełbayr,horak'roǰ ałǰik,k'eru ałǰik,horełbor tła,morak'roǰ tła,horak'roǰ ałǰik,k'eru ałǰik,morak'roǰ ałǰik,horełbor ałǰik,horełbor tła,horak'roǰ ałǰik,horak'roǰ ałǰik,k'eru ałǰik,horak'roǰ tła,horak'roǰ ałǰik,k'uyr,morak'roǰ ałǰik,morak'roǰ tła,horak'roǰ ałǰik,horełbor tła,k'eru tła,morak'roǰ tła,horełbor tła,horełbor ałǰik,k'eru ałǰik,horak'roǰ ałǰik,horak'roǰ tła,horełbor ałǰik,k'eru ałǰik,horak'roǰ tła,k'eru ałǰik,morak'roǰ tła,morak'roǰ ałǰik,horełbor ałǰik,horak'roǰ tła,ełbayr,morak'roǰ tła,k'eru tła,k'eru ałǰik,k'eru tła,horełbor ałǰik,morak'roǰ ałǰik,horak'roǰ tła,morak'roǰ ałǰik,morak'roǰ tła,k'eru tła,k'uyr,k'eru ałǰik,k'eru tła,horełbor ałǰik,k'eru tła,horak'roǰ tła,horełbor ałǰik,horak'roǰ ałǰik,horełbor ałǰik,horak'roǰ tła,horełbor tła,k'eru tła,morak'roǰ ałǰik,horełbor tła,k'uyr,k'eru tła,ełbayr,horełbor tła,horak'roǰ tła,morak'roǰ ałǰik,ełbayr,k'eru ałǰik,horełbor tła,horełbor tła,morak'roǰ ałǰik,morak'roǰ ałǰik,horak'uyr,morak'uyr,horełbayr,morak'uyr,hayr,mayr,horak'uyr,horełbayr,morak'uyr,mayr,morak'uyr,horełbayr,k'eri,horak'uyr,horełbayr,horak'uyr,k'eri,k'eri,hayr,k'eri,horełbayr,morak'uyr,horełbayr,horak'uyr,morak'uyr,horak'uyr,k'eri,k'eri
3,0.31692999089679197,1.726407274843761,1.4094772839469691,horak'roǰ tła,horak'roǰ tła,horełbor tła,k'eru tła,horełbor tła,morak'roǰ ałǰik,k'eru ałǰik,k'eru tła,ełbayr,horełbor tła,ełbayr,horełbor ałǰik,morak'roǰ tła,morak'roǰ tła,morak'roǰ ałǰik,k'eru ałǰik,k'eru ałǰik,k'uyr,horełbor ałǰik,horak'roǰ ałǰik,horełbor ałǰik,morak'roǰ tła,k'eru ałǰik,horak'roǰ ałǰik,horak'roǰ tła,ełbayr,horełbor tła,horak'roǰ ałǰik,horak'roǰ ałǰik,morak'roǰ ałǰik,k'eru tła,morak'roǰ ałǰik,horak'roǰ tła,horełbor ałǰik,horak'roǰ ałǰik,k'eru ałǰik,morak'roǰ ałǰik,horak'roǰ ałǰik,k'eru tła,ełbayr,morak'roǰ tła,horełbor ałǰik,horak'roǰ ałǰik,ełbayr,k'eru tła,morak'roǰ tła,k'uyr,horak'roǰ tła,k'uyr,horak'roǰ tła,horak'roǰ ałǰik,morak'roǰ ałǰik,horełbor tła,k'uyr,horełbor ałǰik,horak'roǰ tła,horak'roǰ ałǰik,horak'roǰ tła,horełbor ałǰik,horełbor tła,k'eru tła,k'eru tła,k'eru tła,horełbor ałǰik,horełbor tła,k'eru ałǰik,horełbor tła,horełbor tła,morak'roǰ tła,morak'roǰ tła,k'uyr,horak'roǰ ałǰik,horak'roǰ tła,morak'roǰ tła,k'eru tła,ełbayr,morak'roǰ tła,k'uyr,horak'roǰ tła,horełbor ałǰik,morak'roǰ ałǰik,k'eru ałǰik,morak'roǰ ałǰik,morak'roǰ ałǰik,k'eru tła,k'eru ałǰik,horełbor tła,k'eru ałǰik,k'eru ałǰik,morak'roǰ ałǰik,horełbayr,horełbayr,horełbayr,horak'uyr,horak'uyr,k'eri,horełbayr,k'eri,hayr,morak'uyr,horak'uyr,k'eri,morak'uyr,k'eri,horełbayr,morak'uyr,horak'uyr,morak'uyr,horak'uyr,horak'uyr,mayr,hayr,horełbayr,k'eri,morak'uyr,morak'uyr,mayr,k'eri
4,0.41164887648247017,1.710494670826312,1.2988457943438418,morak'roǰ ałǰik,morak'roǰ tła,morak'roǰ ałǰik,k'eru tła,horak'roǰ ałǰik,horełbor ałǰik,k'eru ałǰik,morak'roǰ tła,k'eru ałǰik,horak'roǰ ałǰik,morak'roǰ ałǰik,horełbor ałǰik,k'eru ałǰik,k'eru ałǰik,k'eru tła,k'uyr,horełbor tła,horak'roǰ tła,horak'roǰ tła,morak'roǰ ałǰik,horak'roǰ ałǰik,horak'roǰ tła,horełbor tła,k'eru ałǰik,morak'roǰ tła,morak'roǰ tła,k'uyr,horak'roǰ tła,k'eru tła,horełbor ałǰik,k'eru tła,k'uyr,horełbor tła,horełbor ałǰik,k'uyr,horak'roǰ ałǰik,ełbayr,morak'roǰ ałǰik,ełbayr,horełbor tła,horak'roǰ tła,k'eru ałǰik,horełbor tła,k'eru ałǰik,k'eru ałǰik,morak'roǰ tła,morak'roǰ ałǰik,k'eru tła,morak'roǰ tła,horak'roǰ ałǰik,ełbayr,horełbor tła,morak'roǰ ałǰik,horełbor tła,morak'roǰ ałǰik,morak'roǰ tła,k'eru tła,horełbor ałǰik,horełbor ałǰik,horełbor ałǰik,horak'roǰ tła,horak'roǰ ałǰik,horak'roǰ tła,horak'roǰ ałǰik,k'eru tła,horak'roǰ tła,horełbor tła,k'eru tła,morak'roǰ tła,horełbor ałǰik,k'uyr,k'eru tła,ełbayr,k'eru ałǰik,k'eru tła,k'uyr,ełbayr,horak'roǰ tła,morak'roǰ ałǰik,horełbor tła,horak'roǰ ałǰik,horak'roǰ ałǰik,horełbor tła,k'eru ałǰik,horak'roǰ ałǰik,horak'roǰ tła,morak'roǰ tła,ełbayr,morak'roǰ ałǰik,horełbor ałǰik,hayr,horełbayr,horak'uyr,horełbayr,morak'uyr,horak'uyr,k'eri,k'eri,mayr,horak'uyr,horełbayr,morak'uyr,horełbayr,mayr,hayr,horak'uyr,morak'uyr,horak'uyr,horak'uyr,horełbayr,morak'uyr,morak'uyr,k'eri,k'eri,morak'uyr,k'eri,horełbayr,k'eri
5,0.32070954266733853,1.7144616443392202,1.3937521016718817,horak'roǰ tła,horełbor tła,morak'roǰ ałǰik,horak'roǰ tła,horełbor ałǰik,horak'roǰ tła,k'eru tła,horełbor tła,horak'roǰ tła,k'eru ałǰik,ełbayr,horak'roǰ ałǰik,horak'roǰ tła,morak'roǰ ałǰik,morak'roǰ tła,horak'roǰ tła,k'eru tła,horełbor ałǰik,ełbayr,morak'roǰ ałǰik,k'uyr,horełbor ałǰik,k'eru tła,k'eru ałǰik,horak'roǰ ałǰik,horełbor tła,morak'roǰ ałǰik,horełbor tła,ełbayr,morak'roǰ ałǰik,k'uyr,horak'roǰ ałǰik,morak'roǰ ałǰik,k'eru ałǰik,horełbor tła,morak'roǰ tła,k'eru ałǰik,morak'roǰ tła,horełbor ałǰik,k'eru tła,ełbayr,horak'roǰ ałǰik,horak'roǰ ałǰik,k'eru ałǰik,k'eru ałǰik,horak'roǰ tła,horełbor tła,k'eru tła,k'uyr,k'eru ałǰik,morak'roǰ ałǰik,horak'roǰ ałǰik,morak'roǰ tła,k'eru ałǰik,horełbor ałǰik,morak'roǰ tła,morak'roǰ tła,horak'roǰ tła,horak'roǰ ałǰik,morak'roǰ ałǰik,horełbor ałǰik,horak'roǰ ałǰik,horełbor tła,morak'roǰ ałǰik,horak'roǰ tła,k'eru ałǰik,k'eru ałǰik,horełbor tła,k'eru tła,horełbor tła,horełbor ałǰik,ełbayr,morak'roǰ ałǰik,k'eru tła,k'eru tła,horełbor ałǰik,horak'roǰ ałǰik,k'uyr,horełbor tła,k'eru tła,morak'roǰ tła,horełbor ałǰik,k'uyr,horak'roǰ tła,morak'roǰ tła,ełbayr,morak'roǰ tła,horak'roǰ ałǰik,k'uyr,k'eru tła,horak'uyr,k'eri,morak'uyr,mayr,hayr,morak'uyr,k'eri,k'eri,morak'uyr,morak'uyr,hayr,k'eri,horełbayr,horełbayr,horełbayr,horak'uyr,k'eri,horełbayr,mayr,horełbayr,morak'uyr,horełbayr,k'eri,horak'uyr,horak'uyr,horak'uyr,morak'uyr,horak'uyr
6,0.4524887619755307,1.7246898710678304,1.2722011090922998,horełbor ałǰik,horak'roǰ ałǰik,horełbor ałǰik,horak'roǰ ałǰik,k'eru ałǰik,k'uyr,horak'roǰ tła,horełbor ałǰik,horak'roǰ tła,horełbor tła,ełbayr,k'eru tła,ełbayr,morak'roǰ tła,ełbayr,k'uyr,horak'roǰ tła,k'eru tła,k'eru ałǰik,horak'roǰ tła,k'eru ałǰik,k'uyr,k'eru ałǰik,horełbor tła,morak'roǰ tła,horak'roǰ tła,k'eru tła,k'eru tła,k'eru ałǰik,horak'roǰ tła,horak'roǰ ałǰik,horełbor ałǰik,horak'roǰ ałǰik,morak'roǰ tła,ełbayr,horak'roǰ ałǰik,horak'roǰ tła,horak'roǰ ałǰik,morak'roǰ tła,morak'roǰ ałǰik,ełbayr,morak'roǰ ałǰik,morak'roǰ ałǰik,horełbor ałǰik,k'eru ałǰik,k'eru ałǰik,horełbor tła,morak'roǰ ałǰik,horak'roǰ tła,horełbor ałǰik,morak'roǰ tła,horełbor ałǰik,horełbor ałǰik,horak'roǰ tła,k'uyr,horełbor tła,horełbor tła,horak'roǰ tła,k'eru tła,horak'roǰ ałǰik,horak'roǰ ałǰik,horełbor tła,morak'roǰ ałǰik,morak'roǰ tła,morak'roǰ ałǰik,horak'roǰ ałǰik,k'eru tła,horełbor tła,horełbor tła,morak'roǰ ałǰik,morak'roǰ ałǰik,k'eru ałǰik,k'eru ałǰik,k'eru tła,horełbor ałǰik,k'eru tła,horełbor tła,morak'roǰ tła,k'eru tła,morak'roǰ tła,k'eru ałǰik,ełbayr,k'uyr,horak'roǰ ałǰik,horełbor tła,k'eru tła,morak'roǰ ałǰik,morak'roǰ ałǰik,k'uyr,morak'roǰ tła,k'eri,horak'uyr,morak'uyr,mayr,horełbayr,k'eri,morak'uyr,morak'uyr,horak'uyr,k'eri,horak'uyr,horełbayr,horełbayr,horełbayr,morak'uyr,horełbayr,hayr,horak'uyr,morak'uyr,mayr,horak'uyr,hayr,horełbayr,morak'uyr,k'eri,k'eri,k'eri,horak'uyr
7,0.2725171302425533,1.7104027367904773,1.437885606547924,horak'roǰ tła,horełbor ałǰik,horak'roǰ ałǰik,morak'roǰ ałǰik,k'eru ałǰik,horełbor tła,horełbor tła,k'eru ałǰik,morak'roǰ ałǰik,horak'roǰ tła,horełbor tła,horak'roǰ ałǰik,horełbor tła,k'uyr,horak'roǰ tła,morak'roǰ ałǰik,k'eru ałǰik,k'eru tła,k'eru ałǰik,k'eru tła,ełbayr,horełbor ałǰik,horak'roǰ ałǰik,k'uyr,horełbor ałǰik,k'uyr,horak'roǰ ałǰik,horełbor tła,horełbor ałǰik,horak'roǰ ałǰik,ełbayr,k'eru ałǰik,morak'roǰ ałǰik,k'eru tła,morak'roǰ tła,horełbor ałǰik,horełbor ałǰik,horak'roǰ tła,morak'roǰ ałǰik,morak'roǰ tła,horełbor tła,k'eru ałǰik,horak'roǰ tła,morak'roǰ ałǰik,k'eru ałǰik,ełbayr,k'eru ałǰik,k'eru tła,k'eru ałǰik,horak'roǰ ałǰik,horełbor ałǰik,k'eru tła,horak'roǰ ałǰik,morak'roǰ tła,k'uyr,morak'roǰ ałǰik,k'eru tła,morak'roǰ tła,morak'roǰ ałǰik,horełbor tła,horak'roǰ tła,horełbor ałǰik,horełbor tła,horak'roǰ ałǰik,morak'roǰ ałǰik,k'eru tła,k'eru ałǰik,ełbayr,k'eru tła,morak'roǰ tła,horak'roǰ tła,ełbayr,horak'roǰ ałǰik,horak'roǰ ałǰik,morak'roǰ tła,ełbayr,k'eru tła,morak'roǰ tła,k'eru tła,k'uyr,horak'roǰ tła,horełbor ałǰik,horełbor tła,k'uyr,horełbor tła,morak'roǰ tła,morak'roǰ ałǰik,horak'roǰ tła,horak'roǰ tła,morak'roǰ tła,morak'uyr,horełbayr,horełbayr,horełbayr,k'eri,horełbayr,morak'uyr,mayr,morak'uyr,k'eri,horak'uyr,morak'uyr,horak'uyr,hayr,horełbayr,mayr,horak'uyr,morak'uyr,k'eri,k'eri,hayr,horak'uyr,k'eri,morak'uyr,k'eri,horełbayr,horak'uyr,horak'uyr
8,0.3606257110207485,1.6449802819973098,1.2843545709765614,horak'roǰ tła,horełbor tła,horełbor ałǰik,morak'roǰ ałǰik,horełbor tła,morak'roǰ ałǰik,horełbor tła,horełbor ałǰik,horak'roǰ tła,horełbor ałǰik,ełbayr,ełbayr,horak'roǰ tła,morak'roǰ tła,k'eru tła,horak'roǰ ałǰik,horełbor ałǰik,k'eru tła,horełbor tła,k'eru tła,k'eru ałǰik,ełbayr,horełbor tła,k'eru tła,horełbor ałǰik,horak'roǰ tła,horak'roǰ ałǰik,horełbor tła,morak'roǰ ałǰik,k'eru ałǰik,horełbor tła,k'eru ałǰik,morak'roǰ ałǰik,horak'roǰ tła,horak'roǰ tła,horak'roǰ tła,ełbayr,k'eru tła,morak'roǰ ałǰik,k'eru tła,horak'roǰ ałǰik,k'eru tła,horełbor ałǰik,horełbor tła,morak'roǰ ałǰik,morak'roǰ ałǰik,horak'roǰ tła,k'uyr,morak'roǰ tła,horełbor ałǰik,horełbor tła,k'eru ałǰik,k'eru ałǰik,horak'roǰ tła,k'eru ałǰik,k'uyr,morak'roǰ tła,k'uyr,k'eru ałǰik,ełbayr,k'eru tła,horak'roǰ ałǰik,morak'roǰ ałǰik,morak'roǰ tła,horełbor ałǰik,horak'roǰ ałǰik,morak'roǰ tła,morak'roǰ tła,ełbayr,k'eru ałǰik,horełbor ałǰik,k'uyr,horak'roǰ ałǰik,k'eru tła,horełbor tła,horak'roǰ ałǰik,morak'roǰ tła,k'uyr,k'eru tła,horak'roǰ ałǰik,k'eru ałǰik,morak'roǰ ałǰik,horak'roǰ tła,horak'roǰ ałǰik,k'eru ałǰik,k'uyr,morak'roǰ tła,morak'roǰ tła,horak'roǰ ałǰik,morak'roǰ ałǰik,morak'uyr,hayr,hayr,k'eri,morak'uyr,horełbayr,horak'uyr,k'eri,horełbayr,morak'uyr,morak'uyr,mayr,morak'uyr,morak'uyr,horełbayr,horełbayr,horełbayr,k'eri,k'eri,horak'uyr,horak'uyr,k'eri,mayr,k'eri,horełbayr,horak'uyr,horak'uyr,horak'uyr
9,0.3369056475367429,1.677347291410542,1.3404416438737992,morak'roǰ ałǰik,k'eru ałǰik,k'eru ałǰik,horak'roǰ tła,k'eru ałǰik,horak'roǰ ałǰik,morak'roǰ tła,horełbor ałǰik,horełbor tła,morak'roǰ ałǰik,k'eru tła,morak'roǰ ałǰik,k'eru tła,k'eru tła,horełbor ałǰik,morak'roǰ tła,horak'roǰ tła,horak'roǰ tła,horełbor ałǰik,ełbayr,k'eru tła,morak'roǰ ałǰik,horak'roǰ ałǰik,morak'roǰ tła,morak'roǰ tła,morak'roǰ ałǰik,morak'roǰ tła,horak'roǰ tła,morak'roǰ tła,k'eru ałǰik,horak'roǰ tła,k'uyr,ełbayr,k'eru tła,ełbayr,k'eru ałǰik,horak'roǰ ałǰik,k'uyr,horak'roǰ tła,horak'roǰ ałǰik,horak'roǰ tła,horak'roǰ ałǰik,k'eru tła,morak'roǰ tła,ełbayr,horełbor tła,k'uyr,ełbayr,morak'roǰ tła,k'eru ałǰik,horełbor tła,k'uyr,horełbor ałǰik,k'eru ałǰik,k'eru tła,horak'roǰ ałǰik,morak'roǰ ałǰik,horak'roǰ ałǰik,morak'roǰ ałǰik,ełbayr,k'uyr,horełbor ałǰik,horak'roǰ ałǰik,k'eru ałǰik,horak'roǰ ałǰik,horełbor tła,morak'roǰ tła,k'eru ałǰik,horełbor tła,horak'roǰ tła,horełbor ałǰik,morak'roǰ ałǰik,horełbor tła,k'uyr,k'eru ałǰik,k'eru tła,horełbor tła,horełbor ałǰik,horełbor tła,horełbor ałǰik,k'eru tła,horak'roǰ tła,morak'roǰ ałǰik,horełbor tła,k'eru tła,horak'roǰ tła,morak'roǰ ałǰik,horak'roǰ ałǰik,horełbor tła,horełbor ałǰik,horak'uyr,horełbayr,mayr,k'eri,hayr,hayr,morak'uyr,morak'uyr,k'eri,horak'uyr,mayr,horełbayr,horak'uyr,horełbayr,k'eri,horełbayr,k'eri,morak'uyr,morak'uyr,k'eri,morak'uyr,horełbayr,k'eri,morak'uyr,horak'uyr,horak'uyr,horak'uyr,horełbayr
