simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,myZ,meB,meZ,fB,fZ,fyB,fyZ,feB,feZ,mF,mM,fF,fM
0,0.6914160776171183,0.6914160776171183,-0.0,ɨ̃pe'wẽra,ɨ̃'pema,ɨ̃'pema,ɨ̃pe'wẽra,ɨ̃pe'wẽra,ɨ̃pe'wẽra,ɨ̃'pema,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃'pema tʰẽe-'pema,ɨ̃'pema tʰẽe-'pema,nawe,nawe,a'kʰõre,a'kʰõre
1,0.35945119819013926,0.6914160776171183,0.33196487942697905,ɨ̃pe'wẽra,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃'pema tʰẽe-'pema,ɨ̃'pema tʰẽe-'pema,ɨ̃'pema,ɨ̃'pema,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃'pema,ɨ̃pe'wẽra,ɨ̃pe'wẽra,ɨ̃pe'wẽra,nawe,nawe,a'kʰõre,a'kʰõre
2,0.00419110692502267,0.6914160776171183,0.6872249706920956,ɨ̃pe'wẽra,ɨ̃'pema,ɨ̃'pema,ɨ̃'pema tʰẽe-'pema,ɨ̃pe'wẽra,ɨ̃'pema,ɨ̃pe'wẽra,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃pe'wẽra,ɨ̃'pema tʰẽe-'pema,a'kʰõre,nawe,a'kʰõre,nawe
3,0.008262958045137547,0.6914160776171183,0.6831531195719808,ɨ̃'pema tʰẽe-'pema,ɨ̃pe'wẽra,ɨ̃'pema,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃pe'wẽra,ɨ̃'pema,ɨ̃'pema,ɨ̃'pema tʰẽe-'pema,ɨ̃pe'wẽra,ɨ̃pe'wẽra,nawe,a'kʰõre,nawe,a'kʰõre
4,0.008262958045137547,0.6914160776171183,0.6831531195719808,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃'pema tʰẽe-'pema,ɨ̃'pema tʰẽe-'pema,ɨ̃'pema,ɨ̃'pema,ɨ̃'pema,ɨ̃pe'wẽra,ɨ̃pe'wẽra,ɨ̃pe'wẽra,ɨ̃pe'wẽra,ɨ̃pe'wẽra tʰẽe-'pema,nawe,a'kʰõre,a'kʰõre,nawe
5,0.008262958045137547,0.6914160776171183,0.6831531195719808,ɨ̃'pema,ɨ̃pe'wẽra,ɨ̃'pema tʰẽe-'pema,ɨ̃pe'wẽra,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃'pema,ɨ̃'pema,ɨ̃'pema tʰẽe-'pema,ɨ̃pe'wẽra,ɨ̃pe'wẽra,a'kʰõre,nawe,a'kʰõre,nawe
6,0.03904226061952276,0.6914160776171183,0.6523738169975956,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃'pema,ɨ̃pe'wẽra,ɨ̃'pema,ɨ̃pe'wẽra,ɨ̃'pema,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃'pema tʰẽe-'pema,ɨ̃'pema tʰẽe-'pema,ɨ̃pe'wẽra,ɨ̃pe'wẽra,nawe,a'kʰõre,nawe,a'kʰõre
7,0.03904226061952276,0.6914160776171183,0.6523738169975956,ɨ̃'pema tʰẽe-'pema,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃pe'wẽra,ɨ̃pe'wẽra,ɨ̃'pema tʰẽe-'pema,ɨ̃pe'wẽra,ɨ̃'pema,ɨ̃'pema,ɨ̃'pema,ɨ̃pe'wẽra,a'kʰõre,nawe,a'kʰõre,nawe
8,0.008262958045137547,0.6914160776171183,0.6831531195719808,ɨ̃'pema tʰẽe-'pema,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃pe'wẽra,ɨ̃'pema tʰẽe-'pema,ɨ̃pe'wẽra,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃'pema,ɨ̃pe'wẽra,ɨ̃'pema,ɨ̃pe'wẽra,ɨ̃'pema,nawe,a'kʰõre,a'kʰõre,nawe
9,0.0024849871169563276,0.6914160776171183,0.688931090500162,ɨ̃pe'wẽra,ɨ̃pe'wẽra,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃'pema,ɨ̃'pema tʰẽe-'pema,ɨ̃pe'wẽra tʰẽe-'pema,ɨ̃'pema,ɨ̃'pema,ɨ̃'pema tʰẽe-'pema,ɨ̃pe'wẽra,ɨ̃pe'wẽra,a'kʰõre,nawe,a'kʰõre,nawe
