language,family,code,average_edit_distance,sample_mean,sd,z
Lebanese_Arabic,Afro-Asiatic,stan1323,0.7572463768115942,0.8617471014492754,0.019072962536877156,5.47899805474012
Akkadian,Afro-Asiatic,akka1240,0.865625,0.865625,0.0,0.0
Old_Aramaic,Afro-Asiatic,olda1245,0.5615384615384615,0.6156524038461538,0.01582502146175812,3.419517783180331
Hausa,Afro-Asiatic,haus1257,0.8225649350649351,0.8155104888167388,0.007992319479434342,-0.8826531855174999
Amharic,Afro-Asiatic,amha1245,0.6617229992229993,0.7678244876651127,0.014191484518314512,7.476419278419143
Polci,Afro-Asiatic,polc1243,0.74375,0.7524630208333334,0.004728581122690071,1.8426290270296897
Ottowa_Ojibwa,Algic,otta1242,0.8660714285714286,0.9029696180555555,0.007639483011369902,4.829932788542244
Wiyot,Algic,wiyo1248,0.6369047619047619,0.6369047619047619,0.0,0.0
Yurok,Algic,yuro1248,0.7270833333333333,0.7310878472222222,0.007790720740808163,0.5140107086515194
Northern_Ojibwa,Algic,nort2961,0.7495535714285714,0.7999441964285714,0.014766959786784358,3.4123899385909446
Munsee,Algic,muns1251,0.6493999421631,0.6493999421631,0.0,0.0
Piegan_Siksika_(Piegan_Blackfoot),Algic,pieg1239,0.7137626262626262,0.7137626262626262,0.0,0.0
Weaw,Algic,nucl1653,0.4842592592592593,0.48482592592592594,0.011481526927076175,0.04935464335586975
Kickapoo_(Kikapoo),Algic,kick1244,0.6256578947368421,0.6256578947368421,0.0,0.0
Ojibwa_Lake_Michigan,Algic,uppe1274,0.6398148148148148,0.6425064814814815,0.006821166375197542,0.394605045326826
Ojibwa_Kansas,Algic,ojib1241,0.6212121212121212,0.6212727272727273,0.005538446010365876,0.010942791622896148
Blood_Siksika_(Blood_Blackfoot),Algic,bloo1239,0.6108630952380952,0.6108630952380952,0.0,0.0
Potawatomi_(Potǎwattamie),Algic,pota1247,0.646969696969697,0.6457295454545454,0.00615211120872197,-0.20158145278540604
Woods_Cree_(Cree_of_the_Woods),Algic,wood1236,0.7998737373737375,0.7998737373737375,0.0,0.0
"Etchemiu,_or_Malisete",Algic,male1293,0.6359265734265734,0.6358999125874126,0.003146346979577885,-0.008473585187475067
Sawk_and_Fox,Algic,mesk1242,0.6364267676767676,0.6364267676767676,0.0,0.0
Mohegan,Algic,mohe1244,0.8103219696969697,0.8103219696969697,0.0,0.0
Delaware,Algic,comm1246,0.7263888888888889,0.7263888888888889,0.0,0.0
Cree_of_the_Lowlands,Algic,cree1272,0.7998737373737375,0.7998737373737375,0.0,0.0
Miemac,Algic,mikm1235,0.7245344932844933,0.7237535866910867,0.006358406734597371,-0.12281482232923253
An-ah'-ne-lin_(Gros_Ventres_of_Prairie),Algic,gros1243,0.611904761904762,0.611904761904762,0.0,0.0
Kaskaskia,Algic,algo1255,0.45925925925925926,0.4588962962962963,0.00839731531379161,-0.04322369107264908
Peoria,Algic,peor1238,0.6176136363636364,0.6176136363636364,0.0,0.0
Shiyan,Algic,chey1247,0.5785308441558441,0.5785308441558441,0.0,0.0
Plains_Cree_(Cree_of_the_Prairie),Algic,plai1258,0.8030303030303031,0.8030303030303031,0.0,0.0
Miami,Algic,miam1252,0.6051136363636364,0.6051136363636364,0.0,0.0
Menomine,Algic,meno1252,0.6625,0.6625,0.0,0.0
Shawnee,Algic,shaw1249,0.5243506493506493,0.5243506493506493,0.0,0.0
Baure,Arawakan,baur1253,0.8,0.959725,0.029299664594417216,5.451427591783223
Ignaciano,Arawakan,igna1246,0.7852678571428571,0.8911381696428572,0.020408275951308286,5.187616668482633
Yavitero,Arawakan,yavi1244,0.7847222222222222,0.8405347222222223,0.009048080428765133,6.168435442125843
Wayuu,Arawakan,wayu1243,0.5708333333333333,0.5799594907407407,0.005633565269772237,1.6199612448577128
Wapishana,Arawakan,wapi1253,0.8393429487179487,0.8408401346916972,0.003931565353409231,0.38081167147589384
Waurá,Arawakan,waur1244,0.7531866281866282,0.7591316475769601,0.011586264435715848,0.5131092444261622
Mashco_Piro,Arawakan,mash1270,0.5714285714285714,0.5825833333333332,0.002011854027239968,5.544518515622569
Trinitario,Arawakan,trin1274,0.75,0.75,0.0,0.0
Ngoni,Atlantic-Congo,ngon1269,0.8333333333333334,0.8333333333333334,0.0,0.0
Nyakyusa,Atlantic-Congo,nyak1260,0.7758769008769009,0.7735826312576313,0.016514826051209457,-0.1389218155949984
Fipa,Atlantic-Congo,fipa1238,0.892063492063492,0.8534667658730158,0.013752857225146749,-2.806451456494657
Punu,Atlantic-Congo,punu1239,0.5,0.6488,0.05713426576341316,2.60439156803318
Haya,Atlantic-Congo,haya1250,0.8078703703703703,0.8430809027777778,0.020693327830500947,1.7015403561871216
Zigula,Atlantic-Congo,zigu1242,0.7833333333333333,0.77525,0.00577924901380862,-1.3986823052648292
Bemba,Atlantic-Congo,bemb1257,0.7722222222222223,0.7664775793650793,0.008663577213160432,-0.6630797782256177
Ekonda_Mongo,Atlantic-Congo,ekon1238,0.8034774436090225,0.7497379385964912,0.01651408872879684,-3.254161092087496
Tsonga,Atlantic-Congo,tson1249,0.8341853408029879,0.8056347397292251,0.016262840952618637,-1.755572790568651
Zinza,Atlantic-Congo,zinz1238,0.7395833333333334,0.7395833333333334,0.0,0.0
Pinji,Atlantic-Congo,pinj1243,0.5357142857142857,0.5650297619047618,0.03672524596586947,0.7982377086792126
Kagulu,Atlantic-Congo,kagu1239,0.9347222222222222,0.9102583333333333,0.010247886896942181,-2.387213006438295
Hehe,Atlantic-Congo,hehe1240,0.7904545454545455,0.8037736363636364,0.011346384463653356,1.1738621189645777
Suku,Atlantic-Congo,suku1259,0.8369776057276057,0.9147888111888112,0.01652368625852531,4.709070618008083
Lala_Bisa,Atlantic-Congo,lala1264,0.8,0.8,0.0,0.0
Tonga_Nyasa_,Atlantic-Congo,tong1321,0.8777777777777778,0.8866111111111111,0.0038541605607060507,2.291895522825641
Kamba,Atlantic-Congo,kamb1297,0.7462797619047619,0.7424190228174603,0.009833343939575058,-0.39261711082470246
Yansi,Atlantic-Congo,yans1239,0.8718181818181818,0.8624772727272727,0.023533684571612,-0.39691655858159963
Mbuun,Atlantic-Congo,mpuo1241,0.9791666666666666,0.9318010416666667,0.009167689511448146,-5.16658258777767
San_Salvador_Kongo,Atlantic-Congo,sans1272,0.8350877192982455,0.8038006578947369,0.009299156417282763,-3.3645053378563166
Soga,Atlantic-Congo,soga1242,0.752754884004884,0.7249282938415751,0.008449999380250196,-3.293087834816503
Bera,Atlantic-Congo,bera1259,0.7311507936507936,0.7037296626984128,0.010380244578448999,-2.641665207899955
Sakata,Atlantic-Congo,saka1287,0.8541666666666666,0.8289114583333334,0.009815671416059947,-2.572947612326537
Makonde,Atlantic-Congo,mako1251,0.7977272727272727,0.7977272727272727,0.0,0.0
Sake,Atlantic-Congo,sake1247,0.6666666666666666,0.784875,0.06030198203517612,1.9602727695480815
Phende,Atlantic-Congo,phen1239,0.9,0.9029279761904762,0.004248654698009792,0.6891537200817222
Bamun,Atlantic-Congo,bamu1253,0.8737373737373737,0.8737373737373737,0.0,0.0
Nsong,Atlantic-Congo,song1299,0.9570707070707071,0.9114736426767677,0.010023650624183023,-4.548947893687764
Bali_Congo_,Atlantic-Congo,bali1274,0.625,0.625,0.0,0.0
