simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,fMBS,fMBD,mFeZS,mFyZS,mMeBS,mMyBS,mFZeS,mFZyS,mMBeS,mMByS,fMeBS,fMyBS,fMeBD,fMyBD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.3569621136298643,1.2816208115182912,0.9246586978884269,jaleng wehen,mesong,jaleng wehen,talang,talang,mesong,tubiung,talang,talang,tubiung,tubiung,tubiung,jaleng wehen,tubiung,jaleng wehen,tubiung,mesong,tubiung,tubiung,tubiung,mesong,tubiung,taovjen,jaleng wehen,mesong,talang,talang,ina,raheng,mesong,teta,teta,raheng,raheng,raheng,ina,mesong,teta,teta,ina,ina,ina,ina,mesong,mesong,teta,teta
1,0.39626905770491805,1.0505717513316428,0.6543026936267248,jaleng wehen,mesong,mesong,tubiung,tubiung,tubiung,talang,jaleng wehen,tubiung,talang,jaleng wehen,jaleng wehen,jaleng wehen,talang,tubiung,talang,talang,mesong,mesong,taovjen,tubiung,tubiung,tubiung,talang,tubiung,tubiung,mesong,teta,teta,raheng,ina,ina,mesong,teta,teta,raheng,ina,mesong,raheng,raheng,mesong,ina,ina,teta,ina,teta,mesong
2,0.22695633077918664,1.2242023424202553,0.9972460116410686,talang,mesong,mesong,tubiung,mesong,talang,tubiung,taovjen,mesong,jaleng wehen,talang,tubiung,talang,talang,tubiung,tubiung,jaleng wehen,jaleng wehen,tubiung,tubiung,jaleng wehen,tubiung,talang,tubiung,jaleng wehen,mesong,tubiung,ina,ina,teta,teta,raheng,ina,mesong,ina,raheng,ina,mesong,teta,raheng,teta,raheng,teta,mesong,mesong,teta,ina
3,0.27197318278814286,1.3510008977031145,1.0790277149149716,tubiung,talang,tubiung,tubiung,mesong,mesong,tubiung,tubiung,mesong,tubiung,mesong,talang,tubiung,talang,tubiung,jaleng wehen,tubiung,talang,tubiung,talang,jaleng wehen,jaleng wehen,talang,jaleng wehen,taovjen,mesong,jaleng wehen,teta,ina,ina,raheng,mesong,mesong,teta,teta,mesong,raheng,ina,ina,raheng,teta,teta,teta,raheng,mesong,ina,ina
4,0.29544614745087916,1.3296613488547582,1.034215201403879,tubiung,mesong,tubiung,jaleng wehen,talang,mesong,talang,tubiung,mesong,talang,tubiung,tubiung,tubiung,jaleng wehen,jaleng wehen,tubiung,jaleng wehen,talang,tubiung,taovjen,talang,tubiung,tubiung,mesong,mesong,jaleng wehen,talang,teta,mesong,raheng,mesong,raheng,mesong,mesong,ina,teta,teta,ina,teta,ina,teta,raheng,raheng,teta,ina,ina,ina
5,0.1566907427547204,1.1761618050837885,1.0194710623290681,tubiung,talang,talang,talang,mesong,tubiung,tubiung,tubiung,talang,mesong,jaleng wehen,taovjen,tubiung,mesong,tubiung,jaleng wehen,talang,jaleng wehen,tubiung,mesong,tubiung,mesong,tubiung,jaleng wehen,jaleng wehen,talang,tubiung,mesong,raheng,raheng,teta,teta,ina,mesong,ina,mesong,teta,ina,ina,ina,raheng,teta,raheng,teta,teta,mesong,ina
6,0.5713917375712919,1.298077406452795,0.726685668881503,mesong,mesong,jaleng wehen,tubiung,tubiung,talang,mesong,tubiung,talang,mesong,jaleng wehen,tubiung,jaleng wehen,tubiung,tubiung,mesong,tubiung,tubiung,tubiung,talang,jaleng wehen,talang,taovjen,talang,talang,tubiung,jaleng wehen,mesong,teta,ina,raheng,teta,ina,teta,raheng,teta,teta,ina,mesong,teta,ina,raheng,mesong,ina,ina,mesong,raheng
7,0.23956228636612997,1.3244393666657666,1.0848770802996366,talang,tubiung,tubiung,tubiung,tubiung,jaleng wehen,talang,talang,mesong,mesong,tubiung,tubiung,taovjen,jaleng wehen,tubiung,jaleng wehen,jaleng wehen,talang,tubiung,mesong,tubiung,talang,mesong,talang,tubiung,jaleng wehen,mesong,mesong,teta,teta,ina,teta,teta,raheng,teta,teta,mesong,ina,ina,mesong,ina,raheng,mesong,raheng,ina,raheng,ina
8,0.3083061681072723,1.3398061212627637,1.0314999531554914,tubiung,mesong,tubiung,tubiung,jaleng wehen,tubiung,tubiung,talang,mesong,taovjen,jaleng wehen,talang,jaleng wehen,tubiung,tubiung,talang,tubiung,tubiung,jaleng wehen,tubiung,mesong,mesong,talang,talang,jaleng wehen,mesong,talang,mesong,raheng,teta,ina,ina,ina,teta,raheng,ina,teta,raheng,teta,mesong,mesong,raheng,ina,mesong,teta,ina,teta
9,0.215424186945682,1.0722550961286255,0.8568309091829435,tubiung,jaleng wehen,talang,talang,tubiung,mesong,jaleng wehen,tubiung,mesong,jaleng wehen,tubiung,talang,tubiung,jaleng wehen,tubiung,tubiung,tubiung,talang,mesong,tubiung,mesong,talang,taovjen,jaleng wehen,talang,tubiung,mesong,raheng,teta,teta,mesong,mesong,ina,mesong,teta,raheng,ina,ina,mesong,ina,teta,raheng,ina,teta,teta,raheng,ina
