language,language_family,code,simulation_code,simulation,mutual_information,entropy_gn,entropy_gn1,conditional_entropy,variation_gn,variation_gn1,number_of_pairs
Maguindanao_(Magindonao_Moro),Austronesian,magu1243,magu1243_REAL,N,0.7918583525674834,1.9161269465882842,1.7918583525674834,1.0,5,4,10
Malua_Bay,Austronesian,malu1245,malu1245_REAL,N,1.5301249653149702,2.8402239289418523,1.9967916319816368,0.4666666666666666,8,4,13
Manam,Austronesian,mana1295,mana1295_REAL,N,2.220446049250313e-16,1.9502120649147465,1.0,0.9999999999999998,4,2,8
Mangaia,Austronesian,mang1402,mang1402_REAL,N,2.220446049250313e-16,1.9502120649147465,1.0,0.9999999999999998,4,2,8
Mangarevans,Austronesian,mang1401,mang1401_REAL,N,0.19295323557759447,2.1820677313493597,1.969414207285718,1.7764609717081234,5,6,18
Mangei_(Sobjo),Austronesian,mang1407,mang1407_REAL,N,0.9182958340544894,1.9182958340544893,1.584962500721156,0.6666666666666666,4,3,6
Manggarai,Austronesian,mang1405,mang1405_REAL,N,1.1102230246251565e-16,1.3787834934861753,1.0,0.9999999999999999,3,2,6
Maori,Austronesian,maor1246,maor1246_REAL,N,0.14818422237455575,1.9957808479084207,2.224772123954377,2.0765879015798214,4,5,18
Maragus_(Tape),Austronesian,mara1399,mara1399_REAL,N,1.1102230246251565e-16,0.9182958340544896,1.0,0.9999999999999999,2,2,4
Maranao_(Lanao_Moro),Austronesian,mara1404,mara1404_REAL,N,0.8865408928220898,1.8820451081368623,1.8865408928220897,0.9999999999999999,4,4,8
Marquesas,Austronesian,marq1246,marq1246_REAL,N,2.220446049250313e-16,1.9502120649147465,1.0,0.9999999999999998,4,2,8
Marshallese,Austronesian,mars1254,mars1254_REAL,N,0.0,0.9852281360342516,1.0,1.0,2,2,4
Maskelynes,Austronesian,mask1242,mask1242_REAL,N,0.7642045065086203,1.4466166676282082,1.541982284286398,0.7777777777777777,4,3,6
Matukar,Austronesian,matu1261,matu1261_REAL,N,0.8865408928220897,1.3931271734483173,1.8865408928220897,1.0,5,4,10
Mekeo,Austronesian,meke1243,meke1243_REAL,N,1.1102230246251565e-16,0.9852281360342516,1.0,0.9999999999999999,2,2,4
Mekongga,Austronesian,meko1237,meko1237_REAL,N,0.0,0.9852281360342516,1.0,1.0,2,2,4
Mele-Fila_(Ifira-Mele),Austronesian,mele1250,mele1250_REAL,N,0.8865408928220897,1.1863929342238186,2.234366979778611,1.3478260869565215,3,5,7
Menui,Austronesian,menu1237,menu1237_REAL,N,1.1102230246251565e-16,0.9852281360342516,1.0,0.9999999999999999,2,2,4
Merlav,Austronesian,merl1237,merl1237_REAL,N,0.4806183023614379,1.2389012566026307,1.4806183023614379,1.0,3,3,6
Minangkabau,Austronesian,mina1268,mina1268_REAL,N,0.0,0.7219280948873623,1.0,1.0,2,2,4
Miningir_(Lunga),Austronesian,mini1251,mini1251_REAL,N,0.88654089282209,1.306170651709187,1.88654089282209,0.9999999999999999,4,4,8
Morgan1871_Hawaiian_hawa1245.csv,Austronesian,rgan1871,rgan1871_REAL,N,0.0,3.0,1.0,1.0,8,2,16
Mori_Atas,Austronesian,mori1269,mori1269_REAL,N,0.0,0.9852281360342516,1.0,1.0,2,2,4
Mori_Bawah,Austronesian,mori1268,mori1268_REAL,N,0.8865408928220898,1.1863929342238186,1.8865408928220897,0.9999999999999999,3,4,6
Moronene,Austronesian,moro1287,moro1287_REAL,N,0.8865408928220899,1.1863929342238186,1.1908887189090465,0.30434782608695654,3,3,5
Mortlockese,Austronesian,mort1237,mort1237_REAL,N,0.8865408928220899,1.8820451081368623,1.88654089282209,1.0,4,4,8
Mota,Austronesian,mota1237,mota1237_REAL,N,1.53012496531497,2.5735572622751857,1.9967916319816368,0.4666666666666667,7,4,11
Motu,Austronesian,motu1246,motu1246_REAL,N,1.1102230246251565e-16,1.3787834934861753,1.0,0.9999999999999999,3,2,6
Mouk,Austronesian,mouk1240,mouk1240_REAL,N,0.7542148604118073,2.0182155146751497,2.2997163328644534,1.5455014724526461,5,5,13
Muduapa_(Vitu),Austronesian,mudu1242,mudu1242_REAL,N,0.4983958159908184,1.456564762130954,1.4983958159908184,1.0,3,3,6
Muna,Austronesian,muna1247,muna1247_REAL,N,0.8865408928220901,1.1863929342238186,1.88654089282209,0.9999999999999998,3,4,6
Munggava_(Rennell),Austronesian,mung1271,mung1271_REAL,N,0.996791631981637,1.906890595608519,2.213132465170739,1.2163408331891021,5,5,11
Mussau-Emira,Austronesian,muss1246,muss1246_REAL,N,1.1102230246251565e-16,0.9852281360342516,1.0,0.9999999999999999,2,2,4
Mwotlap,Austronesian,motl1237,motl1237_REAL,N,0.00212794074361522,0.9986359641585718,2.7064320639060906,2.7043041231624754,2,7,14
Nafsan,Austronesian,sout2856,sout2856_REAL,N,2.220446049250313e-16,1.9502120649147465,1.0,0.9999999999999998,4,2,8
Nage,Austronesian,nage1237,nage1237_REAL,N,2.220446049250313e-16,1.9502120649147465,1.0,0.9999999999999998,4,2,8
Nahavaq,Austronesian,sout2857,sout2857_REAL,N,2.220446049250313e-16,1.9502120649147465,1.0,0.9999999999999998,4,2,8
Nakanai,Austronesian,naka1262,naka1262_REAL,N,0.003131748843799631,0.9986359641585718,3.088083154709034,3.0849514058652345,2,10,20
Nalik_(Lukuramau),Austronesian,nali1244,nali1244_REAL,N,1.0151366915608981,2.10845859334435,1.8825874753050804,0.8674507837441823,5,4,9
Nalik_(Madina),Austronesian,nali1244b,nali1244b_REAL,N,0.9736116046014298,2.2608203181716595,1.9766004603133167,1.002988855711887,7,4,11
Namakura,Austronesian,nama1268,nama1268_REAL,N,0.8040456507685483,2.8385668472672974,2.8475239116381137,2.0434782608695654,8,8,32
Namakura,Austronesian,nama1268b,nama1268b_REAL,N,2.220446049250313e-16,2.2359263506290326,1.0,0.9999999999999998,5,2,10
Naman,Austronesian,litz1237,litz1237_REAL,N,1.5301249653149702,2.8402239289418523,1.9967916319816368,0.4666666666666666,8,4,13
Nanggu,Austronesian,nang1262,nang1262_REAL,N,2.220446049250313e-16,1.9502120649147465,1.0,0.9999999999999998,4,2,8
Nehan,Austronesian,neha1247,neha1247_REAL,N,0.9967916319816369,2.072905595320056,1.9967916319816368,0.9999999999999999,5,4,10
Nengone,Austronesian,neng1238,neng1238_REAL,N,0.2479481977916369,1.753434386188785,1.8063579129130556,1.5584097151214187,5,4,12
Nese,Austronesian,nese1235,nese1235_REAL,N,0.7642045065086203,1.974937501201927,1.541982284286398,0.7777777777777777,4,3,7
Neve'ei,Austronesian,vinm1237,vinm1237_REAL,N,1.4920121905997072,2.7603136973125117,2.2556845592484933,0.7636723686487861,7,5,14
Neverver,Austronesian,ling1265,ling1265_REAL,N,1.1030821967936602,2.0444510861155405,2.930019153691655,1.826936956897995,6,8,16
Nguna,Austronesian,ngun1274,ngun1274_REAL,N,1.4035248189832747,2.399537225087599,1.9254316347980327,0.521906815814758,6,4,8
Niuafo'ou,Austronesian,niua1240,niua1240_REAL,N,1.1102230246251565e-16,1.5566567074628228,1.0,0.9999999999999999,3,2,6
Niueans,Austronesian,niue1239,niue1239_REAL,N,0.0,1.7246469298899965,1.0,1.0,4,2,8
North_Ambrym,Austronesian,nort2839,nort2839_REAL,N,1.0588523498585065,1.8676338909712125,1.8770341680403249,0.8181818181818182,5,4,8
"North_Efate_(Nguna,_Nakanamanga)",Austronesian,nort2836,nort2836_REAL,N,0.0,0.9852281360342516,1.0,1.0,2,2,4
North_Marquesan,Austronesian,nort2845,nort2845_REAL,N,0.05703141864874395,1.9322660715619056,1.980292780237198,1.923261361588454,4,5,17
North_Tanna,Austronesian,nort2847,nort2847_REAL,N,0.9456603046006401,2.1180782093497093,1.5820239409642765,0.6363636363636364,5,3,9
Numbami,Austronesian,numb1247,numb1247_REAL,N,1.142064672977998,2.871388043013535,2.8048956511448035,1.6628309781668056,8,8,28
Olal,Austronesian,olal1237,olal1237_REAL,N,1.3464657985040722,2.2322628970242686,1.9967916319816368,0.6503258334775646,5,4,8
Old_Rapa_(Rapa),Austronesian,rapa1245,rapa1245_REAL,N,2.220446049250313e-16,1.9502120649147465,1.0,0.9999999999999998,4,2,8
Ontong_Java,Austronesian,onto1237,onto1237_REAL,N,0.012623679635967555,1.4209260948781606,1.5534255614699255,1.540801881833958,3,3,9
Owa_(Santa_Ana),Austronesian,owaa1237,owaa1237_REAL,N,0.0,1.8423709931771084,1.0,1.0,4,2,8
Padoe,Austronesian,pado1242,pado1242_REAL,N,0.0,0.9852281360342516,1.0,1.0,2,2,4
Paici,Austronesian,paic1239,paic1239_REAL,N,1.0845318458065565,1.7712589600219495,2.214295263080721,1.1297634172741646,4,6,10
Palauan,Austronesian,pala1344,pala1344_REAL,N,0.9967916319816369,2.5735572622751857,1.9967916319816368,0.9999999999999999,7,4,14
Paluai,Austronesian,balu1257,balu1257_REAL,N,0.9321115676166751,2.370963042825407,1.932111567616675,0.9999999999999998,6,4,12
Pama_(Paamanese),Austronesian,paam1238,paam1238_REAL,N,2.220446049250313e-16,2.1280852788913944,1.0,0.9999999999999998,5,2,10
Pampanga_(Kampampangan),Austronesian,pamp1243,pamp1243_REAL,N,0.8865408928220899,1.1863929342238186,1.88654089282209,1.0,3,4,6
Pangasinan,Austronesian,pang1290,pang1290_REAL,N,0.6292492238560345,0.6292492238560345,1.6292492238560345,1.0,2,4,4
Patani,Austronesian,pata1260,pata1260_REAL,N,0.7219280948873621,1.9219280948873623,1.5219280948873621,0.8,6,3,8
Pendau,Austronesian,pend1242,pend1242_REAL,N,0.8865408928220901,1.1863929342238186,2.4509082837501825,1.5643673909280924,3,6,8
Penrhyn_(Tongareva),Austronesian,penr1237,penr1237_REAL,N,2.220446049250313e-16,1.9502120649147465,1.0,0.9999999999999998,4,2,8
Petapa_Taje,Austronesian,taje1237a,taje1237a_REAL,N,0.0,0.9852281360342516,1.0,1.0,2,2,4
Pohnpeian,Austronesian,pohn1238,pohn1238_REAL,N,0.7642045065086203,1.5304930567574826,1.541982284286398,0.7777777777777777,3,3,5
Pohnpeian,Austronesian,pohn1238a,pohn1238a_REAL,N,1.0716022614097978,1.9898980954642873,1.9709505944546686,0.8993483330448707,4,4,8
Port_Sandwich,Austronesian,port1285,port1285_REAL,N,0.9456603046006401,2.1867043459100244,1.5820239409642765,0.6363636363636364,5,3,8
Proto-Oceanic,Austronesian,ocea1241,ocea1241_REAL,N,2.220446049250313e-16,1.9502120649147465,1.0,0.9999999999999998,4,2,8
Pukapuka,Austronesian,puka1242,puka1242_REAL,N,1.1102230246251565e-16,1.6879410452364207,1.0,0.9999999999999999,4,2,8
Puluwatese_(Puluwat),Austronesian,pulu1242,pulu1242_REAL,N,0.8138818707648591,2.103932197169916,1.6399688272865982,0.8260869565217391,5,4,8
Puyuma,Austronesian,puyu1239,puyu1239_REAL,N,0.0,1.5726236638951638,1.0,1.0,3,2,6
Rade_(Rhade),Austronesian,rade1240,rade1240_REAL,N,0.0,1.75,1.0,1.0,4,2,8
Raga_(Hano),Austronesian,hano1246,hano1246_REAL,N,1.4318497041442486,2.875,1.9943497041442486,0.5625,8,4,13
Raga_(Hano_Thomas_Ennever),Austronesian,hano1246b,hano1246b_REAL,N,1.1033074086078338,1.9655962303576022,1.8366407419411672,0.7333333333333334,5,4,7
Rahambuu,Austronesian,raha1237,raha1237_REAL,N,0.0,0.9852281360342516,1.0,1.0,2,2,4
Rakahanga-Manihiki,Austronesian,raka1237,raka1237_REAL,N,2.220446049250313e-16,1.9502120649147465,1.0,0.9999999999999998,4,2,8
Rangiora_(NW_Tuamotus),Austronesian,tuam1242,tuam1242_REAL,N,2.220446049250313e-16,1.950212064914747,1.0,0.9999999999999998,4,2,8
Rapanui_(Easter_Island),Austronesian,rapa1244,rapa1244_REAL,N,2.220446049250313e-16,2.128085278891394,1.0,0.9999999999999998,5,2,10
Rarotongan_(Cook_Islands_Maori),Austronesian,raro1241,raro1241_REAL,N,0.2228156003525159,1.9329145639793979,1.4634582986483033,1.2406426982957874,4,3,11
Ratagnon,Austronesian,rata1245,rata1245_REAL,N,0.8865408928220897,1.0666152167384504,2.168724588286136,1.2821836954640462,3,5,7
Rejang_(Rejangese),Austronesian,reja1240,reja1240_REAL,N,0.9967916319816367,1.7232314287976207,1.4634582986483033,0.4666666666666667,4,3,7
Rennell_Islanders,Austronesian,renn1242,renn1242_REAL,N,0.27245869909465803,2.3782513295535557,1.5357930899802197,1.2633343908855617,6,3,16
Riuk_Bekati'_(Dayak),Austronesian,beka1241,beka1241_REAL,N,2.220446049250313e-16,1.950212064914747,1.0,0.9999999999999998,4,2,8
Rotinese_Termanu_,Austronesian,term1237,term1237_REAL,N,1.7046342902793787,3.3762655540645596,2.3200602822606853,0.6154259919813065,11,6,20
Rotumans,Austronesian,rotu1241,rotu1241_REAL,N,0.29670440218187655,2.420707842991712,1.3896749186460426,1.092970516464166,9,3,20
Routa,Austronesian,rout1237,rout1237_REAL,N,1.1102230246251565e-16,0.9852281360342516,1.0,0.9999999999999999,2,2,4
Roviana,Austronesian,rovi1238,rovi1238_REAL,N,0.8865408928220901,1.1492297615162819,2.1687245882861363,1.2821836954640462,3,5,7
Saaroa,Austronesian,saar1237,saar1237_REAL,N,0.8865408928220899,1.4800836951874476,1.8865408928220897,0.9999999999999998,5,4,10
Samoan,Austronesian,samo1305,samo1305_REAL,N,0.1529792464340214,1.7958363892911637,2.2809509262245995,2.127971679790578,4,5,17
Samoan,Austronesian,samo1305a,samo1305a_REAL,N,0.003430488546068977,1.5394847569315018,1.5820239409642765,1.5785934524182075,3,3,9
Sarangani_Blaan,Austronesian,sara1326,sara1326_REAL,N,1.1102230246251565e-16,1.6644977792004612,1.0,0.9999999999999999,4,2,8
Satawalese,Austronesian,sata1237,sata1237_REAL,N,2.220446049250313e-16,1.950212064914747,1.0,0.9999999999999998,4,2,8
Sawai,Austronesian,sawa1247,sawa1247_REAL,N,0.7219280948873621,2.0219280948873624,1.5219280948873621,0.8,8,3,10
Sa_a,Austronesian,saaa1240,saaa1240_REAL,N,0.9383153522334071,0.9383153522334069,1.9383153522334071,1.0,2,4,4
Sa,Austronesian,saaa1241,saaa1241_REAL,N,2.220446049250313e-16,1.9502120649147465,1.0,0.9999999999999998,4,2,8
Seke_(Ske),Austronesian,seke1241,seke1241_REAL,N,0.057686815653469115,1.4247346189316263,1.932111567616675,1.8744247519632058,4,4,12
Senbarei,Austronesian,unua1237,unua1237_REAL,N,1.0194692466251882,2.469670487371862,1.5579307850867268,0.5384615384615385,6,3,10
Sie_(Sye),Austronesian,siee1239,siee1239_REAL,N,0.995727452084926,2.045841640885174,2.1118639908793058,1.1161365387943798,5,5,11
Sikaiana,Austronesian,sika1261,sika1261_REAL,N,0.00024095407330859686,0.9986359641585718,1.414027862689752,1.4137869086164434,2,3,6
Sika,Austronesian,sika1262,sika1262_REAL,N,1.1102230246251565e-16,0.9852281360342516,1.0,0.9999999999999999,2,2,4
Sonsorol,Austronesian,sons1242,sons1242_REAL,N,0.9967916319816368,1.272905595320056,1.9967916319816368,1.0,3,4,6
Southeast_Ambrym,Austronesian,sout2859,sout2859_REAL,N,0.9333132529967791,1.930019153691655,2.2571523171759043,1.3238390641791251,4,5,10
Southeast_Babar,Austronesian,sout2883,sout2883_REAL,N,0.0,0.9852281360342516,1.0,1.0,2,2,4
Southwest_Tanna,Austronesian,sout2869,sout2869_REAL,N,0.9967916319816367,2.256564762130954,1.4634582986483033,0.4666666666666667,5,3,7
South_Marquesan,Austronesian,sout2866,sout2866_REAL,N,0.0,1.4591479170272448,1.0,1.0,3,2,6
South_Tuvaluan_(Vaitupu),Austronesian,sout2865,sout2865_REAL,N,0.05258730535934042,1.5227119556807576,1.4660557838083375,1.413468478448997,4,3,10
Sula_Fagudu,Austronesian,sula1245,sula1245_REAL,N,0.0,2.0,-0.0,-0.0,4,1,4
Sula_Mangoli,Austronesian,mang1408,mang1408_REAL,N,0.0,-0.0,1.5,1.5,1,3,3
Sundanese,Austronesian,sund1252,sund1252_REAL,N,1.5821930667351334,2.3496489125787523,2.4082800232568724,0.826086956521739,6,6,11
Sungagage,Austronesian,mari1426i,mari1426i_REAL,N,1.1033074086078338,1.965596230357602,1.8366407419411672,0.7333333333333334,5,4,7
Sungwadaga,Austronesian,mari1426b,mari1426b_REAL,N,0.07384178424385035,2.1039321971699163,1.4660557838083375,1.392213999564487,5,3,13
Sungwadia,Austronesian,mari1426a,mari1426a_REAL,N,1.3364763513262974,2.592850131858461,2.582193066735133,1.2457167154088358,7,6,15
Sungwaloge_(Nalemba_Edward),Austronesian,mari1426g,mari1426g_REAL,N,0.9321115676166749,1.5821930667351332,1.932111567616675,1.0,3,4,6
Sungwaloge_(Nalemba_Simeone_Tari),Austronesian,mari1426f,mari1426f_REAL,N,0.932111567616675,1.930019153691655,1.932111567616675,0.9999999999999999,4,4,8
Sungwaloge_(Navenvene),Austronesian,mari1426d,mari1426d_REAL,N,0.9967916319816368,1.456564762130954,1.9967916319816368,1.0,3,4,6
Sungwaloge_(Tauta),Austronesian,mari1426e,mari1426e_REAL,N,0.9768808313872064,1.8820451081368623,2.2049292008583596,1.2280483694711533,4,5,10
Sungwaloge_(Tawet),Austronesian,mari1426c,mari1426c_REAL,N,0.9800856131714677,1.7712589600219495,2.1060246110949357,1.125938997923468,4,5,8
Sunwadia,Austronesian,mari1426,mari1426_REAL,N,0.9709505944546685,0.9709505944546686,1.5709505944546684,0.6,2,3,3
Tadyawan,Austronesian,tady1237,tady1237_REAL,N,0.8865408928220897,1.0666152167384504,1.8865408928220897,1.0,3,4,6
Tagalog,Austronesian,taga1270,taga1270_REAL,N,0.6789538995185758,0.7851515777256604,1.4994667200313962,0.8205128205128205,3,3,4
Tahitians,Austronesian,tahi1242,tahi1242_REAL,N,0.0,1.8997437586982624,1.0,1.0,4,2,8
Tajio,Austronesian,taji1246,taji1246_REAL,N,0.8865408928220901,1.1863929342238186,2.4509082837501825,1.5643673909280924,3,6,8
Takia,Austronesian,taki1248,taki1248_REAL,N,0.15396415165009003,1.3257847812033308,1.932111567616675,1.7781474159665849,3,4,10
Takuu,Austronesian,taku1257,taku1257_REAL,N,0.0699177618531015,0.6292492238560345,1.4909703934320488,1.4210526315789473,2,3,5
Talibabu,Austronesian,tali1262,tali1262_REAL,N,0.0,1.5,-0.0,-0.0,3,1,3
Talise_(Tolo),Austronesian,tali1259,tali1259_REAL,N,0.009929889616791865,1.474041717473638,2.2175141292175455,2.2075842396007537,3,5,15
Tamambo,Austronesian,malo1243,malo1243_REAL,N,2.220446049250313e-16,1.9502120649147465,1.0,0.9999999999999998,4,2,8
Tanala,Austronesian,tana1285,tana1285_REAL,N,0.8499313855179422,2.1807853191891087,2.2977598082348076,1.4478284227168654,5,5,16
Tanampedagi_Taje,Austronesian,taje1237b,taje1237b_REAL,N,0.8865408928220901,1.1863929342238186,2.4509082837501825,1.5643673909280924,3,6,8
Tangoa_(Movono),Austronesian,tang1347,tang1347_REAL,N,2.220446049250313e-16,1.9502120649147465,1.0,0.9999999999999998,4,2,8
Tasiko,Austronesian,tasi1237,tasi1237_REAL,N,1.1102230246251565e-16,1.9068905956085187,1.0,0.9999999999999999,5,2,10
Taumako,Austronesian,taum1237,taum1237_REAL,N,0.4660557838083377,2.751610325528167,1.4660557838083375,0.9999999999999998,7,3,14
Tausug_(Sulu_Moro),Austronesian,taus1251,taus1251_REAL,N,1.162806631693174,1.8062389286533895,1.8961399650265074,0.7333333333333333,4,4,7
Tausug,Austronesian,taus1251a,taus1251a_REAL,N,0.8865408928220895,1.1863929342238186,2.450908283750182,1.5643673909280926,3,6,8
Tetum_(Tetun),Austronesian,tetu1245,tetu1245_REAL,N,0.8812908992306925,2.4464393446710155,2.2567796494470396,1.375488750216347,6,7,15
Tetun_Dili_(Tetum),Austronesian,tetu1246,tetu1246_REAL,N,1.1102230246251565e-16,1.3787834934861753,1.0,0.9999999999999999,3,2,6
Thao,Austronesian,thao1240,thao1240_REAL,N,0.0,-0.0,1.5820239409642765,1.5820239409642765,1,3,3
